date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,26.32,30.0,26.01,27.36,11301720.0,,
2025-06-04,26.5,28.29,24.75,25.53,9901858.0,,
2025-06-05,24.85,25.78,24.5,25.1,5691930.0,,
2025-06-06,26.0,26.99,24.89,24.94,6862286.0,,
2025-06-09,24.55,25.28,24.52,24.87,5154206.0,,
2025-06-10,24.7,25.1,23.91,24.28,4511077.0,,
2025-06-11,24.03,24.44,23.81,24.28,2680473.0,,
2025-06-12,24.45,24.52,23.91,24.12,2239391.0,,
2025-06-13,24.41,25.92,24.38,25.42,8012985.0,,
2025-06-16,24.82,27.23,24.82,26.42,7760548.0,,
2025-06-17,25.62,26.33,25.2,26.19,4894614.0,,
2025-06-18,26.19,26.99,25.57,25.66,4644758.0,,
2025-06-19,25.18,25.4,23.33,23.42,4899288.0,,
2025-06-20,23.36,23.49,22.5,22.58,2351508.0,,
2025-06-23,22.96,23.29,22.58,23.05,1832894.0,,
2025-06-24,22.81,24.14,22.81,23.91,2776669.0,,
2025-06-25,23.91,25.11,23.75,24.76,3648111.0,,
2025-06-26,24.76,32.18,24.76,31.93,18970053.0,,
2025-06-27,28.54,29.38,27.14,27.2,15321490.0,,
2025-06-30,26.62,28.0,26.35,27.32,8449762.0,,
2025-07-01,27.91,27.91,26.71,27.0,5688046.0,,
2025-07-02,27.56,27.87,26.8,27.05,5173347.0,,
2025-07-03,27.11,27.5,26.32,26.97,4302009.0,,
2025-07-04,26.93,26.97,26.0,26.03,3569067.0,,
2025-07-07,26.1,26.3,25.86,26.22,1774644.0,,
2025-07-08,26.28,26.78,26.11,26.56,2401065.0,,
2025-07-09,26.64,26.84,25.85,25.9,2883271.0,,
2025-07-10,25.57,25.91,25.3,25.91,2031551.0,,
2025-07-11,25.91,26.54,25.71,26.48,2444116.0,,
2025-07-14,26.4,27.36,26.39,27.3,3427459.0,,
2025-07-15,27.2,27.37,26.19,26.6,2585132.0,,
2025-07-16,26.58,26.89,26.23,26.31,1797220.0,,
2025-07-17,26.4,27.2,26.2,27.06,3146427.0,,
2025-07-18,26.93,27.58,26.74,27.36,3654358.0,,
2025-07-21,27.75,29.86,27.5,29.16,7248529.0,,
2025-07-22,28.99,32.09,28.61,30.2,9058298.0,,
2025-07-23,29.24,29.9,27.6,27.6,6618780.0,,
2025-07-24,27.2,29.35,27.2,28.03,4618918.0,,
2025-07-25,27.97,28.9,27.75,28.41,3056900.0,,
2025-07-28,28.48,28.51,27.4,27.87,3184676.0,,
2025-07-29,27.7,28.5,27.31,28.34,2924327.0,,
2025-07-30,28.3,28.96,27.53,27.73,2692963.0,,
2025-07-31,27.61,27.88,27.07,27.13,2564928.0,,
2025-08-01,27.03,27.38,26.31,26.54,2173885.0,,
2025-08-04,26.52,28.45,26.33,28.35,4061557.0,,
2025-08-05,28.36,28.53,27.53,27.88,2799931.0,,
2025-08-06,27.82,28.67,27.75,28.21,2860543.0,,
2025-08-07,28.12,28.4,27.66,27.77,1984697.0,,
2025-08-08,27.71,29.3,27.7,28.76,4617803.0,,
2025-08-11,28.15,29.65,28.15,29.3,4467333.0,,
2025-08-12,29.08,29.3,28.12,28.31,3250603.0,,
2025-08-13,28.36,28.57,27.95,28.32,2239263.0,,
2025-08-14,28.32,28.32,26.88,27.03,3070679.0,,
2025-08-15,27.0,28.5,27.0,28.19,2675124.0,,
2025-08-18,28.5,29.8,28.04,29.36,4185669.0,,
2025-08-19,29.47,30.47,28.89,29.08,4233503.0,,
2025-08-20,29.39,32.61,29.08,32.54,8207197.0,,
2025-08-21,30.8,31.13,29.41,30.02,6734963.0,,
2025-08-22,29.98,29.98,29.0,29.19,3828035.0,,
2025-08-25,29.12,29.88,28.8,29.75,3613537.0,,
2025-08-26,29.47,29.83,28.9,28.97,2458425.0,,
2025-08-27,28.9,29.17,28.28,28.28,2379087.0,,
2025-08-28,28.37,29.35,27.55,29.3,3363826.0,,
2025-08-29,29.39,29.58,28.85,28.97,2056896.0,,
2025-09-01,28.98,29.16,28.22,28.79,1768408.0,,
2025-09-02,28.8,29.39,28.01,29.35,2782173.0,,
2025-09-03,29.41,29.49,28.16,28.18,2063325.0,,
2025-09-04,28.0,28.79,27.66,28.08,1865603.0,,
2025-09-05,28.3,29.24,28.19,29.08,2604824.0,,
2025-09-08,29.23,30.18,29.09,29.81,3367663.0,,
2025-09-09,29.77,29.77,28.28,28.45,2498025.0,,
2025-09-10,28.5,28.75,28.0,28.2,1414560.0,,
2025-09-11,28.3,28.65,28.17,28.58,1419188.0,,
2025-09-12,28.62,28.63,27.6,27.71,2336837.0,,
2025-09-15,27.8,27.81,26.78,26.83,1825652.0,,
2025-09-16,26.85,27.1,26.13,27.0,1896878.0,,
2025-09-17,26.81,27.5,26.79,27.07,1315358.0,,
2025-09-18,27.01,27.53,26.39,26.67,1928178.0,,
2025-09-19,26.63,27.06,26.28,26.3,1290148.0,,
2025-09-22,26.3,26.35,25.34,25.58,1734796.0,,
2025-09-23,25.65,25.7,24.05,24.7,2133407.0,,
2025-09-24,24.63,25.05,24.46,24.8,1111443.0,,
2025-09-25,24.85,24.94,24.09,24.23,1164295.0,,
2025-09-26,24.52,25.1,23.71,24.37,1724849.0,,
2025-09-29,24.36,24.41,23.64,23.78,1400976.0,,
2025-09-30,23.89,24.1,23.53,23.71,931109.0,,
2025-10-09,23.89,24.77,23.18,24.39,1853410.0,,
2025-10-10,24.23,24.79,24.18,24.18,1041684.0,,
2025-10-13,23.09,24.22,23.05,23.95,963657.0,,
2025-10-14,23.93,24.92,23.93,24.38,1375258.0,,
2025-10-15,24.34,24.87,23.9,24.82,1438227.0,,
2025-10-16,24.92,25.19,24.23,24.24,1006611.0,,
2025-10-17,24.24,24.3,23.22,23.23,808410.0,,
2025-10-20,23.41,23.8,23.18,23.65,712760.0,,
2025-10-21,23.79,24.9,23.51,24.9,1649269.0,,
2025-10-22,24.9,26.85,24.54,26.06,3351918.0,,
2025-10-23,25.8,25.8,24.57,24.92,1891817.0,,
2025-10-24,25.63,26.2,25.1,25.43,1863637.0,,
2025-10-27,25.34,25.67,24.85,25.22,1399074.0,,
2025-10-28,25.21,25.45,24.97,25.16,910716.0,,
2025-10-29,24.82,26.08,24.01,26.01,3001113.0,,
2025-10-30,26.1,26.4,25.08,25.16,2297607.0,,
2025-10-31,24.82,25.76,24.7,25.16,1463786.0,,
2025-11-03,25.56,25.76,24.82,25.09,1113140.0,,
2025-11-04,24.97,25.0,24.03,24.25,992673.0,,
2025-11-05,24.0,24.58,23.83,24.37,712641.0,,
2025-11-06,24.65,24.93,24.2,24.76,1154181.0,,
2025-11-07,25.05,25.2,24.01,24.06,1481354.0,,
2025-11-10,24.58,24.93,24.3,24.42,1330397.0,,
2025-11-11,24.43,24.65,23.91,24.22,1021750.0,,
2025-11-12,24.1,24.22,23.5,23.75,867432.0,,
2025-11-13,23.7,24.29,23.65,24.02,713731.0,,
2025-11-14,23.99,24.55,23.91,24.03,885063.0,,
2025-11-17,24.19,24.39,23.52,23.67,725066.0,,
2025-11-18,23.56,23.64,22.97,23.07,886136.0,,
2025-11-19,22.96,23.14,22.38,22.63,621688.0,,
2025-11-20,22.58,22.86,22.1,22.18,582915.0,,
2025-11-21,22.12,22.19,21.27,21.77,817014.0,,
2025-11-24,21.79,22.29,21.6,22.19,626230.0,,
2025-11-25,22.37,22.95,21.87,22.63,861603.0,,
2025-11-26,22.98,22.98,21.8,21.87,916120.0,,
2025-11-27,21.73,21.9,21.38,21.4,846731.0,,
2025-11-28,21.31,21.61,21.1,21.53,542907.0,,
2025-12-01,21.65,25.55,21.65,24.11,4409005.0,,
2025-12-02,23.5,25.49,23.4,24.44,3553070.0,,
2025-12-03,24.3,24.37,23.2,23.69,2282298.0,,
2025-12-04,23.69,24.98,23.03,24.06,2341370.0,,
2025-12-05,23.7,24.62,23.35,24.45,2404762.0,,
2025-12-08,24.99,25.38,24.1,24.22,2787547.0,,
2025-12-09,23.9,24.17,23.05,23.28,2086292.0,,
2025-12-10,23.3,23.87,22.9,22.93,1295752.0,,
2025-12-11,23.24,26.3,22.54,25.58,5628128.0,,
2025-12-12,25.13,27.57,24.92,26.32,7156358.0,,
2025-12-15,25.93,28.28,25.64,27.49,6732701.0,,
2025-12-16,26.88,27.16,25.7,26.45,4077928.0,,
2025-12-17,26.23,26.23,24.48,24.92,3740187.0,,
2025-12-18,24.71,26.49,24.45,25.78,4011669.0,,
2025-12-19,27.0,32.08,27.0,27.62,11059409.0,,
2025-12-22,27.55,28.5,26.63,26.89,6949613.0,,
2025-12-23,26.5,27.92,25.46,25.6,5882956.0,,
2025-12-24,25.37,27.47,25.18,27.47,5632529.0,,
2025-12-25,27.19,31.08,27.0,28.66,8875371.0,,
2025-12-26,28.41,29.08,27.01,27.62,6212062.0,,
2025-12-29,27.21,27.65,26.87,27.48,3476001.0,,
2025-12-30,27.43,27.43,26.02,26.04,3861822.0,,
2025-12-31,26.05,26.58,26.02,26.45,2166646.0,,
2026-01-05,26.77,26.77,26.03,26.12,2568450.0,,
2026-01-06,25.76,27.33,25.3,27.27,4535245.0,,
2026-01-07,26.8,26.95,26.26,26.37,2985142.0,,
2026-01-08,26.29,27.67,26.19,27.52,4496157.0,,
2026-01-09,28.0,29.49,26.99,27.32,6110019.0,,
2026-01-12,27.73,30.28,27.73,29.57,7312551.0,,
2026-01-13,29.0,29.02,27.03,27.17,5809641.0,,
2026-01-14,27.03,29.47,26.9,28.25,5805104.0,,
2026-01-15,27.85,28.4,27.1,27.32,3154411.0,,
2026-01-16,27.47,27.92,27.02,27.13,2648175.0,,
2026-01-19,26.9,27.34,26.5,26.89,1821603.0,,
