date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,81.4,82.9,81.36,81.76,927682.0,5.2109,14.555487520000002
2025-06-04,83.39,92.0,83.39,87.82,3829944.0,21.5133,15.63433114
2025-06-05,88.1,89.36,87.0,88.29,2151773.0,12.0868,15.718003829999999
2025-06-06,87.3,87.85,85.6,86.46,1105326.0,6.2088,15.39221442
2025-06-09,87.52,92.8,86.58,91.69,2783784.0,15.6369,16.32329563
2025-06-10,90.99,93.68,90.2,92.85,2563432.0,14.3991,16.52980695
2025-06-11,93.0,94.65,91.3,92.74,1655372.0,9.2984,16.510223980000003
2025-06-12,93.5,98.5,92.01,97.49,2867428.0,16.1067,17.35585223
2025-06-13,96.32,96.44,89.28,90.04,3211556.0,18.0397,16.029551079999997
2025-06-16,89.45,90.8,86.35,86.84,1970179.0,11.0667,15.459864679999999
2025-06-17,86.02,89.96,86.02,88.01,1668848.0,9.3741,15.66815627
2025-06-18,87.16,90.65,87.16,89.35,1502512.0,8.4398,15.90671245
2025-06-19,90.6,91.0,87.5,88.1,1324517.0,7.44,15.6841787
2025-06-20,87.91,88.58,84.31,85.9,1156024.0,6.4935,15.2925193
2025-06-23,84.71,87.48,84.3,85.5,975574.0,5.4799,15.2213085
2025-06-24,88.0,90.39,86.84,89.16,1892808.0000000002,10.6321,15.87288732
2025-06-25,88.42,89.0,85.8,87.69,1791483.0000000002,10.063,15.61118763
2025-06-26,87.34,89.44,86.55,86.75,1479411.0,8.31,15.44384225
2025-06-27,86.77,88.5,86.61,87.0,1023209.0,5.7475,15.488349
2025-06-30,86.56,89.57,86.28,89.08,1557266.0,8.7474,15.85864516
2025-07-01,88.88,88.88,87.0,87.36,1100198.0,6.18,15.55243872
2025-07-02,87.0,87.01,82.89,83.6,1626154.0,9.1343,14.883057199999998
2025-07-03,83.5,84.3,83.14,84.13,747776.0,4.2004,14.97741151
2025-07-04,84.31,84.88,81.23,81.5,1575154.0,8.8478,14.5092005
2025-07-07,80.96,81.74,80.18,80.77,828954.9999999999,4.6563,14.379240789999999
2025-07-08,80.79,81.94,80.53,81.49,738173.0,4.1464,14.507420230000001
2025-07-09,81.52,82.3,80.78,81.03,1086646.0,6.1038,14.42552781
2025-07-10,81.29,81.29,78.88,79.26,1498448.0,8.417,14.11042002
2025-07-11,79.33,80.08,78.98,79.76,886520.9999999999,4.9797,14.19943352
2025-07-14,79.85,80.13,78.6,79.06,902224.0,5.0679,14.074814619999998
2025-07-15,79.79,79.79,76.4,78.37,1490334.0,8.3714,13.951975990000001
2025-07-16,78.38,79.18,77.8,78.5,860540.0,4.8338,13.9751195
2025-07-17,78.21,79.87,78.1,79.34,1093800.0,6.144,14.12466218
2025-07-18,79.35,80.6,78.8,79.08,1045959.0,5.8753,14.078375159999998
2025-07-21,78.68,79.49,78.3,79.35,1058395.0,5.9451,14.126442449999999
2025-07-22,78.9,79.77,78.28,78.43,898029.0000000001,5.0443,13.96265761
2025-07-23,78.4,78.92,77.31,78.74,1634954.0,9.1837,14.01784598
2025-07-24,78.2,78.7,77.51,77.72,1306192.0,7.337,13.83625844
2025-07-25,77.68,78.06,76.67,77.5,1262198.0,7.0899,13.797092499999998
2025-07-28,77.5,78.25,76.7,78.18,1662243.9999999998,9.337,13.91815086
2025-07-29,78.1,79.99,77.42,79.57,2226864.0,12.5086,14.16560839
2025-07-30,79.46,79.76,77.35,77.81,1742859.0,9.7899,13.85228087
2025-07-31,77.58,80.54,77.18,79.48,2393016.0,13.4419,14.14958596
2025-08-01,80.05,81.0,78.1,80.68,4107458.9999999995,10.2848,32.22129262
2025-08-04,79.88,82.77,79.6,81.39,2763569.0,6.9198,32.50484639
2025-08-05,81.39,81.61,80.14,81.12,1865027.0,4.6699,32.39701608
2025-08-06,81.0,81.0,79.79,80.48,1763458.0000000002,4.4156,32.14141832
2025-08-07,80.08,81.06,79.0,79.94,1811618.9999999998,4.5362,31.92575771
2025-08-08,80.34,80.88,78.81,78.96,1481447.0,3.7094,31.53437364
2025-08-11,78.8,85.12,78.7,83.99,4210328.0,10.5424,33.54321229
2025-08-12,83.8,84.36,83.16,84.26,1681079.0,4.2093,33.651042589999996
2025-08-13,84.26,85.2,83.51,84.92,1736091.9999999998,4.3471,33.91462778
2025-08-14,84.89,85.2,82.7,82.86,1780209.9999999998,4.4575,33.091922489999995
2025-08-15,80.6,85.36,79.66,84.23,2556120.0,6.4004,33.63906145
2025-08-18,84.23,86.98,83.15,86.22,2401984.0,6.0144,34.43381073
2025-08-19,86.2,86.4,84.06,85.12,1587096.0,3.974,33.99450208
2025-08-20,84.69,85.49,83.5,85.06,1181836.0,2.9592,33.97053979
2025-08-21,85.07,91.18,84.0,89.03,3471411.0,8.6922,35.556044650000004
2025-08-22,89.04,91.88,87.78,91.01,2409762.0,6.0339,36.34680022
2025-08-25,91.19,91.68,89.27,90.23,1748893.9999999998,4.3791,36.03529045
2025-08-26,90.22,90.92,88.61,89.02,1182198.0,2.9601,35.55205093
2025-08-27,89.08,94.35,89.0,89.03,2497494.0,6.2536,35.556044650000004
2025-08-28,90.15,93.0,88.9,92.28,2316565.0,5.8005,36.85400202
2025-08-29,91.38,101.49,91.16,96.82,3297448.0000000005,8.2566,38.66714863
2025-09-01,96.82,100.49,95.1,97.86,2555008.0,6.3976,39.08249499
2025-09-02,97.0,98.87,92.2,93.6,2100302.0,5.259,37.3811724
2025-09-03,93.67,94.77,91.2,91.57,1293275.0,3.2383,36.57044826
2025-09-04,91.4,92.18,84.2,85.55,2048750.0,5.1299,34.16623183
2025-09-05,85.11,102.05,85.11,102.05,4016601.0,10.0573,40.75586158
2025-09-08,102.58,104.34,99.61,100.86,2777997.0,6.9559,40.28060949
2025-09-09,101.58,101.67,96.02,96.9,1963705.0,4.917,38.69909835
2025-09-10,96.2,99.7,95.1,95.68,2986935.0,7.4791,38.21186512
2025-09-11,95.78,97.86,94.3,95.68,2652157.0,6.6408,38.21186512
2025-09-12,95.75,96.77,93.77,94.04,1810500.9999999998,4.5334,37.556895860000004
2025-09-15,93.76,99.5,93.36,96.4,2619034.0,6.5579,38.4994126
2025-09-16,95.74,96.6,94.67,96.57,1479411.0,3.7043,38.56730576
2025-09-17,96.4,98.33,95.0,95.53,1701579.0,4.2606,38.151959399999996
2025-09-18,94.99,99.5,92.2,93.99,2350707.0,5.886,37.53692729
2025-09-19,94.0,95.34,92.23,93.55,1498208.0,3.7514,37.36120383
2025-09-22,93.36,96.2,93.01,95.27,1175155.0,2.9425,38.04812281
2025-09-23,95.27,98.88,94.79,97.83,2159446.0,5.4071,39.07051385
2025-09-24,96.66,98.01,95.53,98.01,1231668.0,3.084,39.14240072
2025-09-25,97.5,100.3,97.38,98.25,1632214.0,4.087,39.23824988
2025-09-26,98.2,101.01,96.23,96.23,1658757.0,4.1534,38.431519449999996
2025-09-29,96.0,97.47,94.01,94.95,1543033.0,3.8637,37.92032393
2025-09-30,95.44,95.63,90.75,91.83,1953839.0,4.8923,36.67428485
2025-10-09,91.71,95.53,91.18,92.6,1599279.0,4.0045,36.9818009
2025-10-10,92.01,92.6,88.87,89.59,1212008.0,3.0348,35.779692690000005
2025-10-13,89.0,90.29,85.7,89.59,1124971.0,2.8169,35.779692690000005
2025-10-14,89.3,90.48,85.63,86.02,1088984.0,2.7267,34.353936430000005
2025-10-15,86.02,88.3,85.01,88.05,952435.0,2.3848,35.16466058
2025-10-16,87.69,88.38,86.23,86.99,747700.0,1.8722,34.741326789999995
2025-10-17,86.52,86.98,83.22,83.25,996201.0,2.4944,33.24767738
2025-10-20,84.0,86.77,84.0,85.67,899482.0,2.2522,34.21415641
2025-10-21,85.4,87.19,85.1,86.19,1133198.0,2.8375,34.42182959
2025-10-22,86.2,88.77,85.72,87.99,1044791.0,2.6161,35.14069829
2025-10-23,87.4,89.09,85.68,88.86,987020.9999999999,2.4714,35.48815149
2025-10-24,96.32,97.48,93.81,94.96,3483540.0,8.7226,37.92431764
2025-10-27,95.78,98.21,94.7,97.85,2511188.0,6.2878,39.078501280000005
2025-10-28,97.58,99.5,95.71,97.16,1702184.0,4.2622,38.80293494
2025-10-29,96.21,97.0,93.61,93.86,1585812.0,3.9708,37.485008990000004
2025-10-30,93.6,94.27,89.8,90.3,1454753.0,3.6426,36.06324645
2025-10-31,90.37,92.0,90.0,90.79,1036800.0,2.5961,36.25893849
2025-11-03,91.26,92.24,88.88,90.5,935554.9999999999,2.3426,36.14312075
2025-11-04,90.49,90.5,87.25,88.06,1033473.0,2.5877,35.16865429
2025-11-05,87.03,89.0,86.91,88.0,670000.0,1.6776,35.144692
2025-11-06,88.0,88.95,87.36,87.91,928698.0,2.3254,35.10874857
2025-11-07,87.48,87.59,85.54,86.28,1201138.0,3.0076,34.45777302
2025-11-10,86.2,88.73,85.92,87.79,1261404.0,3.1585,35.060823989999996
2025-11-11,88.0,88.2,86.1,86.6,742600.0,1.8594,34.5855719
2025-11-12,86.77,89.31,86.42,88.22,1122157.0,2.8098,35.23255373
2025-11-13,88.0,88.0,86.8,87.35,1089974.0,2.7292,34.88510053
2025-11-14,86.8,89.87,86.45,86.98,1386946.0,3.4728,34.73733307
2025-11-17,87.05,87.45,84.51,85.1,972625.0,2.4354,33.98651465
2025-11-18,84.65,85.35,84.2,84.93,499431.00000000006,1.2505,33.9186215
2025-11-19,84.93,85.3,82.71,82.93,735499.0,1.8416,33.1198785
2025-11-20,83.0,84.65,83.0,83.26,686160.0,1.7181,33.25167109
2025-11-21,82.68,82.68,79.48,79.82,917752.0,2.298,31.877833130000003
2025-11-24,80.6,81.47,79.29,80.68,648652.0,1.6242,32.22129262
2025-11-25,81.52,84.96,81.52,84.96,1648916.9999999998,4.1288,33.93060264
2025-11-26,84.81,84.81,82.51,82.98,907209.0,2.2716,33.13984707
2025-11-27,83.2,84.31,82.82,83.49,719168.0,1.8007,33.34352654
2025-11-28,83.4,84.18,83.12,84.11,480800.0,1.2039,33.59113687
2025-12-01,84.11,88.63,83.81,85.56,1314126.0,3.2905,34.170225540000004
2025-12-02,85.5,85.98,83.8,83.9,652226.0,1.6331,33.507268849999996
2025-12-03,83.7,84.46,83.03,83.7,547652.0,1.3713,33.427394549999995
2025-12-04,83.91,84.16,82.6,83.7,571694.0,1.4315,33.427394549999995
2025-12-05,83.7,84.28,82.84,84.28,587741.0,1.4717,33.65903002
2025-12-08,84.24,85.88,84.2,85.1,794253.0,1.9888,33.98651465
2025-12-09,84.82,86.58,84.82,85.21,710480.0,1.779,34.03044552
2025-12-10,85.18,85.48,82.5,84.2,964099.0,2.414,33.6270803
2025-12-11,84.3,85.17,83.16,83.23,793729.0,1.9874,33.23968995
2025-12-12,83.23,84.88,82.52,84.12,574397.0,1.4383,33.595130579999996
2025-12-15,84.04,84.88,82.91,83.08,581000.0,1.4548,33.17978422
2025-12-16,83.12,83.78,82.19,83.51,547668.0,1.3713,33.35151397
2025-12-17,83.01,85.2,82.7,85.15,821706.0,2.0575,34.00648323
2025-12-18,84.63,85.12,82.9,83.34,891857.0,2.2332,33.28362081
2025-12-19,84.2,87.97,83.5,86.41,1896624.0000000002,4.749,34.50969132
2025-12-22,86.37,87.61,85.59,87.1,947852.0,2.3734,34.785257650000005
2025-12-23,86.9,87.3,84.84,85.15,915000.0,2.2911,34.00648323
2025-12-24,85.0,87.12,85.0,86.19,820578.0000000001,2.0547,34.42182959
2025-12-25,86.19,87.88,85.97,87.0,866012.9999999999,2.1684,34.7453205
2025-12-26,86.7,86.95,84.7,85.96,1101084.0,2.757,34.32997414
2025-12-29,85.3,86.07,85.1,85.6,639558.0,1.6014,34.186200400000004
2025-12-30,85.59,88.45,85.0,87.5,1112413.0,2.7854,34.94500625
2025-12-31,87.15,91.48,86.61,90.54,1994883.0000000002,4.9951,36.15909561
2026-01-05,90.56,92.28,89.61,90.6,1358854.0,3.4025,36.1830579
2026-01-06,90.47,91.95,89.71,91.95,1456429.0,3.6468,36.72220943
2026-01-07,91.27,91.8,89.72,90.39,1217547.0,3.0487,36.09918989
2026-01-08,89.98,95.0,89.72,92.73,2207235.0,5.5268,37.0337192
2026-01-09,92.0,92.77,90.31,92.73,2345406.0,5.8727,37.0337192
2026-01-12,92.75,96.0,92.33,94.41,2507159.0,6.2778,37.70466332
2026-01-13,95.93,100.88,94.5,98.15,3929043.0,9.8381,39.19831273
2026-01-14,99.87,107.0,98.08,104.66,4141808.0,10.3708,41.79822119
2026-01-15,102.06,102.85,98.44,99.9,1997789.0,5.0023,39.89721285
2026-01-16,100.4,101.39,96.66,98.37,1940139.0,4.858,39.28617446
2026-01-19,99.5,100.02,97.08,98.19,1346492.0,3.3715,39.21428759
2026-01-20,98.08,98.29,93.1,94.69,1891754.0,4.7368,37.816487339999995
2026-01-21,93.94,98.17,93.93,96.79,1506147.0,3.7713,38.65516749
2026-01-22,96.79,98.69,96.01,96.56,851665.0,2.1325,38.56331204
2026-01-23,97.05,97.55,95.74,97.12,1252154.0,3.1353,38.78696008
2026-01-26,97.65,97.75,95.0,95.52,899270.0000000001,2.2517,38.14796568
2026-01-27,96.95,98.35,94.65,97.05,1235287.0,3.0931,38.759004080000004
2026-01-28,97.51,100.17,95.66,95.99,1486833.0,3.7229,38.335670289999996
2026-01-29,95.29,96.49,91.81,92.16,1684420.0,4.2177,36.80607744
2026-01-30,92.71,93.97,90.62,93.06,1199400.0,3.0032,37.165511790000004
2026-02-02,92.6,94.49,91.01,91.1,1054397.0,2.6401,36.38274365
2026-02-03,92.06,93.1,91.71,92.71,1177263.0,2.9478,37.02573177
2026-02-04,92.52,93.0,91.31,92.42,762106.0,1.9083,36.90991403
2026-02-05,92.02,93.18,91.22,92.68,649832.0,1.6271,37.01375062
2026-02-06,92.0,92.5,90.25,91.29,781792.0,1.9576,36.45862424
2026-02-09,92.84,94.47,92.0,93.33,909650.0,2.2777,37.2733421
2026-02-10,93.33,94.38,92.98,93.44,545508.0,1.3659,37.317272960000004
2026-02-11,93.36,93.86,92.8,93.1,510785.00000000006,1.279,37.181486650000004
2026-02-12,93.1,94.82,92.67,94.51,769070.0,1.9257,37.74460047
2026-02-13,93.4,95.61,93.13,93.19,770966.0,1.9304,37.21743009
2026-02-24,94.41,95.57,93.3,95.26,1034604.0000000001,2.5906,38.044129090000006
2026-02-25,95.45,97.4,94.78,96.45,986673.0,2.4706,38.51938118
2026-02-26,96.38,97.38,95.79,96.08,904403.0000000001,2.2646,38.37161372
2026-02-27,95.61,96.0,94.24,94.55,852945.9999999999,2.1357,37.760575329999995
2026-03-02,93.2,94.68,89.6,89.81,1435619.0,3.5947,35.86755442
2026-03-03,89.86,91.35,86.07,86.45,1058145.0,2.6495,34.52566618
2026-03-04,86.0,87.27,84.7,85.92,929100.0,2.3264,34.31399928
2026-03-05,87.72,88.72,85.81,87.02,735259.0,1.841,34.75330793
2026-03-06,86.79,88.5,86.61,88.05,577965.0,1.4472,35.16466058
2026-03-09,86.15,87.77,84.05,87.24,923800.0,2.3131,34.841169660000006
2026-03-10,89.0,89.68,87.85,89.68,743112.0,1.8607,35.81563612
2026-03-11,89.68,90.68,88.32,88.5,649491.0,1.6263,35.34437775
2026-03-12,88.5,89.77,86.91,88.02,671160.0,1.6805,35.15267943
2026-03-13,88.0,88.11,86.16,87.05,535382.0,1.3406,34.76528908
2026-03-16,86.61,87.47,84.91,87.0,925699.0,2.3179,34.7453205
2026-03-17,87.0,87.54,84.21,84.3,1249339.0,3.1283,33.66701745
2026-03-18,84.86,86.18,83.92,85.86,680947.0,1.705,34.29003699
2026-03-19,84.58,85.06,83.31,83.6,665700.0,1.6669,33.3874574
2026-03-20,84.28,85.15,81.82,82.08,696234.0,1.7433,32.78041272
2026-03-23,79.64,80.74,76.21,76.59,1150419.0,2.8806,30.587863189999997
2026-03-24,78.29,78.78,76.6,78.67,588612.0,1.4738,31.418555910000002
2026-03-25,78.98,80.44,78.98,80.2,610400.0,1.5284,32.0295943
2026-03-26,80.02,80.43,78.09,78.71,495258.0,1.2401,31.434530770000002
2026-03-27,78.0,80.32,77.61,80.03,504700.0,1.2637,31.961701150000003
2026-03-30,78.91,81.35,78.91,81.2,752295.0,1.8837,32.4289658
2026-03-31,81.77,84.01,80.5,81.19,761584.0,1.907,32.424972090000004
2026-04-01,82.8,85.87,81.82,83.59,765427.0,1.9166,33.38346369
2026-04-02,83.25,84.38,81.12,81.58,708917.0,1.7751,32.58072697
2026-04-03,82.29,82.5,79.86,80.06,483283.0,1.2101,31.973682290000003
2026-04-07,80.8,81.44,79.28,80.0,594076.0,1.4875,31.949720000000003
2026-04-08,81.59,84.44,81.59,84.44,888474.0,2.2247,33.72292946
2026-04-09,84.08,84.73,82.96,83.34,559500.0,1.401,33.28362081
2026-04-10,84.48,86.1,83.72,85.38,688590.0,1.7242,34.09833867
2026-04-13,84.39,85.08,83.7,84.81,490600.0,1.2284,33.87069692
