date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,11.88,12.12,11.78,11.83,21310816.0,3.3392,75.49981097
2025-06-04,11.79,12.39,11.77,11.94,19959563.0,3.1274,76.20183795
2025-06-05,11.85,12.01,11.79,11.83,15300906.0,2.3975,75.49981097
2025-06-06,11.84,12.12,11.77,11.79,18365566.0,2.8777,75.24452843
2025-06-09,11.78,12.05,11.75,11.92,20054549.0,3.1423,76.07419668
2025-06-10,11.89,12.04,11.6,11.79,18089413.0,2.8344,75.24452843
2025-06-11,11.7,11.81,11.66,11.69,10531712.0,1.6502,74.60632208
2025-06-12,11.66,11.72,11.56,11.61,9130291.0,1.4306,74.09575699999999
2025-06-13,11.65,11.74,11.46,11.54,16478699.0,2.582,73.64901256
2025-06-16,11.6,11.63,11.35,11.46,9754492.0,1.5284,73.13844748
2025-06-17,11.45,11.53,11.38,11.51,9388200.0,1.471,73.45755065
2025-06-18,11.51,11.59,11.4,11.4,10815400.0,1.6947,72.75552367
2025-06-19,11.38,11.38,11.09,11.17,12239700.0,1.9178,71.28764907
2025-06-20,11.11,11.18,10.94,10.98,10183902.0,1.5957,70.07505701
2025-06-23,10.99,11.45,10.98,11.41,13401979.0,2.0999,72.81934431
2025-06-24,11.27,11.48,11.23,11.44,13813000.0,2.1643,73.01080621
2025-06-25,11.44,11.79,11.4,11.75,19570644.0,3.0665,74.98924588999999
2025-06-26,11.76,12.03,11.76,11.87,20925416.0,3.2788,75.75509351
2025-06-27,11.88,12.01,11.82,11.89,14711324.0,2.3051,75.88273477999999
2025-06-30,11.91,12.41,11.91,12.39,25520302.0,3.9988,79.07376652
2025-07-01,12.46,12.49,12.13,12.23,20105896.0,3.1504,78.05263636000001
2025-07-02,12.18,12.19,11.96,12.02,13003800.0,2.0376,76.71240303
2025-07-03,12.19,12.9,12.19,12.45,32297897.0,5.0607,79.45669033
2025-07-04,12.36,13.35,12.27,12.82,46892308.0,7.3475,81.81805381
2025-07-07,12.82,12.94,12.48,12.64,20820400.0,3.2623,80.66928238999999
2025-07-08,12.56,13.0,12.46,12.8,20669402.0,3.2387,81.69041254
2025-07-09,12.8,12.88,12.49,12.58,19008186.0,2.9784,80.28635858
2025-07-10,12.44,12.62,12.31,12.53,16111672.0,2.5245,79.9672554
2025-07-11,12.54,12.54,12.3,12.4,12297400.0,1.9269,79.13758715
2025-07-14,12.48,13.03,12.41,12.97,30207000.0,4.7331,82.77536334
2025-07-15,12.74,12.86,12.42,12.57,21269100.0,3.3326,80.22253794
2025-07-16,12.59,12.61,12.29,12.3,15717857.999999998,2.4628,78.4993808
2025-07-17,12.31,12.57,12.24,12.55,13885516.0,2.1757,80.09489667
2025-07-18,12.53,13.81,12.45,13.81,53702207.99999999,8.4146,88.13629666
2025-07-21,13.81,14.24,13.52,13.95,67317877.0,10.548,89.02978555
2025-07-22,13.78,14.04,13.6,13.69,33929720.0,5.3164,87.37044904
2025-07-23,13.65,14.06,13.4,13.68,36299428.0,5.6877,87.30662841
2025-07-24,13.67,13.74,13.47,13.59,24410442.0,3.8249,86.73224268999999
2025-07-25,13.58,13.94,13.53,13.84,27378280.0,4.2899,88.32775855999999
2025-07-28,13.75,15.22,13.75,14.85,68733608.0,10.7698,94.77364268
2025-07-29,14.85,15.14,14.51,14.86,54754312.0,8.5794,94.83746331
2025-07-30,14.7,15.52,14.49,14.78,59444892.00000001,9.3144,94.32689823
2025-07-31,14.61,15.28,14.6,14.92,38324232.0,6.005,95.22038712
2025-08-01,15.0,16.0,14.27,15.77,68000312.0,10.6549,100.64514108
2025-08-04,15.52,16.7,15.52,16.66,59647665.0,9.3461,106.32517758
2025-08-05,16.5,16.5,15.85,16.06,47927188.0,7.5097,102.49593949
2025-08-06,15.9,16.9,15.78,16.27,45985344.0,7.2054,103.83617282
2025-08-07,16.0,16.03,15.25,15.38,48834399.0,7.6518,98.15613632
2025-08-08,15.3,16.04,15.18,15.44,43957481.0,6.8877,98.53906013
2025-08-11,15.6,16.16,15.45,15.84,37948960.0,5.9462,101.09188552
2025-08-12,15.68,16.52,14.86,15.04,50324311.0,7.8853,95.98623474
2025-08-13,15.03,16.12,14.97,15.61,49447929.0,7.748,99.62401092
2025-08-14,15.47,15.56,14.69,14.69,43716691.0,6.8499,93.75251252
2025-08-15,14.69,15.56,14.57,15.09,41444731.0,6.4939,96.30533791
2025-08-18,14.98,15.43,14.98,15.21,28516569.0,4.4682,97.07118553
2025-08-19,15.21,15.21,14.71,14.76,27687040.000000004,4.3383,94.19925696
2025-08-20,14.75,15.05,14.65,14.85,21172070.0,3.3174,94.77364268
2025-08-21,14.79,15.01,14.71,14.85,18150336.0,2.844,94.77364268
2025-08-22,14.95,14.95,14.44,14.94,31789873.0,4.9811,95.34802839
2025-08-25,14.97,15.57,14.86,15.53,48283242.0,7.5655,99.11344584
2025-08-26,15.58,15.75,15.2,15.48,30510391.0,4.7806,98.79434267
2025-08-27,15.47,15.6,14.48,14.56,33712149.0,5.2823,92.92284427
2025-08-28,14.64,15.04,14.18,15.03,31878534.000000004,4.995,95.9224141
2025-08-29,14.9,15.08,14.75,15.03,17587609.0,2.7558,95.9224141
2025-09-01,15.03,15.03,14.43,14.51,23740810.0,3.7199,92.60374109
2025-09-02,14.5,14.56,13.87,14.25,22531038.0,3.5304,90.94440459
2025-09-03,14.25,14.31,13.41,13.44,20431683.0,3.2014,85.77493317
2025-09-04,13.54,13.77,13.15,13.47,16756521.0,2.6256,85.96639508
2025-09-05,13.4,13.47,13.18,13.4,13561913.0,2.125,85.51965063
2025-09-08,13.53,14.43,13.28,14.22,26707166.0,4.1847,90.75294269
2025-09-09,14.2,14.88,13.9,14.43,30175481.0,4.7282,92.09317602
2025-09-10,14.32,14.51,14.2,14.23,11393876.0,1.7853,90.81676332
2025-09-11,14.3,14.68,14.1,14.48,17711697.0,2.7752,92.41227919
2025-09-12,14.43,14.53,14.31,14.35,10502043.0,1.6456,91.58261094
2025-09-15,14.19,14.25,14.01,14.01,10085321.0,1.5803,89.41270935
2025-09-16,14.01,14.4,13.88,14.32,12586538.0,1.9722,91.39114903
2025-09-17,14.32,14.42,14.12,14.23,7464303.0,1.1696,90.81676332
2025-09-18,14.13,14.42,13.86,14.03,12419741.0,1.946,89.54035062
2025-09-19,13.95,14.23,13.94,14.12,8119948.0,1.2723,90.11473634
2025-09-22,14.04,15.05,13.75,14.84,29591061.0,4.6366,94.70982204
2025-09-23,14.78,14.8,14.35,14.78,18521533.0,2.9021,94.32689823
2025-09-24,14.65,15.09,14.38,15.08,30579495.0,4.7915,96.24151728
2025-09-25,15.17,15.17,14.89,14.9,13510982.999999998,2.117,95.09274585
