date,open,high,low,close,volume
2025-06-03,9.72,9.84,9.7,9.84,8005194.0
2025-06-04,9.82,9.88,9.74,9.87,8284412.0
2025-06-05,9.86,9.9,9.8,9.82,6673160.0
2025-06-06,9.82,9.88,9.81,9.84,4460429.0
2025-06-09,9.85,9.9,9.81,9.9,7229050.0
2025-06-10,9.89,9.93,9.71,9.88,17048773.0
2025-06-11,9.81,9.92,9.8,9.87,9992920.0
2025-06-12,9.87,9.88,9.75,9.81,7751088.0
2025-06-13,9.79,9.85,9.75,9.77,7350489.0
2025-06-16,9.76,9.87,9.72,9.85,9396900.0
2025-06-17,9.83,9.97,9.8,9.93,10674358.0
2025-06-18,9.93,9.98,9.84,9.85,7235810.0
2025-06-19,9.9,9.96,9.8,9.88,8920025.0
2025-06-20,9.88,9.98,9.88,9.96,9138955.0
2025-06-23,10.01,10.49,9.93,10.23,23988540.0
2025-06-24,10.12,10.31,10.06,10.25,16523283.0
2025-06-25,10.25,10.33,10.13,10.21,12318875.0
2025-06-26,10.19,10.19,10.07,10.09,10241003.0
2025-06-27,9.91,9.92,9.83,9.83,8922298.0
2025-06-30,9.83,9.9,9.76,9.87,9182009.0
2025-07-01,9.87,9.89,9.81,9.87,5616603.0
2025-07-02,9.84,9.89,9.83,9.88,5929072.0
2025-07-03,9.88,9.9,9.8,9.86,7032600.0
2025-07-04,9.85,9.92,9.82,9.87,8408230.0
2025-07-07,9.87,9.96,9.81,9.93,7867953.0
2025-07-08,9.93,9.94,9.83,9.91,7464303.0
2025-07-09,9.91,9.99,9.87,9.88,10207179.0
2025-07-10,9.87,9.91,9.84,9.9,6529630.0
2025-07-11,9.9,9.96,9.87,9.93,9075050.0
2025-07-14,9.93,9.96,9.89,9.92,8063780.0
2025-07-15,9.91,9.91,9.68,9.7,14474431.0
2025-07-16,9.71,9.85,9.69,9.82,9052751.0
2025-07-17,9.78,9.85,9.75,9.8,6519920.0
2025-07-18,9.78,9.83,9.78,9.81,4885490.0
2025-07-21,9.78,9.92,9.78,9.88,11931586.0
2025-07-22,9.89,9.94,9.81,9.93,11736253.0
2025-07-23,9.95,9.99,9.86,9.86,10908583.0
2025-07-24,9.86,9.99,9.82,9.98,12283152.0
2025-07-25,10.05,10.1,9.92,9.94,9537291.0
2025-07-28,9.95,9.98,9.87,9.89,9598500.0
2025-07-29,9.9,9.9,9.67,9.74,20710430.0
2025-07-30,9.72,9.99,9.71,9.89,19481253.0
2025-07-31,9.89,9.9,9.68,9.7,13886500.0
2025-08-01,9.7,9.8,9.69,9.71,6851500.0
2025-08-04,9.7,9.79,9.65,9.72,9766810.0
2025-08-05,9.72,9.81,9.7,9.79,8079018.0
2025-08-06,9.78,9.79,9.62,9.66,19702409.0
2025-08-07,9.66,9.83,9.65,9.76,19322343.0
2025-08-08,9.76,9.81,9.74,9.8,8937509.0
2025-08-11,9.81,9.81,9.7,9.76,12101684.0
2025-08-12,9.75,9.78,9.71,9.71,8277899.0
2025-08-13,9.73,9.75,9.68,9.7,9972550.0
2025-08-14,9.7,9.73,9.6,9.62,11848100.0
2025-08-15,9.62,9.66,9.58,9.64,11274135.0
2025-08-18,9.65,9.71,9.6,9.68,11299524.0
2025-08-19,9.69,9.72,9.66,9.68,8600030.0
2025-08-20,9.68,9.74,9.64,9.73,9851909.0
2025-08-21,9.74,9.79,9.71,9.77,14809691.0
2025-08-22,9.76,9.77,9.67,9.75,13186133.0
2025-08-25,9.75,9.87,9.73,9.87,20152160.0
