date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,26.8,27.04,26.53,26.8,752000.0,0.8144,24.74655479
2025-06-04,26.8,27.59,26.75,27.05,934450.0,1.012,24.97739952
2025-06-05,27.28,27.49,26.81,27.41,847225.0,0.9175,25.30981592
2025-06-06,27.46,27.46,26.93,27.29,872350.0,0.9447,25.19901045
2025-06-09,27.58,28.61,27.3,28.21,2124751.0,2.3011,26.04851905
2025-06-10,28.14,28.35,27.37,27.73,1361100.0,1.474,25.60529717
2025-06-11,27.8,28.23,27.66,27.75,1267500.0,1.3727,25.62376475
2025-06-12,27.75,28.08,27.57,27.97,921687.0000000001,0.9982,25.82690811
2025-06-13,27.71,27.86,27.01,27.14,1040351.0,1.1267,25.06050362
2025-06-16,27.08,27.84,26.88,27.7,1090825.0,1.1813,25.57759581
2025-06-17,27.7,28.06,27.47,27.77,1030625.0,1.1161,25.64223233
2025-06-18,27.64,28.1,27.41,28.1,1574238.0,1.7049,25.94694737
2025-06-19,28.12,28.39,27.33,27.46,1329000.0,1.4393,25.35598487
2025-06-20,27.47,27.98,27.12,27.55,1389038.0,1.5043,25.43908897
2025-06-23,27.32,27.8,27.21,27.78,853815.0,0.9247,25.65146612
2025-06-24,27.89,28.65,27.89,28.47,1744675.0,1.8894,26.28859757
2025-06-25,28.52,28.57,28.15,28.48,1583450.0,1.7148,26.29783136
2025-06-26,28.6,28.63,28.22,28.26,1594425.0,1.7267,26.094688
2025-06-27,28.48,29.16,28.28,28.7,2255362.0,2.4425,26.50097472
2025-06-30,28.7,29.4,28.5,29.07,1881838.0,2.038,26.84262491
2025-07-01,29.07,29.27,28.55,28.81,1348200.0,1.4601,26.602546399999998
2025-07-02,28.9,28.9,28.14,28.36,1181775.0,1.2798,26.187025889999997
2025-07-03,28.44,28.87,28.42,28.79,1056425.0,1.1441,26.584078820000002
2025-07-04,28.8,28.9,28.2,28.25,1322300.0,1.432,26.085454209999998
2025-07-07,28.32,28.57,27.98,28.45,724662.0,0.7848,26.270129989999997
2025-07-08,28.46,28.98,28.34,28.9,1692438.0,1.8329,26.6856505
2025-07-09,28.54,28.97,28.05,28.55,1676039.0,1.8151,26.36246788
2025-07-10,28.6,28.68,28.12,28.31,1273450.0,1.3791,26.14085694
2025-07-11,28.32,28.43,28.07,28.18,1200151.0,1.2997,26.02081768
2025-07-14,28.38,28.75,28.06,28.66,1304400.0,1.4126,26.46403956
2025-07-15,28.6,28.75,28.11,28.52,1050188.0,1.1373,26.334766509999998
2025-07-16,28.58,29.24,28.39,28.92,2384750.0,2.5826,26.704118079999997
2025-07-17,28.97,31.54,28.76,31.2,8418184.0,9.1167,28.809421990000004
2025-07-18,31.81,32.81,31.15,31.46,9200511.0,9.964,29.04950051
2025-07-21,31.48,34.93,30.58,33.61,12415205.0,13.4454,31.03476517
2025-07-22,33.29,33.85,32.71,33.0,6300975.0,6.8238,30.47150403
2025-07-23,33.0,35.01,32.67,34.47,8263724.000000001,8.9494,31.82887103
2025-07-24,34.01,36.69,33.67,36.13,8578574.0,9.2904,33.36168002
2025-07-25,36.16,36.36,35.14,35.79,5270444.0,5.7078,33.04773119
2025-07-28,35.63,35.96,34.0,35.15,5339442.0,5.7825,32.45676869
2025-07-29,35.08,35.78,34.45,35.56,3585549.0,3.8831,32.83535404
2025-07-30,35.67,36.8,35.1,35.45,4024251.9999999995,4.3582,32.73378236
2025-07-31,35.39,35.78,34.7,34.72,4253500.0,4.6065,32.059715759999996
2025-08-01,34.38,35.02,33.98,34.46,3762387.0000000005,4.0746,31.81963724
2025-08-04,34.66,35.61,33.92,35.61,4203356.0,4.5521,32.88152299
2025-08-05,36.0,42.73,35.62,42.73,21831684.0,23.6433,39.45598082
2025-08-06,40.96,44.43,40.59,43.19,19051912.0,20.6328,39.88073512
2025-08-07,42.75,42.75,39.8,41.19,13747253.0,14.888,38.0339773
2025-08-08,40.87,42.28,39.79,42.15,9840075.0,10.6566,38.92042106
2025-08-11,41.45,45.82,41.42,45.0,12117728.0,13.1232,41.55205095
2025-08-12,44.55,46.46,43.57,43.89,10451848.0,11.3191,40.52710036
2025-08-13,43.52,45.02,42.73,43.4,7100346.000000001,7.6895,40.07464469
2025-08-14,42.89,43.35,42.24,42.3,5102793.0,5.5262,39.05892789
2025-08-15,42.75,44.4,42.2,44.08,5892337.0,6.3813,40.702542349999995
2025-08-18,44.08,47.86,44.08,46.69,8191198.0,8.8709,43.112561310000004
2025-08-19,46.46,48.5,45.01,47.9,7346955.0,7.9566,44.22984979
2025-08-20,48.0,48.0,46.0,46.89,4933271.0,5.3426,43.297237089999996
2025-08-21,46.94,47.07,45.18,45.31,3620237.0000000005,3.9206,41.83829841
2025-08-22,44.88,45.78,44.11,45.47,4462250.0,4.7763,42.48042298
2025-08-25,46.7,49.5,45.77,47.9,8674597.0,9.2851,44.75065451
2025-08-26,47.88,48.0,45.0,45.4,10617505.0,11.3647,42.41502536
2025-08-27,45.44,46.4,43.21,44.42,8071500.999999999,8.6395,41.49945874
2025-08-28,44.01,45.08,42.75,44.19,4517500.0,4.8354,41.28458086
2025-08-29,44.2,44.45,42.8,43.13,4078875.0,4.3659,40.294274099999996
2025-09-01,44.0,45.28,43.4,44.6,5432312.0,5.8146,41.66762404
2025-09-02,44.59,44.77,41.9,42.21,4243184.0,4.5418,39.43476257
2025-09-03,42.98,43.52,41.43,41.6,2261938.0,2.4211,38.86486906
2025-09-04,41.79,43.18,40.0,40.92,2973038.0,3.1823,38.22957793
2025-09-05,40.9,41.7,40.7,41.44,2505950.0,2.6823,38.71538879
2025-09-08,41.48,42.0,40.8,41.54,3117903.0,3.3373,38.80881396
2025-09-09,41.31,41.59,40.23,40.78,2211650.0,2.3673,38.09878269
2025-09-10,40.76,41.7,40.13,40.5,2961950.0,3.1704,37.83719223
2025-09-11,40.76,44.3,39.88,42.94,5501150.0,5.8883,40.11676628
2025-09-12,42.9,43.76,42.31,42.81,3697625.0,3.9578,39.99531356
2025-09-15,42.72,44.5,42.6,43.93,3570186.0,3.8214,41.041675420000004
2025-09-16,43.87,43.98,42.1,43.1,2839925.0,3.0398,40.26624655
2025-09-17,43.15,44.56,42.99,44.49,3770825.0,4.0362,41.56485635
2025-09-18,44.8,44.98,43.15,43.67,3495700.0,3.7417,40.798769990000004
2025-09-19,44.08,44.93,42.71,42.8,2618350.0,2.8026,39.985971049999996
2025-09-22,42.95,43.41,42.5,43.2,1633550.0,1.7485,40.35967171
2025-09-23,43.19,43.31,40.56,41.3,2376050.0,2.5433,38.58459356
2025-09-24,41.42,41.68,40.6,41.36,2138237.0,2.2887,38.640648660000004
2025-09-25,41.44,41.82,40.9,41.38,2086425.0,2.2333,38.65933369
2025-09-26,41.45,41.45,39.9,39.9,1684425.9999999998,1.803,37.27664123
2025-09-29,40.0,40.3,38.69,38.83,2761375.0,2.9557,36.276991960000004
2025-09-30,39.02,39.74,38.6,38.68,2335225.0,2.4996,36.13685421
2025-10-09,38.86,39.46,38.0,38.55,2365550.0,2.532,36.01540149
2025-10-10,38.34,38.89,37.93,38.12,1827900.0,1.9565,35.61367328
2025-10-13,37.6,38.06,35.29,37.8,2145975.0,2.297,35.31471275
