date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,20.7,20.91,20.6,20.75,2565600.0,0.9112,58.42658197
2025-06-04,20.75,21.3,20.72,21.16,3317100.0,1.1781,59.58103491
2025-06-05,21.2,21.5,21.01,21.41,3416633.9999999995,1.2134,60.28496962999999
2025-06-06,21.42,21.42,20.84,21.05,2902196.0,1.0307,59.271303630000006
2025-06-09,21.0,21.1,20.84,20.95,2475301.0,0.8791,58.989729749999995
2025-06-10,20.95,21.09,20.51,20.75,2755700.0,0.9787,58.42658197
2025-06-11,20.77,21.01,20.68,20.83,1932600.0,0.6864,58.65184108
2025-06-12,20.73,20.95,20.63,20.67,2064700.9999999998,0.7333,58.201322860000005
2025-06-13,20.62,20.68,19.9,19.98,4904500.0,1.7418,56.25846302
2025-06-16,19.99,21.1,19.9,20.94,7238796.000000001,2.5708,58.961572360000005
2025-06-17,20.9,21.04,20.72,20.93,2763804.0,0.9816,58.933414969999994
2025-06-18,20.83,21.06,20.7,20.79,3211004.0,1.1404,58.53921152
2025-06-19,20.71,20.87,20.24,20.32,2797200.0,0.9934,57.21581424
2025-06-20,20.25,20.47,20.05,20.19,1710191.9999999998,0.6074,56.84976819
2025-06-23,20.06,20.58,19.95,20.52,3546800.0,1.2596,57.77896202
2025-06-24,20.61,20.97,20.42,20.86,2890542.0,1.0266,58.736313249999995
2025-06-25,20.93,21.05,20.71,20.96,3368700.0,1.1964,59.01788713
2025-06-26,20.91,21.39,20.9,21.02,4418800.0,1.5693,59.18683147
2025-06-27,21.03,21.17,20.9,21.0,2706700.0,0.9613,59.13051668999999
2025-06-30,21.03,21.37,20.93,21.36,3594400.0,1.2765,60.14418269
2025-07-01,21.36,21.41,20.98,21.4,3298301.0,1.1714,60.25681225
2025-07-02,21.31,21.38,20.9,21.0,2867700.0,1.0185,59.13051668999999
2025-07-03,21.0,21.25,20.99,21.07,1749950.0,0.6215,59.32761840999999
2025-07-04,20.98,21.08,20.72,20.75,2269300.0,0.8059,58.42658197
2025-07-07,20.75,20.85,20.62,20.7,1503700.0,0.534,58.285795019999995
2025-07-08,20.7,21.12,20.7,21.09,2788782.0,0.9904,59.38393319
2025-07-09,21.11,21.27,21.0,21.08,2559100.0,0.9089,59.3557758
2025-07-10,21.08,21.13,20.84,21.01,2128200.0,0.7558,59.158674080000004
2025-07-11,21.09,21.38,20.85,21.25,3795200.0,1.3479,59.83445141
2025-07-14,21.3,21.74,21.26,21.38,5477600.0,1.9454,60.20049747
2025-07-15,21.27,21.45,20.9,21.11,3181100.0,1.1298,59.44024797
2025-07-16,21.18,21.68,21.08,21.21,3650899.0,1.2966,59.721821860000006
2025-07-17,21.15,21.55,21.1,21.49,3635350.0,1.2911,60.510228749999996
2025-07-18,21.49,21.78,21.35,21.71,4098350.0,1.4555,61.1296913
2025-07-21,21.64,21.81,21.46,21.56,3899600.0,1.3849,60.707330469999995
2025-07-22,21.54,21.64,21.39,21.53,3170887.0,1.1261,60.6228583
2025-07-23,21.51,21.62,21.18,21.23,3475983.9999999995,1.2345,59.77813663
2025-07-24,21.21,21.39,21.2,21.33,3627000.0,1.2881,60.059710519999996
2025-07-25,21.27,21.68,21.25,21.65,4730104.0,1.6799,60.96074697
2025-07-28,21.74,21.79,21.48,21.61,4132980.0000000005,1.4678,60.84811740999999
2025-07-29,21.56,21.69,21.4,21.66,3531551.0,1.2542,60.98890436
2025-07-30,21.68,21.95,21.28,21.46,5056600.0,1.7958,60.42575658
2025-07-31,21.33,21.67,20.95,21.04,4593900.0,1.6315,59.24314625
2025-08-01,21.12,21.24,20.83,21.04,3244101.0,1.1521,59.24314625
2025-08-04,20.92,21.24,20.85,21.23,2743700.0,0.9744,59.77813663
2025-08-05,21.22,21.75,21.12,21.65,5427460.0,1.9275,60.96074697
2025-08-06,21.65,22.03,21.55,21.88,6007800.0,2.1336,61.60836691000001
2025-08-07,22.0,22.45,21.81,21.94,6575961.0,2.3354,61.777311250000004
2025-08-08,21.91,22.2,21.76,22.04,5267501.0,1.8707,62.05888514
2025-08-11,22.0,22.28,21.95,22.06,5168901.0,1.8357,62.11519991
2025-08-12,22.06,22.18,21.79,21.88,4581300.0,1.627,61.60836691000001
2025-08-13,21.86,22.08,21.74,21.88,3938800.0,1.3989,61.60836691000001
2025-08-14,21.89,21.89,21.18,21.21,6671187.0,2.3692,59.721821860000006
2025-08-15,21.19,21.58,21.17,21.55,4633200.0,1.6455,60.679173080000005
2025-08-18,21.6,21.95,21.55,21.82,5698318.0,2.0237,61.43942258
2025-08-19,21.9,22.07,21.62,21.88,5541443.0,1.968,61.60836691000001
2025-08-20,21.86,22.44,21.7,22.42,8441050.0,2.9978,63.12886591
2025-08-21,22.37,22.6,22.0,22.18,6585238.0,2.3387,62.453088580000006
2025-08-22,22.2,22.62,22.1,22.51,7873100.0,2.7961,63.382282409999995
2025-08-25,22.64,22.65,22.13,22.44,8756947.0,3.11,63.185180689999996
2025-08-26,22.35,22.95,22.31,22.73,9516608.0,3.3798,64.00174497
2025-08-27,22.8,23.05,22.17,22.2,9804602.0,3.4821,62.50940335999999
2025-08-28,22.29,22.99,22.14,22.99,9894760.0,3.5141,64.73383708
2025-08-29,23.56,23.7,23.02,23.3,15577946.0,5.5325,65.60671614
2025-09-01,23.1,23.39,22.9,23.11,8255723.0,2.932,65.07172575
2025-09-02,23.11,23.11,22.02,22.3,8957908.0,3.1814,62.79097725
2025-09-03,22.39,22.47,21.49,21.54,7307567.0,2.5953,60.651015689999994
2025-09-04,21.5,22.08,20.61,21.16,7406075.999999999,2.6302,59.58103491
2025-09-05,21.2,21.75,21.01,21.71,5613501.0,1.9936,61.1296913
2025-09-08,21.66,21.95,21.47,21.74,4514284.0,1.6032,61.21416347
2025-09-09,21.77,21.77,21.12,21.24,4122872.0,1.4642,59.806294019999996
2025-09-10,21.17,21.38,20.88,20.97,4159501.9999999995,1.4772,59.046044519999995
2025-09-11,20.9,23.07,20.72,23.07,14146707.0,5.0242,64.95909619
2025-09-12,23.08,24.86,22.98,23.85,29902425.0,10.6197,67.15537253000001
2025-09-15,23.85,23.98,23.32,23.54,12844408.0,4.5616,66.28249346999999
2025-09-16,23.54,23.68,23.27,23.55,9207977.0,3.2702,66.31065086
2025-09-17,23.65,24.0,23.35,23.55,9321233.0,3.3104,66.31065086
2025-09-18,23.53,23.84,22.75,23.15,12374750.0,4.3948,65.18435529999999
2025-09-19,23.13,23.98,23.13,23.88,15293639.000000002,5.4315,67.23984469
2025-09-22,23.83,25.66,23.3,25.41,28108913.0,9.9828,71.54792519
2025-09-23,24.58,24.88,23.88,24.25,17003815.0,6.0388,68.28166808
2025-09-24,23.95,24.78,23.75,24.75,14146741.0,5.0242,69.68953753
2025-09-25,24.75,24.75,24.1,24.1,9570451.0,3.3989,67.85930725
2025-09-26,23.88,25.59,23.3,24.7,18784132.0,6.6711,69.54875058
2025-09-29,24.45,24.68,24.0,24.03,10621855.0,3.7723,67.66220553
2025-09-30,24.59,24.59,23.67,23.85,8173272.0,2.9027,67.15537253000001
2025-10-09,23.56,23.87,23.37,23.45,8289864.999999999,2.9441,66.02907696999999
2025-10-10,23.33,23.69,23.07,23.68,8091200.999999999,2.8736,66.67669692000001
2025-10-13,22.73,23.36,22.51,23.22,5464081.0,1.9405,65.38145703
2025-10-14,23.25,23.42,22.42,22.47,6893061.0,2.448,63.269652859999994
2025-10-15,22.47,23.03,22.41,23.0,4838145.0,1.7183,64.76199447
2025-10-16,22.97,22.98,22.4,22.49,4461800.0,1.5846,63.32596764
2025-10-17,22.58,22.58,21.2,21.3,8100841.0,2.877,59.97523835999999
2025-10-20,21.48,21.75,21.34,21.41,3897747.0,1.3843,60.28496962999999
2025-10-21,21.43,21.95,21.42,21.9,4664761.0,1.6567,61.664681689999995
2025-10-22,21.78,22.24,21.67,22.05,3605687.9999999995,1.2805,62.087042520000004
2025-10-23,22.1,22.51,21.79,22.04,3932500.0,1.3966,62.05888514
2025-10-24,22.2,22.22,21.9,22.03,4161083.9999999995,1.4778,62.03072775
2025-10-27,22.14,22.3,21.92,22.07,5012104.0,1.78,62.1433573
2025-10-28,22.0,22.35,21.9,21.98,4773281.0,1.6952,61.889940800000005
2025-10-29,21.91,22.03,21.6,21.99,4463949.0,1.5854,61.91809819
2025-10-30,22.0,22.14,21.63,21.64,4359681.0,1.5483,60.932589580000005
2025-10-31,21.64,21.9,21.52,21.77,3463648.0000000005,1.2301,61.29863564000001
2025-11-03,21.66,21.92,21.55,21.89,3653724.0,1.2976,61.636524300000005
2025-11-04,21.89,22.1,21.61,21.8,3203496.0,1.1377,61.3831078
2025-11-05,21.58,21.83,21.54,21.76,3216544.0,1.1423,61.27047825
2025-11-06,21.65,21.84,21.63,21.75,3585876.9999999995,1.2735,61.24232086
2025-11-07,21.61,22.18,21.55,21.98,5137949.0,1.8247,61.889940800000005
2025-11-10,22.06,22.13,21.83,22.05,3880993.0,1.3783,62.087042520000004
2025-11-11,22.01,22.25,21.9,21.95,3395931.0,1.2061,61.80546864
2025-11-12,21.92,21.92,21.2,21.52,4841389.0,1.7194,60.59470091
2025-11-13,21.5,21.99,21.28,21.76,3893703.0,1.3828,61.27047825
2025-11-14,21.68,22.2,21.64,21.75,3806193.0,1.3518,61.24232086
