date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,13.52,13.59,13.47,13.48,10992563.0,0.5005,296.05477513
2025-06-04,13.49,14.63,13.49,14.41,40370188.0,1.8381,316.47991911
2025-06-05,14.33,15.52,14.14,15.03,54174681.00000001,2.4667,330.09668176
2025-06-06,14.72,15.0,14.45,14.65,26081773.0,1.1876,321.75092401
2025-06-09,14.79,14.83,14.5,14.6,21233553.0,0.9668,320.65279799
2025-06-10,14.6,14.69,13.93,14.07,26889265.000000004,1.2243,309.01266217
2025-06-11,14.09,14.58,14.09,14.46,17275110.0,0.7866,317.57804513
2025-06-12,14.38,14.78,14.29,14.31,14057800.0,0.6401,314.28366707000004
2025-06-13,14.27,14.4,13.85,13.88,16849712.0,0.7672,304.83978329
2025-06-16,13.82,14.11,13.8,13.93,13981159.0,0.6366,305.93790931
2025-06-17,14.05,14.41,13.97,14.06,17812438.0,0.811,308.79303696
2025-06-18,14.0,14.6,13.96,14.52,28548289.0,1.2999,318.89579635
2025-06-19,14.45,14.59,14.18,14.24,13271647.0,0.6043,312.74629064000004
2025-06-20,14.23,14.29,13.96,14.0,13809084.0,0.6288,307.47528574
2025-06-23,13.89,14.14,13.82,14.01,10891102.0,0.4959,307.69491094
2025-06-24,14.09,14.34,14.05,14.34,16252949.0,0.74,314.94254268
2025-06-25,14.4,14.57,14.25,14.53,18289480.0,0.8328,319.11542156
2025-06-26,14.56,14.61,14.35,14.38,14379041.0,0.6547,315.82104350000003
2025-06-27,14.42,14.73,14.29,14.49,18235693.0,0.8303,318.23692074
2025-06-30,14.57,14.67,14.4,14.63,14372762.0,0.6544,321.3116736
2025-07-01,14.64,14.65,14.39,14.55,15205229.999999998,0.6923,319.55467197
2025-07-02,14.47,14.52,14.21,14.31,13294100.0,0.6053,314.28679924
2025-07-03,14.36,15.03,14.31,14.85,30943166.0,1.4089,326.14667846
2025-07-04,14.76,14.78,14.48,14.5,15029100.0,0.6843,318.45971971
2025-07-07,14.44,14.54,14.21,14.26,14746407.0,0.6714,313.18866228
2025-07-08,14.27,14.73,14.26,14.55,21673870.0,0.9868,319.55785667
2025-07-09,14.53,14.61,14.33,14.38,13247140.0,0.6032,315.82419099
2025-07-10,14.34,14.49,14.25,14.36,12666154.0,0.5767,315.3849362
2025-07-11,14.34,14.46,14.29,14.38,13060684.0,0.5947,315.82419099
2025-07-14,14.33,14.4,14.26,14.26,16408544.0,0.7471,313.18866228
2025-07-15,14.27,14.49,14.17,14.36,14700679.0,0.6693,315.3849362
2025-07-16,14.37,14.48,14.27,14.32,11771249.0,0.536,314.50642663
2025-07-17,14.29,14.77,14.25,14.74,27614661.0,1.2573,323.73077713000004
2025-07-18,14.72,14.76,14.36,14.42,25292500.0,1.1516,316.70270056
2025-07-21,14.43,14.64,14.4,14.62,15245734.0,0.6942,321.09524842
2025-07-22,14.6,14.7,14.51,14.58,14020194.0,0.6384,320.21673885
2025-07-23,14.57,14.64,14.43,14.46,11773740.0,0.5361,317.58121013000004
2025-07-24,14.46,14.68,14.46,14.68,15024806.0,0.6841,322.41301278
2025-07-25,14.83,16.15,14.83,15.62,94789578.0,4.3159,343.05798771
2025-07-28,15.62,15.96,15.33,15.82,57818675.0,2.6326,347.45053557
2025-07-29,15.53,15.6,15.18,15.54,38562671.0,1.7558,341.30096856999995
2025-07-30,15.56,15.85,15.47,15.73,33612267.0,1.5304,345.47388903
2025-07-31,15.85,16.22,15.79,15.93,48783932.0,2.2212,349.86643689
2025-08-01,15.71,16.01,15.54,15.71,24556480.0,1.1181,345.03463424999995
2025-08-04,15.7,15.76,15.41,15.68,18981020.0,0.8642,344.37575207000003
2025-08-05,15.8,16.02,15.69,15.85,21327900.0,0.9711,348.10941775000003
2025-08-06,15.85,16.32,15.75,16.32,38644161.0,1.7595,358.43190521
2025-08-07,16.58,16.78,16.08,16.18,39372085.0,1.7927,355.35712171
2025-08-08,16.14,16.32,16.01,16.08,19484888.0,0.8872,353.16084778
2025-08-11,16.11,17.68,16.08,17.55,53100190.0,2.4177,385.44607454
2025-08-12,17.41,17.46,17.08,17.22,30919488.0,1.4078,378.19837057
2025-08-13,17.33,17.77,17.22,17.29,33912625.0,1.5441,379.73576232
