date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,33.77,33.98,33.35,33.74,579834.0,0.5594,34.974884
2025-06-04,33.98,34.14,33.66,33.91,574109.0,0.5538,35.151106
2025-06-05,33.78,35.09,33.73,34.72,1338681.0,1.2914,35.990752
2025-06-06,35.06,35.06,34.44,34.82,701344.0,0.6766,36.094412
2025-06-09,34.78,35.08,34.58,34.7,657061.0,0.6339,35.97002
2025-06-10,34.73,35.5,34.5,35.13,1503673.0,1.4506,36.415758000000004
2025-06-11,35.03,36.33,35.03,35.64,2185067.0,2.1079,36.944424
2025-06-12,35.8,36.09,35.26,35.62,1858274.0000000002,1.7927,36.923691999999996
2025-06-13,35.48,36.24,34.99,35.3,2288970.0,2.2082,36.59198
2025-06-16,35.0,35.9,34.86,35.35,1299852.0,1.254,36.643809999999995
2025-06-17,35.37,35.51,34.6,34.76,1140686.0,1.1004,36.032216
2025-06-18,34.68,34.95,34.26,34.63,686573.0,0.6623,35.897458
2025-06-19,34.88,35.16,33.99,34.14,987524.0,0.9527,35.389524
2025-06-20,33.94,34.59,33.87,34.02,784313.0,0.7566,35.265132
2025-06-23,33.94,34.25,33.7,34.19,695870.0,0.6713,35.441354
2025-06-24,34.49,35.16,34.29,35.08,937731.0,0.9046,36.363928
2025-06-25,35.08,35.75,35.08,35.45,1319369.0,1.2728,36.74747
2025-06-26,35.46,35.86,35.15,35.35,1163663.0,1.1226,36.643809999999995
2025-06-27,35.63,35.79,35.32,35.38,1395477.0,1.3462,36.674908
2025-06-30,35.84,36.19,35.41,35.95,1832480.0,1.7678,37.26577
2025-07-01,35.96,36.3,35.65,35.98,1385512.0,1.3366,37.296867999999996
2025-07-02,35.9,35.97,35.3,35.66,1240359.0,1.1966,36.965156
2025-07-03,35.67,36.46,35.42,36.21,1371029.0,1.3226,37.535286
2025-07-04,36.21,36.21,35.61,35.71,1251590.0,1.2074,37.016985999999996
2025-07-07,35.71,36.05,35.3,35.75,875921.9999999999,0.845,37.05845
2025-07-08,35.75,36.43,35.51,36.33,1344533.0,1.2971,37.659678
2025-07-09,38.77,40.96,37.46,40.18,8134407.000000001,7.8472,41.650588
2025-07-10,40.76,41.14,39.52,40.2,4411479.0,4.2557,41.67132
2025-07-11,40.66,40.95,39.5,40.09,3225024.0,3.1112,41.557294
2025-07-14,40.27,40.55,39.78,40.07,1538918.0,1.4846,41.536561999999996
2025-07-15,39.83,40.5,39.6,40.15,1854446.0,1.789,41.61949
2025-07-16,40.4,41.88,39.74,40.6,2151014.0,2.0751,42.08596
2025-07-17,40.64,42.17,40.4,41.99,2653515.0,2.5598,43.526834
2025-07-18,42.18,43.0,41.63,42.51,2350982.0,2.268,44.065866
2025-07-21,42.85,42.93,41.65,41.82,2448183.0,2.3617,43.350612
2025-07-22,41.82,41.97,40.56,40.71,2443292.0,2.357,42.199985999999996
2025-07-23,40.55,40.63,39.75,39.86,1819629.0,1.7554,41.318876
2025-07-24,39.77,40.45,39.71,40.09,1492770.0,1.4401,41.557294
2025-07-25,40.0,40.66,39.93,40.44,1769866.0,1.7074,41.920103999999995
2025-07-28,40.6,42.3,40.5,42.11,2311202.0,2.2296,43.651226
2025-07-29,41.9,42.35,41.4,42.2,1873983.0000000002,1.8078,43.74452
2025-07-30,42.1,42.34,40.8,41.08,2936909.0,2.8332,42.583528
2025-07-31,40.65,41.58,40.6,40.8,1788141.9999999998,1.725,42.293279999999996
2025-08-01,40.85,41.25,40.29,40.33,1480394.0,1.4281,41.806078
2025-08-04,40.11,42.0,40.11,41.67,1870534.9999999998,1.8045,43.195122
2025-08-05,41.99,43.45,41.97,42.57,2017841.9999999998,1.9466,44.128062
2025-08-06,42.7,43.19,42.43,43.0,1549613.0,1.4949,44.5738
2025-08-07,43.3,44.5,42.1,42.55,2907053.0,2.8044,44.10733
2025-08-08,42.31,43.0,41.75,42.66,1866321.0,1.8004,44.221356
2025-08-11,42.8,45.77,42.8,45.09,3408681.0,3.2883,46.740294
2025-08-12,44.8,45.07,44.01,44.57,2194184.0,2.1167,46.201262
2025-08-13,44.78,45.26,44.4,45.0,1771914.0,1.7094,46.647
2025-08-14,45.3,46.0,44.3,44.61,2592149.0,2.5006,46.242726
2025-08-15,44.5,45.5,44.42,45.2,2182296.0,2.1052,46.85432
2025-08-18,45.36,47.3,45.24,46.82,3600762.9999999995,3.4736,48.533612
2025-08-19,46.87,47.96,45.81,47.3,3756023.0000000005,3.6234,49.03118
2025-08-20,47.0,54.0,46.42,52.3,5917404.0,5.7085,54.214180000000006
2025-08-21,52.6,52.99,49.11,49.22,3961456.0,3.8216,51.021452000000004
2025-08-22,49.4,50.45,49.14,49.8,2934002.0,2.8304,51.622679999999995
2025-08-25,50.25,51.35,49.5,50.92,2816500.0,2.7171,52.783671999999996
2025-08-26,50.83,52.44,49.0,49.7,2777664.0,2.6796,51.519020000000005
2025-08-27,49.98,50.46,49.14,49.14,2049118.0,1.9768,50.938524
2025-08-28,48.5,50.25,48.1,49.5,2503295.0,2.4149,51.3117
2025-08-29,49.72,50.98,49.72,50.46,2113688.0,2.0391,52.306836
2025-09-01,51.26,53.52,51.26,52.35,2596718.0,2.505,54.266009999999994
2025-09-02,51.95,52.36,49.58,49.9,2358698.0,2.2754,51.72634
2025-09-03,49.9,50.09,48.33,48.49,1725793.0,1.6649,50.264734000000004
2025-09-04,48.76,49.8,47.16,48.05,2628737.0,2.5359,49.80863
2025-09-05,48.1,49.24,48.1,49.13,1543672.0,1.4892,50.928158
2025-09-08,49.29,49.87,49.0,49.84,1395084.0,1.3458,51.664144
2025-09-09,49.74,50.19,47.99,47.99,1851797.0,1.7864,49.746434
2025-09-10,48.19,48.85,47.55,48.5,1139314.0,1.0991,50.2751
2025-09-11,48.04,49.69,47.93,49.3,1904947.0,1.8377,51.10438
2025-09-12,49.37,50.28,49.06,49.76,1977089.0,1.9073,51.581216
2025-09-15,49.5,49.9,48.95,48.96,1456047.0,1.4046,50.751936
2025-09-16,49.5,54.0,49.5,54.0,4149128.0,4.0026,55.9764
2025-09-17,53.77,53.77,51.61,51.93,3824150.0,3.6891,53.830638
2025-09-18,52.44,55.45,52.0,52.87,3571314.0,3.4452,54.80504200000001
2025-09-19,53.16,55.95,53.1,55.23,3827044.0,3.6919,57.25141800000001
2025-09-22,56.25,56.3,54.0,54.99,2522243.0,2.4332,57.00263399999999
2025-09-23,54.76,54.76,50.81,52.4,3555083.0,3.4296,54.317840000000004
2025-09-24,51.75,52.09,50.82,51.61,2009207.0,1.9383,53.498926000000004
2025-09-25,51.79,53.19,50.02,50.04,2962198.0,2.8576,51.871464
2025-09-26,49.89,50.41,48.68,48.7,2835637.0,2.7355,50.48242
2025-09-29,50.0,51.56,49.59,50.11,2131594.0,2.0563,51.944026
2025-09-30,50.11,50.75,49.84,50.51,1936000.9999999998,1.8676,52.358666
2025-10-09,50.55,52.95,50.55,51.58,3276675.0,3.161,53.467828000000004
2025-10-10,51.59,51.59,49.52,49.95,2835581.0,2.7355,51.77817
2025-10-13,48.79,49.99,48.55,49.5,2939380.0,2.8356,51.3117
2025-10-14,49.82,50.25,46.48,46.52,3682882.0,3.5528,48.222632
2025-10-15,46.85,47.22,46.18,47.07,1831345.0,1.7667,48.792761999999996
2025-10-16,46.8,47.15,45.91,46.09,1293660.0,1.248,47.776894
2025-10-17,46.16,46.61,44.6,44.64,1857095.0,1.7915,46.273824
2025-10-20,44.95,45.85,44.95,45.33,1330303.0,1.2833,46.989078000000006
2025-10-21,45.5,45.9,45.2,45.55,1163364.0,1.1223,47.21713
2025-10-22,45.45,45.88,45.04,45.4,733271.0,0.7074,47.061640000000004
2025-10-23,45.63,45.63,44.53,45.25,944491.0,0.9111,46.90615
2025-10-24,45.4,46.8,45.4,46.67,1418695.0,1.3686,48.378122
