date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,12.04,12.58,11.92,12.46,7052860.000000001,2.8982,30.321754639999998
2025-06-04,12.41,13.8,12.31,13.35,18809500.0,7.7293,32.48759426
2025-06-05,13.37,13.49,12.89,13.02,13927360.0,5.7231,31.68453013
2025-06-06,13.02,13.02,12.35,12.42,9302800.0,3.8228,30.224413540000004
2025-06-09,12.39,13.36,12.36,12.67,10205300.0,4.1936,30.83279545
2025-06-10,12.67,12.92,12.47,12.61,8043500.0,3.3053,30.68678379
2025-06-11,12.6,12.78,12.38,12.47,5359900.0,2.2025,30.346089919999997
2025-06-12,12.4,13.06,12.35,12.75,9831700.0,4.0401,31.02747767
2025-06-13,12.61,12.65,12.0,12.06,7529800.0,3.0942,29.348343579999998
2025-06-16,12.03,12.37,12.03,12.29,5193700.0,2.1342,29.908054940000003
2025-06-17,12.52,13.17,12.23,12.29,5777000.0,2.3739,29.908054940000003
2025-06-18,12.32,12.37,11.94,12.02,4016900.0,1.6506,29.25100247
2025-06-19,12.0,12.09,11.6,11.66,4426300.0,1.8189,28.37493252
2025-06-20,11.6,11.85,11.59,11.63,2711200.0,1.1141,28.30192669
2025-06-23,11.6,11.9,11.5,11.87,3028400.0,1.2444,28.88597332
2025-06-24,11.91,12.11,11.91,12.06,2750400.0,1.1302,29.348343579999998
2025-06-25,12.2,13.02,11.93,12.88,19598396.0,8.0535,31.34383626
2025-06-26,12.7,12.88,12.33,12.47,14613300.0,6.005,30.346089919999997
2025-06-27,12.4,13.4,12.22,13.02,21253204.0,8.7335,31.68453013
2025-06-30,12.9,12.97,12.6,12.83,13308800.0,5.4689,31.22215988
2025-07-01,12.76,12.9,12.63,12.73,8076900.0,3.319,30.97880711
2025-07-02,12.6,12.69,12.41,12.57,7124900.0,2.9278,30.589442690000002
2025-07-03,12.49,12.7,12.49,12.61,5419800.0,2.2271,30.68678379
2025-07-04,12.64,12.74,12.4,12.43,5132400.0,2.109,30.248748810000002
2025-07-07,12.35,12.76,12.32,12.49,5353300.0,2.1998,30.39476047
2025-07-08,12.49,12.84,12.42,12.69,5836700.0,2.3985,30.881466009999997
2025-07-09,12.7,12.73,12.55,12.67,4733500.0,1.9451,30.83279545
2025-07-10,12.74,12.8,12.52,12.7,3949600.0,1.623,30.905801280000002
2025-07-11,12.71,12.78,12.51,12.66,4411600.0,1.8128,30.80846018
2025-07-14,12.68,12.81,12.57,12.68,3140800.0,1.2906,30.857130729999998
2025-07-15,12.67,12.67,12.24,12.38,4481134.0,1.8414,30.127072430000002
2025-07-16,12.33,12.53,12.33,12.5,3132734.0,1.2873,30.41909575
2025-07-17,12.53,12.83,12.5,12.75,5364834.0,2.2046,31.02747767
2025-07-18,12.78,12.87,12.56,12.72,3763100.0,1.5464,30.95447184
2025-07-21,12.7,13.08,12.58,13.03,7199500.0,2.9585,31.708865409999998
2025-07-22,12.98,13.0,12.74,12.88,5133000.0,2.1093,31.34383626
2025-07-23,12.83,13.05,12.73,12.9,4896000.0,2.0119,31.392506809999997
2025-07-24,12.88,13.1,12.85,13.01,4636534.0,1.9053,31.66019486
2025-07-25,13.0,13.19,12.9,12.97,4959800.0,2.0381,31.56285375
2025-07-28,12.91,13.17,12.91,12.98,4787900.0,1.9675,31.58718903
2025-07-29,12.98,13.1,12.77,13.04,5314700.0,2.1839,31.733200689999997
2025-07-30,12.99,13.3,12.91,13.13,6580100.0,2.7039,31.952218180000003
2025-07-31,13.05,13.35,13.0,13.08,7562600.0,3.1077,31.83054179
2025-08-01,13.04,13.49,13.03,13.29,8340200.0,3.4272,32.3415826
2025-08-04,13.26,13.35,12.9,13.35,6993455.0,2.8738,32.48759426
2025-08-05,13.3,13.56,13.2,13.54,10019900.0,4.1174,32.94996452
2025-08-06,13.49,13.62,13.18,13.32,8328500.0,3.4224,32.414588429999995
2025-08-07,13.05,13.35,13.01,13.23,7121600.0,2.9265,32.195570939999996
2025-08-08,13.17,13.27,13.0,13.21,5425700.0,2.2296,32.14690039
2025-08-11,13.06,13.48,13.06,13.48,5692274.0,2.3391,32.80395286
2025-08-12,13.47,13.58,13.27,13.33,4015500.0,1.6501,32.438923710000005
2025-08-13,13.36,13.47,13.11,13.2,4941500.0,2.0306,32.122565110000004
2025-08-14,13.2,13.27,12.78,12.81,4781678.0,1.9649,31.173489319999998
2025-08-15,12.82,12.97,12.76,12.88,3449200.0,1.4174,31.34383626
2025-08-18,12.88,13.04,12.78,12.85,4712078.0,1.9363,31.27083043
2025-08-19,12.85,13.15,12.81,13.07,5165900.0,2.1228,31.80620652
2025-08-20,13.03,13.03,12.79,13.01,4160100.0,1.7095,31.66019486
2025-08-21,12.99,13.11,12.89,12.98,4376678.0,1.7985,31.58718903
2025-08-22,12.95,13.0,12.7,12.83,4008100.0,1.647,31.22215988
2025-08-25,12.83,12.95,12.67,12.79,4493957.0,1.8467,31.12481877
2025-08-26,12.76,13.02,12.66,12.9,4862711.0,1.9982,31.392506809999997
2025-08-27,12.95,12.95,12.26,12.27,6389300.0,2.6255,29.85938439
2025-08-28,12.28,12.59,11.74,12.06,6644599.000000001,2.7304,29.348343579999998
2025-08-29,12.02,12.42,12.02,12.1,5543900.0,2.2781,29.44568469
2025-09-01,12.14,12.27,11.91,12.09,5336839.0,2.193,29.42134941
2025-09-02,12.17,12.19,11.83,11.97,4859900.0,1.9971,29.12932609
2025-09-03,12.0,12.08,11.59,11.66,3834500.0,1.5757,28.37493252
2025-09-04,11.75,11.95,11.59,11.79,3969500.0,1.6312,28.69129111
2025-09-05,11.73,11.85,11.6,11.8,4291100.0,1.7633,28.71562639
2025-09-08,11.9,11.98,11.77,11.9,3542300.0,1.4556,28.958979149999998
