date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,103.0,104.05,102.3,103.9,361607.0,2.8294,13.27878053
2025-06-04,103.98,106.86,103.48,106.1,603399.0,4.7213,13.55994817
2025-06-05,106.99,107.23,104.88,106.57,408819.0,3.1988,13.6200158
2025-06-06,106.88,106.88,104.86,105.13,230621.0,1.8045,13.4359788
2025-06-09,105.0,106.66,104.88,106.3,335979.0,2.6289,13.58550886
2025-06-10,106.5,106.7,101.02,102.6,751068.0,5.8767,13.11263602
2025-06-11,103.47,107.11,103.0,104.7,506938.0,3.9665,13.381023310000002
2025-06-12,103.89,106.75,103.88,106.75,389553.0,3.0481,13.643020420000001
2025-06-13,106.0,106.88,103.23,104.09,374567.0,2.9308,13.303063190000001
2025-06-16,103.97,116.04,103.31,114.13,1991168.0,15.5799,14.586210029999998
2025-06-17,112.6,113.88,108.22,109.1,1243650.0,9.731,13.94335858
2025-06-18,109.16,111.5,107.0,110.1,836126.0,6.5423,14.07116205
2025-06-19,84.18,85.73,81.37,81.98,1224274.0,7.3687,13.620526930000002
2025-06-20,82.09,82.24,75.48,76.1,1727847.0,10.3997,12.64359721
2025-06-23,75.11,76.9,74.72,76.29,892920.0000000001,5.3744,12.67516467
2025-06-24,76.6,79.79,76.07,79.5,1174946.0,7.0718,13.20848855
2025-06-25,80.0,80.3,78.45,80.05,708912.0,4.2668,13.29986803
2025-06-26,80.05,80.36,78.02,78.38,767480.0,4.6194,13.02240669
2025-06-27,78.38,80.49,77.86,79.75,621176.0,3.7388,13.250024669999998
2025-06-30,79.6,82.92,78.98,81.67,720268.0,4.3352,13.56902213
2025-07-01,81.6,81.67,80.2,80.6,579738.0,3.4894,13.391247510000001
2025-07-02,80.6,80.87,77.4,78.4,869560.0,5.2338,13.02572958
2025-07-03,78.1,79.78,78.1,79.75,525351.0,3.162,13.250024669999998
2025-07-04,79.85,82.35,78.13,82.05,1079236.0,6.4958,13.63215705
2025-07-07,82.0,98.27,81.3,93.38,4434536.0,26.6908,15.514574340000001
2025-07-08,93.36,99.87,93.36,94.9,3342398.0000000005,20.1174,15.767114000000001
2025-07-09,94.88,99.86,91.57,96.98,2797743.0,16.8392,16.11269458
2025-07-10,96.63,97.79,93.01,95.1,1290210.0,7.7656,15.8003429
2025-07-11,94.1,97.0,90.54,94.75,1514604.0,9.1162,15.74219232
2025-07-14,96.0,106.65,96.0,102.4,2205064.0,13.272,17.013197820000002
2025-07-15,99.99,101.17,95.0,98.67,2269513.0,12.8366,17.44485699
2025-07-16,98.65,102.88,98.0,102.04,1888168.0,10.6797,18.04067302
2025-07-17,101.13,102.0,96.03,97.79,1757846.0,9.9426,17.28927298
