序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000560,我爱我家,2026-09-08,2家机构买入，成功率27.92%,3.44,9.9042,-3538647.25999999,279170071.74,282708719.0,561878790.74,2179212480,-0.162381928907,25.783570711746,27.6488,8058847129.36,日涨幅偏离值达到7%的前5只证券,,,,
2,000560,我爱我家,2026-09-08,2家机构买入，成功率27.92%,3.44,9.9042,-3538647.25999999,279170071.74,282708719.0,561878790.74,2179212480,-0.162381928907,25.783570711746,27.6488,8058847129.36,日换手率达到20%的前5只证券,,,,
3,000582,北部湾港,2026-09-08,1家机构卖出，成功率43.84%,11.08,-8.2781,-16191646.38,61027357.47,77219003.85,138246361.32,1198509121,-1.350982324314,11.534861011709,4.9038,23897878310.84,日跌幅偏离值达到7%的前5只证券,,,,
4,000620,盈新发展,2026-09-08,普通席位买入，成功率50.13%,3.32,9.9338,423718411.12,558521078.9,134802667.78,693323746.68,1826275842,23.201227403631,37.963802112211,12.0827,15510206065.8,日涨幅偏离值达到7%的前5只证券,,,,
5,000833,粤桂股份,2026-09-08,1家机构买入，成功率43.49%,22.83,10.0241,144783819.4,262409774.58,117625955.18,380035729.76,900474662,16.078611149194,42.203933747111,8.8975,10358122865.16,日涨幅偏离值达到7%的前5只证券,,,,
6,000892,欢瑞世纪,2026-09-08,1家机构卖出，成功率20.37%,5.58,-4.7782,-10346585.5,170306013.0,180652598.5,350958611.5,1305483428,-0.792548206901,26.883421418659,32.8519,3966257326.32,日换手率达到20%的前5只证券,,,,
7,000978,桂林旅游,2026-09-08,2家机构买入，成功率50.55%,8.01,10.0275,50781554.25,114130347.1,63348792.85,177479139.95,816024781,6.22304070077,21.749234101997,5.458,3749653719.63,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
8,001366,播恩集团,2026-09-08,2家机构买入，成功率10.00%,16.38,3.6709,-73005331.85,46730119.0,119735450.85,166465569.85,573445820,-12.730990322678,29.028996993997,21.8664,2631938400.0,日振幅值达到15%的前5只证券,,,,
9,002297,博云新材,2026-09-08,2家机构买入，成功率21.36%,22.32,7.1017,-300829363.81,279963292.73,580792656.54,860755949.27,3526353871,-8.530889831675,24.40923346771,28.7984,12791699560.08,日换手率达到20%的前5只证券,,,,
10,002470,金正大,2026-09-08,1家机构买入，成功率43.30%,2.53,10.0,205389205.56,493784646.56,288395441.0,782180087.56,2048622526,10.025722306248,38.180781360792,10.1154,8312936537.51,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
11,002579,中京电子,2026-09-08,1家机构买入，成功率44.12%,17.06,9.9936,354246855.83,766832666.83,412585811.0,1179418477.83,3974074084,8.913946955751,29.677818100534,8.4683,9953456664.42,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
12,002743,ST富煌,2026-09-08,2家机构卖出，成功率34.48%,4.4,-10.0204,-10468238.4,34481418.6,44949657.0,79431075.6,340201943,-3.077066023694,23.348213387482,17.5417,1912112303.2,日跌幅偏离值达到7%的前5只证券,,,,
