date,open,high,low,close,volume
2026-03-20,41.6,41.7,39.75,39.8,21318546.0
2026-03-23,39.2,40.84,38.13,38.46,25675234.0
2026-03-24,39.2,39.3,37.4,38.75,22512903.0
2026-03-25,40.14,40.73,39.4,39.93,22279226.0
2026-03-26,40.91,42.14,39.33,41.84,61801183.0
2026-03-27,40.12,41.0,38.8,40.6,46241383.0
2026-03-30,39.32,43.2,39.32,42.67,55872130.0
2026-03-31,42.7,46.72,42.61,44.55,78225197.0
2026-04-01,44.6,44.94,42.0,42.8,53874619.0
2026-04-02,42.81,43.84,40.93,41.22,35079448.0
2026-04-03,42.01,45.34,41.98,45.34,63330111.0
2026-04-07,44.58,48.72,44.53,47.53,101456710.0
2026-04-08,46.67,51.09,46.55,49.07,89033663.0
2026-04-09,47.5,48.87,46.48,47.37,60853788.0
2026-04-10,47.6,47.98,45.51,45.53,56260948.0
2026-04-13,45.06,45.82,44.4,45.21,36826568.0
2026-04-14,45.55,49.01,43.9,48.02,72767481.0
2026-04-15,47.55,49.49,46.56,47.14,65695201.0
2026-04-16,47.49,50.0,46.56,49.38,66690023.0
2026-04-17,48.52,53.06,48.4,51.02,77837238.0
2026-04-20,50.36,55.0,50.2,52.88,78504891.0
2026-04-21,52.33,53.75,50.6,51.18,57104641.0
2026-04-22,50.19,52.85,49.01,52.13,54005975.0
2026-04-23,51.61,52.13,49.09,49.1,47157705.0
2026-04-24,48.5,48.67,45.0,45.62,49812489.0
2026-04-27,45.6,46.78,45.02,45.05,35121477.0
2026-04-28,44.65,44.89,41.69,42.27,41487146.0
2026-04-29,42.01,43.16,42.0,42.6,24124375.0
2026-04-30,42.61,44.08,41.9,43.66,33243344.0
2026-05-06,44.13,48.03,44.01,48.03,43765366.0
2026-05-07,48.79,51.75,47.68,51.45,73905631.0
2026-05-08,50.18,52.45,50.03,51.18,68760478.0
2026-05-11,52.2,54.4,50.35,53.01,71165225.0
2026-05-12,52.7,53.96,51.13,52.06,48653557.0
2026-05-13,51.66,54.2,51.06,52.55,57211382.0
2026-05-14,52.9,54.0,49.04,49.08,56455594.0
2026-05-15,49.9,50.1,47.69,48.37,41348694.0
2026-05-18,49.6,53.21,49.02,50.27,56558729.0
2026-05-19,50.36,50.85,47.5,48.33,40146322.0
2026-05-20,48.4,50.13,47.79,49.36,43966732.0
2026-05-21,49.94,49.99,46.0,46.59,40620668.0
2026-05-22,46.7,47.55,45.5,47.31,25653698.0
2026-05-25,48.29,49.0,46.5,48.4,36534039.0
2026-05-26,47.5,49.4,45.87,46.19,34728048.0
2026-05-27,47.02,47.8,44.32,45.47,30541343.0
2026-05-28,44.68,46.5,43.72,46.34,25615058.0
2026-05-29,45.51,45.8,41.71,41.71,35942227.0
