date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,52.5,52.5,51.02,51.27,6560889.0,1.9725,170.53369926
2025-06-04,51.0,51.65,51.0,51.35,3347721.0,1.0065,170.79979437
2025-06-05,51.31,51.8,51.2,51.54,3961187.0000000005,1.1909,171.43177024000002
2025-06-06,51.42,52.15,51.26,51.53,3596285.0,1.0812,171.39850835
2025-06-09,51.22,52.0,51.22,51.75,4001379.0,1.203,172.13026988
2025-06-10,51.7,51.95,51.0,51.47,4320600.0,1.299,171.19893702
2025-06-11,51.4,52.66,51.26,51.96,4914806.0,1.4776,172.82876953
2025-06-12,51.82,51.97,51.35,51.55,4155119.0,1.2492,171.46503212
2025-06-13,51.25,51.3,49.7,49.7,7502269.0,2.2555,165.31158286
2025-06-16,49.28,50.2,48.52,50.2,7394267.999999999,2.223,166.97467726
2025-06-17,49.89,50.5,49.65,49.65,4256147.0,1.2796,165.14527342
2025-06-18,50.5,51.36,50.3,50.3,7071678.0,2.1261,167.30729614
2025-06-19,49.4,49.98,49.13,49.15,5006631.0,1.5052,163.48217903
2025-06-20,49.21,50.66,49.21,49.91,7432712.0,2.2346,166.01008251
2025-06-23,49.19,49.36,48.25,48.98,5869800.0,1.7647,162.91672693
2025-06-24,49.06,49.4,49.0,49.26,5029500.0,1.5121,163.8480598
2025-06-25,49.39,49.99,48.73,49.99,8200075.0,2.4653,166.27617761
2025-06-26,50.0,50.39,49.65,49.69,6237598.0,1.8753,165.27832098000002
2025-06-27,49.68,50.03,49.61,49.67,4780304.0,1.4372,165.2117972
2025-06-30,49.5,52.8,49.46,51.4,13130137.0,3.9475,170.96610381
2025-07-01,50.8,50.88,50.31,50.42,6669450.999999999,2.0051,167.70643879
2025-07-02,50.45,52.15,50.33,51.4,9565320.0,2.8758,170.96610381
2025-07-03,51.01,52.56,51.01,51.62,8460183.0,2.5435,171.69786534
2025-07-04,51.63,52.0,50.82,50.85,5603135.0,1.6846,169.13669997
2025-07-07,50.9,51.09,50.52,50.85,3341753.0,1.0047,169.13669997
2025-07-08,50.7,51.55,50.69,51.5,5652056.0,1.6993,171.29872268999998
2025-07-09,51.55,52.38,51.36,51.49,7428974.000000001,2.2335,171.2654608
2025-07-10,51.25,52.5,51.2,52.14,7625737.0,2.2926,173.42748351
2025-07-11,52.14,52.79,51.75,52.26,8729752.0,2.6246,173.82662617
2025-07-14,51.89,52.19,51.61,51.92,4714698.0,1.4174,172.69572198
2025-07-15,51.74,51.74,50.66,50.92,6566912.0,1.9743,169.36953319
2025-07-16,50.88,52.52,50.8,52.17,9958949.0,2.9941,173.52726917
2025-07-17,51.96,52.72,51.85,52.2,6115558.0,1.8386,173.62705484
2025-07-18,52.2,53.43,52.2,52.52,8949496.0,2.6906,174.69143525
2025-07-21,52.52,52.76,52.22,52.76,4483839.0,1.348,175.48972056
2025-07-22,52.53,54.23,52.53,54.07,13058434.0,3.9259,179.84702787999998
2025-07-23,54.03,54.2,53.11,53.19,7805332.000000001,2.3466,176.91998174
2025-07-24,52.96,54.88,52.96,54.68,9318191.0,2.8015,181.87600304
2025-07-25,54.65,54.65,53.51,53.62,7903385.000000001,2.3761,178.35024292
2025-07-28,53.47,53.79,53.03,53.78,5130890.0,1.5426,178.88243313
2025-07-29,53.7,53.7,52.85,53.4,4904653.0,1.4746,177.61848139
2025-07-30,53.4,54.0,52.75,53.0,6569225.999999999,1.975,176.28800587
2025-07-31,52.87,52.87,51.75,51.84,6342753.0,1.9069,172.42962687
2025-08-01,51.83,52.2,51.83,52.02,2775523.0,0.8344,173.02834086
2025-08-04,51.74,51.89,51.4,51.82,3021345.0,0.9084,172.3631031
2025-08-05,51.89,52.32,51.89,52.3,3318754.0,0.9978,173.95967372
2025-08-06,52.33,52.85,51.91,52.42,3584415.0,1.0776,174.35881637
2025-08-07,52.11,52.77,52.11,52.18,3794783.0,1.1409,173.56053106
2025-08-08,52.15,52.3,51.5,51.5,3553390.0,1.0683,171.29872268999998
2025-08-11,51.5,53.63,51.5,53.26,10352667.0,3.1125,177.15281496
2025-08-12,53.08,54.85,53.07,53.5,10235347.0,3.0772,177.95110027
2025-08-13,53.22,53.87,52.94,53.61,6014249.0,1.8082,178.31698103
2025-08-14,53.6,54.72,53.41,53.58,9832476.0,2.9561,178.21719536999998
2025-08-15,53.2,54.44,53.13,54.02,9992911.0,3.0043,179.68071844
2025-08-18,54.1,54.99,54.03,54.44,10774163.0,3.2392,181.07771773000002
2025-08-19,54.23,59.36,54.22,57.84,30322136.0,9.1162,192.38675960999998
2025-08-20,57.0,63.6,56.68,62.7,37841138.0,11.3767,208.55203713
2025-08-21,62.68,62.68,59.2,59.3,26106630.0,7.8488,197.24299524999998
2025-08-22,59.18,61.15,58.78,60.91,18663027.0,5.6109,202.5981592
2025-08-25,62.5,67.0,62.5,67.0,21079084.0,6.3373,222.85464893
2025-08-26,68.8,69.98,66.01,67.4,34317755.0,10.3174,224.18512445
2025-08-27,66.5,67.94,64.89,64.9,23628895.0,7.1039,215.86965247
2025-08-28,64.3,66.45,62.87,64.5,19169231.0,5.7631,214.53917696000002
2025-08-29,65.8,69.0,65.79,68.38,30508075.0,9.1721,227.44478946
2025-09-01,67.0,71.2,66.99,69.35,27656824.0,8.3149,230.67119259
2025-09-02,68.5,69.93,66.7,67.16,17065497.0,5.1306,223.38683914
2025-09-03,68.0,70.15,66.72,67.25,18123840.0,5.4488,223.68619613
2025-09-04,66.72,67.0,64.68,65.78,14886639.000000002,4.4756,218.79669861
2025-09-05,65.99,67.06,64.5,66.56,11567566.0,3.4777,221.39112586
2025-09-08,66.36,69.15,66.34,68.06,15966357.0,4.8002,226.38040905
2025-09-09,67.6,67.84,66.4,67.83,9967525.0,2.9967,225.61538563000002
2025-09-10,67.41,68.98,65.8,66.68,12056860.0,3.6248,221.79026852
2025-09-11,66.01,68.36,66.01,68.26,15668104.999999998,4.7105,227.04564681000002
2025-09-12,68.19,70.31,66.05,66.15,18737403.0,5.6333,220.02738846
2025-09-15,65.9,67.85,65.23,67.19,12495586.0,3.7567,223.48662480000002
2025-09-16,67.11,68.97,66.42,68.55,13725924.0,4.1266,228.01024155000002
2025-09-17,68.5,68.5,66.33,66.57,11913199.0,3.5816,221.42438775
2025-09-18,66.58,66.99,63.76,64.22,13836340.0,4.1598,213.60784409
2025-09-19,63.97,65.95,63.27,65.5,10351839.0,3.1122,217.86536575000002
2025-09-22,64.96,64.96,63.01,63.25,9151513.0,2.7514,210.38144097000003
2025-09-23,63.0,63.52,61.36,62.05,9358453.0,2.8136,206.39001442
2025-09-24,62.06,62.73,61.75,62.34,5916583.0,1.7788,207.35460917
2025-09-25,62.52,62.7,61.39,61.57,6203433.0,1.865,204.7934438
2025-09-26,61.6,62.02,60.29,60.3,9146031.0,2.7497,200.56918404
2025-09-29,61.0,61.77,59.62,61.53,8709136.0,2.6184,204.66039625
2025-09-30,60.99,61.32,60.3,60.31,6899730.0,2.0744,200.60244591999998
2025-10-09,60.49,60.5,58.53,59.44,8964943.0,2.6953,197.70866168
2025-10-10,59.42,60.18,58.92,58.97,6481070.0,1.9485,196.14535295
2025-10-13,57.96,58.3,57.5,58.2,6120129.0,1.84,193.58418758
2025-10-14,58.5,62.57,58.4,61.85,17958856.0,5.3992,205.72477666
2025-10-15,61.0,62.62,60.51,61.9,12408330.0,3.7305,205.8910861
