date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.18,3.27,3.15,3.26,14863800.0,1.861,26.03745785
2025-06-04,3.25,3.3,3.24,3.29,10800002.0,1.3522,26.277066360000003
2025-06-05,3.31,3.31,3.25,3.29,10411704.0,1.3036,26.277066360000003
2025-06-06,3.27,3.35,3.27,3.34,15218401.999999998,1.9054,26.67641387
2025-06-09,3.32,3.34,3.29,3.33,13165800.0,1.6484,26.59654437
2025-06-10,3.34,3.35,3.25,3.3,12794680.0,1.6019,26.356935859999997
2025-06-11,3.28,3.34,3.28,3.3,9496750.0,1.189,26.356935859999997
2025-06-12,3.29,3.33,3.26,3.32,14410809.0,1.8043,26.51667486
2025-06-13,3.32,3.45,3.3,3.35,28461800.0,3.5635,26.756283370000002
2025-06-16,3.34,3.45,3.33,3.39,30147600.0,3.7746,27.07576138
2025-06-17,3.36,3.55,3.36,3.48,45793481.0,5.7335,27.794586900000002
2025-06-18,3.47,3.69,3.41,3.46,61510011.0,7.7013,27.6348479
2025-06-19,3.45,3.6,3.37,3.54,61265213.0,7.6707,28.27380392
2025-06-20,3.49,3.54,3.33,3.33,40506967.0,5.0716,26.59654437
2025-06-23,3.3,3.49,3.27,3.42,30452200.0,3.8127,27.315369890000003
2025-06-24,3.39,3.41,3.25,3.37,31908601.0,3.9951,26.916022379999998
2025-06-25,3.37,3.48,3.32,3.39,24650200.0,3.0863,27.07576138
2025-06-26,3.38,3.69,3.38,3.48,40299000.0,5.0456,27.794586900000002
2025-06-27,3.48,3.5,3.4,3.41,25576900.0,3.2023,27.235500390000002
2025-06-30,3.44,3.45,3.37,3.41,19597900.0,2.4537,27.235500390000002
2025-07-01,3.4,3.44,3.34,3.39,21005550.0,2.63,27.07576138
2025-07-02,3.36,3.4,3.35,3.39,16475099.0,2.0628,27.07576138
2025-07-03,3.39,3.39,3.33,3.37,18539400.0,2.3212,26.916022379999998
2025-07-04,3.37,3.71,3.35,3.71,111799938.99999999,13.9978,29.631585460000004
2025-07-07,3.63,3.96,3.6,3.8,162813743.0,20.385,30.350410989999997
2025-07-08,3.72,3.85,3.63,3.8,90517144.0,11.3331,30.350410989999997
2025-07-09,3.76,3.82,3.7,3.72,63599041.0,7.9629,29.71145497
2025-07-10,3.71,3.72,3.63,3.66,50676684.0,6.3449,29.23223795
2025-07-11,3.65,3.69,3.56,3.66,52870200.0,6.6196,29.23223795
2025-07-14,3.65,3.7,3.63,3.66,34893500.0,4.3688,29.23223795
2025-07-15,3.68,3.68,3.49,3.54,42164299.0,5.2791,28.27380392
2025-07-16,3.54,3.57,3.48,3.5,26558300.0,3.3252,27.95432591
2025-07-17,3.5,3.59,3.47,3.58,28464800.0,3.5639,28.593281929999996
2025-07-18,3.58,3.59,3.53,3.57,17563400.0,2.199,28.513412430000002
2025-07-21,3.58,3.73,3.56,3.65,36147877.0,4.5259,29.152368449999997
2025-07-22,3.65,3.74,3.59,3.69,37917586.0,4.7474,29.471846460000002
2025-07-23,3.69,4.06,3.64,3.85,118251246.0,14.8056,30.749758500000002
2025-07-24,3.8,3.89,3.73,3.81,75481354.0,9.4506,30.430280489999998
2025-07-25,3.82,3.83,3.67,3.68,40649100.0,5.0894,29.39197696
2025-07-28,3.67,3.7,3.65,3.68,23777500.0,2.977,29.39197696
2025-07-29,3.67,3.68,3.56,3.61,25977100.0,3.2524,28.83289044
2025-07-30,3.6,3.77,3.6,3.75,53631843.99999999,6.7149,29.95106348
2025-07-31,3.71,3.74,3.59,3.62,33893700.0,4.2436,28.91275994
2025-08-01,3.61,3.75,3.59,3.66,24035550.0,3.0094,29.23223795
2025-08-04,3.62,3.9,3.61,3.79,44735550.0,5.6011,30.270541489999996
2025-08-05,3.79,3.84,3.76,3.79,27384542.0,3.4287,30.270541489999996
2025-08-06,3.79,3.81,3.73,3.76,19874980.0,2.4884,30.03093298
2025-08-07,3.76,3.8,3.72,3.76,23161380.0,2.8999,30.03093298
2025-08-08,3.9,4.05,3.82,3.84,54207411.0,6.787,30.669889
2025-08-11,3.77,3.86,3.76,3.82,30232400.0,3.7852,30.51014999
2025-08-12,3.81,3.82,3.74,3.77,20880675.0,2.6143,30.11080248
2025-08-13,3.78,3.85,3.76,3.79,23759601.0,2.9748,30.270541489999996
2025-08-14,3.81,3.81,3.67,3.68,27118100.0,3.3953,29.39197696
2025-08-15,3.68,3.72,3.66,3.7,15912810.999999998,1.9924,29.551715960000003
2025-08-18,3.72,3.75,3.7,3.72,18101161.0,2.2663,29.71145497
2025-08-19,3.74,3.75,3.68,3.74,22641100.0,2.8348,29.87119397
2025-08-20,3.73,3.79,3.71,3.79,22546600.0,2.8229,30.270541489999996
2025-08-21,3.84,3.85,3.78,3.82,29188563.0,3.6545,30.51014999
2025-08-22,3.79,3.8,3.69,3.74,35893802.0,4.4941,29.87119397
2025-08-25,3.75,3.77,3.7,3.74,20004823.0,2.5047,29.87119397
2025-08-26,3.72,3.76,3.69,3.73,17566713.0,2.1994,29.79132447
2025-08-27,3.73,3.74,3.59,3.59,31609400.0,3.9576,28.673151429999997
2025-08-28,3.58,3.62,3.44,3.56,25799100.0,3.2302,28.43354293
2025-08-29,3.54,3.57,3.52,3.55,11635042.0,1.4568,28.35367342
2025-09-01,3.55,3.61,3.51,3.6,12468201.0,1.5611,28.75302094
2025-09-02,3.6,3.6,3.53,3.6,13169501.0,1.6489,28.75302094
2025-09-03,3.62,3.62,3.49,3.5,10206400.0,1.2779,27.95432591
2025-09-04,3.47,3.56,3.47,3.52,9301700.0,1.1646,28.114064919999997
2025-09-05,3.52,3.54,3.49,3.53,7552427.0,0.9456,28.193934419999998
2025-09-08,3.55,3.6,3.54,3.6,9750550.0,1.2208,28.75302094
2025-09-09,3.6,3.63,3.57,3.59,10155700.0,1.2715,28.673151429999997
2025-09-10,3.58,3.61,3.57,3.59,9110128.0,1.1406,28.673151429999997
2025-09-11,3.59,3.64,3.56,3.64,13275335.0,1.6621,29.072498950000004
2025-09-12,3.63,3.64,3.61,3.62,11139835.0,1.3948,28.91275994
2025-09-15,3.62,3.63,3.58,3.61,7602800.0,0.9519,28.83289044
2025-09-16,3.61,3.67,3.6,3.67,14172800.0,1.7745,29.31210745
2025-09-17,3.66,3.78,3.64,3.72,26511400.0,3.3193,29.71145497
2025-09-18,3.71,3.74,3.62,3.67,20877515.0,2.614,29.31210745
2025-09-19,3.66,3.67,3.57,3.6,11973915.0,1.4992,28.75302094
2025-09-22,3.61,3.61,3.55,3.57,8221300.0,1.0293,28.513412430000002
2025-09-23,3.59,3.59,3.45,3.47,12379900.0,1.55,27.7147174
2025-09-24,3.48,3.56,3.47,3.55,7941302.0,0.9943,28.35367342
2025-09-25,3.55,3.55,3.49,3.54,6483700.0,0.8118,28.27380392
2025-09-26,3.53,3.64,3.5,3.6,12651503.0,1.584,28.75302094
2025-09-29,3.6,3.65,3.56,3.63,8877100.0,1.1115,28.99262944
2025-09-30,3.63,3.65,3.61,3.64,8357320.0,1.0464,29.072498950000004
2025-10-09,3.64,3.66,3.59,3.61,9051551.0,1.1333,28.83289044
2025-10-10,3.61,3.72,3.6,3.69,20395151.0,2.5536,29.471846460000002
2025-10-13,3.61,3.72,3.58,3.72,16874333.0,2.1127,29.71145497
2025-10-14,3.73,3.74,3.69,3.72,13944126.0,1.7459,29.71145497
2025-10-15,3.72,3.76,3.71,3.74,15725666.0,1.9689,29.87119397
2025-10-16,3.74,3.76,3.7,3.72,12368100.0,1.5485,29.71145497
2025-10-17,3.72,3.74,3.66,3.68,11388900.0,1.4259,29.39197696
2025-10-20,3.68,3.73,3.67,3.73,11586400.0,1.4507,29.79132447
2025-10-21,3.73,3.78,3.71,3.78,14055300.0,1.7598,30.19067198
2025-10-22,3.77,3.81,3.75,3.8,13081002.0,1.6378,30.350410989999997
2025-10-23,3.82,3.86,3.79,3.85,17130800.0,2.1448,30.749758500000002
2025-10-24,3.85,3.87,3.77,3.78,14127101.0,1.7688,30.19067198
2025-10-27,3.8,3.83,3.75,3.78,13250842.000000002,1.6591,30.19067198
2025-10-28,3.79,3.81,3.76,3.78,8470700.0,1.0606,30.19067198
2025-10-29,3.76,3.76,3.71,3.75,14217000.0,1.78,29.95106348
2025-10-30,3.76,3.77,3.71,3.73,7332400.0,0.918,29.79132447
2025-10-31,3.73,3.77,3.73,3.74,7396700.999999999,0.9261,29.87119397
2025-11-03,3.74,3.82,3.74,3.81,13896171.0,1.7399,30.430280489999998
2025-11-04,3.79,3.83,3.78,3.81,10636199.0,1.3317,30.430280489999998
2025-11-05,3.78,3.87,3.77,3.85,12375401.0,1.5495,30.749758500000002
2025-11-06,3.86,3.89,3.82,3.88,9737371.0,1.2192,30.98936701
2025-11-07,3.89,3.96,3.86,3.95,16288501.0,2.0394,31.54845353
2025-11-10,3.95,4.35,3.95,4.35,85927791.0,10.7585,34.743233630000006
2025-11-11,4.37,4.44,4.26,4.32,101610542.0,12.7221,34.50362512
2025-11-12,4.34,4.36,4.25,4.29,44665215.0,5.5923,34.26401662
2025-11-13,4.32,4.58,4.28,4.47,84416387.0,10.5693,35.70166766
2025-11-14,4.45,4.64,4.43,4.52,66907205.00000001,8.3771,36.10101518
2025-11-17,4.52,4.57,4.4,4.52,39501805.0,4.9458,36.10101518
2025-11-18,4.51,4.51,4.27,4.3,32999501.0,4.1317,34.34388612
2025-11-19,4.27,4.32,4.17,4.21,22427599.0,2.808,33.625060590000004
2025-11-20,4.21,4.23,4.1,4.14,17612766.0,2.2052,33.065974080000004
2025-11-21,4.1,4.13,3.79,3.8,35558822.0,4.4521,30.350410989999997
2025-11-24,3.89,3.92,3.8,3.89,22726499.0,2.8455,31.06923651
2025-11-25,3.88,3.99,3.88,3.9,14882199.0,1.8633,31.14910601
2025-11-26,3.92,3.96,3.87,3.88,11306800.0,1.4157,30.98936701
2025-11-27,3.89,3.95,3.85,3.91,12909500.0,1.6163,31.228975520000002
2025-11-28,3.93,4.0,3.89,3.98,13497300.0,1.6899,31.788062030000003
2025-12-01,3.99,4.28,3.98,4.1,27748415.000000004,3.4742,32.74649607
2025-12-02,4.11,4.23,4.03,4.18,29097030.0,3.6431,33.38545209
2025-12-03,4.18,4.2,4.09,4.2,20253800.0,2.5359,33.54519109
2025-12-04,4.17,4.18,4.04,4.05,14799079.999999998,1.8529,32.34714855
2025-12-05,4.02,4.15,4.02,4.12,11490900.0,1.4387,32.90623507
2025-12-08,4.17,4.18,4.03,4.1,12575400.0,1.5745,32.74649607
2025-12-09,4.11,4.13,4.01,4.03,12201100.0,1.5276,32.18740955
2025-12-10,4.02,4.06,3.98,3.98,9947100.0,1.2454,31.788062030000003
2025-12-11,4.0,4.0,3.86,3.86,14325300.0,1.7936,30.829628000000003
2025-12-12,3.85,3.9,3.82,3.83,9706900.0,1.2153,30.5900195
2025-12-15,3.83,3.91,3.8,3.88,10555600.0,1.3216,30.98936701
2025-12-16,3.88,3.88,3.76,3.77,10119400.0,1.267,30.11080248
2025-12-17,3.8,3.81,3.69,3.73,12385600.0,1.5507,29.79132447
