date,open,high,low,close,volume
2025-06-03,9.99,10.06,9.86,9.94,1485236.0
2025-06-04,9.88,10.04,9.81,9.85,1175928.0
2025-06-05,9.86,10.08,9.86,10.06,1565306.0
2025-06-06,10.08,10.2,9.98,10.17,2395662.0
2025-06-09,10.23,10.35,10.1,10.32,2570108.0
2025-06-10,10.34,10.39,9.99,9.99,3605073.0
2025-06-11,10.11,10.14,9.99,10.01,1775573.0
2025-06-12,10.21,12.01,9.96,12.01,14738002.0
2025-06-13,12.88,13.58,11.58,12.23,24895424.0
2025-06-16,11.66,12.8,11.45,12.43,14893808.0
2025-06-17,12.19,12.4,11.72,11.9,9853930.0
2025-06-18,11.95,13.45,11.85,12.83,14657218.0
2025-06-19,12.62,13.26,12.4,13.1,10467309.0
2025-06-20,12.8,12.88,12.1,12.12,7034170.0
2025-06-23,12.32,13.25,12.25,12.97,9156496.0
2025-06-24,12.65,13.04,12.62,12.8,7210482.0
2025-06-25,12.8,14.45,12.67,14.13,13162772.0
2025-06-26,14.37,14.37,13.34,13.69,10157470.0
2025-06-27,13.52,13.84,13.21,13.23,5878248.0
2025-06-30,13.21,13.4,13.1,13.3,5219867.0
2025-07-01,13.29,13.31,12.58,12.93,6346679.0
2025-07-02,12.81,13.3,12.81,13.01,3980167.0
2025-07-03,12.98,13.3,12.81,12.85,4477280.0
2025-07-04,12.91,12.91,12.54,12.58,3393540.0
2025-07-07,12.45,12.78,12.45,12.69,2185146.0
2025-07-08,12.69,12.79,12.59,12.7,1902416.0
2025-07-09,12.71,12.83,12.51,12.56,1934677.0
2025-07-10,12.55,12.65,12.36,12.52,1905345.0
2025-07-11,12.43,12.63,12.42,12.61,1808795.0
2025-07-14,12.59,12.92,12.5,12.88,3095932.0
2025-07-15,12.76,13.09,12.65,12.84,2803763.0
2025-07-16,12.88,12.94,12.61,12.64,2185581.0
2025-07-17,12.64,13.07,12.62,13.02,3218259.0
2025-07-18,13.09,14.12,13.09,13.98,7846614.0
2025-07-21,14.04,14.55,13.73,14.34,5976356.0
2025-07-22,14.3,14.5,14.0,14.07,5181211.0
2025-07-23,14.06,15.47,13.91,15.08,7984463.0
2025-07-24,15.1,16.25,14.4,14.52,8853135.0
2025-07-25,14.43,15.0,14.4,14.87,5845209.0
2025-07-28,14.8,15.26,14.8,15.0,2998700.0
2025-07-29,14.94,15.33,14.86,15.21,3693112.0
2025-07-30,15.15,15.31,14.68,14.78,4216782.0
2025-07-31,14.82,15.08,14.39,14.45,4204794.0
2025-08-01,14.49,15.28,14.45,15.03,6080517.0
2025-08-04,14.98,15.46,14.91,15.44,3271904.0
2025-08-05,15.42,15.66,15.21,15.25,2905746.0
2025-08-06,15.29,15.46,15.14,15.38,2572660.0
2025-08-07,15.45,15.74,15.2,15.32,2502004.0
2025-08-08,15.2,15.34,14.9,14.95,2978023.0
2025-08-11,14.94,15.34,14.92,15.26,3018300.0
2025-08-12,15.1,15.35,14.96,15.0,2224531.0
2025-08-13,15.02,16.44,14.98,16.35,7179581.0
2025-08-14,16.03,17.0,16.03,16.18,6533655.0
2025-08-15,16.1,18.14,16.1,18.12,10144869.0
2025-08-18,18.48,18.88,16.7,17.5,12271923.0
2025-08-19,17.15,18.78,17.13,18.0,9637434.0
2025-08-20,17.78,19.45,16.76,19.28,12820186.0
2025-08-21,19.0,19.01,17.4,17.96,10425129.0
2025-08-22,17.94,18.75,17.71,18.1,8287954.0
2025-08-25,18.19,19.35,18.19,18.75,8899919.0
2025-08-26,18.93,18.93,18.1,18.11,5352966.0
2025-08-27,18.7,19.12,17.65,17.7,7350889.0
2025-08-28,17.64,17.66,16.36,16.91,8021492.0
2025-08-29,17.0,17.88,16.76,17.55,6303958.0
2025-09-01,17.35,17.68,17.05,17.38,4668821.0
2025-09-02,17.37,17.37,16.35,17.1,4458482.0
2025-09-03,17.11,17.27,16.33,16.37,2891591.0
