date,open,high,low,close,volume
2025-06-03,12.87,13.07,12.85,13.04,1555840.0
2025-06-04,13.05,13.07,12.88,12.95,1942520.0
2025-06-05,12.96,12.99,12.83,12.88,1506351.0
2025-06-06,12.93,13.13,12.78,13.05,2230580.0
2025-06-09,13.04,13.37,13.01,13.33,2982330.0
2025-06-10,13.33,13.58,13.06,13.17,3578740.0
2025-06-11,13.17,13.8,13.17,13.46,4152560.0
2025-06-12,13.41,13.65,13.3,13.45,3282400.0
2025-06-13,13.43,13.45,13.16,13.22,2577480.0
2025-06-16,13.17,13.38,13.13,13.21,2021530.0
2025-06-17,13.24,13.29,12.92,13.0,2540840.0
2025-06-18,12.94,13.1,12.84,12.93,1728180.0
2025-06-19,12.97,12.99,12.66,12.66,2137060.0
2025-06-20,12.64,12.93,12.42,12.62,1845300.0
2025-06-23,12.62,12.9,12.46,12.87,2135560.0
2025-06-24,12.88,13.24,12.84,13.23,2675976.0
2025-06-25,13.26,13.47,13.12,13.31,2772440.0
2025-06-26,13.37,13.37,13.13,13.19,2037180.0
2025-06-27,13.31,13.37,13.21,13.31,2247700.0
2025-06-30,13.36,13.49,13.3,13.49,2989940.0
2025-07-01,13.41,13.6,13.36,13.58,3076880.0
2025-07-02,13.56,13.58,13.32,13.45,2660000.0
2025-07-03,13.45,13.57,13.31,13.46,2186764.0
2025-07-04,11.26,11.28,11.01,11.07,3597986.0
2025-07-07,11.12,11.3,11.08,11.3,4017512.0
2025-07-08,11.31,11.52,11.24,11.46,3681788.0
2025-07-09,11.45,11.64,11.37,11.44,3428992.0
2025-07-10,11.41,11.52,11.33,11.48,3016780.0
2025-07-11,11.46,11.5,11.2,11.35,3109334.0
2025-07-14,11.4,11.77,11.32,11.61,4625708.0
2025-07-15,11.58,11.75,11.33,11.48,3828208.0
2025-07-16,11.48,11.72,11.4,11.59,4639828.0
2025-07-17,11.55,11.65,11.5,11.6,2774016.0
2025-07-18,11.65,11.68,11.51,11.62,1973956.0
