date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,26.92,27.42,26.58,26.71,39172789.0,2.0707,505.29109310999996
2025-06-04,26.6,26.76,26.32,26.69,24372265.0,1.2883,504.91273960999996
2025-06-05,26.82,27.68,26.77,27.38,45345023.0,2.397,517.9659352
2025-06-06,27.28,27.36,26.8,26.88,22695425.0,1.1997,508.50709781999996
2025-06-09,27.05,27.25,26.78,27.1,23539810.0,1.2443,512.66898627
2025-06-10,27.1,27.1,26.05,26.3,32127480.0,1.6983,497.53484645
2025-06-11,26.31,26.97,26.08,26.42,26575980.0,1.4048,499.80496742
2025-06-12,26.15,27.26,26.06,26.72,29418302.0,1.5551,505.48026985
2025-06-13,27.42,28.39,27.42,27.75,99847344.0,5.278,524.96547487
2025-06-16,27.75,30.53,27.75,30.53,123972181.0,6.5532,577.55661073
2025-06-17,30.53,31.7,30.04,30.58,165680834.0,8.758,578.50249447
2025-06-18,30.15,30.69,29.77,29.88,94689295.0,5.0053,565.26012213
2025-06-19,30.29,30.62,28.66,28.8,82356308.0,4.3534,544.82903338
2025-06-20,28.5,28.84,27.71,28.01,57609593.00000001,3.0453,529.88407031
2025-06-23,27.65,30.1,27.59,29.79,94792337.0,5.0108,563.5575314
2025-06-24,29.69,30.48,29.23,30.09,84894873.0,4.4876,569.23283383
2025-06-25,29.88,33.0,29.71,32.3,154687864.0,8.1769,611.04089507
2025-06-26,32.5,35.53,32.44,33.62,231601339.0,12.2426,636.01222577
2025-06-27,33.37,35.77,32.88,33.72,180424915.0,9.5374,637.90399324
2025-06-30,33.85,34.68,33.01,33.54,118005522.0,6.2378,634.49881179
2025-07-01,33.25,33.45,31.88,32.09,101205504.0,5.3498,607.06818337
2025-07-02,32.09,32.29,31.54,31.61,55749952.0,2.947,597.9876994800001
2025-07-03,31.63,32.19,31.45,31.97,66042128.0,3.491,604.7980623999999
2025-07-04,32.11,33.76,31.45,32.75,115174462.99999999,6.0882,619.55384872
2025-07-07,32.44,33.62,32.31,32.94,81069726.0,4.2854,623.14820692
2025-07-08,32.94,34.06,32.63,33.42,87879822.0,4.6454,632.22869081
2025-07-09,33.76,34.55,33.1,33.78,113391664.99999999,5.994,639.03905373
2025-07-10,33.45,34.27,32.8,33.4,94472199.0,4.9939,631.85033732
2025-07-11,33.4,35.1,33.26,34.52,129147251.0,6.8268,653.03813306
2025-07-14,34.31,34.31,33.01,33.26,79306344.0,4.1922,629.20186285
2025-07-15,33.6,34.36,33.35,33.7,74987168.0,3.9639,637.52563975
2025-07-16,33.33,33.5,32.8,33.07,55565618.99999999,2.9372,625.60750464
2025-07-17,33.38,33.74,33.03,33.42,48046305.0,2.5398,632.22869081
2025-07-18,33.42,34.1,33.35,33.68,49538584.0,2.6186,637.14728625
2025-07-21,33.5,33.85,32.95,33.1,59012404.0,3.1194,626.17503489
2025-07-22,33.0,33.17,32.4,32.64,60500025.0,3.1981,617.47290449
2025-07-23,32.63,33.5,32.5,33.05,62900307.99999999,3.3249,625.22915115
2025-07-24,32.75,34.1,32.7,33.88,63553071.0,3.3595,640.93082121
2025-07-25,33.88,34.24,33.34,33.53,48099904.0,2.5426,634.30963504
2025-07-28,33.88,34.66,33.25,34.38,86956714.0,4.5966,650.3896585900001
2025-07-29,34.18,37.82,33.8,37.82,163579321.0,8.6469,715.4664598
2025-07-30,38.49,38.49,36.39,37.0,182684170.0,9.6568,699.95396649
2025-07-31,36.77,37.86,35.94,36.2,119681386.00000001,6.3264,684.81982667
2025-08-01,36.0,36.34,35.02,35.53,89027487.0,4.706,672.14498458
2025-08-04,35.13,35.4,34.4,34.85,68424536.0,3.617,659.28096573
2025-08-05,34.85,35.53,34.44,35.03,66989343.00000001,3.5411,662.68614719
2025-08-06,34.96,35.0,34.54,34.88,52411481.0,2.7705,659.84849598
2025-08-07,34.66,35.2,34.04,34.41,65419140.0,3.4581,650.95718884
2025-08-08,34.4,34.85,33.64,34.41,58373429.0,3.0857,650.95718884
2025-08-11,34.4,35.47,34.27,35.16,66474129.0,3.5139,665.14544491
2025-08-12,35.2,35.64,34.82,35.61,63776357.99999999,3.3713,673.65839856
2025-08-13,35.85,36.3,35.11,35.69,85694558.0,4.5299,675.17181254
2025-08-14,35.71,37.24,35.71,35.81,109103123.0,5.7673,677.44193351
2025-08-15,35.4,37.47,34.88,36.86,127465262.00000001,6.7379,697.30549202
2025-08-18,36.95,38.47,36.4,37.65,121707489.99999999,6.4335,712.2504550900001
2025-08-19,37.55,38.07,36.55,36.58,96195462.0,5.085,692.00854309
2025-08-20,36.48,37.09,35.73,37.04,76626989.0,4.0506,700.71067348
2025-08-21,38.1,39.4,37.14,37.45,145045108.0,7.6672,708.46692014
2025-08-22,36.98,38.46,36.88,38.46,105319555.0,5.5673,727.57377165
2025-08-25,39.3,40.22,38.46,39.04,125524913.99999999,6.6353,738.54602302
2025-08-26,38.29,38.59,37.51,38.15,88958106.0,4.7024,721.70929248
2025-08-27,38.18,38.91,37.12,37.15,92923169.0,4.912,702.79161771
2025-08-28,36.99,37.68,36.21,37.66,82284971.0,4.3496,712.4396318400001
2025-08-29,38.0,38.19,37.2,37.49,62619355.00000001,3.3101,709.2236271300001
2025-09-01,38.21,39.33,37.5,38.66,110511659.00000001,5.8417,731.35730661
2025-09-02,38.23,38.27,35.65,35.9,113748550.0,6.0128,679.14452424
2025-09-03,35.88,36.23,34.6,34.83,60709952.0,3.2092,658.9026122399999
2025-09-04,34.88,35.28,33.34,33.98,57405311.0,3.0345,642.8225886800001
2025-09-05,34.1,34.67,33.52,34.54,45506087.0,2.4055,653.4164865600001
2025-09-08,34.6,35.34,34.2,35.2,40707867.0,2.1518,665.9021519
2025-09-09,35.22,35.25,34.34,34.43,31099582.0,1.6439,651.33554233
2025-09-10,34.6,35.28,34.43,34.46,31058121.000000004,1.6418,651.9030725700001
2025-09-11,34.46,35.32,34.0,35.32,56293740.0,2.9757,668.1722728799999
2025-09-12,35.79,36.07,34.93,35.0,53956522.0,2.8522,662.1186169499999
2025-09-15,34.88,34.99,34.44,34.48,37294691.0,1.9714,652.2814260700001
2025-09-16,34.49,34.72,34.03,34.56,35583548.0,1.881,653.7948400500001
2025-09-17,34.62,35.3,34.35,35.04,44741632.0,2.3651,662.87532394
2025-09-18,34.8,35.47,33.75,34.16,64843007.99999999,3.4276,646.22777014
2025-09-19,34.01,34.39,33.48,33.5,37726477.0,1.9942,633.7421048
2025-09-22,33.6,34.08,33.34,34.04,32533690.999999996,1.7198,643.95764917
2025-09-23,33.9,33.9,32.09,32.73,61570197.0,3.2546,619.17549522
2025-09-24,32.54,33.48,32.43,33.42,42473087.0,2.2452,632.22869081
2025-09-25,33.8,34.98,33.62,34.58,65437819.99999999,3.4591,654.17319355
2025-09-26,34.5,34.75,33.47,33.47,42567807.0,2.2502,633.17457455
2025-09-29,33.28,34.78,32.81,34.23,60363649.0,3.1909,647.5520073800001
2025-09-30,34.25,34.66,34.16,34.52,42275619.0,2.2347,653.03813306
2025-10-09,34.52,35.52,34.16,35.33,66709097.0,3.5263,668.36144962
2025-10-10,35.01,35.04,33.91,34.02,50555773.0,2.6682,644.5885772199999
2025-10-13,32.36,33.73,32.28,33.47,39472446.0,2.0833,634.16753908
2025-10-14,33.84,34.35,32.65,32.8,40999857.0,2.1639,621.4728199
2025-10-15,32.8,33.15,32.53,33.07,23982534.0,1.2657,626.58860225
2025-10-16,33.0,33.0,32.04,32.16,37654296.0,1.9873,609.3465209699999
2025-10-17,32.18,32.37,31.02,31.14,35486427.0,1.8729,590.02023206
2025-10-20,31.5,31.79,31.11,31.27,25200252.0,1.33,592.48338653
2025-10-21,31.39,32.08,31.35,31.83,27857203.999999996,1.4702,603.09389809
2025-10-22,31.6,31.79,31.42,31.56,15209285.0,0.803,597.78771425
2025-10-23,31.56,32.0,31.17,31.96,21738007.0,1.1477,605.36423788
2025-10-24,32.2,32.35,31.88,32.24,26128977.0,1.3795,610.66780442
2025-10-27,32.5,32.75,32.23,32.5,29540428.999999996,1.5596,615.59254478
2025-10-28,32.51,32.81,32.24,32.32,28892344.0,1.5254,612.18310914
2025-10-29,32.18,32.65,32.0,32.56,30479232.0,1.6091,616.72902332
2025-10-30,32.5,32.55,31.93,31.97,32266068.0,1.7035,605.55365097
2025-10-31,31.2,31.88,31.06,31.46,38692243.0,2.0427,595.89358334
2025-11-03,31.48,31.6,30.68,31.24,32506934.999999996,1.7162,591.7264953499999
2025-11-04,31.08,31.2,30.09,30.26,42366679.0,2.2367,573.16401246
2025-11-05,29.97,30.19,29.36,29.82,39785688.0,2.1005,564.82983647
2025-11-06,29.8,30.27,29.8,30.08,23034711.0,1.2161,569.75457683
2025-11-07,29.83,29.94,29.61,29.62,20766981.0,1.0964,561.04157465
2025-11-10,29.62,29.84,29.48,29.81,22002773.0,1.1616,564.6404233799999
2025-11-11,29.81,29.85,29.07,29.13,29740743.0,1.5702,551.76033321
2025-11-12,29.1,29.11,28.8,28.95,19528265.0,1.031,548.35089758
2025-11-13,29.09,29.57,28.96,29.55,24127738.0,1.2738,559.71568302
2025-11-14,29.23,29.37,28.86,28.86,20820014.0,1.0992,546.64617976
2025-11-17,28.79,29.19,28.71,28.98,17260752.0,0.9113,548.91913685
2025-11-19,29.9,30.28,29.4,29.51,31268838.0,1.6508,558.95803066
2025-11-20,29.86,29.88,28.88,28.98,24131319.0,1.274,548.91913685
2025-11-21,28.6,28.98,28.15,28.35,29353068.0,1.5497,536.9861121299999
2025-11-24,28.53,29.54,28.39,29.5,36910955.0,1.9487,558.76861757
2025-11-25,29.6,30.32,29.45,29.7,38118496.0,2.0125,562.55687938
2025-11-26,29.4,30.14,29.36,29.61,27085388.0,1.43,560.85216156
2025-11-27,29.48,29.74,29.18,29.24,23134850.0,1.2214,553.84387721
