date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,29.3,29.55,29.11,29.25,2436900.0,1.2594,56.59729423
2025-06-04,30.98,32.18,30.55,32.18,20187319.0,10.433,62.2666984
2025-06-05,31.99,32.54,30.98,30.98,18451463.0,9.5359,59.94475813
2025-06-06,30.99,32.78,30.99,31.76,16027256.0,8.283,61.4540193
2025-06-09,32.0,32.31,31.17,31.72,7575700.0,3.9152,61.3766213
2025-06-10,32.43,32.56,30.96,31.57,8402500.0,4.3425,61.08637876
2025-06-11,31.11,31.79,31.11,31.49,4210000.0,2.1758,60.931582739999996
2025-06-12,32.0,33.23,31.24,32.49,13002900.0,6.72,62.86653297
2025-06-13,32.1,33.52,31.9,32.74,10422000.0,5.3862,63.35027053
2025-06-16,32.77,35.03,32.2,34.14,16322184.0,8.4355,66.05920085
2025-06-17,36.11,37.55,34.51,35.37,25028500.0,12.935,68.43918964
2025-06-18,35.99,36.2,32.18,32.18,22577300.0,11.6682,62.2666984
2025-06-19,32.59,32.79,30.79,30.88,12888800.0,6.661,59.7512631
2025-06-20,30.89,31.3,30.34,30.89,5579456.0,2.8835,59.77061260000001
2025-06-23,30.98,31.67,30.6,31.55,5117600.0,2.6448,61.04767976000001
2025-06-24,31.56,31.68,31.0,31.05,5173600.0,2.6738,60.08020464
2025-06-25,31.2,32.31,31.12,31.53,6216000.0,3.2125,61.00898075
2025-06-26,31.52,32.38,31.21,31.3,6520300.0,3.3698,60.5639422
2025-06-27,31.25,32.98,31.25,32.7,9753000.0,5.0404,63.27287252
2025-06-30,29.43,29.43,29.43,29.43,4534300.0,2.3434,56.94558527
2025-07-01,28.09,29.75,27.81,28.4,20280300.0,10.481,54.95258653
2025-07-02,28.0,29.1,27.85,28.49,10622200.0,5.4897,55.12673205
2025-07-03,28.46,28.52,26.82,27.59,11912700.0,6.1566,53.385276850000004
2025-07-04,27.59,29.5,27.18,28.64,11794400.0,6.0955,55.416974589999995
2025-07-07,28.44,28.55,28.06,28.14,4645300.0,2.4007,54.449499470000006
2025-07-08,28.14,28.5,28.02,28.14,4475400.0,2.3129,54.449499470000006
2025-07-09,28.2,28.47,28.01,28.07,4289300.0,2.2167,54.31405296
2025-07-10,28.03,28.27,27.9,28.2,3203100.0,1.6554,54.565596490000004
2025-07-11,28.2,28.63,28.03,28.25,5390700.0,2.786,54.662344
2025-07-14,29.39,29.52,28.26,28.42,8033100.0,4.1516,54.99128554
2025-07-15,28.11,28.32,27.42,27.79,6783900.0,3.506,53.772266890000004
2025-07-16,27.79,28.7,27.5,28.19,5613200.0,2.901,54.54624698
2025-07-17,28.03,28.23,28.0,28.1,3625756.0,1.8738,54.372101459999996
2025-07-18,28.2,28.21,27.84,28.03,2792800.0,1.4433,54.236654949999995
2025-07-21,28.1,28.31,28.03,28.16,3420300.0,1.7676,54.488198479999994
2025-07-22,28.17,28.5,28.02,28.14,3857000.0,1.9933,54.449499470000006
2025-07-23,28.13,28.65,28.09,28.34,6567200.0,3.394,54.83648952
2025-07-24,28.28,28.4,28.0,28.33,4356600.0,2.2515,54.817140020000004
2025-07-25,28.3,28.56,27.98,28.15,5959600.0,3.08,54.46884897
2025-07-28,28.15,29.8,27.95,29.34,11042200.0,5.7067,56.77143975
2025-07-29,29.34,29.85,29.24,29.84,6868700.0,3.5498,57.738914859999994
2025-07-30,29.69,30.94,29.69,30.33,7925000.0,4.0957,58.68704048
2025-07-31,30.37,30.44,29.81,30.04,5840586.0,3.0185,58.125904909999996
2025-08-01,29.99,30.44,29.67,30.22,4680650.0,2.419,58.47419595
2025-08-04,29.82,30.1,29.24,29.6,6132458.0,3.1693,57.27452681
2025-08-05,29.56,29.84,29.32,29.61,4479600.0,2.3151,57.29387631
2025-08-06,29.78,30.36,29.55,30.28,5391880.0,2.7866,58.590292960000006
2025-08-07,30.28,30.28,29.38,29.45,5455280.0,2.8193,56.98428427
2025-08-08,29.46,29.69,28.61,29.68,5576300.0,2.8819,57.42932283
2025-08-11,29.68,30.12,29.26,29.83,4770300.0,2.4653,57.71956536
2025-08-12,29.61,31.66,29.5,31.3,11269300.0,5.8241,60.5639422
2025-08-13,31.83,32.7,31.61,32.02,10290000.0,5.318,61.95710636
2025-08-14,32.17,32.4,31.2,31.2,7044300.0,3.6406,60.370447180000006
2025-08-15,31.21,31.38,30.0,30.46,9281400.0,4.7967,58.93858401
2025-08-18,30.38,30.38,28.82,29.26,15417520.000000002,7.9679,56.61664373
2025-08-19,29.11,29.43,28.9,29.22,7383436.0,3.8158,56.53924572
2025-08-20,29.25,31.0,29.05,29.98,9031016.0,4.6673,58.009807900000006
2025-08-21,29.77,30.5,29.63,29.68,5703300.0,2.9475,57.42932283
2025-08-22,29.88,30.88,29.68,30.33,6909520.0,3.5709,58.68704048
2025-08-25,30.74,31.69,30.66,31.57,11571285.0,5.9801,61.08637876
2025-08-26,31.22,31.88,31.13,31.26,6454600.0,3.3358,60.48654419
