date,open,high,low,close,volume
2026-01-05,82.0,82.39,80.05,80.87,15983233.0
2026-01-06,80.8,81.47,79.37,80.56,15576442.0
2026-01-07,80.71,81.67,79.78,80.38,13495776.0
2026-01-08,79.58,81.17,79.4,80.55,9980480.0
2026-01-09,80.4,83.5,80.32,82.99,18450876.0
2026-01-12,84.31,85.78,83.4,84.74,19350063.0
2026-01-13,84.32,85.98,82.22,82.4,19427052.0
2026-01-14,82.6,84.44,80.7,81.53,17020731.0
2026-01-15,81.01,81.99,78.02,80.0,14765177.0
2026-01-16,80.8,82.15,78.68,80.66,14409332.0
2026-01-19,80.66,80.93,78.6,79.0,10283702.0
2026-01-20,79.01,80.14,77.52,78.23,10159860.0
2026-01-21,77.9,81.35,77.52,79.82,14407365.0
2026-01-22,80.56,80.99,78.1,79.22,12759663.0
2026-01-23,79.32,82.7,79.15,81.7,16143075.0
2026-01-26,81.47,81.79,78.03,78.6,13844884.0
2026-01-27,78.66,81.22,76.97,80.38,20068213.0
2026-01-28,81.0,83.12,79.71,80.37,16770145.0
2026-01-29,79.81,81.69,78.23,78.28,13173914.0
2026-01-30,77.6,79.44,75.6,78.3,12300926.0
2026-02-02,77.82,78.15,74.37,74.45,10701925.0
2026-02-03,75.5,75.95,74.02,75.56,7987588.0
2026-02-04,75.05,75.1,73.25,74.2,8195703.0
2026-02-05,73.61,74.27,73.18,73.99,4957542.0
2026-02-06,73.99,77.4,73.36,74.85,10604309.0
2026-02-09,75.95,76.0,75.07,75.69,6417485.0
2026-02-10,75.69,76.18,75.3,75.5,5608458.0
2026-02-11,75.5,75.88,74.74,75.16,4546125.0
2026-02-12,74.88,75.58,74.82,75.2,5625804.0
2026-02-13,74.78,75.45,73.88,73.95,6900536.0
2026-02-24,74.56,77.2,73.72,75.78,8886554.0
2026-02-25,75.89,76.39,74.93,75.8,6524817.0
2026-02-26,75.9,77.1,75.39,76.73,6624896.0
2026-02-27,76.18,80.6,75.7,80.19,11850692.0
2026-03-02,78.68,82.77,78.11,80.93,17537983.0
2026-03-03,80.8,81.57,77.75,78.0,10615045.0
2026-03-04,78.2,84.2,77.48,82.3,20806993.0
