date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,2.72,2.75,2.71,2.73,23969725.0,0.5458,119.89148273
2025-06-04,2.73,2.82,2.72,2.8,73931530.0,1.6835,122.96562331000001
2025-06-05,2.78,2.82,2.74,2.76,50219546.0,1.1435,121.20897154999999
2025-06-06,2.76,2.79,2.74,2.76,32008200.0,0.7288,121.20897154999999
2025-06-09,2.76,2.77,2.74,2.76,23810530.0,0.5422,121.20897154999999
2025-06-10,2.76,2.77,2.69,2.72,39810200.0,0.9065,119.45231979
2025-06-11,2.72,2.74,2.71,2.72,24324786.0,0.5539,119.45231979
2025-06-12,2.72,2.72,2.69,2.71,25750700.0,0.5864,119.01315685
2025-06-13,2.71,2.98,2.71,2.98,224628415.0,5.1149,130.87055623999998
2025-06-16,2.93,2.95,2.85,2.86,234867113.0,5.3481,125.60060094999999
2025-06-17,2.87,3.15,2.87,3.15,368413713.0,8.389,138.33632623
2025-06-18,3.17,3.47,3.11,3.24,464274036.00000006,10.5718,142.28879269
2025-06-19,3.18,3.23,3.03,3.11,292510239.0,6.6606,136.57967446
2025-06-20,3.05,3.07,2.96,2.98,188962122.0,4.3028,130.87055623999998
2025-06-23,3.0,3.19,2.98,3.12,231077310.0,5.2618,137.0188374
2025-06-24,2.97,3.09,2.93,3.04,225324811.0,5.1308,133.50553388
2025-06-25,3.04,3.27,3.04,3.19,259891310.0,5.9179,140.09297799
2025-06-26,3.19,3.34,3.17,3.24,257306825.99999997,5.859,142.28879269
2025-06-27,3.25,3.56,3.2,3.56,326686590.0,7.4388,156.34200678000002
2025-06-30,3.92,3.92,3.92,3.92,35693359.0,0.8128,172.15187264
2025-07-01,4.31,4.31,4.31,4.31,24022262.0,0.547,189.27922731
2025-07-02,4.5,4.73,4.1,4.13,854527382.0,19.4581,181.37429439000002
2025-07-03,3.9,4.12,3.75,3.82,518372197.0,11.8036,167.76024323
2025-07-04,3.8,4.2,3.8,4.11,607792512.0,13.8398,180.4959685
2025-07-07,3.98,4.18,3.88,4.01,410514743.0,9.3477,176.1043391
2025-07-08,3.99,4.04,3.94,3.96,266888250.99999997,6.0772,173.9085244
2025-07-09,3.97,4.14,3.92,3.94,308808296.0,7.0317,173.03019852
2025-07-10,3.91,4.33,3.81,4.33,547831652.0,12.4745,190.15755319000002
2025-07-11,4.12,4.27,4.02,4.04,464275676.0,10.5718,177.42182792
2025-07-14,4.03,4.08,3.96,3.96,228294214.0,5.1984,173.9085244
2025-07-15,3.91,3.96,3.82,3.84,184545708.0,4.2022,168.63856911
2025-07-16,3.86,3.88,3.82,3.83,138072781.0,3.144,168.19940617
2025-07-17,3.82,3.94,3.8,3.89,171265988.0,3.8998,170.83438382
2025-07-18,3.91,4.03,3.89,3.96,191259010.0,4.3551,173.9085244
2025-07-21,3.93,4.1,3.9,4.05,211683283.0,4.8202,177.86099086
2025-07-22,3.99,4.08,3.92,3.95,209691806.0,4.7748,173.46936146
2025-07-23,3.92,4.04,3.83,3.85,188348384.0,4.2888,169.07773204999998
2025-07-24,3.83,4.03,3.83,4.01,199124585.0,4.5342,176.1043391
2025-07-25,3.95,4.04,3.93,3.97,123406330.0,2.81,174.34768734
2025-07-28,3.97,4.07,3.94,4.01,163284794.0,3.7181,176.1043391
2025-07-29,4.01,4.05,3.95,4.03,145410969.0,3.3111,176.98266498
2025-07-30,4.0,4.19,4.0,4.15,273402682.0,6.2255,182.25262027
2025-07-31,4.12,4.16,4.0,4.05,205135306.0,4.6711,177.86099086
2025-08-01,4.04,4.46,3.96,4.22,450028651.99999994,10.2474,185.32676085
2025-08-04,4.19,4.64,4.19,4.55,493764738.99999994,11.2433,199.81913788
2025-08-05,4.46,4.56,4.31,4.33,382000265.0,8.6984,190.15755319000002
2025-08-06,4.28,4.45,4.28,4.36,239184412.0,5.4464,191.47504201
2025-08-07,4.32,4.8,4.22,4.8,424053295.0,9.6559,210.79821139000003
