date,open,high,low,close,volume
2026-01-05,76.78,78.48,76.03,77.98,574926.0
2026-01-06,77.88,78.02,76.59,77.51,524208.0
2026-01-07,77.88,79.5,77.52,77.8,583107.0
2026-01-08,78.0,78.48,77.52,77.8,395404.0
2026-01-09,77.99,79.78,77.12,79.78,806502.0
2026-01-12,83.2,92.66,83.2,87.62,2313996.0
2026-01-13,92.99,95.0,83.98,84.7,1846784.0
2026-01-14,82.5,86.8,82.5,83.3,1473693.0
2026-01-15,83.0,83.67,81.0,81.28,652269.0
2026-01-16,81.88,82.66,81.12,81.29,493268.0
2026-01-19,81.8,81.8,80.09,80.75,439819.0
2026-01-20,80.48,80.95,78.91,79.17,453031.0
2026-01-21,78.59,79.9,78.3,78.96,408072.0
2026-01-22,79.1,79.1,77.69,78.45,439294.0
2026-01-23,78.83,80.84,78.83,80.18,567119.0
2026-01-26,80.63,92.87,80.51,88.95,2657065.0
2026-01-27,84.43,85.6,80.47,82.66,1690767.0
2026-01-28,80.02,81.68,79.33,80.46,1059425.0
2026-01-29,79.8,80.44,78.68,78.9,894882.0
2026-01-30,79.14,79.66,78.6,78.74,437066.0
2026-02-02,78.74,78.74,76.82,76.83,515072.0
2026-02-03,77.2,77.8,76.5,77.45,317614.0
2026-02-04,77.16,79.49,77.16,79.49,548498.0
2026-02-05,79.6,79.8,77.22,77.29,442698.0
2026-02-06,77.49,78.29,76.95,77.21,275003.0
2026-02-09,77.38,78.49,77.2,78.0,254435.0
2026-02-10,78.22,78.22,77.16,77.38,225900.0
2026-02-11,77.38,77.39,76.76,76.89,243930.0
2026-02-12,76.86,77.24,76.5,77.15,192813.0
2026-02-13,77.08,77.17,76.66,76.66,189741.0
2026-02-24,76.7,76.9,76.26,76.85,156521.0
2026-02-25,76.71,77.15,76.6,77.06,178017.0
2026-02-26,77.73,77.73,76.55,76.64,205277.0
2026-02-27,76.48,76.7,76.02,76.26,239877.0
2026-03-02,76.09,76.11,74.74,74.99,367457.0
2026-03-03,75.0,75.0,73.01,73.19,363332.0
2026-03-04,73.16,73.92,72.81,73.26,116530.0
2026-03-05,73.44,74.17,72.84,73.25,123137.0
2026-03-06,73.0,74.87,72.62,74.15,199907.0
2026-03-09,73.1,74.29,72.35,72.41,162990.0
2026-03-10,73.5,74.36,72.76,74.36,169956.0
2026-03-11,74.12,75.98,74.03,75.54,330728.0
2026-03-12,75.5,76.55,74.05,75.6,235382.0
2026-03-13,75.56,75.56,74.69,75.05,164122.0
2026-03-16,74.96,75.01,73.51,74.06,163151.0
2026-03-17,74.78,75.16,73.33,73.4,137396.0
2026-03-18,73.4,73.83,72.83,73.24,142759.0
2026-03-19,73.3,73.3,70.02,70.48,277441.0
2026-03-20,70.48,71.28,68.8,68.85,226567.0
2026-03-23,68.75,68.75,61.39,62.2,299355.0
2026-03-24,63.5,63.88,62.22,63.3,216882.0
2026-03-25,63.94,65.35,63.3,64.5,255783.0
2026-03-26,64.22,66.3,62.13,62.89,281339.0
2026-03-27,62.98,67.68,62.02,66.0,383768.0
2026-03-30,64.84,65.8,64.06,64.64,190165.0
2026-03-31,64.31,65.57,63.11,63.78,141296.0
2026-04-01,64.49,65.97,63.82,65.34,242837.0
2026-04-02,65.08,69.69,64.54,66.89,467496.0
2026-04-03,66.22,66.25,63.63,63.7,272229.0
2026-04-07,63.36,64.51,62.33,62.46,171793.0
2026-04-08,63.02,65.48,63.02,65.07,246388.0
2026-04-09,64.99,67.7,64.97,65.69,414996.0
2026-04-10,65.2,67.69,64.0,67.1,381765.0
2026-04-13,67.0,67.98,65.05,65.11,269591.0
2026-04-14,65.12,65.91,65.0,65.35,109823.0
2026-04-15,65.88,66.69,65.37,66.0,197214.0
2026-04-16,65.55,66.69,65.55,65.98,162298.0
2026-04-17,66.09,68.36,65.26,67.8,386738.0
2026-04-20,68.01,69.59,67.16,68.28,361192.0
2026-04-21,68.18,68.7,66.53,67.03,194409.0
2026-04-22,67.9,68.59,66.72,67.91,195709.0
2026-04-23,68.2,68.3,66.12,66.48,172964.0
2026-04-24,66.2,66.68,65.34,65.36,122982.0
2026-04-27,65.52,65.59,64.0,64.29,161828.0
2026-04-28,63.96,65.65,63.56,64.09,145552.0
2026-04-29,64.5,64.5,63.0,64.0,174734.0
2026-04-30,63.55,63.69,62.33,62.98,225865.0
2026-05-06,63.54,64.99,63.17,64.61,251186.0
2026-05-07,65.05,65.95,64.13,65.19,248531.0
2026-05-08,65.5,68.01,64.93,68.01,520404.0
2026-05-11,68.01,72.6,66.96,71.39,746457.0
2026-05-12,70.0,71.38,68.68,68.87,550793.0
2026-05-13,48.42,48.89,47.0,47.57,445933.0
2026-05-14,47.57,47.97,45.56,45.61,456568.0
2026-05-15,45.95,46.42,44.8,45.87,337427.0
2026-05-18,45.77,45.77,44.55,44.85,304980.0
2026-05-19,44.99,46.6,44.99,45.74,298629.0
2026-05-20,45.41,46.05,44.7,44.89,233790.0
2026-05-21,44.81,45.41,42.0,42.18,429764.0
2026-05-22,42.54,42.55,41.5,41.79,237601.0
2026-05-25,41.97,42.35,40.06,40.49,401146.0
2026-05-26,40.71,40.71,38.5,38.93,398134.0
2026-05-27,38.73,38.98,37.01,37.75,355094.0
2026-05-28,37.86,38.76,37.29,38.41,178238.0
2026-05-29,38.33,39.0,37.72,37.75,203834.0
2026-06-01,37.76,38.47,36.89,38.0,165058.0
2026-06-02,37.78,38.16,36.9,37.38,183652.0
2026-06-03,37.19,37.74,36.55,36.55,189912.0
2026-06-04,36.47,36.47,35.06,35.56,246184.0
2026-06-05,35.7,37.39,35.59,36.43,269045.0
2026-06-08,35.5,37.99,35.37,37.24,330369.0
2026-06-09,37.25,37.25,36.56,36.96,123874.0
2026-06-10,36.78,37.09,35.52,35.54,166790.0
2026-06-11,35.16,35.83,33.23,33.58,346132.0
2026-06-12,33.77,34.64,33.52,34.52,226870.0
2026-06-15,34.98,34.98,33.55,33.99,191789.0
2026-06-16,33.93,34.44,33.5,33.66,192359.0
2026-06-17,34.19,35.06,33.28,34.7,449797.0
2026-06-18,36.39,45.11,36.39,41.97,2109423.0
2026-06-22,41.0,41.0,37.12,38.6,1638406.0
2026-06-23,38.1,43.0,37.63,40.39,1476383.0
2026-06-24,39.4,42.74,39.1,41.39,1275711.0
2026-06-25,40.31,40.99,38.01,38.25,1099110.0
2026-06-26,38.3,38.34,35.96,35.96,719078.0
2026-06-29,35.56,38.78,35.06,37.65,1010220.0
2026-06-30,37.37,37.65,35.62,36.15,772106.0
2026-07-01,36.2,37.3,35.0,37.3,749336.0
2026-07-02,36.88,42.99,36.8,39.8,1165486.0
2026-07-03,39.8,42.48,38.8,42.23,1344642.0
2026-07-06,41.33,45.49,40.97,41.6,1218661.0
2026-07-07,41.26,41.88,39.17,39.4,744372.0
2026-07-08,39.13,40.21,37.6,37.72,648949.0
2026-07-09,37.51,39.62,37.1,37.78,568896.0
