date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,21.25,21.98,21.2,21.94,5850741.0,9.9367,12.918272
2025-06-04,22.0,22.53,21.6,22.37,7106325.999999999,12.0692,13.171456
2025-06-05,22.35,22.69,22.1,22.31,7285625.999999999,12.3737,13.136128
2025-06-06,22.2,22.98,22.09,22.53,6295508.0,10.6921,13.265664000000001
2025-06-09,22.41,22.9,22.39,22.59,4965440.0,8.4332,13.300992
2025-06-10,22.5,23.64,22.46,23.1,12276474.0,20.85,13.60128
2025-06-11,22.93,23.08,22.35,22.71,7487378.999999999,12.7163,13.371648
2025-06-12,22.59,22.59,22.09,22.17,5060763.0,8.595,13.053696
2025-06-13,22.18,22.41,21.66,21.71,4008400.0,6.8077,12.782848
2025-06-16,21.48,21.97,21.48,21.86,3628700.0,6.1629,12.871167999999999
2025-06-17,21.7,21.77,21.26,21.5,2652200.0,4.5044,12.6592
2025-06-18,21.53,21.53,20.6,21.27,3428108.0,5.8222,12.523776
2025-06-19,21.23,21.44,20.71,20.81,2684400.0,4.5591,12.252928
2025-06-20,20.81,21.07,20.53,20.55,2068575.9999999998,3.5132,12.099839999999999
2025-06-23,20.35,20.86,20.22,20.72,2430343.0,4.1276,12.199936
2025-06-24,20.76,21.41,20.76,21.36,3214854.0,5.46,12.576768
2025-06-25,21.66,21.78,21.28,21.38,2596405.0,4.4097,12.588544
2025-06-26,21.38,21.52,21.1,21.11,2924666.0,4.9672,12.429568
2025-06-27,21.16,21.5,21.16,21.35,2414297.0,4.1004,12.57088
2025-06-30,21.37,21.95,21.27,21.89,3975710.0,6.7522,12.888832
2025-07-01,22.3,22.3,21.6,21.85,3272913.0,5.5586,12.86528
2025-07-02,21.98,21.98,21.57,21.83,2571900.0,4.368,12.853504
2025-07-03,21.66,21.92,21.58,21.71,2577924.0,4.3783,12.782848
2025-07-04,21.44,21.76,21.32,21.4,2512624.0,4.2674,12.60032
2025-07-07,21.36,21.52,21.3,21.43,1501224.0,2.5496,12.617984
2025-07-08,21.43,22.38,21.34,21.98,5720662.0,9.7158,12.941824
