date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,9.22,9.24,9.13,9.19,8585097.0,0.6404,123.20064898000001
2025-06-04,9.22,9.4,9.21,9.36,10254561.0,0.7649,125.47965989999999
2025-06-05,9.57,9.82,9.57,9.7,35773791.0,2.6685,130.03768173
2025-06-06,9.69,9.69,9.56,9.65,15226720.000000002,1.1358,129.3673844
2025-06-09,9.68,9.72,9.6,9.62,10328727.0,0.7705,128.965206
2025-06-10,9.63,9.66,9.48,9.53,14895865.0,1.1111,127.75867081
2025-06-11,9.53,9.66,9.51,9.58,11674718.0,0.8709,128.42896814
2025-06-12,9.56,10.2,9.51,10.16,49121337.0,3.6641,136.20441714999998
2025-06-13,10.16,10.19,9.94,9.98,23131571.0,1.7255,133.79134677
2025-06-16,9.99,10.28,9.99,10.12,21949005.0,1.6373,135.66817929
2025-06-17,10.21,10.54,10.08,10.42,37699125.0,2.8121,139.68996325999998
2025-06-18,10.42,10.46,10.33,10.42,15463507.0,1.1535,139.68996325999998
2025-06-19,10.44,10.5,10.18,10.24,19171066.0,1.43,137.27689288000002
2025-06-20,10.23,10.32,10.18,10.21,11816704.0,0.8815,136.87471448
2025-06-23,10.14,10.24,10.08,10.16,10099876.0,0.7534,136.20441714999998
2025-06-24,10.17,10.29,10.16,10.26,12792565.0,0.9542,137.54501181
2025-06-25,10.27,10.29,10.18,10.25,12416204.0,0.9262,137.41095234
2025-06-26,10.23,10.26,10.12,10.18,11238282.0,0.8383,136.47253608
2025-06-27,10.21,10.33,10.17,10.25,11632723.0,0.8677,137.41095234
2025-06-30,10.27,10.33,10.18,10.24,12465410.0,0.9298,137.27689288000002
2025-07-01,10.26,10.4,10.23,10.26,14556632.0,1.0858,137.54501181
2025-07-02,10.27,10.46,10.24,10.4,17241463.0,1.2861,139.42184433
2025-07-03,10.4,10.42,10.27,10.31,10084067.0,0.7522,138.21530914000002
2025-07-04,10.27,10.33,10.22,10.24,9661345.0,0.7207,137.27689288000002
2025-07-07,10.24,10.38,10.21,10.37,10907530.0,0.8136,139.01966593
2025-07-08,10.41,10.42,10.31,10.38,13239012.0,0.9875,139.15372539999998
2025-07-09,10.34,10.49,10.29,10.34,14194510.999999998,1.0588,138.61748753
2025-07-10,10.32,10.33,10.24,10.3,9018119.0,0.6727,138.08124967
2025-07-11,10.32,10.4,10.21,10.34,14004382.999999998,1.0446,138.61748753
2025-07-14,10.36,10.64,10.35,10.54,22991320.0,1.715,141.29867685
2025-07-15,10.53,10.58,10.42,10.57,14398215.0,1.074,141.70085523999998
2025-07-16,10.57,10.61,10.44,10.5,10756904.0,0.8024,140.76243899
2025-07-17,10.47,10.53,10.42,10.43,9354400.0,0.6978,139.82402273
2025-07-18,10.46,10.49,10.35,10.38,10944453.0,0.8164,139.15372539999998
2025-07-21,10.46,10.73,10.43,10.72,23728354.0,1.77,143.71174723000001
2025-07-22,10.72,10.92,10.62,10.86,21130205.0,1.5762,145.58857975
2025-07-23,10.87,10.95,10.63,10.65,20571922.0,1.5345,142.77333097000002
2025-07-24,10.63,10.7,10.57,10.64,14288075.0,1.0658,142.6392715
2025-07-25,10.6,10.73,10.47,10.58,22772761.0,1.6987,141.83491471
2025-07-28,10.59,10.65,10.41,10.46,15480454.999999998,1.1547,140.22620112
2025-07-29,10.46,10.52,10.36,10.49,13067007.0,0.9747,140.62837952
2025-07-30,10.44,10.6,10.43,10.49,12916642.0,0.9635,140.62837952
2025-07-31,10.46,10.46,10.21,10.25,15586363.0,1.1626,137.41095234
2025-08-01,10.25,10.38,10.21,10.37,10426070.0,0.7777,139.01966593
2025-08-04,10.37,10.47,10.3,10.44,8228994.0,0.6138,139.95808219
2025-08-05,10.46,10.52,10.43,10.49,7717692.999999999,0.5757,140.62837952
2025-08-06,10.48,10.58,10.48,10.57,10774012.0,0.8037,141.70085523999998
2025-08-07,10.6,10.6,10.37,10.4,11994262.0,0.8947,139.42184433
2025-08-08,10.4,10.5,10.37,10.5,9736181.0,0.7263,140.76243899
2025-08-11,10.53,10.61,10.45,10.54,16022831.0,1.1952,141.29867685
2025-08-12,10.51,10.62,10.44,10.51,14481331.0,1.0802,140.89649845
2025-08-13,10.52,10.72,10.49,10.64,18817025.0,1.4036,142.6392715
2025-08-14,10.65,10.7,10.54,10.57,15411045.000000002,1.1496,141.70085523999998
2025-08-15,10.56,11.05,10.52,10.93,31282671.999999996,2.3335,146.52699601
2025-08-18,10.94,11.01,10.84,10.91,21155850.0,1.5781,146.25887708000002
2025-08-19,10.89,10.93,10.78,10.82,14417951.0,1.0755,145.05234188999998
2025-08-20,10.81,11.07,10.75,11.06,23953433.0,1.7868,148.26976906000002
2025-08-21,11.06,11.2,10.94,10.99,17333918.0,1.293,147.3313528
2025-08-22,10.98,11.08,10.91,11.07,18213557.0,1.3586,148.40382853
2025-08-25,11.25,12.18,11.2,12.18,42906666.0,3.2007,163.27983517
2025-08-26,12.01,12.29,11.73,12.23,68491534.0,5.1092,163.95011363999998
2025-08-27,12.29,12.46,11.88,11.89,51784980.0,3.8629,159.39222005
2025-08-28,11.9,11.99,11.46,11.82,40102820.0,2.9915,158.45383019000002
2025-08-29,11.85,11.87,11.57,11.61,23432071.0,1.7479,155.63866062
2025-09-01,11.69,11.73,11.45,11.56,25519455.0,1.9036,154.96838215
2025-09-02,11.57,11.64,10.96,11.05,39012813.0,2.9102,148.13154176
2025-09-03,11.1,11.19,10.87,11.07,21737915.0,1.6216,148.39965315
2025-09-04,11.12,11.33,10.91,11.07,26911856.0,2.0075,148.39965315
2025-09-05,11.07,11.32,11.06,11.3,20607374.0,1.5372,151.48293411
2025-09-08,11.36,11.37,11.06,11.18,27624825.0,2.0607,149.87426578
2025-09-09,11.17,11.3,11.09,11.19,18340777.0,1.3681,150.00832147
2025-09-10,11.13,11.19,11.0,11.07,12873553.0,0.9603,148.39965315
2025-09-11,11.11,11.29,10.97,11.28,18537241.0,1.3828,151.21482272
2025-09-12,11.29,11.29,11.15,11.19,13587810.999999998,1.0136,150.00832147
2025-09-15,11.23,11.3,11.13,11.22,15601731.0,1.1638,150.41048856
2025-09-16,11.23,11.25,11.01,11.15,15724823.000000002,1.173,149.4720987
2025-09-17,11.16,11.44,11.11,11.38,25197193.0,1.8796,152.55537966
2025-09-18,11.44,12.15,11.34,11.78,58845929.0,4.3897,157.91760741000002
2025-09-19,11.82,12.02,11.75,11.81,28942401.0,2.159,158.31977450000002
2025-09-22,11.81,11.97,11.7,11.9,25106216.0,1.8728,159.52627574
2025-09-23,11.91,12.14,11.75,12.14,34284243.0,2.5575,162.74361239
2025-09-24,12.15,12.25,11.94,12.21,33207696.999999996,2.4772,163.68200224999998
2025-09-25,12.21,12.27,12.08,12.17,23839803.0,1.7784,163.14577948000002
2025-09-26,12.13,12.5,12.08,12.18,27786413.0,2.0728,163.27983517
2025-09-29,12.24,12.25,11.97,12.13,23758157.0,1.7723,162.6095567
2025-09-30,12.12,12.2,11.97,12.03,24869244.0,1.8551,161.26899975999999
2025-10-09,12.02,12.4,11.88,12.38,28955978.000000004,2.16,165.96094905
2025-10-10,12.35,12.75,12.24,12.66,30613180.0,2.2836,169.71450848
2025-10-13,12.39,12.48,12.16,12.44,34141134.0,2.5468,166.76528321
2025-10-14,12.55,12.71,12.05,12.1,31325114.0,2.3367,162.20738962000001
2025-10-15,12.11,12.67,12.07,12.64,31968959.999999996,2.3848,169.44639709
2025-10-16,12.77,12.79,12.33,12.52,22903075.0,1.7085,167.83772876
2025-10-17,12.47,12.52,11.6,11.64,39542663.0,2.9497,156.0408277
2025-10-20,11.84,12.08,11.7,11.82,19694371.0,1.4691,158.45383019000002
2025-10-21,11.86,12.1,11.75,11.91,19760512.0,1.4741,159.66033142999999
2025-10-22,11.87,11.87,11.64,11.7,13224843.0,0.9865,156.84516186
2025-10-23,11.7,11.74,11.5,11.73,15383026.0,1.1475,157.24732894
