date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.15,7.23,7.12,7.14,37086005.0,1.1069,239.21125671000001
2025-06-04,7.17,7.21,7.14,7.17,24674624.0,0.7365,240.21634602
2025-06-05,7.18,7.28,7.13,7.24,40892429.0,1.2206,242.56155442
2025-06-06,7.22,7.26,7.17,7.21,28568709.000000004,0.8527,241.55646510999998
2025-06-09,7.24,7.25,7.18,7.23,30902007.0,0.9224,242.22652465
2025-06-10,7.23,7.23,7.04,7.1,43310368.0,1.2927,237.87113761999998
2025-06-11,7.1,7.2,7.09,7.11,24978314.0,0.7456,238.20616739
2025-06-12,7.12,7.4,7.07,7.26,90152162.0,2.6909,243.23161395999998
2025-06-13,7.24,7.26,7.08,7.08,55432804.0,1.6546,237.20107807999997
2025-06-16,7.07,7.17,7.03,7.14,27612068.0,0.8242,239.21125671000001
2025-06-17,7.15,7.17,7.08,7.14,25134213.0,0.7502,239.21125671000001
2025-06-18,7.12,7.15,7.05,7.09,24318900.0,0.7259,237.53610784999998
2025-06-19,7.07,7.12,6.94,6.96,36057000.0,1.0762,233.18072082000003
2025-06-20,6.96,6.99,6.88,6.88,23262594.0,0.6943,230.50048265
2025-06-23,6.81,7.0,6.8,6.99,24495346.0,0.7311,234.18581014
2025-06-24,7.03,7.19,7.02,7.18,50753059.0,1.5149,240.55137579
2025-06-25,7.21,7.27,7.16,7.26,45413753.0,1.3555,243.23161395999998
2025-06-26,7.25,7.28,7.19,7.21,36924337.0,1.1021,241.55646510999998
2025-06-27,7.3,7.32,7.22,7.23,31797839.0,0.9491,242.22652465
2025-06-30,7.24,7.28,7.22,7.24,32281600.0,0.9635,242.56155442
2025-07-01,7.25,7.26,7.16,7.18,29041400.0,0.8668,240.55137579
2025-07-02,7.19,7.19,7.07,7.11,29713600.0,0.8869,238.20616739
2025-07-03,7.11,7.17,7.09,7.11,21958800.0,0.6554,238.20616739
2025-07-04,7.11,7.13,7.05,7.06,26055102.0,0.7777,236.53101854
2025-07-07,7.07,7.09,7.04,7.07,16508472.0,0.4927,236.86604831
2025-07-08,7.07,7.17,7.06,7.17,30549233.0,0.9118,240.21634602
2025-07-09,7.18,7.18,7.11,7.14,23915663.0,0.7138,239.21125671000001
2025-07-10,7.13,7.22,7.11,7.2,35780254.0,1.068,241.22143534
2025-07-11,7.19,7.3,7.16,7.27,46908618.0,1.4001,243.56664374000002
2025-07-14,7.29,7.32,7.21,7.23,31424888.0,0.938,242.22652465
2025-07-15,7.17,7.17,7.05,7.12,57487931.99999999,1.7159,238.54119717
2025-07-16,7.14,7.29,7.12,7.15,48712998.0,1.454,239.54628648000002
2025-07-17,7.16,7.28,7.12,7.25,41581003.0,1.2411,242.89658419
2025-07-18,7.26,7.35,7.23,7.27,41650902.0,1.2432,243.56664374000002
2025-07-21,7.26,7.32,7.22,7.29,37355901.0,1.115,244.23670328000003
2025-07-22,7.3,7.31,7.21,7.29,35999695.0,1.0745,244.23670328000003
2025-07-23,7.37,7.61,7.37,7.45,115430510.00000001,3.4454,249.59717962000002
2025-07-24,7.5,7.58,7.47,7.55,63945782.99999999,1.9087,252.94747733
2025-07-25,7.61,7.74,7.53,7.73,91524047.0,2.7318,258.97801321000003
2025-07-28,7.81,7.85,7.55,7.56,86937755.0,2.5949,253.2825071
2025-07-29,7.52,7.59,7.46,7.59,45000542.0,1.3432,254.28759641999997
2025-07-30,7.57,7.58,7.42,7.46,41356300.0,1.2344,249.93220939000003
2025-07-31,7.45,7.52,7.36,7.38,42964200.0,1.2824,247.25197122
2025-08-01,7.39,7.47,7.32,7.45,37753764.0,1.1269,249.59717962000002
2025-08-04,7.4,7.51,7.36,7.51,42119097.0,1.2572,251.60735825
2025-08-05,7.52,7.52,7.43,7.48,30854226.0,0.9209,250.60226893
2025-08-06,7.46,7.68,7.43,7.64,65111769.99999999,1.9435,255.96274526999997
2025-08-07,7.65,7.68,7.55,7.58,37521441.0,1.1199,253.95256665
2025-08-08,7.57,7.57,7.46,7.47,35362844.0,1.0555,250.26723916000003
2025-08-11,7.47,7.57,7.47,7.54,35417670.0,1.0571,252.61244756
2025-08-12,7.53,7.58,7.49,7.56,31411977.0,0.9376,253.2825071
2025-08-13,7.56,7.67,7.53,7.64,50606278.0,1.5105,255.96274526999997
2025-08-14,7.66,7.71,7.54,7.63,62165325.0,1.8555,255.6277155
2025-08-15,7.64,7.7,7.58,7.7,50298785.0,1.5013,257.9729239
2025-08-18,7.75,7.99,7.71,7.92,90000606.0,2.6863,265.34357887
2025-08-19,7.92,8.09,7.87,7.97,89713769.0,2.6778,267.01872773
2025-08-20,7.97,8.08,7.84,8.07,74420840.0,2.2213,270.36902544
2025-08-21,8.08,8.13,7.92,7.97,61536419.99999999,1.8367,267.01872773
2025-08-22,7.99,8.15,7.99,8.13,80020861.0,2.3885,272.37920406999996
2025-08-25,8.21,8.25,8.02,8.07,93465508.0,2.7898,270.36902544
2025-08-26,8.05,8.16,8.01,8.09,70051640.0,2.0909,271.03908498
2025-08-27,8.12,8.58,8.12,8.14,147154125.0,4.3923,272.71423383999996
2025-08-28,8.14,8.34,8.02,8.27,117649597.0,3.5116,277.06962087
2025-08-29,8.38,8.4,8.14,8.19,79349952.0,2.3684,274.38938269000005
2025-09-01,8.17,8.33,8.17,8.24,67432397.0,2.0127,276.06453155
2025-09-02,8.25,8.26,7.9,7.94,83538236.0,2.4935,266.01363841
2025-09-03,7.97,8.1,7.78,7.81,67212200.0,2.0062,261.65825139000003
2025-09-04,7.8,7.88,7.49,7.62,66534342.00000001,1.9859,255.29268573
2025-09-05,7.63,7.78,7.56,7.78,45566472.0,1.3601,260.65316207
2025-09-08,7.81,7.9,7.69,7.77,47497520.0,1.4177,260.3181323
2025-09-09,7.76,7.77,7.54,7.56,48895339.0,1.4594,253.2825071
2025-09-10,7.55,7.64,7.54,7.55,31082212.0,0.9277,252.94747733
2025-09-11,7.56,7.95,7.46,7.95,83042328.0,2.4787,266.34866818
2025-09-12,7.95,8.17,7.9,8.08,78885110.0,2.3546,270.70405521
2025-09-15,8.07,8.13,7.94,7.99,51495190.0,1.537,267.68878727000003
2025-09-16,7.98,8.12,7.94,8.07,47859997.0,1.4285,270.36902544
2025-09-17,8.06,8.09,7.99,8.05,40732653.0,1.2158,269.6989659
2025-09-18,8.06,8.21,7.84,7.93,84826430.0,2.5319,265.67860864
2025-09-19,7.92,8.05,7.82,7.9,46474900.0,1.3872,264.67351933
2025-09-22,7.99,8.05,7.88,7.99,40547992.0,1.2103,267.68878727000003
2025-09-23,7.99,7.99,7.65,7.82,62055343.99999999,1.8522,261.99328116000004
2025-09-24,7.75,8.19,7.75,8.14,89803472.0,2.6805,272.71423383999996
2025-09-25,8.11,8.17,8.06,8.07,59777648.0,1.7842,270.36902544
2025-09-26,8.07,8.07,7.92,7.92,53157348.0,1.5866,265.34357887
2025-09-29,7.92,8.03,7.86,7.99,40396410.0,1.2058,267.68878727000003
2025-09-30,8.0,8.23,7.99,8.11,69766073.0,2.0824,271.70914452
2025-10-09,8.18,8.4,8.15,8.34,100910874.0,3.012,279.41482926
2025-10-10,8.27,8.29,8.09,8.09,66550853.0,1.9864,271.03908498
2025-10-13,7.9,8.22,7.82,8.16,71166743.0,2.1242,273.38429338000003
2025-10-14,8.2,8.28,8.01,8.06,67263905.0,2.0077,270.03399567
2025-10-15,8.05,8.23,7.98,8.11,50317227.0,1.5019,271.70914452
2025-10-16,8.11,8.11,7.88,7.9,60926206.99999999,1.8185,264.67351933
2025-10-17,7.9,7.95,7.65,7.66,54132213.0,1.6157,256.63280482
2025-10-20,7.72,7.76,7.6,7.66,33906918.0,1.0121,256.63280482
2025-10-21,7.67,7.86,7.66,7.78,35550662.0,1.0611,260.65316207
