date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,44.63,45.13,44.32,44.55,1372923.0,1.7742,34.47451409
2025-06-04,44.87,45.93,44.6,44.68,1907743.0,2.4653,34.57511312
2025-06-05,44.6,46.08,44.45,45.96,2470537.0,3.1926,35.565626650000006
2025-06-06,45.93,46.6,45.3,46.15,1694222.0,2.1894,35.71265601
2025-06-09,46.11,46.98,46.01,46.29,1585065.0,2.0392,35.98097166
2025-06-10,46.28,46.38,44.81,45.44,1574151.0,2.0252,35.32027117
2025-06-11,45.4,45.65,44.6,45.11,1637927.0,2.1072,35.06376392
2025-06-12,45.06,45.55,44.67,45.01,1124620.0,1.4468,34.98603445
2025-06-13,44.9,45.63,43.9,44.5,1508340.0,1.9405,34.58961415
2025-06-16,43.5,45.5,43.5,45.18,1794353.0,2.3085,35.11817455
2025-06-17,45.17,45.17,43.75,44.13,1771039.0,2.2785,34.30201511
2025-06-18,44.0,45.2,43.75,44.8,1713774.0000000002,2.2048,34.82280256
2025-06-19,44.81,46.15,44.53,45.6,2639787.0,3.3961,35.444638319999996
2025-06-20,45.62,46.25,43.9,44.1,2894747.0,3.7241,34.27869627
2025-06-23,43.79,45.28,43.77,44.52,1639970.0,2.1098,34.60516004
2025-06-24,44.52,46.09,44.41,46.02,2314733.0,2.9779,35.77110209
2025-06-25,47.0,49.58,46.8,48.06,4437024.0,5.7083,37.356783279999995
2025-06-26,47.88,48.1,47.0,47.25,2956739.0,3.8039,36.727174579999996
2025-06-27,47.5,50.28,46.81,49.05,5580211.0,7.179,38.12630504
2025-06-30,50.1,50.59,49.0,49.9,4507914.0,5.7995,38.78700553
2025-07-01,50.45,51.43,49.94,50.55,5283681.0,6.7975,39.292247090000004
2025-07-02,49.65,50.09,48.6,49.41,3494775.0,4.4961,38.40613113
2025-07-03,49.38,50.07,49.0,50.0,2384794.0,3.0681,38.864734999999996
2025-07-04,49.72,50.99,49.35,49.46,3066942.0,3.9457,38.44499586
2025-07-07,49.36,49.94,48.75,49.42,1921436.0,2.472,38.41390407
2025-07-08,49.3,51.0,49.13,50.71,2906059.0,3.7387,39.41661424
2025-07-09,50.55,50.67,49.62,49.98,2094573.0,2.6947,38.84918911
2025-07-10,49.93,50.14,48.4,49.17,2591880.0,3.3345,38.2195804
2025-07-11,49.31,49.55,48.45,48.9,1611920.0,2.0738,38.00971083
2025-07-14,48.9,50.48,48.76,49.95,2591288.0,3.3337,38.82587027
2025-07-15,49.85,50.98,49.58,50.4,3150620.0,4.0533,39.175652879999994
2025-07-16,50.2,51.02,49.84,50.6,2738080.0,3.5226,39.331111820000004
2025-07-17,50.64,52.89,50.11,52.23,4743150.0,6.1021,40.59810218
2025-07-18,52.0,52.93,51.82,52.4,3463812.9999999995,4.4562,40.73024228
2025-07-21,52.0,52.3,50.4,50.85,3346930.0000000005,4.3059,39.5254355
2025-07-22,50.85,52.53,50.83,51.4,3122120.0,4.0166,39.95294758
2025-07-23,51.41,54.8,50.73,53.82,5764579.0,7.4162,41.83400075
2025-07-24,53.53,53.75,52.24,53.12,4154362.0000000005,5.3446,41.28989446
2025-07-25,52.72,53.34,51.92,52.88,3345279.0,4.3037,41.10334374
2025-07-28,52.9,55.4,52.51,55.0,4356434.0,5.6046,42.751208500000004
2025-07-29,54.67,55.55,53.76,55.2,3392005.0000000005,4.3639,42.90666744
2025-07-30,54.87,55.33,53.85,54.43,2789561.0,3.5888,42.30815052
