date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,14.67,15.06,14.65,14.93,11500601.0,1.5471,110.98723030000001
2025-06-04,14.95,15.03,14.75,15.01,11058630.0,1.4876,111.5819375
2025-06-05,15.05,15.22,14.56,14.66,12143400.0,1.6335,108.98009352
2025-06-06,14.66,14.71,14.48,14.58,7286383.0,0.9802,108.38538633
2025-06-09,14.58,15.19,14.52,14.88,15275303.0,2.0548,110.61553830999999
2025-06-10,15.18,15.99,15.0,15.61,33022903.000000004,4.4422,116.04224146
2025-06-11,15.52,15.63,15.15,15.28,16692300.0,2.2454,113.58907427999999
2025-06-12,15.21,15.49,15.01,15.38,13941500.0,1.8754,114.33245828
2025-06-13,15.33,15.44,14.75,14.84,15741940.0,2.1176,110.31818470999998
2025-06-16,15.15,15.35,14.48,14.86,22288500.0,2.9982,110.46686151
2025-06-17,15.07,15.43,14.6,14.79,26995300.0,3.6314,109.94649271
2025-06-18,14.52,14.8,14.4,14.5,16009207.0,2.1536,107.79067912999999
2025-06-19,14.53,15.13,14.38,14.5,17013800.0,2.2887,107.79067912999999
2025-06-20,14.42,14.61,14.29,14.36,9530000.0,1.282,106.74994154000001
2025-06-23,14.21,14.5,14.18,14.4,9456600.0,1.2721,107.04729513999999
2025-06-24,14.47,14.61,14.36,14.58,7105422.0,0.9558,108.38538633
2025-06-25,14.58,14.61,14.32,14.53,11790100.0,1.586,108.01369432999999
2025-06-26,14.46,14.52,14.26,14.33,8942300.0,1.2029,106.52692634
2025-06-27,14.3,14.45,14.3,14.35,5087429.0,0.6844,106.67560313999999
2025-06-30,14.35,14.42,14.21,14.39,6734680.0,0.9059,106.97295674
2025-07-01,14.51,14.72,14.39,14.68,12348406.0,1.6611,109.12877032000002
2025-07-02,14.63,14.77,14.35,14.44,8364432.000000001,1.1252,107.34464872999999
2025-07-03,14.44,14.8,14.33,14.63,11867426.0,1.5964,108.75707831999999
2025-07-04,14.63,15.1,14.5,14.9,15048045.000000002,2.0243,110.76421511
2025-07-07,14.96,15.05,14.39,14.43,15707507.0,2.113,107.27031033
2025-07-08,14.41,14.65,14.2,14.36,12559419.0,1.6895,106.74994154000001
2025-07-09,14.37,14.42,14.22,14.31,8333000.0,1.121,106.37824953999998
2025-07-10,14.32,14.62,14.22,14.35,10585026.0,1.4239,106.67560313999999
2025-07-11,14.35,14.58,14.3,14.36,8431800.0,1.1342,106.74994154000001
2025-07-14,14.32,14.42,14.22,14.32,7653000.0,1.0295,106.45258794
2025-07-15,14.25,14.56,14.0,14.52,12927826.0,1.7391,107.93935593
2025-07-16,14.49,15.08,14.4,15.07,25550800.0,3.4371,112.02796790000001
2025-07-17,15.06,15.27,14.89,15.2,15204600.0,2.0453,112.99436709
2025-07-18,15.11,15.2,14.86,15.2,10034007.0,1.3498,112.99436709
2025-07-21,15.23,15.66,14.98,15.48,14634350.0,1.9686,115.07584227
2025-07-22,15.42,15.86,15.42,15.81,18387100.0,2.4734,117.52900944999999
2025-07-23,15.67,15.8,15.52,15.63,14394863.0,1.9364,116.19091825999999
2025-07-24,15.57,15.81,15.5,15.62,9493700.0,1.2771,116.11657986000002
2025-07-25,15.65,15.97,15.53,15.72,11421606.0,1.5364,116.85996386
2025-07-28,15.71,15.84,15.6,15.65,8734293.0,1.1749,116.33959506000001
2025-07-29,15.68,16.09,15.51,16.0,12928827.0,1.7392,118.94143903999999
2025-07-30,16.28,17.6,16.28,17.6,21039860.0,2.8303,130.83558294
2025-07-31,17.6,17.92,16.8,16.9,48749835.0,6.5578,125.63189498999999
2025-08-01,16.79,17.56,16.79,16.89,35606207.0,4.7897,125.55755659
2025-08-04,17.2,17.76,17.09,17.46,37238176.0,5.0093,129.79484535
2025-08-05,17.5,17.85,17.26,17.49,28744678.999999996,3.8667,130.01786055
2025-08-06,17.6,18.35,17.42,18.15,33561419.0,4.5147,134.92419491
2025-08-07,17.97,18.28,17.23,17.37,28572451.0,3.8436,129.12579975999998
2025-08-08,17.33,17.36,16.9,17.19,14440454.999999998,1.9425,127.78770856999999
2025-08-11,17.18,17.36,17.1,17.25,11747500.0,1.5803,128.23373897
2025-08-12,17.2,17.49,16.97,17.11,11068300.0,1.4889,127.19300137
2025-08-13,17.07,17.63,17.03,17.55,20488474.0,2.7561,130.46389095
2025-08-14,17.72,18.68,17.6,18.29,34994680.0,4.7075,135.9649325
2025-08-15,18.06,18.64,18.01,18.1,26963477.0,3.6271,134.55250291
2025-08-18,18.07,18.12,17.5,17.68,25996339.0,3.497,131.43029014
2025-08-19,17.73,18.26,17.69,17.75,20047157.0,2.6967,131.95065893999998
2025-08-20,17.76,18.07,17.38,17.64,14706429.999999998,1.9783,131.13293654
2025-08-21,17.67,17.93,17.51,17.53,10457400.0,1.4067,130.31521415
2025-08-22,17.61,18.06,17.4,17.57,14786454.0,1.9891,130.61256775
2025-08-25,17.57,18.1,17.48,17.61,19886366.0,2.6751,130.90992134
2025-08-26,17.77,17.92,17.45,17.51,13932335.0,1.8742,130.16653735
2025-08-27,17.55,17.6,16.43,16.49,24377631.0,3.2793,122.58402061000001
2025-08-28,16.5,16.73,15.94,16.39,16429004.999999998,2.21,121.84063662
2025-08-29,16.65,17.56,16.53,16.71,21642773.0,2.9114,124.2194654
2025-09-01,16.66,16.88,16.53,16.66,11840440.0,1.5928,123.8477734
2025-09-02,16.66,16.7,16.09,16.17,12788100.0,1.7203,120.20519183
2025-09-03,16.25,16.33,15.98,16.03,9324437.0,1.2543,119.16445424
2025-09-04,16.03,16.47,15.73,15.99,15318300.0,2.0606,118.86710064
2025-09-05,15.97,16.38,15.8,16.33,12285500.0,1.6526,121.39460622
2025-09-08,16.45,16.56,16.17,16.41,10048835.0,1.3518,121.98931342
2025-09-09,16.43,16.43,15.8,15.92,11708623.0,1.575,118.34673184
2025-09-10,15.95,16.1,15.78,15.88,6925242.999999999,0.9316,118.04937825
2025-09-11,15.7,15.96,15.4,15.96,14584903.0,1.962,118.64408544000001
2025-09-12,16.01,16.2,15.82,16.11,9850995.0,1.3252,119.75916143
2025-09-15,16.14,16.24,15.77,15.8,9906689.0,1.3326,117.45467105
2025-09-16,15.8,15.94,15.56,15.93,8078849.000000001,1.0868,118.42107024
2025-09-17,15.94,16.19,15.85,15.95,8792599.0,1.1828,118.56974704
2025-09-18,15.95,16.17,15.59,15.74,11340119.0,1.5255,117.00864066000001
2025-09-19,15.81,15.81,15.31,15.43,9884600.0,1.3297,114.70415027000001
2025-09-22,15.51,15.63,15.34,15.42,6292815.0,0.8465,114.62981187
2025-09-23,15.44,15.44,14.83,15.08,9550215.0,1.2847,112.10230630000001
2025-09-24,15.35,15.36,14.93,15.36,9237300.0,1.2426,114.18378148000001
2025-09-25,15.38,15.75,15.01,15.06,16218214.000000002,2.1817,111.95362949999999
2025-09-26,15.0,15.14,14.81,14.84,9558803.0,1.2858,110.31818470999998
2025-09-29,14.82,15.14,14.63,14.98,8645735.0,1.163,111.3589223
2025-09-30,14.99,15.45,14.86,15.2,8489100.0,1.142,112.99436709
2025-10-09,15.19,15.29,14.89,14.94,10929225.0,1.4702,111.0615687
2025-10-10,14.99,15.18,14.9,15.0,6081100.0,0.818,111.5075991
2025-10-13,14.63,14.95,14.52,14.95,8852799.0,1.1909,111.1359071
2025-10-14,14.96,15.05,14.41,14.48,9576800.0,1.2883,107.64200233
2025-10-15,14.52,14.73,14.43,14.67,6017278.0,0.8094,109.05443192
2025-10-16,14.68,14.86,14.52,14.63,6523377.0,0.8775,108.75707831999999
2025-10-17,14.78,14.86,14.41,14.5,7716028.0,1.038,107.79067912999999
2025-10-20,14.61,14.65,14.35,14.52,5408638.0,0.7276,107.93935593
2025-10-21,14.54,14.83,14.48,14.79,6242040.0,0.8397,109.94649271
2025-10-22,14.79,14.96,14.61,14.64,5998574.0,0.8069,108.83141672
2025-10-23,14.62,14.66,14.3,14.45,6656353.999999999,0.8954,107.41898713
2025-10-24,14.46,14.57,14.34,14.46,5188400.0,0.6979,107.49332553
2025-10-27,14.45,14.68,14.37,14.56,6770300.0,0.9107,108.23670953
2025-10-28,14.57,15.37,14.5,15.33,16984610.0,2.2848,113.96076628
2025-10-29,15.17,15.37,14.89,15.01,11028246.0,1.4835,111.5819375
2025-10-30,15.02,15.05,14.61,14.76,9547988.0,1.2844,109.72347751
2025-10-31,14.78,15.7,14.78,15.6,17656676.0,2.3752,115.96790306
2025-11-03,15.7,15.93,15.43,15.76,13758066.0,1.8507,117.15731745
2025-11-04,15.7,15.7,15.28,15.39,8788271.0,1.1822,114.40679668
2025-11-05,15.25,15.69,15.18,15.52,8163484.0,1.0982,115.37319587
2025-11-06,15.47,15.65,15.32,15.58,7196975.999999999,0.9681,115.81922627
2025-11-07,15.58,15.66,15.44,15.55,4620339.0,0.6215,115.59621107000001
2025-11-10,15.59,15.88,15.48,15.77,8599700.0,1.1568,117.23165585000001
2025-11-11,15.76,15.9,15.63,15.8,5421005.0,0.7292,117.45467105
2025-11-12,15.77,16.14,15.71,16.03,9941425.0,1.3373,119.16445424
2025-11-13,16.03,16.12,15.68,15.74,8578107.0,1.1539,117.00864066000001
2025-11-14,15.69,15.84,15.5,15.68,7972053.999999999,1.0724,116.56261026000001
2025-11-17,15.56,15.66,15.36,15.37,7273198.0,0.9784,114.25811988
2025-11-18,15.34,15.43,15.22,15.32,4405314.0,0.5926,113.88642788
