date,open,high,low,close,volume
2025-06-03,19.62,20.86,19.6,20.4,2706000.0
2025-06-04,20.31,21.26,20.31,21.1,3159000.0
2025-06-05,21.08,21.25,20.87,21.02,1862300.0
2025-06-06,21.03,21.17,20.66,20.97,1809200.0
2025-06-09,20.95,21.37,20.71,21.3,2213820.0
2025-06-10,21.29,21.43,20.78,21.22,2701600.0
2025-06-11,21.22,21.57,21.11,21.45,1648679.0
2025-06-12,21.32,21.66,21.28,21.66,1871220.0
2025-06-13,21.56,21.69,20.77,20.93,2158300.0
2025-06-16,20.8,22.72,20.75,22.28,5423920.0
2025-06-17,21.83,22.16,21.21,21.36,4166357.0
2025-06-18,21.14,21.33,20.68,20.93,2158600.0
2025-06-19,20.9,20.95,20.29,20.4,1824379.0
2025-06-20,20.44,20.6,20.36,20.56,938957.0
2025-06-23,20.31,20.51,19.92,20.19,2053177.0
2025-06-24,20.18,20.6,20.08,20.59,1593246.0
2025-06-25,20.69,20.88,20.33,20.73,1912066.0
2025-06-26,20.73,20.85,20.36,20.4,1887746.0
2025-06-27,20.3,20.5,19.6,20.46,4048946.0
2025-06-30,20.36,20.63,20.35,20.49,2130328.0
2025-07-01,20.5,20.54,20.15,20.31,1471800.0
2025-07-02,20.22,20.28,19.77,19.94,2166280.0
2025-07-03,20.0,21.9,20.0,20.94,6542925.0
2025-07-04,20.66,20.81,20.02,20.09,4212000.0
2025-07-07,20.09,20.27,19.89,20.24,1611826.0
2025-07-08,20.24,20.36,19.95,20.21,2487300.0
2025-07-09,20.17,20.22,20.05,20.13,1827400.0
2025-07-10,20.13,20.24,20.02,20.16,1360020.0
2025-07-11,20.08,20.2,19.97,20.08,1572400.0
2025-07-14,20.1,20.21,20.02,20.11,1179936.0
2025-07-15,20.13,20.15,19.73,19.99,1634736.0
2025-07-16,20.07,21.74,20.07,20.78,7917853.0
2025-07-17,20.46,20.93,20.15,20.51,4196217.0
2025-07-18,20.43,20.63,20.34,20.51,1995864.0
2025-07-21,20.54,20.75,20.39,20.72,2162888.0
2025-07-22,20.72,20.73,20.23,20.41,3502813.0
2025-07-23,20.43,20.58,20.29,20.31,2135367.0
2025-07-24,20.31,20.49,20.18,20.38,2814700.0
2025-07-25,20.4,20.72,20.28,20.65,2866268.0
2025-07-28,20.66,20.75,20.41,20.54,1993200.0
2025-07-29,20.5,20.52,20.21,20.49,1965390.0
2025-07-30,20.49,20.71,20.31,20.59,2759300.0
2025-07-31,20.55,20.55,20.15,20.25,2165700.0
2025-08-01,20.28,20.5,20.2,20.32,1441800.0
2025-08-04,20.27,20.51,20.09,20.5,1533800.0
2025-08-05,20.52,21.09,20.52,20.82,3745000.0
2025-08-06,20.89,21.03,20.71,20.9,2080980.0
2025-08-07,21.0,21.06,20.79,20.91,1766800.0
2025-08-08,20.81,20.98,20.65,20.92,1478790.0
2025-08-11,20.91,21.69,20.88,21.37,3214046.0
2025-08-12,21.37,22.8,21.37,22.4,6929324.0
2025-08-13,22.5,22.75,21.92,21.99,4016800.0
2025-08-14,22.06,22.18,21.45,21.47,2448200.0
2025-08-15,21.64,21.85,21.46,21.85,2266520.0
2025-08-18,21.85,22.05,21.54,21.81,2797820.0
2025-08-19,21.83,22.41,21.72,22.06,3202029.0
2025-08-20,21.93,22.39,21.74,22.37,2354120.0
2025-08-21,22.39,22.8,22.23,22.54,2979900.0
2025-08-22,22.54,22.54,22.02,22.42,2547372.0
2025-08-25,22.43,22.63,22.2,22.49,2473348.0
2025-08-26,22.48,23.59,22.26,23.43,4854948.0
2025-08-27,23.72,24.08,22.77,22.93,4405484.0
2025-08-28,22.85,23.34,21.93,22.6,4633776.0
2025-08-29,22.46,22.8,22.17,22.38,2816284.0
2025-09-01,22.37,23.35,22.15,22.99,4307924.0
2025-09-02,22.81,23.18,22.35,22.66,2450290.0
2025-09-03,22.78,22.86,21.97,22.05,1818520.0
2025-09-04,22.06,22.71,21.9,22.29,2673468.0
2025-09-05,22.34,24.44,22.2,23.8,6622671.0
2025-09-08,23.72,23.97,23.55,23.75,2997333.0
2025-09-09,23.58,23.79,23.23,23.47,1949760.0
2025-09-10,23.4,23.93,23.17,23.38,2506477.0
2025-09-11,23.38,23.77,22.75,23.4,2595707.0
2025-09-12,23.53,24.28,23.22,23.86,4167817.0
2025-09-15,23.95,24.5,23.66,24.36,3797034.0
2025-09-16,24.36,26.26,24.22,25.32,7362141.0
2025-09-17,25.4,25.41,24.85,24.93,3323501.0
2025-09-18,25.12,26.37,24.7,25.29,5473639.0
2025-09-19,25.27,26.18,24.89,25.6,4544299.0
2025-09-22,25.7,25.7,24.42,24.67,3287499.0
2025-09-23,24.89,25.2,23.8,24.29,3808897.0
2025-09-24,24.17,24.63,24.01,24.32,2621898.0
2025-09-25,24.19,24.42,23.88,23.94,1713200.0
2025-09-26,23.73,23.96,23.44,23.61,1741900.0
2025-09-29,23.61,23.94,23.17,23.72,1507718.0
2025-09-30,23.72,23.82,23.27,23.6,1232104.0
2025-10-09,23.65,24.16,23.0,23.15,2553399.0
2025-10-10,23.06,24.18,23.05,23.79,3026309.0
2025-10-13,22.8,23.88,22.41,23.59,2791132.0
2025-10-14,23.68,23.78,22.61,22.7,2185728.0
2025-10-15,22.7,23.49,22.57,23.45,2081000.0
2025-10-16,23.29,23.51,22.43,22.62,2234765.0
2025-10-17,22.48,22.75,22.25,22.3,1743850.0
2025-10-20,22.47,23.04,22.31,22.86,1611750.0
2025-10-21,22.89,23.45,22.71,23.37,1421808.0
2025-10-22,23.35,23.75,23.3,23.4,1532100.0
2025-10-23,23.4,24.1,23.25,24.06,2174788.0
2025-10-24,24.08,24.14,23.7,23.78,1063600.0
2025-10-27,23.78,24.38,23.78,24.29,1381721.0
2025-10-28,24.21,24.21,23.9,24.06,1014634.0
2025-10-29,24.03,24.03,22.3,23.04,5318856.0
2025-10-30,23.05,23.34,22.67,22.82,2118375.0
2025-10-31,22.92,23.38,22.31,23.25,2096500.0
2025-11-03,23.24,23.47,23.0,23.42,2004420.0
2025-11-04,23.42,23.42,22.95,23.14,1501200.0
2025-11-05,22.92,23.63,22.9,23.47,1401658.0
2025-11-06,23.67,24.13,23.36,23.9,1596801.0
2025-11-07,23.88,24.2,23.7,23.89,1258900.0
2025-11-10,23.9,24.39,23.8,24.39,1833407.0
2025-11-11,24.38,24.47,23.91,24.09,1245628.0
2025-11-12,24.09,25.89,23.92,25.04,3953151.0
2025-11-13,25.14,26.06,24.7,25.68,4097137.0
2025-11-14,25.51,26.53,25.18,25.9,4809792.0
2025-11-17,25.77,26.38,25.51,25.59,3875600.0
2025-11-18,25.52,25.78,25.1,25.28,3074523.0
2025-11-19,25.28,25.57,24.83,25.06,1832585.0
2025-11-20,25.06,25.27,24.31,24.58,1862516.0
2025-11-21,24.48,24.66,23.25,23.49,1996903.0
