date,open,high,low,close,volume
2025-06-03,51.88,52.95,51.79,52.62,1947270.0
2025-06-04,52.87,54.12,52.3,53.65,1696350.0
2025-06-05,53.7,54.49,52.86,54.26,1520015.0
2025-06-06,54.01,54.63,53.2,53.7,1309990.0
2025-06-09,53.75,55.44,53.35,55.2,2616118.0
2025-06-10,55.66,56.99,54.9,55.31,3394160.0
2025-06-11,55.33,55.8,54.5,54.97,1787000.0
2025-06-12,55.2,60.88,54.78,59.8,5334227.0
2025-06-13,61.25,61.5,58.63,58.79,3200359.0
2025-06-16,58.28,59.28,57.54,58.4,2723546.0
2025-06-17,59.0,59.01,55.31,55.75,3090170.0
2025-06-18,55.2,56.19,54.75,55.36,2001715.0
2025-06-19,55.21,55.43,54.09,54.34,1511800.0
2025-06-20,54.24,54.63,52.8,52.89,1615850.0
2025-06-23,52.61,53.84,52.24,52.94,1677950.0
2025-06-24,53.3,57.79,53.03,57.48,3219690.0
2025-06-25,57.6,59.18,57.58,58.63,2514314.0
2025-06-26,58.63,58.89,56.65,58.42,1769700.0
2025-06-27,58.45,61.88,58.1,61.24,3087708.0
2025-06-30,61.35,73.33,61.05,71.53,7099029.0
2025-07-01,71.17,73.33,70.2,72.62,4668082.0
2025-07-02,71.8,73.98,69.06,70.89,3356245.0
2025-07-03,71.0,74.24,70.18,72.78,3669047.0
2025-07-04,72.85,73.52,70.58,71.31,3631913.0
2025-07-07,71.8,71.8,67.59,68.12,3764900.0
2025-07-08,68.0,69.74,67.5,68.98,2643401.0
2025-07-09,68.9,70.7,68.23,69.8,3195839.0
2025-07-10,70.5,70.95,67.84,68.4,2245328.0
2025-07-11,48.2,50.37,48.18,49.66,3301030.0
2025-07-14,49.5,51.13,48.73,51.04,4071642.0
2025-07-15,50.4,51.98,50.08,51.38,4333545.0
2025-07-16,51.1,51.39,49.21,50.45,4148600.0
2025-07-17,50.82,52.38,50.22,52.18,3640560.0
2025-07-18,52.17,52.5,51.2,51.65,3209451.0
2025-07-21,51.65,51.65,50.0,51.14,3138360.0
2025-07-22,51.37,53.9,50.92,52.03,3953634.0
2025-07-23,51.7,55.5,51.3,54.05,5725094.0
2025-07-24,54.1,55.8,53.8,54.14,5356680.0
2025-07-25,53.95,54.9,52.52,52.72,3682260.0
2025-07-28,52.49,53.27,52.25,52.43,2192380.0
2025-07-29,52.66,56.78,51.66,56.66,5957728.0
2025-07-30,57.01,57.5,54.72,55.41,4146928.0
2025-07-31,55.39,58.49,54.7,56.31,3918091.0
2025-08-01,55.8,56.8,54.78,54.8,3091803.0
2025-08-04,54.0,55.8,53.0,55.59,2633636.0
2025-08-05,55.5,56.4,54.4,55.18,2262923.0
2025-08-06,55.0,55.98,53.67,54.01,2752432.0
2025-08-07,53.89,55.15,53.36,53.97,2077694.0
2025-08-08,53.77,53.97,51.59,51.92,3430370.0
2025-08-11,51.89,54.42,51.5,53.7,3011278.0
2025-08-12,53.5,54.48,52.9,54.16,2118650.0
2025-08-13,54.04,57.37,53.88,57.12,3983804.0
2025-08-14,57.13,58.1,56.62,57.25,2927640.0
2025-08-15,55.29,55.88,53.56,55.21,5068011.0
2025-08-18,55.18,56.67,54.57,55.93,3429915.0
2025-08-19,55.7,59.18,55.6,56.68,3557076.0
2025-08-20,56.41,56.67,54.85,56.52,2094142.0
2025-08-21,56.83,58.36,56.48,57.93,2876717.0
2025-08-22,59.51,61.2,57.52,57.83,3181651.0
2025-08-25,57.98,59.97,57.78,59.22,3004313.0
2025-08-26,59.18,60.25,56.85,57.0,2815516.0
2025-08-27,57.0,59.49,56.2,56.28,2844876.0
2025-08-28,56.4,56.95,53.33,54.6,3247625.0
2025-08-29,54.28,58.88,54.21,58.61,4278428.0
2025-09-01,58.84,60.15,58.0,59.83,2878030.0
2025-09-02,59.54,60.1,57.36,58.43,2128135.0
2025-09-03,59.05,65.99,58.44,65.5,5650548.0
2025-09-04,64.02,64.4,58.51,60.4,5686030.0
2025-09-05,61.28,61.43,57.18,58.64,5372985.0
2025-09-08,58.01,60.48,57.66,60.45,3767080.0
2025-09-09,59.93,60.0,56.7,56.8,3483960.0
2025-09-10,57.29,61.88,57.29,60.8,4529565.0
2025-09-11,59.99,60.11,54.5,58.32,6492503.0
2025-09-12,59.36,59.96,57.02,58.97,4281113.0
2025-09-15,58.71,59.95,57.71,58.0,2860645.0
2025-09-16,58.03,61.65,57.61,61.25,5273309.0
2025-09-17,61.04,62.0,58.76,59.7,2788359.0
2025-09-18,59.98,61.28,58.88,59.86,3373580.0
2025-09-19,59.96,61.41,58.33,58.78,1949650.0
2025-09-22,58.55,62.16,58.23,61.75,3825694.0
2025-09-23,61.0,61.6,58.08,59.48,2833340.0
2025-09-24,59.24,61.34,58.9,60.1,1976559.0
2025-09-25,60.11,63.75,59.81,62.16,4345511.0
2025-09-26,61.82,61.82,59.55,59.9,2699030.0
2025-09-29,59.4,59.71,57.4,58.51,2003060.0
2025-09-30,58.7,60.18,58.41,59.56,2006870.0
2025-10-09,59.38,63.38,59.03,61.67,2915322.0
2025-10-10,62.26,64.69,60.68,61.4,2829940.0
2025-10-13,59.59,63.16,57.12,57.65,3702060.0
2025-10-14,58.49,59.33,54.16,54.86,3187190.0
2025-10-15,54.58,58.0,54.4,57.73,2799831.0
2025-10-16,57.73,59.94,56.92,57.35,2194090.0
2025-10-17,57.51,57.9,56.08,56.2,1391790.0
2025-10-20,56.22,59.29,56.02,58.28,2217770.0
2025-10-21,58.81,61.3,57.81,60.98,2571932.0
2025-10-22,60.89,61.28,59.8,60.27,1294254.0
2025-10-23,60.01,61.95,59.0,60.37,2310187.0
2025-10-24,60.5,63.57,60.0,63.32,3175669.0
2025-10-27,63.82,65.97,63.82,64.62,2288480.0
2025-10-28,64.7,64.86,63.32,64.61,1963850.0
2025-10-29,65.27,68.1,63.33,64.4,3764547.0
2025-10-30,64.96,64.96,61.95,62.13,2497290.0
2025-10-31,62.76,65.88,61.34,64.77,2764210.0
2025-11-03,65.0,66.0,59.67,62.44,4319600.0
2025-11-04,62.8,62.89,59.75,60.35,1871112.0
2025-11-05,60.0,60.69,59.06,60.35,1688155.0
2025-11-06,60.0,60.79,59.8,60.6,1174100.0
2025-11-07,60.74,60.83,59.53,59.8,1200890.0
2025-11-10,60.16,61.96,59.5,61.28,1748720.0
2025-11-11,61.29,62.28,60.53,61.28,955877.0
2025-11-12,61.22,62.92,60.84,62.65,2016872.0
2025-11-13,62.19,63.17,61.7,62.49,1394490.0
2025-11-14,61.85,62.95,61.57,62.03,1047783.0
2025-11-17,62.11,62.64,59.75,60.08,1545810.0
2025-11-18,60.05,61.7,59.9,60.3,1268373.0
2025-11-19,60.6,60.79,58.58,59.46,1329810.0
2025-11-20,59.93,61.78,59.02,59.62,1578218.0
2025-11-21,59.53,59.64,57.24,57.35,1636513.0
2025-11-24,57.41,58.84,57.34,58.22,957180.0
2025-11-25,59.13,59.2,57.37,57.77,988330.0
2025-11-26,57.84,59.8,57.67,58.32,1110485.0
2025-11-27,58.3,59.48,58.3,58.7,975040.0
2025-11-28,58.53,59.2,57.9,58.56,716001.0
2025-12-01,58.45,58.75,56.05,56.42,2352083.0
2025-12-02,56.42,56.55,54.98,55.31,2026857.0
2025-12-03,55.1,56.0,55.1,55.75,1220364.0
2025-12-04,55.88,55.88,54.52,54.82,1294253.0
2025-12-05,54.82,56.0,54.82,55.5,1604887.0
2025-12-08,55.83,56.21,54.61,55.44,1201594.0
2025-12-09,55.26,55.3,53.6,54.07,2169690.0
2025-12-10,54.01,55.27,53.51,55.11,1418884.0
2025-12-11,55.6,55.6,54.11,54.21,1149718.0
2025-12-12,54.46,54.6,53.55,54.17,985715.0
2025-12-15,54.16,54.28,52.71,52.71,1579859.0
2025-12-16,52.82,53.13,52.14,52.28,1204900.0
2025-12-17,52.27,52.62,50.81,52.13,2405170.0
2025-12-18,51.98,53.21,51.65,52.41,1620299.0
