date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,5.55,5.6,5.52,5.58,11819600.0,1.3205,49.94612947
2025-06-04,5.59,5.67,5.58,5.65,12590700.0,1.4066,50.57269382
2025-06-05,5.63,5.69,5.58,5.62,11337910.0,1.2667,50.30416624
2025-06-06,5.6,5.7,5.58,5.66,12943902.0,1.4461,50.66220301
2025-06-09,5.64,5.71,5.62,5.7,14125167.000000002,1.5781,51.02023978
2025-06-10,5.7,5.71,5.56,5.6,17809310.0,1.9897,50.12514786
2025-06-11,5.6,5.8,5.59,5.7,26745300.0,2.988,51.02023978
2025-06-12,5.69,5.7,5.58,5.62,17498400.0,1.9549,50.30416624
2025-06-13,6.1,6.18,5.92,6.18,126025355.0,14.0796,55.31668103
2025-06-16,6.1,6.2,5.93,6.02,116191172.0,12.9809,53.88453395
2025-06-17,6.04,6.44,5.9,6.24,104864163.99999999,11.7155,55.85373618
2025-06-18,6.25,6.28,6.05,6.06,57361293.99999999,6.4084,54.242570719999996
2025-06-19,6.04,6.09,5.76,5.92,62760522.0,7.0116,52.989442020000006
2025-06-20,5.92,6.28,5.84,5.98,57811600.0,6.4587,53.52649717
2025-06-23,6.1,6.25,6.07,6.19,65465934.0,7.3139,55.40619022
2025-06-24,5.95,6.02,5.82,5.98,62442100.0,6.9761,53.52649717
2025-06-25,5.97,6.01,5.85,5.94,42718138.0,4.7725,53.16846040000001
2025-06-26,5.92,5.97,5.87,5.88,35287372.0,3.9423,52.63140525
2025-06-27,5.88,5.94,5.87,5.88,24374001.0,2.7231,52.63140525
2025-06-30,5.9,5.92,5.84,5.89,20330793.0,2.2714,52.72091444
2025-07-01,5.91,6.02,5.88,5.98,32960723.0,3.6824,53.52649717
2025-07-02,6.01,6.18,5.99,6.12,52936640.0,5.9141,54.779625870000004
2025-07-03,6.18,6.18,6.05,6.09,35158802.0,3.928,54.51109828999999
2025-07-04,6.08,6.09,5.95,5.97,27171414.0,3.0356,53.43698798
2025-07-07,5.95,5.99,5.91,5.94,15725900.0,1.7569,53.16846040000001
2025-07-08,5.95,6.03,5.93,6.02,19692128.0,2.2,53.88453395
2025-07-09,5.99,6.05,5.92,5.93,20378414.0,2.2767,53.07895121000001
2025-07-10,5.92,6.02,5.91,6.02,20516442.0,2.2921,53.88453395
2025-07-11,6.02,6.04,5.95,5.98,19882501.0,2.2213,53.52649717
2025-07-14,5.97,6.06,5.95,5.97,19818205.0,2.2141,53.43698798
2025-07-15,5.85,5.85,5.65,5.69,40268211.0,4.4988,50.930730589999996
2025-07-16,5.68,5.73,5.66,5.71,13572491.0,1.5163,51.10974897
2025-07-17,5.7,5.73,5.69,5.71,10666000.0,1.1916,51.10974897
2025-07-18,5.72,5.79,5.72,5.76,15522000.0,1.7341,51.55729494
2025-07-21,5.95,6.12,5.9,6.01,52579977.0,5.8743,53.79502475
2025-07-22,6.02,6.35,5.94,6.31,71932350.0,8.0363,56.480300529999994
2025-07-23,6.38,6.58,6.13,6.15,64499700.0,7.2059,55.048153449999994
2025-07-24,6.15,6.49,6.08,6.39,56155101.0,6.2737,57.19637407
2025-07-25,6.36,6.54,6.3,6.31,54066001.0,6.0403,56.480300529999994
2025-07-28,6.17,6.25,6.11,6.17,30545840.000000004,3.4126,55.227171829999996
2025-07-29,6.18,6.19,6.03,6.14,23782261.0,2.657,54.95864425999999
2025-07-30,6.14,6.34,6.05,6.14,33051463.0,3.6925,54.95864425999999
2025-07-31,6.08,6.12,5.92,5.94,30703200.0,3.4302,53.16846040000001
2025-08-01,6.0,6.0,5.92,5.96,14101500.0,1.5754,53.34747879
2025-08-04,5.92,5.98,5.89,5.96,11796100.0,1.3179,53.34747879
2025-08-05,5.96,6.09,5.96,6.06,19739083.0,2.2053,54.242570719999996
2025-08-06,6.21,6.25,6.02,6.08,31605101.0,3.5309,54.42158909999999
2025-08-07,6.06,6.09,6.0,6.02,19373100.0,2.1644,53.88453395
2025-08-08,6.0,6.05,5.96,6.03,13352000.0,1.4917,53.97404314
2025-08-11,6.04,6.05,5.99,6.04,16695468.0,1.8652,54.06355233
2025-08-12,6.04,6.17,6.01,6.11,32169469.0,3.594,54.69011668
2025-08-13,6.09,6.15,6.06,6.08,18305800.0,2.0451,54.42158909999999
2025-08-14,6.07,6.12,5.94,5.95,23989500.0,2.6801,53.2579696
2025-08-15,5.95,6.01,5.94,5.98,14384078.0,1.607,53.52649717
2025-08-18,5.97,6.01,5.95,5.98,23543224.0,2.6303,53.52649717
2025-08-19,5.97,5.99,5.92,5.95,17273574.0,1.9298,53.2579696
2025-08-20,5.94,6.0,5.91,6.0,19232533.0,2.1487,53.70551556000001
2025-08-21,6.0,6.07,5.98,6.03,20897601.0,2.3347,53.97404314
2025-08-22,6.01,6.01,5.92,5.97,23157888.0,2.5872,53.43698798
