date,open,high,low,close,volume
2026-01-05,106.8,109.73,106.67,109.38,5271197.0
2026-01-06,109.37,111.58,108.68,111.36,6201004.0
2026-01-07,111.38,113.67,110.6,112.0,6291952.0
2026-01-08,112.0,113.86,111.3,113.02,5643978.0
2026-01-09,112.58,113.77,112.12,113.7,5487461.0
2026-01-12,111.77,115.45,110.22,115.44,10963597.0
2026-01-13,115.44,119.0,113.03,113.39,10515546.0
2026-01-14,113.3,119.69,113.3,116.97,12426840.0
2026-01-15,116.0,117.36,114.01,115.77,6846176.0
2026-01-16,116.36,119.25,114.3,117.6,8420763.0
2026-01-19,117.4,117.9,114.37,115.06,7417412.0
2026-01-20,115.06,116.35,112.76,113.5,5416373.0
2026-01-21,112.58,120.82,112.58,117.43,12256638.0
2026-01-22,119.01,119.5,114.89,115.61,7219195.0
2026-01-23,115.95,116.39,114.5,115.66,6137225.0
2026-01-26,115.59,116.1,110.6,111.45,7316564.0
2026-01-27,110.79,112.69,109.0,111.18,6953117.0
2026-01-28,111.58,112.55,108.1,108.49,7225792.0
2026-01-29,107.98,109.2,105.0,105.11,7131895.0
2026-01-30,104.27,105.5,102.4,103.1,5667288.0
2026-02-02,102.98,102.98,98.2,98.24,7089411.0
2026-02-03,99.5,99.9,97.66,99.59,4123527.0
2026-02-04,98.89,98.9,96.44,97.98,4650101.0
2026-02-05,97.01,98.93,97.01,98.15,3716854.0
2026-02-06,97.51,98.55,96.89,97.25,3789315.0
2026-02-09,98.25,99.4,97.51,98.99,3980147.0
2026-02-10,99.0,99.98,98.48,99.47,3250374.0
2026-02-11,99.55,100.5,98.96,100.14,3105546.0
2026-02-12,100.3,103.87,99.22,102.3,5164500.0
2026-02-13,101.5,106.8,101.31,105.63,7504092.0
2026-02-24,104.9,105.6,101.88,102.6,5384041.0
2026-02-25,102.48,102.99,101.22,102.2,3558403.0
2026-02-26,102.3,102.5,100.75,101.33,4358015.0
2026-02-27,100.77,101.18,99.82,100.98,3483715.0
2026-03-02,99.5,100.7,98.07,99.11,3742904.0
2026-03-03,99.31,100.28,93.95,94.0,5918304.0
2026-03-04,93.01,94.99,92.71,93.65,3233380.0
2026-03-05,94.94,96.25,94.53,94.98,3097697.0
2026-03-06,94.52,96.05,94.5,95.57,2023923.0
2026-03-09,94.0,96.08,92.22,95.66,4183601.0
2026-03-10,96.25,97.68,95.6,97.37,3408478.0
2026-03-11,97.37,97.59,95.96,95.98,2851210.0
2026-03-12,96.02,96.69,94.58,94.9,2547339.0
2026-03-13,94.27,94.78,93.51,93.67,2162260.0
2026-03-16,93.34,95.34,92.96,94.98,2974015.0
2026-03-17,95.0,95.2,89.4,89.95,8304927.0
2026-03-18,89.9,90.52,88.88,90.49,3503002.0
2026-03-19,89.05,89.76,87.66,88.04,4289299.0
2026-03-20,88.2,88.73,86.0,86.0,3685002.0
2026-03-23,85.0,85.32,80.83,81.22,5512631.0
2026-03-24,82.6,82.77,80.74,82.33,3909245.0
2026-03-25,82.94,84.38,82.61,84.02,3271235.0
2026-03-26,84.0,84.3,82.07,82.43,2441486.0
2026-03-27,80.74,83.85,80.74,83.22,2564882.0
2026-03-30,82.0,82.91,81.68,82.35,2401162.0
2026-03-31,82.02,83.45,81.1,81.12,2509280.0
2026-04-01,82.53,83.38,82.36,83.14,2799009.0
2026-04-02,82.77,82.96,80.63,81.15,2650900.0
2026-04-03,81.69,83.35,80.2,82.3,4022609.0
2026-04-07,82.37,83.5,81.71,82.17,3166060.0
2026-04-08,84.12,85.5,83.63,85.48,5858195.0
2026-04-09,84.18,84.96,83.62,84.2,3479344.0
2026-04-10,84.7,85.8,84.46,84.51,4370610.0
2026-04-13,83.01,85.19,83.0,84.39,3762401.0
2026-04-14,85.0,86.49,84.82,86.36,5266716.0
2026-04-15,86.8,86.88,85.15,85.25,4573497.0
2026-04-16,85.32,85.88,84.5,85.12,3854773.0
2026-04-17,84.8,86.5,83.59,85.85,4737333.0
2026-04-20,85.88,89.62,85.53,87.7,6902175.0
2026-04-21,87.5,87.5,84.76,85.5,4637538.0
2026-04-22,85.5,87.33,84.7,87.2,4631186.0
2026-04-23,87.2,88.69,86.25,86.78,5124428.0
2026-04-24,86.41,88.33,85.59,87.15,5064624.0
2026-04-27,88.0,94.0,87.5,92.77,12606918.0
2026-04-28,87.9,87.9,82.33,82.6,16328771.0
2026-04-29,82.34,85.6,81.43,84.65,9726591.0
2026-04-30,86.58,90.5,84.56,88.82,14300451.0
2026-05-06,89.91,92.7,89.58,90.22,11438999.0
2026-05-07,91.12,92.98,90.9,92.53,9278747.0
2026-05-08,92.0,93.9,91.09,92.2,8359201.0
2026-05-11,93.25,96.17,92.85,94.42,11433764.0
2026-05-12,94.0,97.51,92.78,95.8,12140166.0
2026-05-13,95.0,96.34,93.11,95.97,9275957.0
2026-05-14,96.95,98.23,94.27,94.27,10768169.0
2026-05-15,94.65,98.28,92.72,95.67,11145383.0
2026-05-18,94.92,96.9,93.66,94.54,7864242.0
2026-05-19,94.34,95.28,92.24,95.08,8254637.0
2026-05-20,95.08,103.5,95.07,103.39,18350971.0
2026-05-21,101.78,106.69,96.8,97.22,19818037.0
2026-05-22,97.25,108.88,96.68,108.69,27931405.0
2026-05-25,107.0,130.43,106.0,125.04,51819752.0
2026-05-26,130.53,137.56,126.0,135.0,65748443.0
2026-05-27,130.0,132.3,125.0,127.42,39948285.0
2026-05-28,124.07,129.6,119.19,128.58,32453560.0
2026-05-29,125.1,125.47,111.11,114.5,32729241.0
2026-06-01,112.11,113.32,105.43,105.75,22075220.0
2026-06-02,107.0,109.15,104.68,105.3,20180125.0
2026-06-03,105.0,110.9,105.0,105.83,21362650.0
2026-06-04,103.13,107.37,101.95,103.63,17923800.0
2026-06-05,102.99,103.81,98.1,98.73,20823071.0
2026-06-08,94.01,98.23,93.5,95.15,15262687.0
2026-06-09,96.65,100.78,94.82,99.5,16355709.0
2026-06-10,98.49,99.9,96.1,96.87,11496740.0
2026-06-11,95.8,98.49,95.1,96.45,10684486.0
2026-06-12,99.5,99.91,94.1,94.57,14618896.0
2026-06-15,96.05,101.75,94.52,101.65,15921043.0
2026-06-16,101.07,101.14,98.26,99.61,13122838.0
2026-06-17,98.0,105.29,97.4,105.01,17517774.0
2026-06-18,104.0,105.0,102.9,104.0,13362928.0
2026-06-22,105.4,106.18,99.11,101.71,15793779.0
2026-06-23,100.95,105.43,99.23,101.3,12785850.0
2026-06-24,99.98,109.07,97.5,107.85,20196807.0
2026-06-25,109.7,110.75,104.3,110.1,20244548.0
2026-06-26,110.0,117.99,103.51,113.76,25555573.0
2026-06-29,111.11,118.15,108.22,114.26,24157290.0
2026-06-30,113.45,120.0,110.05,119.42,23661521.0
2026-07-01,117.33,123.51,116.0,118.78,24014590.0
2026-07-02,114.19,116.09,107.83,108.1,18614247.0
2026-07-03,108.48,109.5,102.61,102.77,17710342.0
2026-07-06,109.4,123.3,108.8,117.21,33685847.0
2026-07-07,113.5,121.5,113.46,119.39,23544104.0
2026-07-08,118.15,120.58,109.5,117.18,23368214.0
2026-07-09,119.0,124.39,114.44,123.41,30571828.0
