序号,代码,名称,上榜日,解读,收盘价,涨跌幅,龙虎榜净买额,龙虎榜买入额,龙虎榜卖出额,龙虎榜成交额,市场总成交额,净买额占总成交比,成交额占总成交比,换手率,流通市值,上榜原因,上榜后1日,上榜后2日,上榜后5日,上榜后10日
1,000020,深华发A,2026-09-09,3家机构买入，成功率23.94%,14.9,8.7591,10875599.0,90645560.0,79769961.0,170415521.0,381744091,2.848923992906,44.64129897953,6.5585,2972713166.38,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
2,000523,红棉股份,2026-09-09,买一主买，成功率31.57%,4.36,10.101,-171203153.04,176927216.0,348130369.04,525057585.04,605227632,-28.287398655982,86.753736491661,1.3847,7825406715.44,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
3,000759,中百集团,2026-09-09,1家机构买入，成功率26.52%,8.47,10.0,-40976388.19,216091013.21,257067401.4,473158414.61,1996676669,-2.052229528506,23.697297712552,28.3749,5553830031.75,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
4,000759,中百集团,2026-09-09,2家机构买入，成功率20.74%,8.47,10.0,-24577489.56,175411286.21,199988775.77,375400061.98,1541911510,-1.593962390228,24.346407659931,28.3749,5553830031.75,日涨幅偏离值达到7%的前5只证券,,,,
5,000798,中水渔业,2026-09-09,普通席位买入，成功率59.29%,12.67,9.9826,53860784.51,120483611.5,66622826.99,187106438.49,1150095141,4.683159035275,16.268779148768,25.8228,4635144806.04,日涨幅偏离值达到7%的前5只证券,,,,
6,000892,欢瑞世纪,2026-09-09,3家机构卖出，成功率23.91%,5.06,-9.319,5532469.0,121537190.0,116004721.0,237541911.0,954968313,0.579335348062,24.874323866702,26.3314,3596641948.24,日跌幅偏离值达到7%的前5只证券,,,,
7,000911,*ST广糖,2026-09-09,1家机构买入，成功率19.37%,7.19,7.958,-25450114.13,52761420.0,78211534.13,130972954.13,562775954,-4.522246188578,23.272663517177,10.6755,2878299491.42,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
8,000912,泸天化,2026-09-09,主力做T，成功率15.18%,5.2,9.9366,2171085.40000001,132451730.2,130280644.8,262732375.0,994922296,0.218216579197,26.407326085293,9.4343,8153600000.0,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
9,000930,中粮科技,2026-09-09,买一主买，成功率44.99%,6.41,9.9485,140024291.61,228677364.03,88653072.42,317330436.45,788837710,17.750709662448,40.227594653151,4.7554,11898902018.47,连续三个交易日内，涨幅偏离值累计达到20%的证券,,,,
10,000978,桂林旅游,2026-09-09,3家机构买入，成功率29.25%,8.81,9.9875,11093355.62,93980279.76,82886924.14,176867203.9,1009111003,1.099319657304,17.52703155294,26.0434,4124150970.03,日振幅值达到15%的前5只证券,,,,
