date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,58.57,59.78,58.1,58.59,2941376.0,1.7178,100.32554125
2025-06-04,58.61,59.7,58.26,59.01,2866094.0,1.6738,101.04472075999999
2025-06-05,59.02,60.38,58.7,60.21,5390335.0,3.1479,103.09951935000001
2025-06-06,61.0,61.3,59.63,60.15,4985678.0,2.9116,102.99677942
2025-06-09,60.34,62.12,60.34,61.6,6629722.0,3.8717,105.47966106
2025-06-10,61.6,61.86,59.81,61.1,5785422.0,3.3787,104.62349497999999
2025-06-11,61.64,62.3,61.0,61.05,4991392.0,2.915,104.53787837
2025-06-12,60.63,61.8,60.2,60.55,4705818.0,2.7482,103.68171229
2025-06-13,60.0,60.0,58.16,58.49,5454103.0,3.1852,100.15430804
2025-06-16,58.0,61.48,58.0,60.78,7312502.0,4.2705,104.07554868
2025-06-17,60.83,61.04,59.81,60.18,3823383.9999999995,2.2329,103.04814939
2025-06-18,60.0,61.58,59.4,61.12,5389366.0,3.1474,104.65774162
2025-06-19,62.0,67.1,61.82,63.78,22228647.0,12.9815,109.21254516
2025-06-20,62.82,63.5,59.04,59.04,14532978.0,8.4872,101.09609073
2025-06-23,57.97,59.68,57.85,59.46,5866705.0,3.4261,101.81527023
2025-06-24,59.98,60.91,59.5,60.73,7059214.0,4.1226,103.98993208
2025-06-25,60.8,62.39,60.42,62.11,8372767.999999999,4.8897,106.35295046000002
2025-06-26,62.47,62.99,61.13,61.28,7754309.0,4.5285,104.93171476
2025-06-27,61.3,62.16,60.67,60.74,6500242.0,3.7961,104.0070554
2025-06-30,61.11,62.58,60.74,62.05,6913095.0,4.0372,106.25021052999999
2025-07-01,61.94,63.5,61.25,62.84,9119880.0,5.326,107.60295293
2025-07-02,62.21,62.78,61.0,61.75,6149152.0,3.5911,105.73651088000001
2025-07-03,62.3,63.66,62.02,62.26,6249374.0,3.6496,106.60980027999999
2025-07-04,62.87,62.87,61.13,61.15,4916139.0,2.871,104.70911158
2025-07-07,60.68,62.68,60.5,61.91,6385548.0,3.7292,106.01048403
2025-07-08,61.85,65.41,61.67,65.18,16543922.0,9.6616,111.60981018999999
2025-07-09,64.88,69.61,64.7,67.46,21676369.0,12.659,115.51392751
2025-07-10,66.5,68.0,66.27,67.8,12356744.0,7.2163,116.09612045
2025-07-11,67.13,69.89,66.6,68.47,13915870.000000002,8.1269,117.24338300000001
2025-07-14,68.5,69.0,64.5,65.6,12476935.0,7.2865,112.32898970000001
2025-07-15,65.5,70.5,65.3,70.5,22481324.0,13.1291,120.71941728
2025-07-16,72.54,73.0,70.15,70.66,17362530.0,10.1397,120.99339043
2025-07-17,69.04,72.86,69.04,72.22,12529437.0,7.3172,123.66462860000001
