date,open,high,low,close,volume
2025-06-03,32.74,32.89,31.97,32.62,2994100.0
2025-06-04,23.08,23.78,23.07,23.42,5067560.0
2025-06-05,23.45,23.89,22.51,22.78,5263394.0
2025-06-06,24.31,26.98,24.12,25.45,18468724.0
2025-06-09,24.99,28.3,24.4,27.42,21894442.0
2025-06-10,26.7,27.35,26.14,26.25,14085470.0
2025-06-11,26.17,29.68,26.08,28.59,20335050.0
2025-06-12,28.0,28.98,27.28,28.7,16295350.0
2025-06-13,28.7,28.99,26.52,26.6,13362780.0
2025-06-16,25.98,26.77,25.62,26.66,9412280.0
2025-06-17,26.35,26.69,25.28,26.0,8930420.0
2025-06-18,26.18,27.15,25.3,26.37,8818476.0
2025-06-19,27.79,28.2,25.81,26.03,11486696.0
2025-06-20,25.5,26.47,25.5,25.89,6495120.0
2025-06-23,25.45,25.98,25.06,25.75,5030675.0
2025-06-24,26.01,26.4,25.65,25.88,5408935.0
2025-06-25,26.22,27.8,26.2,27.3,11852262.0
2025-06-26,28.85,28.85,27.32,27.98,11299688.0
2025-06-27,28.65,29.29,27.5,27.61,11401272.0
2025-06-30,26.66,27.26,26.21,26.98,8643014.0
2025-07-01,26.93,27.02,25.8,26.46,7822288.0
2025-07-02,26.2,26.45,25.95,26.13,3308316.0
2025-07-03,27.4,27.44,26.27,26.32,7322363.0
2025-07-04,26.0,26.05,25.22,25.46,7142338.0
2025-07-07,25.12,25.6,25.12,25.48,2746180.0
2025-07-08,25.48,25.85,25.41,25.65,3429080.0
2025-07-09,25.65,25.81,25.16,25.3,3517400.0
2025-07-10,25.33,25.4,24.91,25.0,2892160.0
2025-07-11,25.26,26.44,25.18,25.96,7654060.0
2025-07-14,26.5,27.48,26.25,26.99,9167651.0
2025-07-15,26.31,27.06,26.08,26.26,6256200.0
2025-07-16,26.06,26.65,25.81,26.21,3408838.0
2025-07-17,26.17,26.37,26.02,26.3,2915404.0
2025-07-18,27.35,29.83,26.95,28.82,18012133.0
2025-07-21,28.62,28.72,27.74,27.96,11543123.0
2025-07-22,28.9,28.91,27.9,28.25,8319950.0
2025-07-23,27.81,28.59,27.43,28.01,7557764.0
2025-07-24,27.67,28.44,27.66,27.85,6333880.0
2025-07-25,27.84,28.03,27.47,27.65,4152840.0
2025-07-28,27.51,27.7,27.39,27.6,3105040.0
2025-07-29,27.43,27.51,27.02,27.32,3855200.0
2025-07-30,27.29,27.49,26.77,27.12,2725220.0
2025-07-31,26.58,26.85,26.33,26.47,3433415.0
2025-08-01,26.47,26.73,26.25,26.68,2135475.0
2025-08-04,26.72,27.1,26.65,27.1,2487120.0
2025-08-05,27.15,27.4,27.01,27.19,2683720.0
2025-08-06,27.15,27.43,27.05,27.38,2558940.0
2025-08-07,27.39,27.49,26.91,27.38,3680840.0
2025-08-08,27.33,28.35,27.08,28.18,6704660.0
2025-08-11,28.07,28.22,27.55,28.1,3954840.0
2025-08-12,27.7,28.16,26.88,28.08,7226490.0
2025-08-13,27.95,28.06,27.5,27.82,3672820.0
2025-08-14,28.0,28.0,27.0,27.0,3615776.0
2025-08-15,27.0,27.45,26.93,27.3,2605030.0
2025-08-18,27.4,27.64,27.09,27.42,3255464.0
2025-08-19,27.42,28.32,27.31,28.25,5546440.0
2025-08-20,28.11,33.9,28.01,31.35,21310155.0
2025-08-21,30.53,31.63,30.46,30.75,13721633.0
2025-08-22,31.1,31.36,30.0,30.13,9762800.0
