date,open,high,low,close,volume,turnover,circ_mv亿
2026-01-05,11.0,11.98,11.0,11.69,35805537.0,,
2026-01-06,11.67,11.76,11.47,11.59,21852128.0,,
2026-01-07,11.72,12.5,11.61,12.3,41837481.0,,
2026-01-08,12.09,12.47,12.09,12.27,26220128.0,,
2026-01-09,12.4,13.33,12.28,13.15,38865262.0,,
2026-01-12,13.1,13.1,12.4,12.53,50423455.0,,
2026-01-13,12.42,12.87,12.1,12.62,34469201.0,,
2026-01-14,12.71,12.9,12.15,12.31,30777493.0,,
2026-01-15,12.31,12.53,12.17,12.44,18080922.0,,
2026-01-16,12.9,13.0,12.42,12.49,22635000.0,,
2026-01-19,12.5,12.97,12.5,12.8,26522221.0,,
2026-01-20,12.99,13.25,12.62,12.82,28777576.0,,
2026-01-21,12.58,12.89,12.42,12.82,17614896.0,,
2026-01-22,12.7,12.94,12.7,12.81,12860981.0,,
2026-01-23,13.15,13.55,12.86,12.99,38425003.0,,
2026-01-26,12.99,13.1,12.73,12.81,20834015.0,,
2026-01-27,12.71,12.8,12.3,12.65,17166377.0,,
2026-01-28,12.59,12.77,12.47,12.56,9895589.0,,
2026-01-29,12.57,12.57,11.75,11.84,25542213.0,,
2026-01-30,11.77,11.91,11.41,11.8,15373429.0,,
2026-02-02,11.94,12.19,11.71,11.86,19556782.0,,
2026-02-03,11.86,12.13,11.7,12.11,13825671.0,,
2026-02-04,12.13,12.41,11.94,12.12,13509960.0,,
2026-02-05,12.04,12.11,11.65,11.72,12216457.0,,
2026-02-06,11.65,12.19,11.58,12.0,13232100.0,,
2026-02-09,12.18,12.33,11.92,12.29,12598396.0,,
2026-02-10,12.25,12.56,12.2,12.32,10171958.0,,
2026-02-11,12.26,12.51,12.2,12.39,10759305.0,,
2026-02-12,12.39,12.7,12.29,12.58,12824343.0,,
2026-02-13,12.5,12.55,12.28,12.39,9978823.0,,
2026-02-24,12.54,12.85,12.49,12.8,14792282.0,,
2026-02-25,12.84,12.87,12.62,12.78,11296694.0,,
2026-02-26,12.75,13.18,12.73,13.09,16409729.0,,
2026-02-27,12.98,13.31,12.94,13.26,15777950.0,,
2026-03-02,13.05,13.62,13.0,13.21,25415600.0,,
2026-03-03,13.24,13.35,12.45,12.51,23106097.0,,
2026-03-04,12.32,12.86,12.26,12.65,17141517.0,,
2026-03-05,12.84,14.35,12.84,13.9,60286056.0,,
2026-03-06,13.76,14.45,13.63,14.21,39895794.0,,
2026-03-09,13.9,14.41,13.72,14.24,38111980.0,,
2026-03-10,14.3,14.67,14.11,14.47,31537553.0,,
2026-03-11,14.63,14.64,13.99,14.08,28296063.0,,
2026-03-12,14.07,14.1,13.63,13.79,22871102.0,,
2026-03-13,13.76,13.93,13.25,13.31,16943017.0,,
2026-03-16,13.38,13.47,12.73,13.19,19457330.0,,
2026-03-17,13.28,13.56,12.98,13.0,15972940.0,,
2026-03-18,12.99,13.41,12.99,13.32,14371289.0,,
2026-03-19,13.11,13.2,12.81,12.83,12759257.0,,
2026-03-20,12.88,13.47,12.88,13.12,24988800.0,,
2026-03-23,12.8,12.94,11.8,11.89,28152597.0,,
2026-03-24,12.3,12.49,11.92,12.45,18888946.0,,
2026-03-25,12.51,12.93,12.51,12.73,13474324.0,,
2026-03-26,12.6,12.85,12.45,12.54,10165715.0,,
2026-03-27,12.4,13.05,12.31,12.92,12544707.0,,
2026-03-30,12.72,13.09,12.59,12.84,11168571.0,,
2026-03-31,12.84,12.97,12.45,12.47,9705846.0,,
2026-04-01,12.73,13.75,12.71,13.45,27346857.0,,
2026-04-02,13.45,13.63,12.84,12.98,21745700.0,,
2026-04-03,12.89,13.06,12.37,12.46,14553800.0,,
2026-04-07,12.46,13.03,12.31,12.73,12154399.0,,
2026-04-08,13.28,13.41,13.0,13.21,13476714.0,,
2026-04-09,13.14,13.33,13.06,13.14,10644400.0,,
2026-04-10,13.18,13.35,13.11,13.23,11318084.0,,
2026-04-13,13.32,13.32,12.6,12.72,18314746.0,,
2026-04-14,12.72,12.9,12.64,12.88,15836500.0,,
2026-04-15,12.85,13.19,12.84,12.91,12785996.0,,
2026-04-16,13.04,13.13,12.68,13.09,12717399.0,,
2026-04-17,13.01,13.74,12.98,13.6,20043188.0,,
2026-04-20,13.59,14.47,13.58,14.33,28893121.0,,
2026-04-21,14.1,14.1,13.12,13.37,34153474.0,,
2026-04-22,13.2,14.84,13.2,14.5,46326310.0,,
2026-04-23,14.48,15.4,14.09,15.3,55320369.0,,
2026-04-24,15.17,15.28,14.66,14.68,29098163.0,,
2026-04-27,14.68,14.79,14.06,14.3,25571605.0,,
2026-04-28,14.17,14.24,13.68,13.76,22150500.0,,
2026-04-29,13.64,14.21,13.61,14.03,20072127.0,,
2026-04-30,14.03,14.03,13.62,13.64,17376625.0,,
2026-05-06,13.78,14.34,13.74,14.27,24947175.0,,
2026-05-07,14.37,14.48,14.1,14.28,20340288.0,,
2026-05-08,14.16,14.42,13.83,14.32,22151057.0,,
2026-05-11,14.36,14.55,14.27,14.32,18249926.0,,
2026-05-12,14.28,14.44,13.95,14.02,18669194.0,,
2026-05-13,13.92,16.36,13.83,15.76,59268072.0,,
2026-05-14,15.77,15.82,14.98,15.0,35946781.0,,
2026-05-15,15.07,15.2,14.23,14.39,27399702.0,,
2026-05-18,14.38,16.03,14.22,15.36,38912903.0,,
2026-05-19,15.28,16.28,15.0,16.1,41000557.0,,
2026-05-20,15.85,15.98,15.4,15.68,23068897.0,,
2026-05-21,15.68,15.75,14.42,14.51,35111441.0,,
2026-05-22,14.7,15.1,14.5,14.97,20752901.0,,
2026-05-25,15.0,15.5,14.63,14.88,20305467.0,,
2026-05-26,14.74,14.74,14.1,14.34,18534927.0,,
2026-05-27,14.59,14.69,13.73,14.01,18978413.0,,
2026-05-28,13.82,14.21,13.73,14.15,12808032.0,,
2026-05-29,14.1,14.13,13.25,13.4,18268219.0,,
2026-06-01,13.39,13.67,12.93,12.99,16225262.0,,
2026-06-02,12.9,13.15,12.35,13.07,16824546.0,,
2026-06-03,13.05,13.18,12.71,12.93,11250345.0,,
2026-06-04,12.85,12.85,12.28,12.46,13631364.0,,
2026-06-05,12.4,12.62,11.91,12.38,17887818.0,,
2026-06-08,12.01,12.88,11.85,12.0,18518299.0,,
2026-06-09,12.08,12.25,11.8,12.12,11342795.0,,
2026-06-10,11.99,11.99,11.34,11.56,14776338.0,,
2026-06-11,11.47,11.66,11.1,11.44,11280988.0,,
2026-06-12,11.67,12.1,11.54,11.61,11786285.0,,
2026-06-15,11.72,12.48,11.72,12.44,19192180.0,,
2026-06-16,12.41,12.49,12.19,12.29,11512100.0,,
2026-06-17,12.12,12.4,12.12,12.3,11058284.0,,
2026-06-18,12.33,12.65,12.15,12.54,14994453.0,,
2026-06-22,12.68,13.84,12.31,13.71,39169298.0,,
2026-06-23,13.78,14.33,13.52,13.91,24990444.0,,
2026-06-24,13.7,13.98,13.3,13.56,18762801.0,,
2026-06-25,13.56,13.64,12.93,13.14,14691478.0,,
2026-06-26,13.05,13.18,12.06,12.15,20128815.0,,
2026-06-29,12.13,12.36,11.78,12.0,13094700.0,,
2026-06-30,12.0,12.35,11.76,12.35,11140296.0,,
2026-07-01,12.35,13.18,12.3,12.7,19901526.0,,
2026-07-02,12.52,12.87,12.16,12.21,14333066.0,,
2026-07-03,12.48,14.65,12.3,14.65,85733676.0,,
2026-07-06,14.52,14.77,13.62,13.9,72665815.0,,
2026-07-07,13.97,14.22,12.97,13.18,35572800.0,,
2026-07-08,13.1,13.3,12.77,13.0,26639389.0,,
2026-07-09,13.08,13.18,12.21,13.15,30816921.0,,
2026-07-10,13.28,14.08,12.93,13.51,34261800.0,,
2026-07-13,13.38,13.58,12.74,12.86,24159000.0,,
2026-07-14,12.88,12.97,11.91,12.32,25781500.0,,
2026-07-15,12.2,12.7,12.08,12.31,16320300.0,,
