date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.73,7.89,7.73,7.8,13850400.0,3.1478,34.32
2025-06-04,7.8,7.9,7.74,7.88,13073600.0,2.9713,34.672
2025-06-05,7.97,8.01,7.71,7.78,15678200.0,3.5632,34.232
2025-06-06,7.86,7.86,7.62,7.8,13612900.0,3.0938,34.32
2025-06-09,7.82,7.93,7.8,7.9,12777300.0,2.9039,34.76
2025-06-10,7.86,7.98,7.68,7.91,16340300.0,3.7137,34.804
2025-06-11,7.92,8.52,7.8,8.34,42524693.0,9.6647,36.696
2025-06-12,8.32,8.32,7.88,7.95,25177300.0,5.7221,34.98
2025-06-13,7.91,7.91,7.19,7.21,26582700.0,6.0415,31.724
2025-06-16,7.2,7.49,7.18,7.42,16700700.0,3.7956,32.648
2025-06-17,7.35,7.49,7.19,7.24,11993100.0,2.7257,31.856
2025-06-18,7.2,7.28,7.1,7.17,8473100.0,1.9257,31.548
2025-06-19,7.13,7.19,7.0,7.05,8269300.0,1.8794,31.02
2025-06-20,7.03,7.11,6.95,7.0,4945000.0,1.1239,30.8
2025-06-23,6.94,7.15,6.92,7.14,5884900.0,1.3375,31.416
2025-06-24,7.15,7.26,7.11,7.22,7495200.0,1.7035,31.768
2025-06-25,7.2,7.3,7.12,7.18,8110600.0,1.8433,31.592
2025-06-26,7.14,7.27,7.08,7.11,7414300.0,1.6851,31.284
2025-06-27,7.15,7.2,7.12,7.19,5980110.0,1.3591,31.636
2025-06-30,7.24,7.29,7.16,7.29,5302000.0,1.205,32.076
2025-07-01,7.29,7.36,7.18,7.29,6514900.0,1.4807,32.076
2025-07-02,7.26,7.33,7.21,7.31,5767400.0,1.3108,32.164
2025-07-03,7.31,7.47,7.24,7.31,10591193.0,2.4071,32.164
2025-07-04,7.27,7.36,7.18,7.21,6637100.0,1.5084,31.724
2025-07-07,7.14,7.39,7.1,7.39,9660000.0,2.1955,32.516
2025-07-08,7.4,7.46,7.33,7.39,6637400.0,1.5085,32.516
2025-07-09,7.44,7.44,7.34,7.39,5872600.0,1.3347,32.516
2025-07-10,7.46,7.93,7.41,7.51,23270600.0,5.2888,33.044
2025-07-11,7.61,7.63,7.15,7.2,16853200.0,3.8303,31.68
2025-07-14,7.0,7.15,6.94,7.12,10392300.0,2.3619,31.328
2025-07-15,7.08,7.13,6.81,6.91,10529399.0,2.393,30.404
2025-07-16,6.94,7.07,6.9,7.04,7459110.000000001,1.6953,30.976
2025-07-17,7.05,7.08,6.96,7.02,5411100.0,1.2298,30.888
2025-07-18,7.07,7.08,6.96,7.0,4777900.0,1.0859,30.8
2025-07-21,7.05,7.14,7.01,7.07,5928100.0,1.3473,31.108
2025-07-22,7.09,7.09,6.91,6.95,6619700.0,1.5045,30.58
2025-07-23,6.92,6.99,6.89,6.93,4291000.0,0.9752,30.492
2025-07-24,6.93,6.99,6.91,6.98,4631100.0,1.0525,30.712
2025-07-25,6.99,7.15,6.94,7.08,6969300.0,1.5839,31.152
2025-07-28,7.14,7.14,7.02,7.09,5308400.0,1.2065,31.196
2025-07-29,7.1,7.1,6.92,6.96,5699600.0,1.2954,30.624
2025-07-30,6.97,7.01,6.91,6.99,5777500.0,1.3131,30.756
2025-07-31,7.01,7.12,6.94,7.04,8512500.0,1.9347,30.976
2025-08-01,6.99,7.19,6.99,7.09,7180100.0,1.6318,31.196
2025-08-04,7.1,7.22,6.99,7.22,7141500.0,1.6231,31.768
2025-08-05,7.21,7.38,7.2,7.36,9501600.0,2.1595,32.384
