date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,21.56,21.91,21.36,21.62,19124925.0,1.3555,305.05058349
2025-06-04,21.61,22.21,21.4,22.19,19698854.0,1.3961,313.09308268
2025-06-05,22.23,22.88,22.19,22.43,16970872.0,1.2028,316.47939814
2025-06-06,22.43,22.56,22.05,22.38,11623697.0,0.8238,315.77391575
2025-06-09,22.44,23.2,22.31,23.1,21053640.0,1.4921,325.93286209999997
2025-06-10,23.11,23.23,22.63,23.14,15973867.000000002,1.1321,326.49724800999996
2025-06-11,22.17,22.69,21.94,22.6,13987054.0,0.9913,318.87803825
2025-06-12,22.45,22.71,22.26,22.3,9776370.0,0.6929,314.64514393
2025-06-13,22.2,22.92,22.1,22.34,27577561.0,1.9545,315.20952984
2025-06-16,22.44,22.46,21.63,21.66,17767385.0,1.2592,305.6149694
2025-06-17,21.66,22.04,21.43,21.49,8993291.0,0.6374,303.21632929
2025-06-18,21.51,22.37,21.38,21.77,12274986.0,0.87,307.16703065
2025-06-19,21.75,21.85,21.24,21.38,8071353.999999999,0.572,301.66426803999997
2025-06-20,21.36,21.71,21.31,21.38,7871727.0,0.5579,301.66426803999997
2025-06-23,21.26,21.29,20.96,21.21,8871806.0,0.6288,299.26562793
2025-06-24,21.28,21.8,21.16,21.79,9439866.0,0.669,307.4492236
2025-06-25,21.79,22.2,21.66,22.15,9339239.0,0.6619,312.52869678
2025-06-26,22.14,22.14,21.62,21.71,14179851.999999998,1.005,306.32045178
2025-06-27,21.82,22.15,21.67,22.03,16440545.000000002,1.1652,310.83553905
2025-06-30,21.95,22.48,21.95,22.42,10225305.0,0.7247,316.33830166
2025-07-01,22.43,22.45,21.96,22.08,10326276.0,0.7319,311.54102144
2025-07-02,22.08,22.35,21.84,22.21,10540635.0,0.7471,313.37527564
2025-07-03,22.15,22.35,22.11,22.23,6108779.0,0.433,313.65746859
2025-07-04,22.16,22.34,22.0,22.06,7809605.0,0.5535,311.25882848
2025-07-07,22.1,22.53,21.82,22.22,9342925.0,0.6622,313.51637212
2025-07-08,22.12,23.2,22.06,23.12,21413235.0,1.5176,326.21505506
2025-07-09,22.99,23.4,22.81,23.04,14434600.0,1.023,325.08628324
2025-07-10,22.98,23.56,22.96,23.15,12503506.0,0.8862,326.63834449
2025-07-11,23.05,23.16,22.66,22.73,10834378.0,0.7679,320.71229245
