date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,45.1,46.92,45.0,45.69,4457822.0,3.0907,65.89946189999999
2025-06-04,45.7,46.49,45.38,45.46,3113888.0,2.1589,65.567729
2025-06-05,45.29,46.61,45.07,46.1,4082800.0,2.8307,66.49081186000001
2025-06-06,46.14,46.78,45.25,45.46,3132912.0,2.1721,65.567729
2025-06-09,45.68,46.53,45.59,45.8,3490406.0,2.42,66.05811677
2025-06-10,45.86,46.3,43.97,44.17,5443814.0,3.7744,63.70714012
2025-06-11,44.18,44.49,43.65,44.01,3383783.9999999995,2.3461,63.47636941
2025-06-12,43.89,44.47,43.11,43.13,3884612.9999999995,2.6933,62.207130480000004
2025-06-13,43.09,43.83,42.86,43.33,3356207.0,2.327,62.49559388
2025-06-16,43.65,44.43,43.08,43.86,3606371.0,2.5004,63.260021869999996
2025-06-17,43.7,43.86,42.01,43.08,4744985.0,3.2898,62.135014639999994
2025-06-18,42.96,43.4,42.4,42.6,3290633.9999999995,2.2815,61.4427025
2025-06-19,42.39,43.09,42.03,42.59,3316158.9999999995,2.2992,61.42827933
2025-06-20,42.59,42.85,41.95,42.0,2195383.0,1.5221,60.577312320000004
2025-06-23,41.6,43.98,41.6,43.83,4607962.0,3.1948,63.216752359999994
2025-06-24,43.95,44.48,43.5,44.05,3115917.0,2.1604,63.53406209
2025-06-25,44.14,45.13,43.88,45.05,4668328.0,3.2367,64.97637905
2025-06-26,44.93,45.3,44.34,44.4,3891586.0,2.6981,64.03887302
2025-06-27,44.58,46.09,44.46,44.96,5421910.0,3.7592,64.84657052
2025-06-30,45.39,47.1,44.9,46.56,5767182.0,3.9986,67.15427766
2025-07-01,46.4,46.81,45.4,45.98,3360196.0,2.3297,66.31773382
2025-07-02,45.98,46.68,45.12,46.66,5360308.0,3.7165,67.29850934999999
2025-07-03,48.0,50.95,47.1,47.31,11625841.0,8.0605,68.23601538
2025-07-04,47.16,47.66,45.6,45.84,6589050.999999999,4.5684,66.11580945
2025-07-07,45.65,46.6,45.45,45.9,3767794.9999999995,2.6123,66.20234846
2025-07-08,45.95,49.5,45.5,48.92,8613838.0,5.9722,70.55814568000001
2025-07-09,48.66,48.97,47.82,47.9,4461439.0,3.0932,69.08698238
2025-07-10,47.88,48.47,47.05,47.23,3617871.0,2.5084,68.12063002000001
2025-07-11,47.03,47.45,46.6,46.8,3536551.0,2.452,67.50043373
2025-07-14,46.79,47.08,46.3,46.4,2831660.0,1.9633,66.92350694000001
2025-07-15,46.52,47.0,45.79,46.14,3677078.0,2.5494,66.54850453
2025-07-16,46.14,47.25,45.87,46.33,3740051.9999999995,2.5931,66.82254476
2025-07-17,46.37,47.36,45.95,47.29,4423282.0,3.0668,68.20716904
2025-07-18,47.06,48.2,46.57,47.3,4015464.0,2.784,68.22159221
2025-07-21,46.75,47.47,45.13,45.45,6443316.0,4.4673,65.55330583
2025-07-22,45.71,46.25,45.0,45.11,3914544.9999999995,2.7141,65.06291807000001
2025-07-23,45.01,47.1,44.9,46.05,5747811.0,3.9851,66.41869601
2025-07-24,46.0,48.17,46.0,47.7,7526159.0,5.2181,68.79851899
2025-07-25,47.9,47.9,46.72,47.27,5260640.0,3.6474,68.1783227
2025-07-28,48.05,50.69,48.0,49.28,10574139.0,4.94,105.48462848
2025-07-29,49.28,50.23,49.03,49.68,5293757.0,2.4731,106.34083488
2025-07-30,49.46,50.88,49.25,49.8,6509737.0,3.0412,106.59769680000001
2025-07-31,49.81,53.35,49.81,51.86,12288293.0,5.7408,111.00715976
2025-08-01,51.5,52.4,50.5,51.2,6955878.0,3.2496,109.5944192
2025-08-04,51.0,53.5,50.71,53.22,7597337.0,3.5493,113.91826151999999
2025-08-05,53.53,54.77,52.8,53.92,8584758.0,4.0106,115.41662272
2025-08-06,53.92,56.77,53.28,56.37,9535100.0,4.4546,120.66088692000001
2025-08-07,56.7,60.0,56.0,57.96,11319940.0,5.2884,124.06430736
2025-08-08,57.47,60.77,57.47,60.52,10858601.0,5.0729,129.54402832
2025-08-11,60.5,62.74,58.31,58.55,16774704.999999998,7.8368,125.3272118
2025-08-12,58.15,59.3,56.71,59.25,14029657.999999998,6.5543,126.82557299999999
2025-08-13,65.55,71.0,64.0,68.51,26282071.000000004,12.2784,146.64675116
2025-08-14,66.54,68.3,65.11,65.5,19144631.0,8.9439,140.203798
2025-08-15,68.0,72.22,66.9,67.46,23579129.0,11.0156,144.39920936000001
2025-08-18,69.63,70.66,67.5,69.43,18933862.0,8.8455,148.61602588
2025-08-19,69.68,73.31,68.66,72.91,18299961.0,8.5493,156.06502156
2025-08-20,71.9,74.0,69.21,70.44,15142067.000000002,7.074,150.77794704
2025-08-21,69.74,70.77,66.7,66.95,15751341.0,7.3587,143.30754620000002
2025-08-22,66.94,68.8,66.76,68.25,13270979.999999998,6.1999,146.090217
2025-08-25,68.28,72.96,67.5,72.75,21104697.0,9.8596,155.72253899999998
2025-08-26,74.0,74.0,70.61,70.87,15489167.000000002,7.2362,151.69836891999998
2025-08-27,70.1,74.77,69.71,70.96,17524114.0,8.1869,151.89101536
2025-08-28,75.0,82.58,73.66,81.9,24270822.0,11.3388,175.3082604
2025-08-29,81.0,84.77,79.1,80.25,18384307.0,8.5887,171.776409
2025-09-01,81.75,81.75,75.7,79.16,15497728.0,7.2402,169.44324656
2025-09-02,79.16,80.93,72.72,74.04,16444810.999999998,7.6826,158.48380464000002
2025-09-03,74.35,75.69,72.11,72.49,11542810.0,5.3925,155.16600484
2025-09-04,72.61,73.18,67.51,69.0,12387411.0,5.7871,147.695604
2025-09-05,69.18,70.79,68.4,70.45,11174269.0,5.2204,150.79935220000002
2025-09-08,71.69,74.24,70.2,74.05,16099207.999999998,7.5212,158.5052098
2025-09-09,74.0,74.0,69.0,69.51,12771311.0,5.9665,148.78726716
2025-09-10,69.0,72.95,69.0,70.53,12077759.0,5.6425,150.97059348
2025-09-11,69.33,73.18,69.18,72.41,11742449.0,5.4858,154.99476356
2025-09-12,72.41,74.48,71.68,72.67,10431740.0,4.8735,155.55129772
2025-09-15,74.63,75.5,71.38,71.4,9665667.0,4.5156,152.8328424
2025-09-16,70.76,71.96,69.97,71.6,7010578.0,3.2752,153.2609456
2025-09-17,71.0,73.2,70.5,72.08,8065684.0,3.7681,154.28839328
2025-09-18,71.5,74.22,70.1,71.39,11689785.0,5.4612,152.81143724
2025-09-19,71.36,72.36,68.86,69.5,8101675.999999999,3.7849,148.765862
2025-09-22,55.61,62.98,55.6,60.77,32294471.000000004,15.0872,130.07915732
2025-09-23,59.56,63.8,59.5,63.6,23544464.0,10.9994,136.1368176
2025-09-24,62.97,63.15,60.88,62.53,13550591.0,6.3305,133.84646547999998
2025-09-25,64.0,68.63,63.3,66.28,19149135.0,8.946,141.87340048
2025-09-26,66.21,67.15,64.2,65.11,11148439.0,5.2083,139.36899676000002
2025-09-29,64.98,65.5,63.41,64.5,7748739.0,3.62,138.06328200000002
2025-09-30,64.87,66.1,64.39,65.3,7118270.0,3.3255,139.7756948
2025-10-09,68.21,70.16,67.51,68.0,12875900.0,6.0153,145.55508799999998
2025-10-10,68.03,69.33,65.18,67.73,11303893.0,5.2809,144.97714868
2025-10-13,65.27,69.25,65.27,67.72,8931295.0,4.1725,144.95574352
2025-10-14,67.8,70.19,65.0,65.06,10037943.0,4.6895,139.26197095999999
2025-10-15,65.58,69.44,64.58,68.49,11785593.0,5.506,146.60394084
2025-10-16,68.28,68.28,64.88,65.19,9748183.0,4.5541,139.54023804
2025-10-17,65.33,66.18,62.55,62.56,7338272.0,3.4283,133.91068096
2025-10-20,63.66,66.54,63.56,65.22,8180846.000000001,3.8219,139.60445352
2025-10-21,66.47,68.62,65.93,68.2,10383824.0,4.8511,145.9831912
2025-10-22,67.79,69.4,66.9,68.22,7018378.999999999,3.2788,146.02600152
2025-10-23,68.78,69.5,64.91,67.28,9263382.0,4.3276,144.01391647999998
2025-10-24,68.6,69.2,65.01,65.1,19106452.0,8.9261,139.3475916
2025-10-27,65.1,67.17,64.3,65.06,13068122.0,6.1051,139.26197095999999
2025-10-28,65.19,66.88,63.56,65.09,12291835.0,5.7425,139.32618644000001
2025-10-29,65.01,66.06,63.89,65.56,9029980.0,4.2186,140.33222896
2025-10-30,65.48,66.42,63.74,64.86,10260325.0,4.7934,138.83386776
2025-10-31,64.64,64.64,62.61,62.88,9102012.0,4.2523,134.59564608
2025-11-03,62.5,63.68,61.5,63.03,7804728.999999999,3.6462,134.91672348
2025-11-04,63.0,63.32,59.99,60.58,8317319.0,3.8857,129.67245928
2025-11-05,59.51,60.6,59.03,60.11,4608886.0,2.1532,128.66641676
