date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,38.44,40.37,38.21,39.61,3741481.0,13.8573,10.6947
2025-06-04,42.98,43.57,41.0,41.2,10535037.0,39.0187,11.124
2025-06-05,38.63,39.34,37.08,37.08,7900194.0,29.26,10.0116
2025-06-06,37.52,37.75,36.3,36.4,4117464.0,15.2499,9.828
2025-06-09,36.62,37.11,36.35,37.07,2972415.0,11.0089,10.0089
2025-06-10,36.8,37.22,36.0,36.18,2840990.0,10.5222,9.7686
2025-06-11,36.48,36.55,36.21,36.47,1531075.0,5.6706,9.8469
2025-06-12,36.36,36.91,36.28,36.71,1637935.0,6.0664,9.9117
2025-06-13,36.4,37.88,36.4,36.73,2995505.0,11.0945,9.9171
2025-06-16,36.99,37.12,36.51,36.59,1565915.0,5.7997,9.8793
2025-06-17,36.63,36.68,36.1,36.38,1407680.0,5.2136,9.8226
2025-06-18,36.32,36.67,36.19,36.36,884654.9999999999,3.2765,9.8172
2025-06-19,36.45,36.45,35.17,35.3,1665341.9999999998,6.1679,9.531
2025-06-20,35.3,35.61,34.9,34.91,749175.0,2.7747,9.4257
2025-06-23,34.71,35.48,34.62,35.45,864595.0000000001,3.2022,9.5715
2025-06-24,35.2,35.87,35.05,35.85,1030570.0000000001,3.8169,9.6795
2025-06-25,35.85,36.02,35.6,35.9,1068450.0,3.9572,9.693
2025-06-26,35.9,35.95,35.55,35.56,986245.0000000001,3.6528,9.6012
2025-06-27,35.56,35.86,35.45,35.74,826545.0000000001,3.0613,9.6498
2025-06-30,35.77,35.97,35.74,35.84,801630.0,2.969,9.6768
2025-07-01,35.98,36.34,35.81,36.2,1222875.0,4.5292,9.774
2025-07-02,36.25,37.78,36.25,37.39,3401730.0000000005,12.599,10.0953
2025-07-03,37.3,37.3,36.78,37.02,1439150.0,5.3302,9.9954
2025-07-04,36.99,37.19,36.36,36.66,1172600.0,4.343,9.8982
2025-07-07,36.54,36.75,36.38,36.74,685045.0,2.5372,9.9198
2025-07-08,36.74,36.86,36.57,36.81,824725.0,3.0545,9.9387
2025-07-09,36.79,37.08,36.53,36.55,1085015.0,4.0186,9.8685
2025-07-10,36.48,36.6,36.23,36.44,878050.0,3.252,9.8388
2025-07-11,36.44,36.64,36.25,36.5,724602.0,2.6837,9.855
2025-07-14,36.7,37.27,36.56,37.08,1136380.0,4.2088,10.0116
2025-07-15,36.98,37.2,36.42,36.62,1023090.0,3.7892,9.8874
2025-07-16,36.31,36.89,36.31,36.79,594825.0,2.2031,9.9333
2025-07-17,36.79,37.01,36.69,36.85,680975.0,2.5221,9.9495
2025-07-18,36.85,37.32,36.78,36.98,907211.0,3.36,9.9846
2025-07-21,36.96,37.37,36.87,37.36,1094846.0,4.055,10.0872
2025-07-22,37.36,38.0,37.1,38.0,1127416.0,4.1756,10.26
2025-07-23,37.6,37.92,37.33,37.35,1348911.0,4.996,10.0845
2025-07-24,37.38,38.37,37.25,37.9,1496641.0,5.5431,10.233
2025-07-25,37.9,38.1,37.64,37.83,785725.0,2.9101,10.2141
2025-07-28,37.83,38.0,37.67,37.72,845631.0,3.132,10.1844
2025-07-29,37.72,37.72,37.28,37.55,732435.0,2.7127,10.1385
2025-07-30,37.55,38.88,37.55,37.85,1849375.9999999998,6.8495,10.2195
2025-07-31,37.88,37.95,37.32,37.39,1174026.0,4.3482,10.0953
2025-08-01,37.42,38.12,37.42,37.64,1069668.0,3.9617,10.1628
2025-08-04,37.76,38.15,37.51,38.1,884290.0,3.2751,10.287
2025-08-05,38.15,38.5,37.93,38.41,1198970.0,4.4406,10.3707
2025-08-06,38.56,38.73,38.35,38.7,1011735.0,3.7472,10.449
2025-08-07,38.71,38.77,38.25,38.35,913075.0,3.3818,10.3545
2025-08-08,38.35,38.64,37.95,38.57,1022211.0,3.786,10.4139
2025-08-11,38.78,39.98,38.68,39.56,1771325.0,6.5605,10.6812
2025-08-12,39.58,40.15,39.41,39.82,1076948.0,3.9887,10.7514
2025-08-13,39.83,39.97,39.26,39.65,1058623.0,3.9208,10.7055
2025-08-14,39.65,39.77,38.62,38.64,1150980.0,4.2629,10.4328
2025-08-15,39.26,39.26,38.64,38.89,929600.0,3.443,10.5003
2025-08-18,38.9,39.24,38.79,38.8,1259742.0,4.6657,10.476
2025-08-19,38.8,39.44,38.66,39.16,1001075.0,3.7077,10.5732
2025-08-20,39.16,39.25,38.82,39.19,797585.0,2.954,10.5813
2025-08-21,39.38,39.39,38.81,38.9,923559.0,3.4206,10.503
2025-08-22,39.05,39.12,38.82,39.05,850265.0,3.1491,10.5435
2025-08-25,39.22,39.64,39.05,39.25,1122970.0,4.1591,10.5975
2025-08-26,39.14,39.15,38.23,38.27,2377975.0,8.8073,10.3329
2025-08-27,38.35,39.24,37.71,37.72,2206525.0,8.1723,10.1844
2025-08-28,37.56,37.83,36.13,36.92,2073671.0,7.6803,9.9684
2025-08-29,36.97,37.9,36.92,37.63,1649409.9999999998,6.1089,10.1601
2025-09-01,37.42,37.62,37.17,37.35,1042250.0,3.8602,10.0845
2025-09-02,37.33,37.47,36.97,37.39,1019754.9999999999,3.7769,10.0953
2025-09-03,37.27,39.54,37.05,37.24,1543435.0,5.7164,10.0548
2025-09-04,37.3,37.65,36.63,36.77,1136720.0,4.2101,9.9279
2025-09-05,36.76,38.26,36.71,38.05,2365615.0,8.7615,10.2735
2025-09-08,38.07,41.86,37.63,41.86,4701695.0,17.4137,11.3022
2025-09-09,41.86,46.05,40.97,46.05,13330866.0,49.3736,12.4335
2025-09-10,45.59,46.48,43.01,44.82,9630592.0,35.6689,12.1014
2025-09-11,43.7,48.84,43.21,47.5,9391536.0,34.7835,12.825
2025-09-12,46.34,51.7,46.34,48.78,7356573.0,27.2466,13.1706
2025-09-15,48.58,49.75,47.4,48.92,4788447.0,17.735,13.2084
2025-09-16,48.75,53.81,48.38,51.1,9441236.0,34.9675,13.797
2025-09-17,50.99,53.5,49.9,51.68,7326035.000000001,27.1335,13.9536
2025-09-18,51.68,52.45,48.32,49.67,7510616.0,27.8171,13.4109
2025-09-19,49.44,52.48,48.88,52.33,4735335.0,17.5383,14.1291
2025-09-22,52.4,55.49,50.36,52.54,4527789.0,16.7696,14.1858
2025-09-23,54.1,57.79,54.1,57.65,7006691.0,25.9507,15.5655
2025-09-24,56.64,60.43,56.64,59.83,4611356.0,9.7595,28.269675
2025-09-25,60.96,64.07,60.0,62.3,4850718.0,10.2661,29.43675
2025-09-26,62.41,63.68,60.86,62.44,3596144.9999999995,7.6109,29.5029
2025-09-29,62.44,63.89,60.2,62.56,2505101.0,5.3018,29.5596
2025-09-30,62.37,66.2,61.92,64.79,3705354.0,7.842,30.613275
2025-10-09,67.57,71.27,65.52,71.27,2995909.0,6.3405,33.675075
2025-10-10,73.2,75.0,70.11,70.11,4704048.0,9.9557,33.126975
2025-10-13,68.36,71.97,67.07,71.43,3731482.0,7.8973,33.750675
2025-10-14,71.8,71.8,65.8,66.48,5753201.0,12.1761,31.4118
2025-10-15,65.46,67.0,64.07,65.72,3756562.9999999995,7.9504,31.052700660000003
2025-10-16,65.88,66.88,62.5,63.13,3515989.0,7.4412,29.82892563
2025-10-17,62.87,65.13,61.01,62.74,3521100.0,7.3351,30.117396529999997
2025-10-20,62.75,64.74,58.71,59.32,4427300.0,9.2229,28.475676789999998
2025-10-21,59.54,60.44,58.02,59.3,2789965.0,5.812,28.466076089999998
2025-10-22,59.79,59.79,58.05,58.67,1625508.0,3.3862,28.16365404
2025-10-23,58.44,58.59,56.17,56.99,1704886.0,3.5516,27.35719522
2025-10-24,57.96,58.7,56.59,58.24,3009111.0,6.2685,27.95723898
2025-10-27,58.32,63.73,57.43,63.73,3669785.0,7.6448,30.59263119
2025-10-28,63.81,66.73,63.58,65.15,4918085.0,10.2453,31.2742809
2025-10-29,65.18,69.1,65.15,68.97,4138744.9999999995,8.6218,33.10801464
2025-10-30,68.38,68.48,64.02,64.13,3477175.0,7.2436,30.78464519
2025-10-31,63.77,64.7,60.85,61.76,2150905.0,4.4807,29.64696222
2025-11-03,61.5,61.95,59.38,60.13,1923547.0,4.0071,28.86450515
2025-11-04,59.96,60.5,56.56,57.35,2039525.0,4.2487,27.530007819999998
2025-11-05,57.29,58.07,55.92,57.33,1895675.0,3.949,27.52040712
2025-11-06,57.8,58.23,56.37,57.69,1997725.0,4.1616,27.69321973
2025-11-07,58.59,61.0,56.86,57.49,2318315.0,4.8295,27.597212719999998
2025-11-10,56.38,58.0,55.6,56.34,1322950.0,2.7559,27.04517246
2025-11-11,56.74,59.59,55.78,55.98,2349535.0,4.8945,26.872359860000003
2025-11-12,56.0,56.49,53.99,54.1,2492976.0,5.1933,25.96989404
2025-11-13,54.11,55.18,53.0,54.16,2531285.0,5.2731,25.99869614
2025-11-14,54.16,59.58,53.27,59.58,3075230.0,6.4063,28.6004859
2025-11-17,59.8,62.27,59.11,60.7,6743105.0,14.0471,29.13812511
2025-11-18,60.76,62.6,58.8,59.58,3690675.0,7.6883,28.6004859
2025-11-19,59.87,61.15,57.64,57.7,2870289.0,5.9793,27.69802008
2025-11-20,59.13,59.2,53.89,54.2,3259746.0,6.7906,26.01789754
2025-11-21,54.25,56.37,53.86,54.98,3515851.9999999995,7.3242,26.392324849999998
2025-11-24,54.87,54.87,52.51,52.63,1885956.0000000002,3.9288,25.26424258
2025-11-25,53.03,53.92,52.01,52.09,1981375.0,4.1276,25.00502367
2025-11-26,51.98,52.78,51.55,51.71,1165853.0,2.4287,24.82261037
2025-11-27,51.71,53.86,51.47,52.06,1411475.0,2.9404,24.99062262
2025-11-28,52.03,54.23,51.8,53.1,1473295.0,3.0691,25.48985903
2025-12-01,53.3,53.3,52.0,52.87,1026275.0,2.1379,25.37945098
2025-12-02,52.6,52.6,50.6,51.01,1985900.0,4.137,24.48658586
2025-12-03,50.7,52.22,50.7,51.97,1795440.0000000002,3.7402,24.94741947
2025-12-04,51.97,51.97,49.75,50.49,2075259.9999999998,4.3231,24.23696765
2025-12-05,50.49,52.45,50.0,52.15,1494000.0,3.1123,25.03382577
2025-12-08,52.13,52.98,51.52,52.6,982904.9999999999,2.0476,25.249841529999998
2025-12-09,52.6,52.96,51.7,51.99,851870.0000000001,1.7746,24.95702017
2025-12-10,52.2,52.28,50.5,51.34,1165923.0,2.4288,24.64499741
2025-12-11,51.34,51.89,51.01,51.38,1089700.0,2.27,24.66419881
2025-12-12,51.7,53.33,50.92,52.75,2139175.0,4.4563,25.32184678
2025-12-15,53.06,53.5,51.72,52.28,1673295.0,3.4858,25.09623032
2025-12-16,51.9,52.47,49.7,50.23,1123935.0,2.3414,24.11215855
2025-12-17,50.23,51.48,49.55,51.4,1258785.0,2.6223,24.67379951
2025-12-18,51.39,51.49,50.35,50.52,587580.0,1.224,24.25136871
2025-12-19,50.68,52.99,50.68,52.6,1745559.9999999998,3.6363,25.249841529999998
2025-12-22,52.98,53.2,51.92,51.96,1395795.0,2.9077,24.94261912
2025-12-23,51.99,53.0,51.15,52.65,1316995.0,2.7435,25.27384328
2025-12-24,52.5,53.44,51.8,52.44,1472715.0,3.0679,25.17303592
2025-12-25,52.21,53.88,52.11,53.66,1817675.0,3.7865,25.75867864
2025-12-26,53.4,53.62,52.52,53.28,1657334.9999999998,3.4525,25.576265330000002
2025-12-29,53.28,53.86,52.15,52.5,1586375.0,3.3047,25.201838029999998
2025-12-30,51.99,55.77,51.5,54.14,3282101.0,6.8372,25.98909544
2025-12-31,54.0,58.1,52.66,56.19,4087419.9999999995,8.5148,26.973167210000003
