date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,12.84,12.89,12.7,12.75,22337784.0,0.3771,755.29866321
2025-06-04,12.75,12.87,12.71,12.85,15154087.0,0.2558,761.22257429
2025-06-05,12.82,12.91,12.68,12.69,17145662.0,0.2894,751.74431656
2025-06-06,12.72,12.82,12.6,12.6,20920392.0,0.3532,746.4127965800001
2025-06-09,12.6,12.71,12.52,12.61,16587496.0,0.28,747.00518769
2025-06-10,12.7,13.03,12.67,12.79,41757764.0,0.7049,757.6682276399999
2025-06-11,12.82,12.99,12.75,12.95,24754964.0,0.4179,767.14648538
2025-06-12,12.95,13.0,12.84,12.85,16623865.0,0.2806,761.22257429
2025-06-13,12.9,13.09,12.89,12.98,35081243.0,0.5922,768.9236587
2025-06-16,13.05,13.08,12.84,12.9,26026214.0,0.4393,764.18452984
2025-06-17,12.85,13.05,12.84,13.01,27334943.0,0.4614,770.70083203
2025-06-18,12.5,12.52,12.15,12.25,36673494.0,0.6191,725.67910779
2025-06-19,12.21,12.24,12.05,12.07,21586866.0,0.3644,715.01606784
2025-06-20,12.12,12.25,12.1,12.19,15996068.0,0.27,722.12476114
2025-06-23,12.19,12.35,12.0,12.26,25171276.0,0.4249,726.2714989
2025-06-24,12.25,12.3,12.11,12.23,17880420.0,0.3018,724.49432557
2025-06-25,12.23,12.23,12.13,12.22,15016913.0,0.2535,723.90193446
2025-06-26,12.2,12.33,12.15,12.16,20852440.0,0.352,720.34758781
2025-06-27,12.18,12.29,12.11,12.17,22241659.0,0.3755,720.93997892
2025-06-30,12.18,12.19,12.13,12.17,17892286.0,0.302,720.93997892
2025-07-01,12.17,12.18,12.1,12.14,20166395.0,0.3404,719.1628056
2025-07-02,12.14,12.35,12.1,12.35,35695655.0,0.6026,731.60301887
2025-07-03,12.34,12.42,12.23,12.29,20735084.0,0.35,728.04867222
2025-07-04,12.3,12.39,12.25,12.29,19463147.0,0.3286,728.04867222
2025-07-07,12.32,12.34,12.19,12.33,16110204.0,0.272,730.41823666
2025-07-08,12.33,12.41,12.31,12.37,17703060.0,0.2988,732.78780109
2025-07-09,12.39,12.4,12.32,12.33,14590365.0,0.2463,730.41823666
2025-07-10,12.36,12.51,12.35,12.47,34306821.0,0.5791,738.71171217
2025-07-11,12.5,12.6,12.33,12.33,46520223.0,0.7853,730.41823666
2025-07-14,12.31,12.49,12.31,12.39,26362409.999999996,0.445,733.97258331
2025-07-15,12.42,12.44,12.2,12.22,29152259.999999996,0.4921,723.90193446
2025-07-16,12.23,12.27,12.2,12.24,14064976.999999998,0.2374,725.08671668
2025-07-17,12.24,12.26,12.19,12.25,14096204.0,0.238,725.67910779
2025-07-18,12.28,12.41,12.27,12.35,24858270.0,0.4196,731.60301887
2025-07-21,12.38,12.83,12.36,12.76,66824949.0,1.1281,755.89105432
2025-07-22,12.8,13.71,12.67,13.56,137567473.0,2.3222,803.28234299
2025-07-23,13.8,13.9,13.22,13.35,95836322.0,1.6178,790.84212971
2025-07-24,13.29,13.58,13.14,13.53,73367698.0,1.2385,801.50516967
2025-07-25,13.56,13.57,13.27,13.31,48372743.0,0.8166,788.47256528
2025-07-28,13.02,13.15,12.85,12.93,46397191.0,0.7832,765.9617031600001
2025-07-29,12.91,13.0,12.8,12.95,31030375.0,0.5238,767.14648538
2025-07-30,13.09,13.24,12.92,13.0,38298445.0,0.6465,770.10844092
2025-07-31,12.89,12.9,12.5,12.62,51155059.0,0.8635,747.5975788
2025-08-01,12.61,12.72,12.59,12.69,24788111.0,0.4184,751.74431656
2025-08-04,12.63,12.84,12.56,12.83,30214153.000000004,0.51,760.03779208
2025-08-05,12.83,13.02,12.79,12.98,29663889.0,0.5007,768.9236587
2025-08-06,12.98,13.33,12.94,13.31,57277357.99999999,0.9669,788.47256528
2025-08-07,13.28,13.66,13.24,13.59,71897375.0,1.2137,805.0595163200001
2025-08-08,13.59,13.66,13.35,13.43,40849158.0,0.6896,795.5812585799999
2025-08-11,13.49,13.53,13.28,13.31,31906999.0,0.5386,788.47256528
2025-08-12,13.37,13.66,13.3,13.44,40109908.0,0.6771,796.1736496899999
2025-08-13,13.43,13.44,13.26,13.28,37203377.0,0.628,786.6953919599999
2025-08-14,13.15,13.28,13.07,13.07,34250381.0,0.5782,774.25517868
2025-08-15,13.05,13.22,13.0,13.05,42703838.0,0.7209,773.07039646
2025-08-18,13.18,13.24,12.9,12.93,50079949.0,0.8454,765.9617031600001
2025-08-19,12.92,12.98,12.85,12.87,36198404.0,0.6111,762.40735651
2025-08-20,12.85,12.92,12.8,12.88,31893190.999999996,0.5384,762.99974762
2025-08-21,12.9,13.33,12.9,13.22,64386979.0,1.0869,783.1410453
2025-08-22,13.22,13.23,13.03,13.17,37543296.0,0.6338,780.17908976
2025-08-25,13.24,13.46,13.16,13.42,53685322.0,0.9062,794.9888674700001
2025-08-26,13.42,13.43,13.27,13.29,35690087.0,0.6025,787.28778306
2025-08-27,13.28,13.3,12.96,12.96,47696422.0,0.8052,767.7388764899999
2025-08-28,12.94,13.04,12.8,12.99,30005203.000000004,0.5065,769.51604981
