date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,5.78,5.79,5.73,5.75,95018610.0,0.1002,5453.40492893
2025-06-04,5.75,5.78,5.74,5.76,69972152.0,0.0738,5462.8891114200005
2025-06-05,5.75,5.77,5.71,5.72,99519727.0,0.1049,5424.95238148
2025-06-06,5.73,5.76,5.71,5.75,84544104.0,0.0891,5453.40492893
2025-06-09,5.76,5.77,5.73,5.76,79071162.0,0.0834,5462.8891114200005
2025-06-10,5.76,5.79,5.73,5.75,104333812.0,0.11,5453.40492893
2025-06-11,5.75,5.88,5.74,5.87,235635718.00000003,0.2485,5567.21511875
2025-06-12,5.87,5.91,5.81,5.89,159278192.0,0.1679,5586.18348372
2025-06-13,5.95,5.99,5.9,5.93,192690158.0,0.2032,5624.12021366
2025-06-16,5.95,5.96,5.87,5.91,195747331.0,0.2064,5605.15184869
2025-06-17,5.91,6.02,5.9,5.96,250770752.99999997,0.2644,5652.57276112
2025-06-18,5.87,5.88,5.76,5.76,183268746.0,0.1932,5462.8891114200005
2025-06-19,5.77,5.85,5.7,5.84,210279018.00000003,0.2217,5538.7625713
2025-06-20,5.83,5.86,5.75,5.75,182528779.0,0.1925,5453.40492893
2025-06-23,5.81,5.83,5.67,5.71,215761708.0,0.2275,5415.46819899
2025-06-24,5.66,5.72,5.56,5.67,209694894.0,0.2211,5377.53146905
2025-06-25,5.65,5.69,5.62,5.68,148293001.0,0.1564,5387.01565154
2025-06-26,5.68,5.72,5.66,5.71,116040255.0,0.1224,5415.46819899
2025-06-27,5.71,5.71,5.64,5.66,127288456.0,0.1342,5368.04728657
2025-06-30,5.66,5.67,5.63,5.64,97703179.0,0.103,5349.078921599999
2025-07-01,5.64,5.68,5.62,5.66,87544040.0,0.0923,5368.04728657
2025-07-02,5.67,5.7,5.66,5.69,110109984.00000001,0.1161,5396.49983402
2025-07-03,5.7,5.71,5.64,5.66,124725734.00000001,0.1315,5368.04728657
2025-07-04,5.66,5.69,5.65,5.68,113433306.0,0.1196,5387.01565154
2025-07-07,5.67,5.67,5.63,5.65,88986744.0,0.0938,5358.56310408
2025-07-08,5.66,5.69,5.64,5.68,100850927.0,0.1063,5387.01565154
2025-07-09,5.68,5.73,5.67,5.68,135271858.0,0.1426,5387.01565154
2025-07-10,5.69,5.78,5.69,5.76,225011608.0,0.2372,5462.8891114200005
2025-07-11,5.77,5.85,5.71,5.71,265997415.0,0.2805,5415.46819899
2025-07-14,5.73,5.8,5.73,5.77,140146982.0,0.1478,5472.3732939
2025-07-15,5.76,5.79,5.72,5.76,109590333.0,0.1156,5462.8891114200005
2025-07-16,5.76,5.79,5.74,5.76,76287429.0,0.0804,5462.8891114200005
2025-07-17,5.76,5.77,5.72,5.73,93167056.0,0.0982,5434.43656396
2025-07-18,5.75,5.83,5.74,5.82,147229551.0,0.1552,5519.79420633
2025-07-21,5.81,5.94,5.8,5.92,204451701.0,0.2156,5614.63603118
2025-07-22,5.92,6.05,5.91,6.03,276282828.0,0.2913,5718.9620385200005
2025-07-23,6.06,6.08,6.01,6.02,220758883.0,0.2328,5709.47785603
2025-07-24,6.02,6.04,5.96,5.98,180612845.0,0.1904,5671.54112609
2025-07-25,5.98,6.08,5.96,5.96,165650097.0,0.1747,5652.57276112
2025-07-28,5.96,5.97,5.87,5.88,140310308.0,0.1479,5576.69930124
2025-07-29,5.87,5.93,5.86,5.9,100202208.0,0.1057,5595.66766621
2025-07-30,5.92,6.05,5.91,6.01,156049278.0,0.1645,5699.9936735500005
2025-07-31,6.04,6.06,5.9,6.01,182390721.0,0.1923,5699.9936735500005
2025-08-01,5.91,5.93,5.67,5.69,408484171.0,0.4307,5396.49983402
2025-08-04,5.66,5.67,5.6,5.65,166090318.0,0.1751,5358.56310408
2025-08-05,5.65,5.72,5.65,5.71,123519812.99999999,0.1302,5415.46819899
2025-08-06,5.7,5.73,5.68,5.71,99592089.0,0.105,5415.46819899
2025-08-07,5.71,5.74,5.68,5.73,108643433.0,0.1146,5434.43656396
2025-08-08,5.72,5.79,5.71,5.74,99553893.0,0.105,5443.9207464500005
2025-08-11,5.74,5.76,5.68,5.68,121133853.0,0.1277,5387.01565154
2025-08-12,5.68,5.79,5.68,5.76,152238050.0,0.1605,5462.8891114200005
2025-08-13,5.74,5.77,5.71,5.72,103922284.0,0.1096,5424.95238148
2025-08-14,5.73,5.76,5.68,5.69,101427356.0,0.1069,5396.49983402
2025-08-15,5.69,5.7,5.65,5.68,131995669.0,0.1392,5387.01565154
2025-08-18,5.69,5.71,5.67,5.68,138623096.0,0.1462,5387.01565154
2025-08-19,5.69,5.69,5.66,5.67,90513095.0,0.0954,5377.53146905
2025-08-20,5.67,5.73,5.64,5.72,142599355.0,0.1504,5424.95238148
2025-08-21,5.72,5.87,5.71,5.86,292798362.0,0.3087,5557.73093627
2025-08-22,5.83,5.86,5.76,5.83,191226250.0,0.2016,5529.27838881
2025-08-25,5.83,5.86,5.79,5.84,169773327.0,0.179,5538.7625713
2025-08-26,5.84,5.88,5.8,5.82,153399090.0,0.1617,5519.79420633
2025-08-27,5.81,5.85,5.74,5.74,157792419.0,0.1664,5443.9207464500005
2025-08-28,5.74,5.79,5.71,5.76,143979566.0,0.1518,5462.8891114200005
