date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,4.65,5.07,4.6,4.77,56217353.0,6.9714,38.46528
2025-06-04,4.75,4.83,4.6,4.64,39813300.0,4.9372,37.416959999999996
2025-06-05,4.7,4.73,4.58,4.64,19500400.0,2.4182,37.416959999999996
2025-06-06,4.65,4.73,4.57,4.63,16819141.0,2.0857,37.33632
2025-06-09,4.63,4.66,4.61,4.65,13740600.0,1.7039,37.4976
2025-06-10,4.65,4.66,4.51,4.59,16434940.0,2.0381,37.01376
2025-06-11,4.58,4.8,4.58,4.73,28996762.0,3.5958,38.142720000000004
2025-06-12,4.69,4.78,4.66,4.69,14092396.0,1.7476,37.820159999999994
2025-06-13,4.68,4.7,4.52,4.55,17029740.0,2.1118,36.6912
2025-06-16,4.5,4.67,4.5,4.6,11314300.0,1.4031,37.0944
2025-06-17,4.6,4.64,4.52,4.55,9967100.0,1.236,36.6912
2025-06-18,4.59,4.59,4.42,4.47,12819296.0,1.5897,36.046079999999996
2025-06-19,4.44,4.47,4.35,4.35,11222600.0,1.3917,35.0784
2025-06-20,4.35,4.39,4.29,4.31,7966100.0,0.9879,34.75584
2025-06-23,4.31,4.4,4.27,4.39,7915750.0,0.9816,35.40096
2025-06-24,4.47,4.6,4.47,4.55,18197902.0,2.2567,36.6912
2025-06-25,4.55,4.57,4.49,4.57,13555600.0,1.681,36.85248
2025-06-26,4.56,4.59,4.52,4.53,9242000.0,1.1461,36.529920000000004
2025-06-27,4.53,4.6,4.53,4.57,8494153.0,1.0533,36.85248
2025-06-30,4.56,4.59,4.54,4.57,9897100.0,1.2273,36.85248
2025-07-01,4.57,4.59,4.52,4.57,8461400.0,1.0493,36.85248
2025-07-02,4.57,4.58,4.53,4.57,7507100.0,0.9309,36.85248
2025-07-03,4.57,4.63,4.57,4.62,10929300.0,1.3553,37.25568
2025-07-04,4.62,4.63,4.52,4.53,9645800.0,1.1962,36.529920000000004
2025-07-07,4.54,4.6,4.51,4.59,8168870.0,1.013,37.01376
