date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,4.15,4.15,4.09,4.12,32899732.0,0.3237,418.802293
2025-06-04,4.13,4.18,4.08,4.11,27836123.0,0.2738,417.78578258000005
2025-06-05,4.09,4.12,4.06,4.07,17678638.0,0.1739,413.7197409
2025-06-06,4.09,4.15,4.06,4.13,28002900.0,0.2755,419.81880341999994
2025-06-09,4.14,4.16,4.06,4.09,35522780.0,0.3495,415.75276174
2025-06-10,4.08,4.13,4.03,4.05,34715977.0,0.3415,411.68672006
2025-06-11,4.06,4.07,4.02,4.05,28053195.0,0.276,411.68672006
2025-06-12,4.08,4.09,4.04,4.05,22939400.0,0.2257,411.68672006
2025-06-13,4.11,4.24,4.08,4.21,93861022.0,0.9234,427.95088678
2025-06-16,4.4,4.41,4.16,4.2,137050168.0,1.3482,426.93437636000004
2025-06-17,4.16,4.25,4.09,4.22,88264045.0,0.8683,428.9673972
2025-06-18,4.25,4.31,4.21,4.23,57589200.0,0.5665,429.98390762
2025-06-19,4.2,4.29,4.14,4.25,66277149.0,0.652,432.01692846
2025-06-20,4.23,4.23,4.14,4.18,46167590.0,0.4542,424.90135552000004
2025-06-23,4.25,4.3,4.19,4.28,78156376.0,0.7689,435.06645971999995
2025-06-24,4.1,4.17,4.05,4.15,75965781.0,0.7473,421.85182426000006
2025-06-25,4.15,4.26,4.13,4.24,52588060.0,0.5173,431.00041804
2025-06-26,4.11,4.14,4.08,4.09,40276339.0,0.3962,415.75276174
2025-06-27,4.09,4.12,4.07,4.08,27972302.0,0.2752,414.73625132
2025-06-30,4.07,4.12,4.06,4.08,25884300.0,0.2546,414.73625132
2025-07-01,4.08,4.11,4.06,4.09,25394001.0,0.2498,415.75276174
2025-07-02,4.12,4.18,4.11,4.15,39396300.0,0.3876,421.85182426000006
2025-07-03,4.15,4.18,4.11,4.12,25584468.0,0.2517,418.802293
2025-07-04,4.11,4.16,4.11,4.14,22560607.0,0.2219,420.83531383999997
2025-07-07,4.13,4.14,4.08,4.11,22315060.0,0.2195,417.78578258000005
2025-07-08,4.12,4.16,4.09,4.15,27218268.0,0.2678,421.85182426000006
2025-07-09,4.15,4.17,4.13,4.16,20979668.0,0.2064,422.86833468000003
2025-07-10,4.15,4.21,4.14,4.21,22406919.0,0.2204,427.95088678
2025-07-11,4.22,4.22,4.16,4.16,25455835.0,0.2504,422.86833468000003
2025-07-14,4.18,4.23,4.17,4.19,25178264.0,0.2477,425.91786594
2025-07-15,4.19,4.2,4.11,4.11,27388055.0,0.2694,417.78578258000005
2025-07-16,4.11,4.13,4.09,4.12,20997100.0,0.2066,418.802293
2025-07-17,4.13,4.17,4.11,4.14,23689250.0,0.233,420.83531383999997
2025-07-18,4.15,4.2,4.12,4.19,28784342.0,0.2832,425.91786594
2025-07-21,4.18,4.25,4.17,4.23,35078095.0,0.3451,429.98390762
2025-07-22,4.24,4.33,4.23,4.32,35584536.0,0.3501,439.1325014
2025-07-23,4.32,4.34,4.25,4.27,28086314.0,0.2763,434.0499493
2025-07-24,4.27,4.28,4.18,4.2,46312018.0,0.4556,426.93437636000004
2025-07-25,4.2,4.25,4.17,4.2,32275992.0,0.3175,426.93437636000004
2025-07-28,4.2,4.2,4.08,4.1,52317063.0,0.5147,416.76927215999996
2025-07-29,4.1,4.12,4.07,4.1,27854000.0,0.274,416.76927215999996
2025-07-30,4.12,4.2,4.11,4.11,48445267.0,0.4766,417.78578258000005
2025-07-31,4.11,4.12,4.02,4.05,38029518.0,0.3741,411.68672006
2025-08-01,4.05,4.06,4.02,4.03,26427084.000000004,0.26,409.65369922
2025-08-04,4.03,4.06,4.01,4.04,26446600.0,0.2602,410.67020964
2025-08-05,4.04,4.07,4.02,4.06,30787524.0,0.3029,412.70323048
2025-08-06,4.05,4.08,4.04,4.07,25402432.0,0.2499,413.7197409
2025-08-07,4.07,4.09,4.03,4.07,30440557.0,0.2995,413.7197409
2025-08-08,4.07,4.12,4.06,4.1,29201790.000000004,0.2873,416.76927215999996
2025-08-11,4.11,4.12,4.0,4.03,67315398.0,0.6622,409.65369922
2025-08-12,4.01,4.05,4.0,4.02,52625843.00000001,0.5177,408.6371888
2025-08-13,4.02,4.26,4.0,4.15,175673973.0,1.7282,421.85182426000006
2025-08-14,4.15,4.22,4.09,4.1,83068928.0,0.8172,416.76927215999996
2025-08-15,4.09,4.12,4.0,4.03,97205638.0,0.9563,409.65369922
2025-08-18,4.05,4.06,3.9,3.92,147145955.0,1.4476,398.4720846
2025-08-19,3.92,3.95,3.91,3.94,44033409.0,0.4332,400.50510543999997
2025-08-20,4.05,4.09,3.98,4.07,126057263.99999999,1.2401,413.7197409
2025-08-21,4.07,4.07,4.03,4.04,68048100.0,0.6694,410.67020964
2025-08-22,4.04,4.05,3.99,4.04,56759100.0,0.5584,410.67020964
2025-08-25,4.04,4.09,4.02,4.07,71983240.0,0.7081,413.7197409
2025-08-26,4.07,4.17,4.05,4.13,137680665.0,1.3544,419.81880341999994
2025-08-27,4.1,4.19,4.06,4.06,87616700.0,0.8619,412.70323048
2025-08-28,4.07,4.1,3.99,4.09,59928900.0,0.5896,415.75276174
2025-08-29,4.08,4.11,3.98,3.99,92753917.0,0.9125,405.58765754
2025-09-01,4.0,4.18,3.99,4.07,121091712.00000001,1.1912,413.7197409
2025-09-02,4.07,4.09,3.97,4.0,96719622.0,0.9515,406.60416796
2025-09-03,4.01,4.02,3.95,3.96,54610600.0,0.5372,402.53812628000003
2025-09-04,3.96,3.96,3.86,3.89,76458471.0,0.7522,395.42255334
2025-09-05,3.89,3.91,3.86,3.9,49321754.0,0.4852,396.43906376
2025-09-08,3.9,3.93,3.88,3.91,42825217.0,0.4213,397.45557418
2025-09-09,3.91,3.94,3.88,3.9,34076500.0,0.3352,396.43906376
2025-09-10,3.91,3.93,3.9,3.92,30904511.0,0.304,398.4720846
2025-09-11,3.92,3.98,3.88,3.97,62091000.0,0.6108,403.5546367
2025-09-12,3.96,3.97,3.9,3.93,55232068.00000001,0.5433,399.48859502
2025-09-15,3.92,3.95,3.91,3.93,33349400.0,0.3281,399.48859502
2025-09-16,3.93,3.93,3.88,3.9,36698697.0,0.361,396.43906376
2025-09-17,3.91,3.94,3.9,3.93,37520096.0,0.3691,399.48859502
2025-09-18,3.91,3.93,3.86,3.87,43543493.0,0.4284,393.38953250000003
2025-09-19,3.87,3.88,3.83,3.85,37905800.0,0.3729,391.35651165999997
2025-09-22,3.85,3.86,3.77,3.83,42048265.0,0.4137,389.32349082
2025-09-23,3.84,3.84,3.78,3.81,37524134.0,0.3691,387.29046998
2025-09-24,3.82,3.88,3.8,3.87,48619099.0,0.4783,393.38953250000003
2025-09-25,3.87,3.87,3.8,3.83,29839202.0,0.2935,389.32349082
2025-09-26,3.83,3.89,3.82,3.86,31659737.0,0.3115,392.37302208
2025-09-29,3.87,3.88,3.8,3.87,32502000.0,0.3197,393.38953250000003
2025-09-30,3.85,3.86,3.83,3.84,26271000.0,0.2584,390.34000124
2025-10-09,3.84,3.96,3.83,3.94,66898198.0,0.6581,400.50510543999997
2025-10-10,3.95,3.98,3.93,3.98,59077681.00000001,0.5812,404.57114712
2025-10-13,3.9,3.98,3.89,3.96,56949799.0,0.5602,402.53812628000003
2025-10-14,3.95,3.98,3.94,3.96,52214485.0,0.5137,402.53812628000003
2025-10-15,3.96,3.98,3.93,3.96,34571227.0,0.3401,402.53812628000003
2025-10-16,3.96,3.98,3.94,3.97,35066500.0,0.345,403.5546367
2025-10-17,3.97,3.98,3.91,3.92,33812600.0,0.3326,398.4720846
2025-10-20,3.94,3.94,3.88,3.94,40815236.0,0.4015,400.50510543999997
2025-10-21,3.94,4.03,3.92,4.01,85072900.0,0.8369,407.62067837999996
2025-10-22,3.99,4.01,3.88,3.96,117367908.0,1.1546,402.53812628000003
2025-10-23,3.95,3.97,3.91,3.97,74482065.0,0.7327,403.5546367
2025-10-24,3.97,3.98,3.9,3.9,65559800.0,0.6449,396.43906376
2025-10-27,3.91,3.97,3.89,3.93,74970896.0,0.7375,399.48859502
2025-10-28,3.94,3.95,3.89,3.9,48179848.0,0.474,396.43906376
2025-10-29,3.9,3.92,3.88,3.91,32385999.0,0.3186,397.45557418
2025-10-30,3.9,3.95,3.9,3.92,46079398.0,0.4533,398.4720846
2025-10-31,3.93,3.93,3.88,3.9,43365318.0,0.4266,396.43906376
2025-11-03,3.9,3.92,3.88,3.92,60831327.0,0.5984,398.4720846
2025-11-04,3.9,3.94,3.89,3.9,55802596.0,0.549,396.43906376
2025-11-05,3.87,3.92,3.86,3.91,43647228.0,0.4294,397.45557418
2025-11-06,3.91,3.97,3.9,3.95,73598264.0,0.724,401.52161586
2025-11-07,3.95,4.0,3.95,3.99,59841806.00000001,0.5887,405.58765754
2025-11-10,3.99,4.0,3.97,3.99,43432900.0,0.4273,405.58765754
2025-11-11,3.99,4.0,3.96,3.98,32728196.000000004,0.322,404.57114712
2025-11-12,3.99,4.08,3.98,4.06,85401235.0,0.8401,412.70323048
2025-11-13,4.03,4.04,3.96,4.0,73247571.0,0.7206,406.60416796
2025-11-14,3.99,4.04,3.98,4.01,46556671.0,0.458,407.62067837999996
2025-11-17,4.01,4.01,3.94,3.97,42190100.0,0.415,403.5546367
2025-11-18,3.96,3.98,3.88,3.9,59379400.0,0.5841,396.43906376
2025-11-19,3.89,3.95,3.89,3.92,38421134.0,0.378,398.4720846
2025-11-20,3.91,3.93,3.86,3.87,66592460.0,0.6551,393.38953250000003
2025-11-21,3.85,3.86,3.76,3.76,58011100.0,0.5707,382.20791787999997
2025-11-24,3.79,3.79,3.73,3.76,39558500.0,0.3892,382.20791787999997
2025-11-25,3.76,3.77,3.73,3.73,45272964.0,0.4454,379.15838662
2025-11-26,3.74,3.74,3.71,3.71,28078776.0,0.2762,377.12536578000004
2025-11-27,3.72,3.74,3.7,3.73,24161400.0,0.2377,379.15838662
2025-11-28,3.73,3.75,3.71,3.74,19837100.0,0.1951,380.17489704
2025-12-01,3.74,3.8,3.73,3.8,41210925.0,0.4054,386.27395956000004
2025-12-02,3.8,3.86,3.76,3.86,59600300.0,0.5863,392.37302208
2025-12-03,3.84,3.89,3.83,3.88,35310210.0,0.3474,394.40604292
2025-12-04,3.89,3.9,3.87,3.88,26583900.0,0.2615,394.40604292
2025-12-05,3.88,3.9,3.83,3.88,34889966.0,0.3432,394.40604292
2025-12-08,3.9,3.9,3.82,3.83,39368205.0,0.3873,389.32349082
2025-12-09,3.87,3.98,3.86,3.93,110277610.00000001,1.0849,399.48859502
2025-12-10,3.91,3.94,3.89,3.9,47413776.0,0.4664,396.43906376
2025-12-11,3.91,3.92,3.85,3.86,30270400.0,0.2978,392.37302208
2025-12-12,3.85,3.86,3.81,3.84,52231941.0,0.5138,390.34000124
2025-12-15,3.83,3.86,3.82,3.84,26663434.000000004,0.2623,390.34000124
2025-12-16,3.84,3.84,3.76,3.78,44644970.0,0.4392,384.24093872000003
2025-12-17,3.75,3.8,3.74,3.78,32894558.0,0.3236,384.24093872000003
2025-12-18,3.78,3.84,3.76,3.82,35630900.0,0.3505,388.3069804
2025-12-19,3.81,3.86,3.79,3.83,28064000.0,0.2761,389.32349082
2025-12-22,3.83,3.85,3.82,3.83,21694400.0,0.2134,389.32349082
2025-12-23,3.84,3.87,3.84,3.85,24756681.0,0.2435,391.35651165999997
2025-12-24,3.86,3.86,3.82,3.84,19809607.0,0.1949,390.34000124
2025-12-25,3.85,3.86,3.8,3.81,37218086.0,0.3661,387.29046998
2025-12-26,3.81,3.82,3.79,3.8,27373500.0,0.2693,386.27395956000004
2025-12-29,3.8,3.83,3.78,3.79,28027658.0,0.2757,385.25744914
2025-12-30,3.8,3.87,3.78,3.85,50549878.0,0.4973,391.35651165999997
2025-12-31,3.83,3.85,3.82,3.84,24662467.0,0.2426,390.34000124
2026-01-05,3.87,3.89,3.82,3.82,49006760.0,0.4821,388.3069804
2026-01-06,3.82,3.92,3.82,3.91,76299460.0,0.7506,397.45557418
2026-01-07,3.89,3.89,3.82,3.83,65950164.0,0.6488,389.32349082
2026-01-08,3.82,3.88,3.8,3.87,42338700.0,0.4165,393.38953250000003
2026-01-09,3.92,3.93,3.88,3.9,55965500.0,0.5506,396.43906376
2026-01-12,3.89,3.91,3.87,3.9,42118658.0,0.4143,396.43906376
2026-01-13,3.91,3.95,3.89,3.91,64730116.0,0.6368,397.45557418
2026-01-14,3.93,4.0,3.91,3.94,101191792.0,0.9955,400.50510543999997
2026-01-15,3.92,3.97,3.89,3.96,54450781.00000001,0.5357,402.53812628000003
2026-01-16,3.93,3.95,3.88,3.92,59606743.00000001,0.5864,398.4720846
2026-01-19,3.9,3.96,3.89,3.95,41386116.0,0.4071,401.52161586
2026-01-20,3.95,4.01,3.94,4.0,75460844.0,0.7424,406.60416796
2026-01-21,4.0,4.05,3.98,4.05,60101700.0,0.5913,411.68672006
2026-01-22,4.06,4.3,4.05,4.24,151853101.0,1.4939,431.00041804
2026-01-23,4.19,4.27,4.17,4.24,72315070.0,0.7114,431.00041804
2026-01-26,4.26,4.36,4.24,4.33,88046247.0,0.8662,440.14901182000006
2026-01-27,4.3,4.37,4.22,4.26,64169800.0,0.6313,433.03343888
2026-01-28,4.31,4.54,4.3,4.45,152616387.0,1.5014,452.34713686
2026-01-29,4.5,4.9,4.41,4.89,281270276.0,2.767,497.07359533
2026-01-30,4.81,4.87,4.41,4.5,308592986.0,3.0358,457.42968896
2026-02-02,4.23,4.36,4.16,4.17,220723194.0,2.1714,423.8848451
2026-02-03,4.17,4.24,4.12,4.2,116285481.0,1.144,426.93437636000004
2026-02-04,4.25,4.3,4.21,4.27,95454134.0,0.939,434.0499493
2026-02-05,4.24,4.31,4.15,4.21,82327318.0,0.8099,427.95088678
2026-02-06,4.15,4.35,4.12,4.3,95954679.0,0.944,437.09948055999996
2026-02-09,4.3,4.32,4.24,4.27,67683432.0,0.6658,434.0499493
2026-02-10,4.3,4.32,4.24,4.26,56908586.0,0.5598,433.03343888
2026-02-11,4.26,4.44,4.25,4.42,101700746.0,1.0005,449.2976056
2026-02-12,4.44,4.55,4.43,4.48,100673957.0,0.9904,455.3966681200001
2026-02-13,4.42,4.43,4.31,4.32,76925500.0,0.7568,439.1325014
2026-02-24,4.45,4.67,4.43,4.65,169355302.0,1.666,472.67734525
2026-02-25,4.6,4.73,4.54,4.64,146575348.0,1.4419,471.66083483
2026-02-26,4.61,4.68,4.53,4.55,80533400.0,0.7923,462.51224105
2026-02-27,4.57,4.61,4.52,4.58,63877274.0,0.6284,465.56177231
2026-03-02,4.99,5.04,4.81,5.04,281007480.0,2.7644,512.32125163
2026-03-03,5.36,5.54,5.29,5.54,261080936.0,2.5684,563.1467726200001
2026-03-04,5.73,5.8,5.0,5.63,495016804.0,4.8698,572.2953664
2026-03-05,5.41,5.49,5.11,5.23,325379605.0,3.2009,531.63494961
2026-03-06,5.13,5.2,4.97,5.04,204483072.0,2.0116,512.32125163
2026-03-09,5.49,5.49,5.02,5.04,293031424.0,2.8827,512.32125163
2026-03-10,4.8,4.87,4.74,4.78,186485743.0,1.8346,485.89198071
2026-03-11,4.77,4.82,4.67,4.8,139691629.0,1.3742,487.92500155
2026-03-12,4.89,4.93,4.74,4.84,149423513.0,1.47,491.99104323000006
2026-03-13,4.88,4.93,4.8,4.83,112757921.0,1.1093,490.97453280999997
2026-03-16,4.89,5.02,4.84,4.87,122100376.0,1.2012,495.04057449000004
2026-03-17,4.8,4.81,4.66,4.72,102013043.0,1.0036,479.79291819
2026-03-18,4.66,4.67,4.52,4.6,87232486.0,0.8582,467.59479315
2026-03-19,4.72,4.74,4.57,4.66,131765395.0,1.2963,473.69385566999995
2026-03-20,4.55,4.63,4.48,4.53,85865831.0,0.8447,460.47922021000005
2026-03-23,4.55,4.62,4.45,4.48,97686561.0,0.961,455.3966681200001
2026-03-24,4.4,4.55,4.38,4.52,80327196.0,0.7902,459.46270979
2026-03-25,4.45,4.66,4.41,4.62,96865949.0,0.9529,469.62781399
2026-03-26,4.6,4.69,4.58,4.65,76107467.0,0.7487,472.67734525
2026-03-27,4.64,4.67,4.57,4.65,68020647.0,0.6692,472.67734525
2026-03-30,4.71,4.75,4.57,4.61,65850706.00000001,0.6478,468.61130356999996
2026-03-31,4.59,4.65,4.48,4.49,54662112.0,0.5377,456.41317854000005
2026-04-01,4.48,4.54,4.42,4.45,58488900.0,0.5754,452.34713686
2026-04-02,4.46,4.61,4.46,4.6,110152399.0,1.0836,467.59479315
2026-04-03,4.6,4.6,4.43,4.48,72821600.0,0.7164,455.3966681200001
2026-04-07,4.46,4.57,4.41,4.56,60782900.0,0.598,463.52875147000003
2026-04-08,4.4,4.46,4.31,4.39,123748624.0,1.2174,446.24807434
2026-04-09,4.41,4.45,4.33,4.38,68326484.0,0.6722,445.23156392
2026-04-10,4.36,4.48,4.35,4.45,81661922.0,0.8034,452.34713686
2026-04-13,4.52,4.54,4.39,4.51,71064589.0,0.6991,458.44619937000004
2026-04-14,4.45,4.48,4.41,4.43,62483797.0,0.6147,450.31411602
2026-04-15,4.39,4.4,4.3,4.31,74320000.0,0.7311,438.11599097999994
2026-04-16,4.3,4.31,4.27,4.3,54881164.0,0.5399,437.09948055999996
2026-04-17,4.3,4.31,4.22,4.24,44113191.0,0.434,431.00041804
2026-04-20,4.25,4.26,4.2,4.24,46732600.0,0.4597,431.00041804
2026-04-21,4.24,4.27,4.21,4.26,43759899.0,0.4305,433.03343888
2026-04-22,4.25,4.26,4.2,4.23,48378859.0,0.4759,429.98390762
2026-04-23,4.23,4.29,4.22,4.27,68032736.0,0.6693,434.0499493
2026-04-24,4.27,4.29,4.18,4.22,62023946.0,0.6102,428.9673972
2026-04-27,4.23,4.28,4.2,4.26,45332260.0,0.446,433.03343888
2026-04-28,4.26,4.33,4.23,4.32,70357895.0,0.6922,439.1325014
2026-04-29,4.32,4.44,4.31,4.42,89165189.0,0.8772,449.2976056
2026-04-30,4.43,4.47,4.38,4.43,69399934.0,0.6827,450.31411602
2026-05-06,4.38,4.38,4.24,4.27,92481900.0,0.9098,434.0499493
2026-05-07,4.25,4.26,4.13,4.15,85362792.0,0.8398,421.85182426000006
2026-05-08,4.15,4.2,4.15,4.19,47025137.0,0.4626,425.91786594
2026-05-11,4.2,4.21,4.16,4.18,42952039.0,0.4225,424.90135552000004
2026-05-12,4.19,4.2,4.12,4.15,52324859.0,0.5147,421.85182426000006
2026-05-13,4.16,4.23,4.15,4.19,57366168.99999999,0.5643,425.91786594
2026-05-14,4.2,4.22,4.16,4.19,52089308.0,0.5124,425.91786594
2026-05-15,4.18,4.2,4.13,4.16,50328365.0,0.4951,422.86833468000003
2026-05-18,4.18,4.26,4.14,4.23,64316200.0,0.6327,429.98390762
2026-05-19,4.21,4.23,4.16,4.22,40014254.0,0.3936,428.9673972
2026-05-20,4.22,4.28,4.21,4.22,50559320.0,0.4974,428.9673972
2026-05-21,4.16,4.22,4.05,4.07,66968124.0,0.6588,413.7197409
2026-05-22,4.07,4.19,4.03,4.17,60506914.0,0.5952,423.8848451
2026-05-25,4.14,4.14,3.93,3.95,102189249.0,1.0053,401.52161586
