date,open,high,low,close,volume
2025-06-03,70.88,75.5,70.34,74.77,9960780.0
2025-06-04,75.24,75.49,73.3,74.64,4921571.0
2025-06-05,74.87,76.21,73.3,75.82,3953885.0
2025-06-06,75.82,77.38,74.5,75.72,2380331.0
2025-06-09,75.87,76.06,74.8,75.65,2164436.0
2025-06-10,75.78,75.78,73.15,73.86,3378158.0
2025-06-11,74.5,76.6,73.73,74.36,3320181.0
2025-06-12,74.36,74.96,71.06,71.42,4098275.0
2025-06-13,71.44,76.98,70.51,75.87,11373524.0
2025-06-16,75.87,78.18,75.4,76.55,3735127.0
2025-06-17,76.36,76.6,74.55,75.2,2158607.0
2025-06-18,74.6,79.19,74.49,77.97,3668103.0
2025-06-19,77.96,81.86,77.1,79.7,5598076.0
2025-06-20,80.16,82.44,79.95,80.65,4578499.0
2025-06-23,80.0,86.3,80.0,83.52,8218557.0
2025-06-24,83.3,84.2,81.82,83.65,4013767.0
2025-06-25,83.16,85.0,82.81,84.73,3824801.0
2025-06-26,84.65,86.49,82.02,82.14,4384688.0
2025-06-27,83.1,83.64,81.42,82.82,2609328.0
2025-06-30,82.88,85.0,82.88,84.19,2889655.0
2025-07-01,83.56,87.65,83.05,86.6,3243817.0
2025-07-02,85.68,86.58,81.11,81.62,3931187.0
2025-07-03,82.14,82.49,80.6,81.95,1866595.0
2025-07-04,81.77,85.29,80.6,81.8,2939590.0
2025-07-07,81.72,85.93,81.56,84.37,4089706.0
2025-07-08,84.37,85.32,81.5,82.89,3482225.0
2025-07-09,82.89,83.58,81.8,82.2,1613810.0
2025-07-10,82.01,82.76,80.02,81.45,2415635.0
2025-07-11,81.45,82.8,80.8,82.58,2532338.0
2025-07-14,82.55,82.66,80.88,81.63,2004130.0
2025-07-15,82.55,82.66,80.49,80.63,2463593.0
2025-07-16,80.28,83.54,80.28,81.72,2717646.0
2025-07-17,81.48,81.48,79.33,81.22,2302565.0
2025-07-18,81.88,82.44,80.11,81.33,2307644.0
2025-07-21,81.47,81.47,79.51,80.56,1991958.0
2025-07-22,80.56,81.6,78.0,80.45,4197815.0
2025-07-23,79.17,85.75,79.17,84.78,5456360.0
2025-07-24,84.48,89.2,84.4,88.58,5270232.0
2025-07-25,88.5,91.5,87.21,89.94,4250604.0
2025-07-28,90.3,91.2,87.88,88.12,2918734.0
2025-07-29,88.0,93.99,88.0,92.5,6057319.0
2025-07-30,92.01,92.87,89.8,90.58,2967174.0
2025-07-31,90.4,91.3,87.42,87.74,3230214.0
2025-08-01,87.51,88.78,85.4,86.4,2234924.0
2025-08-04,86.02,88.35,85.77,86.96,2377039.0
2025-08-05,86.99,88.38,86.4,87.82,1716322.0
2025-08-06,88.5,88.6,84.5,85.99,4420328.0
2025-08-07,86.0,87.8,85.02,85.4,2799566.0
2025-08-08,85.6,85.7,81.8,82.01,3542977.0
2025-08-11,82.3,83.54,81.31,82.97,3074164.0
2025-08-12,82.6,84.34,81.19,83.21,5300785.0
2025-08-13,83.21,85.22,82.3,83.47,4292959.0
2025-08-14,83.5,87.2,83.04,85.1,5604393.0
2025-08-15,84.43,87.27,83.82,86.94,4393049.0
2025-08-18,86.94,91.25,86.03,88.12,5891651.0
2025-08-19,89.0,89.4,85.71,86.08,4839287.0
2025-08-20,86.0,94.68,84.32,93.1,9354436.0
2025-08-21,92.48,94.3,91.01,91.86,8107266.0
2025-08-22,91.8,102.6,91.4,99.1,13245654.0
2025-08-25,102.01,103.0,96.59,98.87,8913656.0
2025-08-26,96.15,102.0,96.15,96.9,6219714.0
2025-08-27,96.32,104.03,95.55,95.55,9048359.0
2025-08-28,96.5,100.85,95.75,99.99,7313982.0
2025-08-29,99.99,100.28,96.65,99.62,5840663.0
2025-09-01,99.9,105.55,98.25,102.83,7659792.0
2025-09-02,102.0,102.74,93.57,93.99,8014178.0
2025-09-03,94.5,97.0,93.01,95.05,5635183.0
2025-09-04,94.8,95.0,86.88,88.28,7287863.0
2025-09-05,88.5,90.24,87.6,89.9,4860768.0
2025-09-08,89.17,90.86,87.26,89.6,7090727.0
2025-09-09,89.05,89.27,85.88,86.8,3945552.0
2025-09-10,86.99,87.69,84.99,85.75,3590502.0
2025-09-11,85.87,90.38,85.31,89.6,4937377.0
2025-09-12,89.3,92.2,88.89,90.19,5127754.0
2025-09-15,92.99,93.41,89.7,90.75,5300185.0
2025-09-16,90.14,91.5,87.98,89.66,5902128.0
2025-09-17,89.99,96.42,88.9,94.84,8392706.0
2025-09-18,94.99,104.55,94.9,101.85,13459638.0
2025-09-19,101.9,105.24,99.06,99.84,8260228.0
2025-09-22,100.8,103.51,96.96,97.51,8822432.0
2025-09-23,99.0,103.58,95.01,103.0,9943623.0
2025-09-24,103.0,119.99,102.0,114.25,16768765.0
2025-09-25,114.4,121.8,113.02,119.85,13377154.0
2025-09-26,118.0,123.21,115.88,116.2,11317355.0
2025-09-29,115.65,119.98,114.98,117.6,8991219.0
2025-09-30,117.7,120.44,115.58,116.03,9865649.0
2025-10-09,119.77,132.97,114.77,123.68,16256859.0
2025-10-10,125.01,131.3,121.88,125.01,14873432.0
2025-10-13,118.0,140.2,118.0,137.0,16186808.0
2025-10-14,139.98,144.44,126.0,133.7,14658877.0
2025-10-15,128.15,128.9,121.0,124.99,11982816.0
2025-10-16,124.0,128.12,120.2,122.71,7906344.0
2025-10-17,121.98,121.99,114.68,117.65,9468125.0
2025-10-20,119.3,120.99,114.82,115.88,6123174.0
2025-10-21,116.54,122.1,116.04,118.8,8984923.0
2025-10-22,117.8,123.5,117.72,119.74,7667677.0
2025-10-23,118.99,120.5,116.66,117.99,4774853.0
2025-10-24,119.24,124.32,119.07,123.7,8995691.0
2025-10-27,123.01,132.31,120.8,127.43,12733338.0
2025-10-28,124.1,128.51,122.6,126.18,6711263.0
2025-10-29,126.0,126.88,117.1,118.2,12068236.0
2025-10-30,117.86,121.0,117.71,117.99,6825861.0
2025-10-31,116.0,117.6,113.38,113.41,8390372.0
2025-11-03,112.22,117.0,109.0,116.0,7947590.0
2025-11-04,116.0,121.98,115.11,120.42,9714559.0
2025-11-05,119.85,125.96,116.4,121.21,7701904.0
2025-11-06,122.1,126.0,120.68,124.32,6444069.0
2025-11-07,123.08,137.66,122.8,134.8,10636021.0
2025-11-10,134.13,138.94,129.83,136.38,10335729.0
2025-11-11,136.0,140.67,127.5,128.65,6940038.0
2025-11-12,128.0,131.54,125.73,128.47,3903165.0
2025-11-13,127.92,130.36,124.2,125.8,4823197.0
2025-11-14,123.4,134.65,122.17,125.18,6994595.0
2025-11-17,126.1,127.65,122.5,125.0,3650496.0
2025-11-18,125.0,132.75,124.2,127.98,5176165.0
2025-11-19,126.12,129.12,123.91,124.51,3056204.0
2025-11-20,126.19,126.88,119.5,120.87,4411195.0
2025-11-21,120.0,121.68,116.65,116.96,4167541.0
2025-11-24,116.88,119.2,111.2,115.59,5487405.0
2025-11-25,116.68,117.25,113.88,114.6,3686127.0
2025-11-26,113.61,117.7,112.0,114.38,3859367.0
2025-11-27,114.98,120.87,114.88,115.15,4424641.0
2025-11-28,114.33,122.7,113.8,121.46,5121123.0
2025-12-01,122.0,123.0,117.0,120.51,3983764.0
2025-12-02,120.5,122.0,117.45,119.1,2200332.0
2025-12-03,119.1,122.85,118.52,120.45,3596791.0
2025-12-04,119.11,130.0,117.89,126.0,7652633.0
2025-12-05,125.81,133.99,125.68,133.99,6406765.0
2025-12-08,131.36,135.98,127.0,133.9,6795398.0
2025-12-09,132.03,134.9,127.66,128.65,6287494.0
2025-12-10,127.97,129.92,126.11,128.95,3299713.0
2025-12-11,131.39,142.88,130.28,139.2,12170609.0
2025-12-12,136.0,156.88,135.8,154.0,13388982.0
2025-12-15,151.0,155.98,146.52,149.4,7400070.0
2025-12-16,149.29,158.99,146.0,150.2,11135377.0
2025-12-17,150.2,152.9,143.38,151.9,8143493.0
2025-12-18,150.0,151.33,146.0,147.0,5658324.0
2025-12-19,148.58,151.91,144.3,147.34,6070394.0
2025-12-22,146.0,161.59,146.0,154.5,10275907.0
2025-12-23,154.0,168.0,153.82,161.3,8204181.0
2025-12-24,164.0,165.17,155.96,156.8,6736761.0
2025-12-25,156.0,157.97,148.88,154.0,7615900.0
2025-12-26,152.0,153.77,148.02,149.6,6402655.0
2025-12-29,150.15,154.65,146.66,151.94,5947656.0
2025-12-30,152.94,160.0,150.25,151.88,6066940.0
2025-12-31,157.1,162.33,150.0,152.99,7140492.0
2026-01-05,155.0,165.5,152.99,165.44,7344929.0
2026-01-06,165.0,185.66,163.8,174.77,10282863.0
2026-01-07,179.0,184.88,173.0,179.0,8996798.0
