date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.64,7.68,7.55,7.66,20307021.0,0.275,565.59123578
2025-06-04,7.67,7.69,7.64,7.67,11997645.0,0.1625,566.32960554
2025-06-05,7.66,7.69,7.61,7.65,11952274.0,0.1619,564.85286602
2025-06-06,7.65,7.67,7.62,7.66,8905934.0,0.1206,565.59123578
2025-06-09,7.65,7.69,7.63,7.66,16378168.0,0.2218,565.59123578
2025-06-10,7.66,7.66,7.51,7.56,21666538.0,0.2934,558.2075381799999
2025-06-11,7.56,7.71,7.56,7.67,32850031.0,0.4449,566.32960554
2025-06-12,7.68,8.44,7.57,8.04,85101921.0,1.1526,593.64928664
2025-06-13,7.82,7.85,7.59,7.7,91549259.0,1.2399,568.54471482
2025-06-16,7.62,7.62,7.56,7.61,29379314.0,0.3979,561.89938698
2025-06-17,7.59,7.59,7.52,7.54,23408386.0,0.317,556.73079866
2025-06-18,7.52,7.53,7.45,7.45,22119156.0,0.2996,550.08547083
2025-06-19,7.5,7.5,7.4,7.41,15541200.0,0.2105,547.13199179
2025-06-20,7.41,7.44,7.37,7.43,14027060.0,0.19,548.6087313099999
2025-06-23,7.37,7.45,7.33,7.43,14199445.000000002,0.1923,548.6087313099999
2025-06-24,7.46,7.53,7.46,7.51,19994616.0,0.2708,554.51568938
2025-06-25,7.51,7.59,7.48,7.56,22956360.0,0.3109,558.2075381799999
2025-06-26,7.56,7.56,7.49,7.5,15406200.0,0.2087,553.77731963
2025-06-27,7.49,7.53,7.48,7.48,11644855.0,0.1577,552.3005801099999
2025-06-30,7.48,7.5,7.46,7.49,13677300.0,0.1852,553.03894987
2025-07-01,7.49,7.5,7.43,7.45,17971292.0,0.2434,550.08547083
2025-07-02,7.45,7.47,7.41,7.47,16661464.000000002,0.2257,551.56221035
2025-07-03,7.48,7.55,7.47,7.52,21871328.0,0.2962,555.25405914
2025-07-04,7.53,7.6,7.5,7.52,23027201.0,0.3119,555.25405914
2025-07-07,7.5,7.53,7.47,7.51,12928967.0,0.1751,554.51568938
2025-07-08,7.5,7.54,7.48,7.53,15364325.0,0.2081,555.9924288999999
2025-07-09,7.51,7.55,7.5,7.5,17766170.0,0.2406,553.77731963
2025-07-10,7.49,7.55,7.48,7.52,20711365.0,0.2805,555.25405914
2025-07-11,7.53,7.62,7.51,7.55,33733635.0,0.4569,557.46916842
2025-07-14,7.46,7.5,7.42,7.47,28598580.0,0.3873,551.56221035
2025-07-15,7.47,7.55,7.41,7.54,31778386.0,0.4304,556.73079866
2025-07-16,7.52,7.62,7.5,7.62,30438287.0,0.4122,562.63775674
2025-07-17,7.64,7.77,7.58,7.62,38401327.0,0.5201,562.63775674
2025-07-18,7.67,7.69,7.58,7.65,18910531.0,0.2561,564.85286602
2025-07-21,7.69,7.74,7.67,7.74,32241289.0,0.4367,571.49819385
2025-07-22,7.71,7.75,7.62,7.73,33890486.0,0.459,570.7598240899999
2025-07-23,7.73,7.8,7.71,7.73,35491487.0,0.4807,570.7598240899999
2025-07-24,7.74,7.81,7.73,7.79,32523028.000000004,0.4405,575.19004265
2025-07-25,7.8,7.82,7.75,7.76,26456759.999999996,0.3583,572.97493337
