date,open,high,low,close,volume
2026-04-01,128.0,158.0,126.0,126.71,10823005.0
2026-04-02,123.5,133.12,123.0,125.12,7205086.0
2026-04-03,123.0,123.8,109.3,109.34,6774929.0
2026-04-07,107.49,115.15,107.39,110.18,4519663.0
2026-04-08,114.0,120.85,113.65,115.72,5787167.0
2026-04-09,112.25,115.2,110.91,112.15,4337600.0
2026-04-10,115.76,118.0,112.8,112.85,3344860.0
2026-04-13,112.88,120.88,112.85,119.44,4760202.0
2026-04-14,120.0,123.68,118.01,121.08,4143634.0
2026-04-15,121.01,135.0,120.21,130.67,5215840.0
2026-04-16,129.11,129.5,123.8,125.5,4208531.0
2026-04-17,125.08,126.0,121.22,124.3,3374147.0
2026-04-20,125.0,130.42,122.3,130.0,4394253.0
2026-04-21,129.74,132.9,123.6,130.8,4780813.0
2026-04-22,128.64,131.5,127.95,130.41,3199654.0
2026-04-23,130.06,136.5,129.58,131.53,3609059.0
2026-04-24,130.5,133.5,126.6,127.11,2867102.0
2026-04-27,126.31,136.44,126.31,133.99,3806027.0
2026-04-28,132.81,135.98,132.03,134.99,2717195.0
2026-04-29,131.99,132.0,125.98,130.05,3772947.0
2026-04-30,129.0,130.2,125.99,129.28,2597338.0
2026-05-06,129.0,138.55,129.0,136.5,3507421.0
2026-05-07,136.5,137.31,134.61,136.58,2468807.0
2026-05-08,135.17,144.58,134.99,143.03,3493550.0
2026-05-11,145.01,149.8,138.26,140.5,3768799.0
2026-05-12,139.9,141.98,136.5,138.3,2531505.0
2026-05-13,136.92,140.82,136.51,138.73,2435262.0
2026-05-14,138.83,139.8,130.16,131.04,3194328.0
2026-05-15,131.55,136.9,130.86,135.8,2533987.0
2026-05-18,133.99,148.84,133.5,148.35,3703210.0
2026-05-19,150.01,153.0,141.5,142.68,3099598.0
2026-05-20,142.01,144.51,140.51,141.99,2294191.0
2026-05-21,143.84,149.97,135.57,136.18,3643049.0
2026-05-22,139.74,146.78,138.1,145.01,3357527.0
2026-05-25,146.84,147.55,135.12,135.72,3726690.0
2026-05-26,134.42,134.82,125.64,129.75,3034495.0
2026-05-27,129.29,137.5,128.0,130.28,2342137.0
2026-05-28,128.0,137.45,127.36,136.32,2852982.0
2026-05-29,137.31,150.97,135.8,137.5,4743175.0
2026-06-01,139.89,142.4,136.03,136.27,2511525.0
2026-06-02,136.2,146.66,132.38,144.9,3433827.0
2026-06-03,143.33,144.33,138.4,140.15,2415959.0
2026-06-04,138.33,144.49,137.83,141.8,2225426.0
2026-06-05,142.0,146.0,135.3,140.95,2998461.0
2026-06-08,135.01,136.65,131.31,132.4,2127756.0
2026-06-09,135.15,136.66,131.6,133.29,1637736.0
2026-06-10,131.63,131.8,122.5,124.68,2468072.0
2026-06-11,124.02,125.18,121.43,122.72,1223433.0
2026-06-12,124.68,127.8,122.68,123.09,1673390.0
2026-06-15,124.01,130.8,123.56,130.53,1965568.0
2026-06-16,130.37,139.68,129.62,135.41,2122714.0
2026-06-17,134.6,145.0,134.05,140.53,2679556.0
2026-06-18,140.17,145.0,139.25,144.0,2053282.0
2026-06-22,143.3,145.9,140.0,145.9,2012857.0
2026-06-23,145.66,153.0,142.0,145.22,1744511.0
2026-06-24,143.89,146.99,140.91,143.76,1410301.0
2026-06-25,144.95,147.33,137.58,138.9,1814739.0
2026-06-26,137.66,138.86,130.2,131.11,1782843.0
2026-06-29,133.97,135.99,125.5,128.44,1712700.0
2026-06-30,128.42,141.41,127.26,139.83,2226656.0
2026-07-01,139.9,144.94,137.6,144.41,2061257.0
2026-07-02,140.92,147.87,138.02,142.6,1876925.0
2026-07-03,141.5,144.29,137.24,138.07,1482809.0
2026-07-06,137.5,140.88,133.01,133.3,1418360.0
2026-07-07,134.0,134.19,128.5,129.36,1209832.0
2026-07-08,129.33,129.99,121.9,122.34,2057123.0
2026-07-09,123.0,123.51,117.5,123.49,1606351.0
