date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,36.1,38.51,35.8,38.5,8732376.0,5.6338,59.675
2025-06-04,38.4,40.89,37.75,40.24,12417100.0,8.011,62.372
2025-06-05,39.98,40.78,39.2,39.29,8430700.0,5.4392,60.8995
2025-06-06,39.01,39.69,38.4,38.55,5571300.0,3.5944,59.7525
2025-06-09,38.66,39.39,38.28,38.9,5147300.0,3.3208,60.295
2025-06-10,38.68,40.16,38.53,39.2,8299975.999999999,5.3548,60.76
2025-06-11,39.2,40.28,39.1,39.75,6516400.0,4.2041,61.6125
2025-06-12,39.69,40.2,38.81,39.29,5582200.0,3.6014,60.8995
2025-06-13,38.88,39.35,37.7,38.18,5646500.0,3.6429,59.179
2025-06-16,38.18,39.0,37.8,38.66,5805699.0,3.7456,59.923
2025-06-17,38.7,41.25,38.66,40.05,9516186.0,6.1395,62.0775
2025-06-18,39.5,40.05,38.88,39.14,5010456.0,3.2326,60.667
2025-06-19,39.0,40.19,38.56,38.69,5526000.0,3.5652,59.9695
2025-06-20,38.51,38.9,38.0,38.1,3324300.0,2.1447,59.055
2025-06-23,37.91,39.94,37.8,39.11,7236694.0,4.6688,60.6205
2025-06-24,39.29,39.85,38.85,38.92,4682433.0,3.0209,60.326
2025-06-25,39.1,39.38,38.57,39.38,4059499.0,2.619,61.039
2025-06-26,39.1,40.94,38.73,40.42,10638686.0,6.8637,62.651
2025-06-27,40.0,40.63,39.51,40.25,7566775.0,4.8818,62.3875
2025-06-30,39.84,40.75,39.84,40.27,5998911.0,3.8703,62.4185
2025-07-01,40.4,40.56,38.38,38.48,8686893.0,5.6044,59.644
2025-07-02,38.4,39.08,37.94,38.68,5518421.0,3.5603,59.954
2025-07-03,38.4,38.7,37.96,38.27,5244900.0,3.3838,59.3185
2025-07-04,38.21,38.24,37.01,37.52,5579600.0,3.5997,58.156
2025-07-07,37.67,38.25,37.53,37.68,3752300.0,2.4208,58.404
2025-07-08,37.54,37.82,37.4,37.77,3115720.0,2.0101,58.5435
2025-07-09,37.88,37.93,37.35,37.37,3546919.9999999995,2.2883,57.9235
2025-07-10,37.37,37.77,37.0,37.19,3320900.0,2.1425,57.6445
2025-07-11,37.11,37.44,36.9,37.23,3280987.9999999995,2.1168,57.7065
2025-07-14,37.08,37.35,36.68,36.74,4366179.0,2.8169,56.947
2025-07-15,36.78,36.85,35.7,36.01,4658520.0,3.0055,55.8155
2025-07-16,36.08,36.59,36.03,36.32,3222220.0,2.0789,56.296
2025-07-17,36.49,36.99,36.11,36.4,4780900.0,3.0845,56.42
2025-07-18,36.52,36.59,36.2,36.46,3617200.0,2.3337,56.513
2025-07-21,36.72,37.42,36.46,37.21,4919300.0,3.1737,57.6755
2025-07-22,37.0,37.45,37.0,37.1,4507100.0,2.9078,57.505
2025-07-23,37.1,37.27,36.64,36.74,3920405.0000000005,2.5293,56.947
2025-07-24,36.74,37.71,36.69,37.67,6047959.0,3.9019,58.3885
2025-07-25,37.7,38.06,37.1,37.37,5166999.0,3.3335,57.9235
2025-07-28,37.37,38.45,37.26,38.09,6105700.0,3.9392,59.0395
2025-07-29,38.53,38.97,37.68,38.3,6286100.0,4.0555,59.365
2025-07-30,38.02,39.2,37.76,39.0,10233087.0,6.602,60.45
2025-07-31,38.51,38.82,37.7,38.68,8795000.0,5.6742,59.954
2025-08-01,37.88,38.2,36.9,37.15,7104277.0,4.5834,57.5825
2025-08-04,36.81,37.14,36.46,36.79,4459600.0,2.8772,57.0245
2025-08-05,36.85,37.19,36.73,37.02,3046971.0,1.9658,57.381
2025-08-06,37.07,37.55,36.74,37.41,3444300.0,2.2221,57.9855
2025-08-07,37.31,38.17,37.17,37.66,4873500.0,3.1442,58.373
2025-08-08,37.8,45.19,37.58,45.19,27698787.0,17.8702,70.0445
