date,open,high,low,close,volume
2025-06-03,32.07,33.17,32.06,32.44,1884822.0
2025-06-04,32.36,32.94,32.3,32.55,1545125.0
2025-06-05,32.54,33.37,32.3,33.21,3009825.0
2025-06-06,33.5,34.46,32.52,33.66,3806730.0
2025-06-09,33.52,34.64,33.52,34.3,3709831.0
2025-06-10,34.4,34.95,32.52,33.16,3973832.0
2025-06-11,33.01,34.2,32.68,33.3,3137310.0
2025-06-12,32.85,33.43,32.4,32.57,2653492.0
2025-06-13,32.57,32.76,31.14,31.26,3018828.0
2025-06-16,30.42,31.81,30.42,31.55,1625901.0
2025-06-17,31.61,31.77,30.88,30.91,1670267.0
2025-06-18,30.85,31.27,30.2,30.48,1563990.0
2025-06-19,30.32,30.87,28.5,28.88,3281052.0
2025-06-20,28.75,29.18,28.02,28.15,2623441.0
2025-06-23,28.3,28.74,27.8,28.73,1853106.0
2025-06-24,30.8,31.53,30.1,30.4,5154892.0
2025-06-25,30.28,31.78,29.9,31.52,4987846.0
2025-06-26,31.21,31.85,30.61,30.66,3764871.0
2025-06-27,30.35,31.2,30.25,30.65,2309192.0
2025-06-30,30.93,33.53,30.43,31.8,4346724.0
2025-07-01,31.2,31.44,30.68,30.86,2836763.0
2025-07-02,30.6,30.79,30.05,30.11,1647713.0
2025-07-03,30.2,30.47,30.03,30.09,991527.0
2025-07-04,30.1,30.75,29.7,29.78,1682305.0
2025-07-07,29.67,29.95,29.31,29.66,1163252.0
2025-07-08,29.91,30.15,29.61,30.15,1320926.0
2025-07-09,30.15,30.29,29.35,29.4,1400918.0
2025-07-10,29.32,29.98,29.03,29.59,1263880.0
2025-07-11,29.77,30.3,29.59,30.19,1742811.0
2025-07-14,30.11,30.28,29.57,29.8,1102160.0
2025-07-15,29.81,31.97,29.5,31.52,5110097.0
2025-07-16,31.1,31.4,30.42,30.7,3383202.0
2025-07-17,30.44,30.93,30.34,30.49,2170692.0
2025-07-18,32.38,33.38,30.99,31.07,6372799.0
2025-07-21,29.54,30.63,29.53,30.49,4160598.0
2025-07-22,30.19,30.3,29.62,29.82,2985441.0
2025-07-23,29.78,30.29,29.43,29.71,2122798.0
2025-07-24,29.5,30.09,29.43,29.8,1491077.0
2025-07-25,30.23,31.9,30.04,30.72,5117890.0
2025-07-28,30.3,30.7,29.7,30.05,3582858.0
2025-07-29,29.84,30.12,29.51,30.08,2026900.0
2025-07-30,30.11,30.49,29.5,29.66,2162287.0
2025-07-31,31.77,32.0,30.36,30.58,6012048.0
2025-08-01,31.8,36.8,31.55,33.98,12627504.0
2025-08-04,32.52,33.21,31.78,32.77,7039767.0
2025-08-05,32.13,32.58,30.96,31.26,5706160.0
2025-08-06,31.09,31.98,31.09,31.76,4093450.0
2025-08-07,32.21,33.06,31.5,32.24,4702895.0
2025-08-08,32.0,32.29,30.96,30.98,4009111.0
2025-08-11,31.0,31.48,30.62,31.28,2229508.0
2025-08-12,31.1,31.3,30.83,30.89,2261754.0
2025-08-13,30.89,31.64,30.72,30.95,2872614.0
2025-08-14,30.87,31.22,29.85,29.96,3331974.0
2025-08-15,30.03,30.77,30.0,30.65,2500506.0
2025-08-18,30.66,31.8,30.58,31.8,4062875.0
2025-08-19,31.72,33.85,31.35,31.78,5510746.0
2025-08-20,31.27,32.13,31.11,32.12,3299928.0
2025-08-21,31.9,32.67,31.76,32.5,3432206.0
2025-08-22,32.9,32.98,31.6,31.88,4102614.0
2025-08-25,31.99,32.26,31.5,31.61,3298131.0
2025-08-26,31.52,31.77,31.13,31.26,2325830.0
2025-08-27,35.0,35.38,31.77,31.85,7939270.0
2025-08-28,30.74,31.6,30.12,31.18,4737435.0
2025-08-29,31.01,31.2,30.45,30.45,2584708.0
2025-09-01,30.97,31.19,30.34,30.64,1855950.0
2025-09-02,30.79,30.79,29.0,30.33,2576350.0
2025-09-03,30.7,30.7,29.53,29.62,1610449.0
2025-09-04,29.64,30.35,29.59,29.98,2002133.0
2025-09-05,30.34,30.78,30.0,30.72,2621257.0
2025-09-08,30.51,30.96,30.3,30.58,1828889.0
2025-09-09,30.45,31.59,29.72,31.48,4295080.0
2025-09-10,31.49,31.5,30.28,30.31,3328243.0
2025-09-11,30.18,30.47,29.85,30.4,2368928.0
2025-09-12,30.75,30.75,29.89,29.91,1647852.0
2025-09-15,30.0,30.0,29.03,29.66,1392349.0
2025-09-16,29.96,29.96,29.33,29.83,1191462.0
2025-09-17,29.7,29.96,29.59,29.69,953993.0
2025-09-18,29.74,30.06,29.3,29.45,1585320.0
2025-09-19,29.42,29.51,29.01,29.1,1149419.0
2025-09-22,29.11,29.41,28.38,28.58,1417889.0
2025-09-23,28.76,28.76,26.8,27.24,1919941.0
2025-09-24,27.24,27.79,27.1,27.77,1104193.0
2025-09-25,27.87,29.56,27.74,28.33,2159944.0
2025-09-26,28.0,28.15,27.26,27.26,1241700.0
2025-09-29,27.46,27.65,27.07,27.27,1087389.0
2025-09-30,27.5,27.95,27.25,27.25,850719.0
2025-10-09,26.76,27.06,26.4,26.79,1164009.0
2025-10-10,26.71,27.29,26.65,26.83,1064684.0
2025-10-13,25.63,26.64,25.4,26.24,1042853.0
2025-10-14,26.48,26.6,25.52,25.63,1168743.0
2025-10-15,25.8,25.8,25.31,25.71,1048015.0
2025-10-16,25.76,26.3,25.6,25.74,788522.0
2025-10-17,25.7,26.07,24.26,24.28,1566026.0
2025-10-20,24.66,24.75,24.16,24.32,724088.0
2025-10-21,24.44,25.88,24.23,25.44,1816912.0
2025-10-22,25.37,25.95,25.13,25.5,1314060.0
2025-10-23,25.36,25.5,24.9,25.15,756283.0
2025-10-24,25.25,25.53,25.15,25.4,687377.0
2025-10-27,25.72,25.75,25.29,25.39,706067.0
2025-10-28,25.41,25.62,25.32,25.37,576653.0
2025-10-29,25.37,26.68,24.8,26.59,2366221.0
2025-10-30,26.29,27.8,26.05,26.4,2881097.0
2025-10-31,26.03,28.45,26.03,27.61,4598901.0
2025-11-03,27.7,28.14,27.06,27.26,2690535.0
2025-11-04,27.07,27.26,26.23,26.58,1630758.0
2025-11-05,26.25,26.79,26.08,26.34,1090110.0
2025-11-06,26.49,26.49,25.85,25.9,1103041.0
2025-11-07,25.93,26.12,25.52,25.69,953104.0
2025-11-10,25.8,26.2,25.36,25.37,1209726.0
2025-11-11,25.44,25.67,25.07,25.29,911408.0
2025-11-12,25.5,25.74,25.27,25.47,843934.0
2025-11-13,25.66,26.52,25.35,26.5,1874110.0
2025-11-14,26.11,26.28,25.08,25.12,2136338.0
2025-11-17,25.15,25.65,24.83,25.16,1142663.0
2025-11-18,25.04,27.6,24.95,26.64,4947376.0
2025-11-19,25.85,26.28,25.5,25.67,3098756.0
2025-11-20,25.67,25.93,24.45,24.45,2078368.0
2025-11-21,23.93,24.58,23.2,23.4,1721723.0
2025-11-24,23.47,24.66,22.49,24.01,3294188.0
2025-11-25,24.36,24.68,23.7,23.91,2257297.0
2025-11-26,23.87,24.16,23.23,23.34,1251829.0
2025-11-27,23.58,23.58,22.76,22.77,1091747.0
2025-11-28,22.78,23.03,22.62,22.97,846757.0
2025-12-01,22.98,23.77,22.78,23.59,1316381.0
2025-12-02,23.71,23.72,23.02,23.03,833129.0
2025-12-03,23.12,23.44,22.55,22.6,803209.0
2025-12-04,22.82,22.82,22.0,22.01,946282.0
2025-12-05,22.02,22.54,21.73,22.41,1044733.0
2025-12-08,22.34,22.86,21.91,22.46,961551.0
2025-12-09,22.42,22.76,21.91,21.91,1104594.0
2025-12-10,21.91,22.14,21.43,21.82,1034501.0
2025-12-11,21.76,23.27,21.4,22.55,2268903.0
2025-12-12,22.48,23.01,22.21,22.47,1280154.0
2025-12-15,22.4,22.89,22.24,22.5,909466.0
2025-12-16,22.66,23.52,22.62,22.98,2399534.0
2025-12-17,22.7,23.59,22.52,23.11,1915195.0
2025-12-18,22.9,23.05,22.59,22.6,1075148.0
2025-12-19,22.61,23.3,22.61,22.87,1200341.0
2025-12-22,22.87,23.23,22.83,22.84,1053233.0
2025-12-23,22.84,23.3,22.03,22.16,1254779.0
2025-12-24,22.29,22.57,22.14,22.31,621036.0
2025-12-25,22.26,22.65,22.26,22.37,732299.0
2025-12-26,22.5,22.53,22.23,22.29,680844.0
2025-12-29,22.29,22.45,21.95,21.96,700435.0
2025-12-30,23.0,24.38,23.0,23.18,4927028.0
2025-12-31,22.45,30.13,22.45,28.96,15071683.0
2026-01-05,26.5,27.76,25.06,26.51,11493662.0
2026-01-06,25.6,26.79,25.33,26.71,8135444.0
2026-01-07,26.2,26.8,25.11,25.17,6121660.0
2026-01-08,25.25,27.3,25.17,25.93,6751344.0
2026-01-09,25.83,28.51,25.76,27.65,9156772.0
2026-01-12,28.78,33.1,27.6,30.83,10419688.0
2026-01-13,32.5,32.66,27.65,28.08,8251409.0
2026-01-14,27.3,32.0,27.3,30.88,9793260.0
2026-01-15,29.96,29.96,27.52,27.74,6363130.0
2026-01-16,27.48,28.0,26.41,26.63,4079244.0
2026-01-19,26.6,26.95,26.15,26.61,1813555.0
2026-01-20,27.45,27.68,25.92,26.29,3285803.0
2026-01-21,25.93,26.69,25.81,26.0,2431584.0
2026-01-22,26.02,26.52,25.99,26.46,2053317.0
2026-01-23,26.46,27.5,26.46,26.92,2982173.0
2026-01-26,27.03,27.19,25.69,26.06,2445476.0
2026-01-27,26.11,26.47,25.5,26.0,1658678.0
2026-01-28,26.09,26.48,25.38,25.46,1592072.0
2026-01-29,25.27,26.85,24.8,25.63,3270694.0
2026-01-30,25.51,26.0,24.73,24.73,2276775.0
2026-02-02,24.73,25.0,24.4,24.5,1113227.0
2026-02-03,24.8,25.23,24.58,25.12,1366186.0
2026-02-04,25.05,25.11,24.23,24.28,1732385.0
2026-02-05,24.19,24.44,23.95,23.95,1064182.0
2026-02-06,23.68,24.15,23.61,23.76,1109887.0
2026-02-09,24.16,25.0,24.11,24.72,1700465.0
2026-02-10,25.03,28.0,24.94,26.35,5782669.0
2026-02-11,25.99,26.85,25.73,25.76,3548597.0
2026-02-12,25.43,26.19,25.4,25.4,2311735.0
2026-02-13,25.4,26.2,25.04,25.08,2071986.0
2026-02-24,25.3,25.75,25.05,25.4,1253393.0
2026-02-25,25.39,25.76,24.92,24.96,1602865.0
2026-02-26,25.03,25.28,24.88,24.98,1035246.0
2026-02-27,24.79,25.33,24.66,24.75,1405643.0
2026-03-02,24.0,24.6,23.01,23.2,2539144.0
2026-03-03,23.22,23.51,22.27,22.3,1366257.0
2026-03-04,22.49,23.3,22.33,22.92,1470744.0
2026-03-05,23.21,23.46,22.6,22.95,1062375.0
2026-03-06,23.48,24.5,23.25,23.35,2297538.0
2026-03-09,23.2,26.34,22.81,26.2,6619775.0
2026-03-10,27.5,27.88,24.8,25.18,5515906.0
2026-03-11,25.06,25.06,24.41,24.52,3319413.0
2026-03-12,24.3,24.79,23.76,23.76,1902524.0
2026-03-13,23.76,23.76,22.96,23.03,1572853.0
2026-03-16,22.9,23.25,22.8,23.2,901226.0
2026-03-17,23.18,23.39,22.61,22.61,1063934.0
2026-03-18,22.64,23.16,22.58,22.98,839863.0
2026-03-19,22.59,22.83,21.83,21.99,1519384.0
2026-03-20,21.83,22.09,21.04,21.08,1297135.0
2026-03-23,20.65,20.99,19.68,19.96,1582375.0
2026-03-24,20.08,20.48,19.86,20.28,661631.0
2026-03-25,20.28,20.74,20.28,20.68,968845.0
2026-03-26,20.66,20.8,19.69,19.8,1332460.0
2026-03-27,19.52,20.14,19.48,19.85,718339.0
2026-03-30,19.6,19.9,19.3,19.81,843218.0
2026-03-31,19.9,20.17,19.41,19.45,794650.0
2026-04-01,19.98,20.13,19.63,19.88,711466.0
2026-04-02,20.0,20.02,19.51,19.51,787826.0
2026-04-03,19.51,19.7,18.59,18.59,1238875.0
2026-04-07,18.68,18.74,18.29,18.56,681728.0
2026-04-08,19.0,20.22,19.0,20.04,1996833.0
2026-04-09,19.71,20.08,19.54,19.55,1124556.0
2026-04-10,20.18,20.27,19.68,19.89,1513969.0
2026-04-13,19.8,19.99,19.55,19.7,741997.0
2026-04-14,19.9,20.12,19.65,19.71,872534.0
2026-04-15,20.0,20.14,19.6,19.64,1020994.0
2026-04-16,19.77,20.15,19.65,20.05,880765.0
2026-04-17,20.08,20.98,19.75,20.7,1819353.0
2026-04-20,20.82,21.58,20.63,20.91,1723036.0
2026-04-21,20.92,20.92,20.18,20.3,1102631.0
