date,open,high,low,close,volume
2026-03-20,15.19,15.37,14.64,14.64,3911078.0
2026-03-23,14.43,14.5,13.45,13.58,5580928.0
2026-03-24,13.97,14.28,13.63,14.28,5243615.0
2026-03-25,14.4,14.49,14.19,14.31,4003681.0
2026-03-26,14.31,14.45,13.98,14.11,3103581.0
2026-03-27,13.93,14.35,13.84,14.34,2779198.0
2026-03-30,13.92,14.24,13.91,14.16,3717645.0
2026-03-31,14.22,14.44,13.96,14.07,3546318.0
2026-04-01,14.33,14.45,14.17,14.38,2942632.0
2026-04-02,14.27,14.38,13.95,14.06,2470917.0
2026-04-03,14.0,14.11,13.72,13.81,2199229.0
2026-04-07,13.86,14.48,13.81,14.35,3423302.0
2026-04-08,14.7,16.0,14.58,15.88,7854401.0
2026-04-09,15.71,15.87,15.51,15.6,5455896.0
2026-04-10,16.11,17.05,15.8,16.76,10178722.0
2026-04-13,16.59,16.97,16.33,16.75,6255077.0
2026-04-14,17.02,17.14,16.46,17.0,6380305.0
2026-04-15,17.18,17.35,16.81,16.93,5096210.0
2026-04-16,16.91,17.09,16.83,16.87,3253062.0
2026-04-17,16.8,17.13,16.8,16.92,3444936.0
2026-04-20,16.8,16.97,16.6,16.72,4272872.0
2026-04-21,16.69,16.7,16.07,16.17,4427112.0
2026-04-22,16.15,16.49,16.08,16.27,4629645.0
2026-04-23,16.3,16.44,15.91,16.19,3930770.0
2026-04-24,16.28,16.74,15.88,16.61,5134649.0
2026-04-27,15.47,16.84,15.27,16.74,8111464.0
2026-04-28,16.41,17.0,16.0,16.42,5272643.0
2026-04-29,16.0,16.54,16.0,16.35,4230598.0
2026-05-06,13.08,13.08,13.08,13.08,1151514.0
2026-05-07,10.46,10.49,10.46,10.47,25801145.0
2026-05-08,10.5,10.77,10.3,10.62,22768796.0
2026-05-11,10.76,10.79,10.41,10.48,12551470.0
2026-05-12,10.43,10.5,9.93,9.97,12554816.0
2026-05-13,9.93,10.27,9.86,10.27,6793688.0
2026-05-14,10.26,10.26,9.89,9.89,5586558.0
2026-05-15,9.96,10.07,9.91,9.96,3943045.0
2026-05-18,9.91,10.53,9.89,10.37,6824488.0
2026-05-19,10.37,10.42,10.15,10.42,3926515.0
2026-05-20,10.35,10.49,10.22,10.25,3352021.0
2026-05-21,10.21,10.32,9.75,9.84,5823836.0
2026-05-22,9.89,9.92,9.7,9.81,2761686.0
2026-05-25,9.85,9.9,9.04,9.18,6740351.0
2026-05-26,9.16,9.16,8.84,8.95,3729847.0
2026-05-27,9.18,9.33,8.95,8.95,3183705.0
2026-05-28,9.0,9.44,8.91,9.38,3473939.0
2026-05-29,9.42,9.59,9.24,9.3,3464605.0
2026-06-01,9.25,9.53,9.19,9.53,3337328.0
2026-06-02,9.49,9.55,9.26,9.32,3081697.0
2026-06-03,9.33,9.44,9.03,9.08,3298506.0
2026-06-04,9.0,9.07,8.6,8.69,4403976.0
2026-06-05,8.68,9.1,8.68,8.94,3203959.0
2026-06-08,8.82,9.21,8.71,8.77,3836282.0
2026-06-09,8.84,8.95,8.63,8.66,2642301.0
2026-06-10,8.65,8.65,8.18,8.3,3793002.0
2026-06-11,8.32,8.38,8.04,8.07,2889963.0
2026-06-12,8.15,8.23,8.03,8.06,3059683.0
2026-06-15,8.07,8.28,8.03,8.08,3084002.0
2026-06-16,8.14,8.47,7.83,8.36,6010345.0
2026-06-17,8.27,8.36,7.95,7.99,4909664.0
2026-06-18,7.96,8.14,7.82,7.88,3385979.0
2026-06-22,7.85,7.98,7.5,7.94,4333398.0
2026-06-23,7.91,8.4,7.91,8.32,5199734.0
2026-06-24,8.3,8.41,7.88,7.99,6856381.0
2026-06-25,8.02,8.29,7.9,7.98,4751822.0
2026-06-26,7.99,8.34,7.85,8.17,4317548.0
2026-06-29,8.1,8.14,7.81,7.95,3978461.0
2026-06-30,7.94,8.2,7.87,8.07,3890031.0
2026-07-01,7.91,8.44,7.89,8.37,5387508.0
2026-07-02,8.26,8.59,8.25,8.29,4061316.0
2026-07-03,8.3,8.55,8.3,8.49,3340032.0
2026-07-06,8.41,8.66,8.25,8.29,3676804.0
2026-07-07,8.26,8.27,7.83,7.88,3564708.0
2026-07-08,7.89,7.92,7.7,7.8,2877217.0
2026-07-09,7.8,7.97,7.72,7.9,2530184.0
