date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,32.9,33.71,32.26,33.05,372711.0,1.7075,7.21418044
2025-06-04,33.05,33.91,33.05,33.57,380354.0,1.7196,7.425402009999999
2025-06-05,33.71,34.23,33.3,34.18,378788.0,1.7125,7.56032889
2025-06-06,34.18,34.6,34.01,34.39,332664.0,1.504,7.606779120000001
2025-06-09,34.41,35.14,34.41,35.09,553886.0,2.5041,7.76161324
2025-06-10,34.91,35.05,33.73,34.35,508530.0,2.299,7.59793146
2025-06-11,34.5,36.39,34.43,35.6,676397.0,3.058,7.87442096
2025-06-12,35.41,35.75,35.02,35.57,352481.0,1.5936,7.86778521
2025-06-13,35.3,35.88,34.86,35.5,467893.0,2.1153,7.852301799999999
2025-06-16,35.29,35.88,34.92,35.72,516325.0,2.295,8.036077
2025-06-17,35.76,36.14,35.05,35.4,440163.0,1.9565,7.96408526
2025-06-18,35.35,36.07,35.09,36.0,765065.0,3.4007,8.09906976
2025-06-19,35.88,36.28,35.15,35.36,679277.0,3.0194,7.9550863
2025-06-20,35.3,35.73,34.2,34.35,521610.99999999994,2.3185,7.727862399999999
2025-06-23,34.81,35.34,34.04,35.34,442766.0,1.9681,7.950586810000001
2025-06-24,35.33,36.6,35.33,36.5,665561.0,2.9584,8.21155684
2025-06-25,36.47,36.66,35.91,36.52,656157.0,2.9166,8.21605632
2025-06-26,36.75,36.75,35.94,36.15,634984.0,2.8225,8.13281588
2025-06-27,36.24,36.42,35.83,35.88,526911.0,2.3421,8.07207286
2025-06-30,36.3,37.65,35.88,36.7,1130031.0,5.0229,8.256551669999999
2025-07-01,36.7,37.39,36.51,37.28,963565.0,4.283,8.38703668
2025-07-02,37.28,37.3,36.3,36.8,817430.0,3.6334,8.27904909
2025-07-03,37.11,38.0,36.49,37.8,1166519.0,5.1851,8.50402325
2025-07-04,38.0,38.0,36.1,36.43,1512842.0,6.7245,8.19580865
2025-07-07,36.5,36.6,36.03,36.51,460451.0,2.0467,8.21380658
2025-07-08,36.55,36.97,36.55,36.82,588542.0,2.616,8.28354857
2025-07-09,36.85,36.96,36.1,36.72,793309.0,3.5262,8.26105116
2025-07-10,36.42,36.78,36.11,36.42,603793.0,2.6838,8.19355891
2025-07-11,36.45,36.92,36.15,36.62,857777.0,3.8128,8.23855374
2025-07-14,36.68,36.78,36.23,36.4,437559.0,1.9449,8.189059420000001
