date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,17.8,18.7,16.59,17.61,171445126.0,41.2693,73.15729414
2025-06-04,17.35,17.35,15.85,15.91,132611589.99999999,31.9215,66.09497728000001
2025-06-05,15.61,15.9,15.3,15.44,83199487.0,20.0273,64.14245438
2025-06-06,15.3,15.96,15.29,15.6,66272835.0,15.9528,64.80714302
2025-06-09,15.4,15.82,15.28,15.68,47695052.0,11.4809,65.13948735
2025-06-10,15.83,15.87,15.02,15.3,60809021.0,14.6376,63.560851809999996
2025-06-11,15.34,15.8,15.3,15.59,52894188.0,12.7324,64.76559998
2025-06-12,15.45,16.05,15.36,15.8,52234441.0,12.5736,65.63800383
2025-06-13,15.65,15.9,15.14,15.2,42504069.0,10.2313,63.14542141
2025-06-16,15.0,15.18,14.78,14.9,37295320.0,8.9775,61.8991302
2025-06-17,14.85,14.99,14.67,14.8,23291320.0,5.6066,61.483699789999996
2025-06-18,14.82,14.82,14.48,14.5,25725796.0,6.1926,60.23740858
2025-06-19,14.4,14.68,14.31,14.34,28896440.000000004,6.9558,59.57271993
2025-06-20,14.19,14.42,13.97,14.18,23020080.0,5.5413,58.908031290000004
2025-06-23,14.0,14.88,13.99,14.78,38219440.0,9.2,61.40061371
2025-06-24,15.3,15.5,15.1,15.2,56435178.0,13.5847,63.14542141
2025-06-25,15.1,15.9,15.1,15.79,63299137.0,15.237,65.59646079
2025-06-26,15.52,16.26,15.51,15.63,59699331.99999999,14.3705,64.93177215
2025-06-27,15.64,16.98,15.64,16.57,74802693.0,18.0061,68.83681794
2025-06-30,16.2,16.64,15.98,16.34,60084919.99999999,14.4633,67.88132801
2025-07-01,16.27,16.5,15.95,16.08,48611480.0,11.7015,66.80120896
2025-07-02,16.2,16.36,15.85,15.85,34188000.0,8.2295,65.84571903
2025-07-03,15.86,16.18,15.82,16.11,35499700.0,8.5453,66.92583808
2025-07-04,16.05,16.35,15.81,15.87,34686054.0,8.3494,65.92880511
2025-07-07,15.8,16.28,15.71,16.14,28779780.0,6.9277,67.05046721
2025-07-08,16.1,16.3,16.03,16.27,27507559.999999996,6.6215,67.59052673
2025-07-09,16.25,16.51,15.78,15.8,42822532.0,10.308,65.63800383
2025-07-10,15.73,15.94,15.27,15.94,43029560.0,10.3578,66.2196064
2025-07-11,15.83,15.94,15.61,15.76,24328160.0,5.8561,65.47183167
2025-07-14,15.7,16.69,15.65,16.46,55905900.0,13.4573,68.37984449999999
2025-07-15,16.36,16.6,16.29,16.42,34160860.0,8.223,68.21367234
2025-07-16,16.47,16.88,16.32,16.39,46338760.0,11.1544,68.08904322000001
2025-07-17,16.3,16.74,16.28,16.57,33084100.0,7.9638,68.83681794
2025-07-18,16.58,17.14,16.54,17.08,50959700.0,12.2667,70.955513
2025-07-21,17.09,17.2,16.82,16.9,36969224.0,8.899,70.20773828
2025-07-22,16.84,16.89,16.29,16.4,40855966.0,9.8346,68.13058626
2025-07-23,16.3,16.47,16.07,16.09,25698230.0,6.1859,66.842752
2025-07-24,16.01,16.55,16.01,16.44,25541400.0,6.1482,68.29675842
2025-07-25,16.37,16.55,16.2,16.44,21790880.0,5.2454,68.29675842
2025-07-28,16.4,16.73,16.37,16.57,22733986.0,5.4724,68.83681794
2025-07-29,16.55,16.55,15.98,16.24,30271080.0,7.2867,67.46589761
2025-07-30,16.15,16.75,16.03,16.47,39571748.0,9.5255,68.42138754
2025-07-31,16.47,16.55,15.73,15.82,37946404.0,9.1342,65.72108991
2025-08-01,15.93,17.17,15.84,16.85,61300494.99999999,14.7559,70.00002307
2025-08-04,16.85,17.49,16.78,17.31,45418793.0,10.9329,71.91100293000001
2025-08-05,17.3,17.66,17.19,17.35,40213141.0,9.6799,72.07717509
2025-08-06,17.4,17.8,17.4,17.74,40155278.0,9.6659,73.69735367000001
2025-08-07,17.7,17.94,17.45,17.61,39399268.0,9.484,73.15729414
2025-08-08,17.5,18.2,17.33,17.43,39720921.0,9.5614,72.40951942000001
2025-08-11,17.3,17.9,17.28,17.83,32515078.000000004,7.8268,74.07124103
2025-08-12,17.8,18.68,17.75,18.0,44152602.0,10.6282,74.77747271999999
2025-08-13,18.01,18.32,17.44,18.32,49602413.0,11.94,76.10685000999999
2025-08-14,18.5,19.2,17.9,17.92,72838347.0,17.5332,74.4451284
2025-08-15,18.0,19.71,17.95,19.71,54023386.0,13.0042,81.88133262999999
2025-08-18,20.3,20.61,19.08,19.55,89905700.0,21.6416,81.21664398
2025-08-19,19.59,20.17,19.2,19.35,56213835.0,13.5315,80.38578317
2025-08-20,19.12,19.62,18.68,19.05,43323254.0,10.4285,79.13949196
2025-08-21,19.11,19.37,18.84,19.3,36399729.0,8.7619,80.17806797
2025-08-22,19.35,19.48,19.1,19.26,28201246.999999996,6.7884,80.01189581
2025-08-25,19.0,20.32,18.59,20.01,56727937.0,13.6552,83.12762384
2025-08-26,19.88,20.48,19.73,19.88,46633549.0,11.2254,82.58756432
2025-08-27,19.99,20.57,19.1,19.14,54339832.99999999,13.0804,79.51337933
2025-08-28,19.0,19.24,17.29,18.07,65124642.00000001,15.6764,75.068274
2025-08-29,17.95,18.96,17.61,18.57,43524132.0,10.4769,77.14542602
2025-09-01,18.48,18.88,18.32,18.5,25795047.0,6.2092,76.85462474
2025-09-02,18.56,20.3,18.22,19.06,62529063.0,15.0516,79.181035
2025-09-03,19.06,20.1,18.85,19.42,61403873.0,14.7808,80.67658446
2025-09-04,19.13,19.86,18.5,18.97,54630741.0,13.1504,78.80714764000001
2025-09-05,18.86,19.28,18.7,19.17,32274196.000000004,7.7689,79.63800845
2025-09-08,19.05,19.34,18.9,18.94,30198159.999999996,7.2691,78.68251851999999
2025-09-09,18.94,19.67,18.7,19.36,50675463.0,12.1983,80.42732621
2025-09-10,19.24,19.78,18.99,19.15,41000345.0,9.8694,79.55492237
2025-09-11,19.1,19.33,18.58,18.89,42617520.0,10.2586,78.47480331999999
2025-09-12,18.85,18.95,18.46,18.54,29121756.0,7.01,77.02079690000001
2025-09-15,18.5,18.7,18.4,18.53,19528050.0,4.7007,76.97925386
2025-09-16,18.89,20.38,18.8,19.92,84118365.0,20.2485,82.75373648
2025-09-17,19.89,20.05,19.01,19.11,61583881.00000001,14.8241,79.3887502
2025-09-18,19.3,21.02,19.21,21.02,95079062.0,22.8869,87.32347092
2025-09-19,22.02,23.12,22.0,23.12,36677455.0,8.8288,96.04750940000001
2025-09-22,25.43,25.43,24.77,25.43,30006946.000000004,7.2231,105.64395174
2025-09-23,25.97,27.97,24.74,27.97,110596711.00000001,26.6222,116.195884
2025-09-24,28.0,28.29,25.17,27.1,162368818.0,39.0845,112.58163947999999
2025-09-25,26.78,27.8,24.39,24.39,141181998.0,33.9845,101.32347554
2025-09-26,23.69,23.77,21.95,21.95,94440704.0,22.7332,91.18697368
2025-09-29,21.7,22.21,21.33,21.8,60370449.0,14.532,90.56382807
2025-09-30,22.0,22.45,21.78,21.86,52416742.0,12.6175,90.81308631
2025-10-09,22.04,23.15,22.04,22.89,60119044.99999999,14.4715,95.09201948
2025-10-10,22.7,25.0,22.56,23.74,83595640.0,20.1227,98.62317791000001
2025-10-13,22.6,25.16,22.6,24.92,79308910.0,19.0908,103.52525668
2025-10-14,24.71,25.81,24.22,24.47,75004235.0,18.0546,101.65581986
2025-10-15,24.6,25.28,24.22,24.65,51131236.0,12.308,102.40359459000001
2025-10-16,24.65,25.27,24.23,24.56,51645699.0,12.4319,102.02970722
2025-10-17,24.04,25.07,23.25,23.41,55779179.0,13.4268,97.25225758
2025-10-20,23.68,23.68,22.36,22.83,49092585.0,11.8173,94.84276123000001
2025-10-21,22.88,25.11,22.41,25.11,75715949.0,18.2259,104.31457444
2025-10-22,25.0,25.6,24.52,24.61,74760367.0,17.9959,102.23742242
2025-10-23,24.67,24.97,22.75,23.3,63925507.99999999,15.3878,96.79528413
2025-10-24,23.3,25.5,23.3,24.22,80473449.0,19.3711,100.61724385000001
2025-10-27,24.55,26.17,24.44,24.86,84439885.0,20.3259,103.27599843
2025-10-28,23.87,25.12,23.7,24.24,85195756.0,20.5078,100.70032993
2025-10-29,24.56,26.66,24.33,25.57,116670550.0,28.0843,106.22555430000001
2025-10-30,25.56,28.13,25.56,28.13,115211710.00000001,27.7331,116.86057265000001
2025-10-31,29.89,30.94,29.49,30.94,82315958.0,19.8146,128.534167
2025-11-03,32.96,34.03,30.22,30.43,186944734.0,45.0003,126.41547194
2025-11-04,30.0,33.47,28.9,33.47,125484523.0,30.2059,139.04455622
2025-11-05,34.01,36.65,32.06,34.3,189081875.0,45.5147,142.49262857
2025-11-06,34.0,34.19,30.87,30.87,98927229.0,23.8132,128.24336571
2025-11-07,29.9,33.34,29.51,31.9,138845026.0,33.422,132.52229888
2025-11-10,30.3,33.32,29.78,31.91,118968424.0,28.6374,132.56384192
2025-11-11,31.0,35.1,31.0,35.1,119940485.00000001,28.8714,145.8160718
2025-11-12,35.9,36.36,33.37,33.6,144112040.0,34.6898,139.58461574
2025-11-13,32.87,35.34,32.87,34.3,120250731.0,28.9461,142.49262857
2025-11-14,33.5,36.57,32.7,33.1,132974608.0,32.0089,137.50746372
2025-11-18,30.99,31.59,28.09,28.09,104538257.0,25.1638,116.69440048
2025-11-19,27.16,27.89,25.76,26.6,100538186.0,24.201,110.50448745999999
2025-11-20,26.44,28.5,25.63,27.79,111409518.0,26.8179,115.44810926999999
2025-11-21,26.9,27.38,25.33,25.37,70680361.0,17.0138,105.39469349
2025-11-24,25.98,26.3,24.86,25.7,53014701.0,12.7614,106.76561382999999
2025-11-25,26.08,26.7,25.74,26.4,58371811.0,14.0509,109.67362666
2025-11-26,26.12,28.1,25.88,27.23,87365429.0,21.0301,113.12169901
2025-11-27,26.81,27.46,26.38,26.41,59477749.0,14.3171,109.71516969999999
2025-11-28,26.4,27.86,26.15,27.57,69220957.0,16.6625,114.53416238
2025-12-01,27.68,28.75,27.58,27.69,72504620.0,17.4529,115.03267887
2025-12-02,27.69,29.32,27.3,28.64,97907160.0,23.5676,118.97926771
2025-12-03,28.23,28.51,25.79,25.81,93690507.0,22.5526,107.22258726999999
2025-12-04,25.31,25.68,24.04,24.38,66917089.0,16.1079,101.2819325
2025-12-05,24.25,25.21,23.9,24.8,50214796.0,12.0874,103.02674019000001
2025-12-08,24.8,27.28,24.65,27.28,70038294.0,16.8592,113.32941421000001
2025-12-09,27.29,28.95,27.29,27.99,117907415.99999999,28.382,116.27897008
2025-12-10,27.89,28.99,27.36,28.85,96351180.0,23.1931,119.85167154999999
2025-12-11,28.78,29.16,27.42,27.42,76312628.0,18.3695,113.91101678
2025-12-12,27.48,27.69,26.56,26.62,51396281.0,12.3718,110.58757354
2025-12-15,26.0,27.62,25.8,26.73,56878253.0,13.6914,111.04454698999999
2025-12-16,27.15,28.5,27.03,27.71,80597643.0,19.401,115.11576495
2025-12-17,27.0,27.76,25.02,25.68,73623477.0,17.7222,106.68252775
2025-12-18,25.03,25.55,24.67,24.89,47245913.0,11.3728,103.40062756
2025-12-19,24.88,26.08,24.82,25.7,49037780.0,11.8041,106.76561382999999
2025-12-22,25.44,26.03,25.39,25.7,38065475.0,9.1629,106.76561382999999
2025-12-23,25.5,25.57,24.51,24.79,47912872.0,11.5333,102.98519715
2025-12-24,24.79,25.47,24.58,25.18,32218139.0,7.7554,104.60537573
2025-12-25,25.0,26.58,24.9,25.97,59261181.99999999,14.265,107.88727592
2025-12-26,25.61,28.57,25.59,28.57,115480976.0,27.7979,118.68846642
2025-12-29,30.0,31.2,28.43,28.71,162057214.0,39.0095,119.27006899000001
2025-12-30,28.51,31.58,27.65,31.58,141935484.0,34.1659,131.19292158
2025-12-31,31.27,31.27,28.98,29.69,116650034.00000001,28.0793,123.34128695
2026-01-05,28.92,29.66,28.51,28.88,79082647.0,19.0363,119.97630068000001
2026-01-06,28.53,29.47,28.5,28.98,63929629.0,15.3888,120.39173108000001
2026-01-07,28.51,29.11,28.1,28.39,64721293.00000001,15.5793,117.94069169999999
2026-01-08,27.92,28.44,27.88,27.95,47336480.0,11.3946,116.11279791999999
2026-01-09,27.68,28.38,27.68,28.13,43070889.0,10.3678,116.86057265000001
