date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,16.49,16.57,16.24,16.47,21844785.0,1.4165,253.99469573
2025-06-04,16.49,16.7,16.31,16.33,21698277.0,1.407,251.83566371
2025-06-05,16.33,16.59,16.31,16.57,21009130.0,1.3623,255.53686145999998
2025-06-06,16.6,16.69,16.48,16.64,14302600.0,0.9274,256.61637747
2025-06-09,16.68,17.04,16.68,17.02,29598906.0,1.9193,262.47660725
2025-06-10,17.07,17.18,16.86,17.15,22133818.0,1.4352,264.4814227
2025-06-11,17.18,17.56,17.17,17.41,21535251.0,1.3964,268.49105359
2025-06-12,17.45,17.63,17.28,17.61,20471163.0,1.3274,271.57538505
2025-06-13,17.56,17.65,17.23,17.49,30880087.0,2.0024,269.72478618
2025-06-16,17.57,17.87,17.32,17.41,23412601.0,1.5182,268.49105359
2025-06-17,17.5,17.54,17.14,17.21,23141001.0,1.5006,265.40672213
2025-06-18,17.23,17.46,17.22,17.34,14847973.000000002,0.9628,267.41153758
2025-06-19,17.3,17.35,16.89,16.95,25701306.0,1.6666,261.39709123999995
2025-06-20,16.95,17.06,16.66,16.7,26205316.0,1.6993,257.54167691000004
2025-06-23,16.67,16.85,16.57,16.78,23077328.0,1.4964,258.77540949
2025-06-24,16.85,17.13,16.75,17.02,19756735.0,1.2811,262.47660725
2025-06-25,17.04,17.09,16.79,16.88,23263800.0,1.5085,260.31757522
2025-06-26,16.89,16.94,16.79,16.89,15945037.0,1.0339,260.4717918
2025-06-27,16.9,17.11,16.82,16.86,17129802.0,1.1108,260.00914208
2025-06-30,16.85,16.89,16.56,16.62,23450300.0,1.5206,256.30794433
2025-07-01,16.62,16.66,16.47,16.56,15444056.0,1.0015,255.38264489000002
2025-07-02,16.56,16.7,16.52,16.65,15530218.0,1.007,256.77059405
2025-07-03,16.65,16.68,16.46,16.6,13018000.0,0.8441,255.99951118
2025-07-04,16.57,16.58,16.46,16.48,13526035.0,0.8771,254.1489123
2025-07-07,16.42,16.43,16.24,16.36,16108900.0,1.0446,252.29831343
2025-07-08,16.45,16.93,16.45,16.76,37984088.0,2.463,258.46697635
2025-07-09,16.76,16.76,16.51,16.53,21319100.0,1.3824,254.91999517000002
2025-07-10,16.65,16.9,16.6,16.9,24526819.0,1.5904,260.62600836999997
2025-07-11,16.94,17.06,16.88,17.0,22534100.0,1.4612,262.1681741
2025-07-14,17.03,17.55,17.03,17.48,30126700.0,1.9535,269.5705696
2025-07-15,17.43,17.44,17.16,17.23,25804396.0,1.6733,265.71515528000003
2025-07-16,17.27,17.31,17.11,17.16,13481900.0,0.8742,264.63563927
2025-07-17,17.16,17.27,17.12,17.16,13627703.0,0.8837,264.63563927
2025-07-18,17.2,17.21,17.05,17.14,15943051.999999998,1.0338,264.32720611999997
2025-07-21,17.23,17.53,17.23,17.52,23329544.0,1.5128,270.1874359
2025-07-22,17.55,17.94,17.35,17.9,32012634.000000004,2.0758,276.04766567
2025-07-23,17.95,18.23,17.92,18.05,37409437.0,2.4258,278.36091427
2025-07-24,18.04,18.07,17.78,17.82,32046826.0,2.078,274.81393309
2025-07-25,16.83,17.03,16.67,16.69,29426674.0,1.9081,257.38746034
2025-07-28,16.67,16.83,16.33,16.4,26053380.0,1.6894,252.91517972
