date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,41.92,42.78,41.0,42.62,1382368.0,1.152,51.144
2025-06-04,43.17,46.81,41.61,46.13,2675583.0,2.2297,55.356
2025-06-05,45.95,47.42,45.03,45.55,1703559.9999999998,1.4196,54.66
2025-06-06,45.12,45.79,44.46,45.68,1113847.0,0.9282,54.816
2025-06-09,46.81,46.81,44.82,45.68,1714090.0000000002,1.4284,54.816
2025-06-10,46.7,46.7,44.99,46.58,1100166.0,0.9168,55.896
2025-06-11,46.58,46.79,45.19,45.48,877550.0,0.7313,54.576
2025-06-12,45.77,45.99,45.05,45.66,644368.0,0.537,54.792
2025-06-13,46.12,47.98,45.25,47.55,1913316.9999999998,1.5944,57.06
2025-06-16,47.88,48.55,46.62,46.95,1053543.0,0.878,56.34
2025-06-17,47.0,47.49,46.3,47.07,690161.0,0.5751,56.484
2025-06-18,46.8,47.8,45.78,46.3,983062.9999999999,0.8192,55.56
2025-06-19,46.5,46.5,44.05,44.32,1029691.0,0.8581,53.184
2025-06-20,44.39,45.0,43.8,43.99,730459.0,0.6087,52.788
2025-06-23,44.62,45.25,43.93,44.52,828519.0,0.6904,53.424
2025-06-24,44.26,45.67,43.51,45.3,1227638.0,1.023,54.36
2025-06-25,45.35,45.45,44.58,44.88,510562.0,0.4255,53.856
2025-06-26,44.57,46.5,44.57,45.29,1396196.0,1.1635,54.348
2025-06-27,46.0,46.0,43.38,44.88,901009.0,0.7508,53.856
2025-06-30,45.12,48.2,44.31,48.07,1707895.0,1.4232,57.684
2025-07-01,48.23,49.14,47.09,49.1,1091717.0,0.9098,58.92
2025-07-02,49.0,49.58,47.6,48.2,1672182.0,1.3935,57.84
2025-07-03,48.2,48.57,46.88,47.32,865939.0,0.7216,56.784
2025-07-04,47.32,47.64,46.25,46.5,772271.0,0.6436,55.8
2025-07-07,46.31,48.4,46.31,48.0,1196575.0,0.9971,57.6
2025-07-08,47.6,48.95,46.88,47.75,868652.0,0.7239,57.3
2025-07-09,48.01,48.95,46.4,46.59,655008.0,0.5458,55.908
2025-07-10,46.62,46.64,43.75,43.83,1888890.0000000002,1.5741,52.596
2025-07-11,43.8,45.26,43.66,45.1,1565830.0,1.3049,54.12
2025-07-14,45.1,46.36,44.49,45.41,1038961.0,0.8658,54.492
2025-07-15,45.0,46.18,44.98,45.6,555609.0,0.463,54.72
2025-07-16,45.6,46.46,45.0,45.33,510851.0,0.4257,54.396
