date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,12.18,12.44,12.18,12.29,3369500.0,2.1076,19.64836405
2025-06-04,12.38,12.5,12.2,12.32,4039300.0,2.5266,19.69632588
2025-06-05,12.38,12.9,12.14,12.65,9514200.0,5.9511,20.22390604
2025-06-06,12.52,12.76,12.43,12.74,6616700.0,4.1387,20.36779154
2025-06-09,12.74,12.93,12.69,12.81,4972000.0,3.11,20.47970248
2025-06-10,12.74,12.87,12.31,12.54,6234500.0,3.8997,20.04804599
2025-06-11,12.5,12.78,12.5,12.53,4689300.0,2.9331,20.03205871
2025-06-12,12.51,12.55,12.37,12.46,4087600.0,2.5568,19.92014777
2025-06-13,12.36,12.46,12.06,12.13,5056900.0,3.1631,19.39256761
2025-06-16,12.15,12.32,12.1,12.2,3083681.0,1.9288,19.504478549999998
2025-06-17,12.32,12.35,12.06,12.15,3901800.0,2.4406,19.42454216
2025-06-18,12.1,12.41,11.94,12.28,6431800.0,4.0231,19.63237677
2025-06-19,12.19,12.74,12.04,12.08,10574950.0,6.6146,19.31263122
2025-06-20,12.02,12.19,11.75,11.78,5706199.0,3.5692,18.8330129
2025-06-23,11.67,11.93,11.62,11.9,3332200.0,2.0843,19.02486023
2025-06-24,11.91,12.35,11.91,12.33,6058899.0,3.7898,19.71231316
2025-06-25,12.54,14.28,12.54,13.41,32313928.999999996,20.2123,21.438939129999998
2025-06-26,13.14,13.46,13.07,13.08,19533300.0,12.218,20.911358970000002
2025-06-27,13.04,13.58,12.84,13.41,17247100.0,10.788,21.438939129999998
2025-06-30,13.3,13.52,13.2,13.29,11281556.0,7.0566,21.2470918
2025-07-01,13.45,13.54,12.93,13.15,9556100.0,5.9773,21.02326991
2025-07-02,13.11,13.18,12.81,12.92,6907900.0,4.3209,20.65556253
2025-07-03,12.99,13.05,12.82,12.96,4742829.0,2.9666,20.71951164
2025-07-04,12.98,12.99,12.68,12.73,5666800.0,3.5446,20.351804259999998
2025-07-07,12.85,12.89,12.69,12.86,4001712.9999999995,2.5031,20.55963887
2025-07-08,12.83,13.07,12.77,13.06,5783600.0,3.6176,20.87938442
2025-07-09,13.05,13.14,12.85,12.87,5176700.0,3.238,20.575626139999997
2025-07-10,12.7,12.99,12.7,12.85,4548200.0,2.8449,20.54365159
2025-07-11,12.9,12.94,12.78,12.87,4433594.0,2.7732,20.575626139999997
2025-07-14,12.84,13.36,12.84,13.3,11205900.0,7.0093,21.263079079999997
2025-07-15,13.31,13.91,13.12,13.9,21088994.0,13.1911,22.22231573
2025-07-16,14.09,14.85,13.65,13.69,26669294.0,16.6816,21.8865829
2025-07-17,13.48,13.95,13.22,13.74,17827426.0,11.151,21.96651929
2025-07-18,13.61,14.06,13.52,13.52,12196800.0,7.6291,21.61479918
2025-07-21,13.48,13.88,13.38,13.84,10250800.0,6.4118,22.12639206
2025-07-22,13.84,13.99,13.58,13.69,9169696.0,5.7356,21.8865829
