date,open,high,low,close,volume
2025-06-03,13.15,13.41,13.11,13.22,3395560.0
2025-06-04,13.23,13.42,13.18,13.27,4239840.0
2025-06-05,13.26,13.57,13.15,13.54,6482500.0
2025-06-06,13.42,13.62,13.4,13.55,4809700.0
2025-06-09,13.56,13.77,13.54,13.77,4842313.0
2025-06-10,13.74,13.75,13.17,13.39,6346260.0
2025-06-11,13.39,13.69,13.36,13.52,4820258.0
2025-06-12,13.47,13.8,13.47,13.6,6218400.0
2025-06-13,13.5,13.5,13.08,13.14,6436150.0
2025-06-16,13.07,13.41,13.07,13.39,4503900.0
2025-06-17,13.37,14.75,13.37,14.16,26395538.0
2025-06-18,14.02,15.1,13.86,14.78,25812350.0
2025-06-19,14.71,14.92,14.39,14.41,17610885.0
2025-06-20,14.52,14.65,13.93,13.97,9759900.0
2025-06-23,13.81,14.34,13.75,14.32,9116450.0
2025-06-24,14.25,14.63,14.25,14.62,10688424.0
2025-06-25,14.63,15.07,14.44,14.9,16060100.0
2025-06-26,14.83,14.98,14.48,14.53,11736000.0
2025-06-27,14.69,14.78,14.4,14.46,8748400.0
2025-06-30,14.44,14.64,14.44,14.62,7354305.0
2025-07-01,14.55,14.61,14.24,14.4,7039800.0
2025-07-02,14.4,14.4,14.02,14.2,7212800.0
2025-07-03,14.16,14.78,14.16,14.69,12832910.0
2025-07-04,14.6,14.65,14.21,14.22,10621900.0
2025-07-07,14.21,14.25,13.94,14.1,5128769.0
2025-07-08,14.17,14.69,14.07,14.49,11481600.0
2025-07-09,14.49,14.59,14.3,14.35,6617800.0
2025-07-10,14.37,14.39,14.08,14.21,5744300.0
2025-07-11,14.24,14.33,13.96,14.18,6791800.0
2025-07-14,14.19,14.26,14.05,14.15,4732400.0
2025-07-15,14.12,14.22,13.74,13.97,8029900.0
2025-07-16,13.95,14.14,13.88,13.94,4646392.0
2025-07-17,13.94,14.42,13.88,14.34,10919427.0
2025-07-18,14.35,14.44,14.11,14.19,7414412.0
2025-07-21,14.18,14.42,14.16,14.41,6953486.0
2025-07-22,14.36,14.44,14.17,14.25,6289080.0
2025-07-23,14.31,14.32,14.01,14.02,6394700.0
2025-07-24,14.02,15.2,14.02,14.8,21491514.0
2025-07-25,14.81,14.9,14.63,14.71,10521917.0
2025-07-28,14.73,14.82,14.62,14.74,8220900.0
2025-07-29,14.67,14.78,14.52,14.72,7152628.0
2025-07-30,14.62,14.69,14.31,14.48,6810393.0
2025-07-31,14.46,14.73,14.32,14.41,7868800.0
2025-08-01,14.33,14.65,14.3,14.47,6450683.0
2025-08-04,14.39,14.75,14.3,14.73,8007296.0
2025-08-05,14.82,15.1,14.75,15.07,12693279.0
2025-08-06,14.95,15.32,14.75,15.28,13311700.0
2025-08-07,15.55,16.16,15.23,15.3,19709860.0
2025-08-08,15.31,15.45,15.0,15.08,9705780.0
2025-08-11,15.01,15.55,14.98,15.41,10322308.0
2025-08-12,15.43,15.53,15.27,15.43,7850200.0
2025-08-13,15.43,15.46,15.21,15.27,8244960.0
2025-08-14,15.25,15.35,14.82,14.85,10541678.0
2025-08-15,14.85,15.1,14.85,15.07,6971518.0
2025-08-18,15.1,15.6,15.1,15.59,12814587.0
2025-08-19,15.59,15.7,15.33,15.63,10636206.0
2025-08-20,15.57,16.11,15.39,16.11,18687886.0
2025-08-21,16.1,16.38,15.79,15.92,15762239.0
2025-08-22,15.88,16.09,15.71,15.99,11586352.0
2025-08-25,15.97,16.18,15.85,15.93,13137064.0
2025-08-26,15.91,16.7,15.78,16.41,20331531.0
2025-08-27,16.52,17.07,15.91,15.92,19793795.0
2025-08-28,15.81,16.25,15.51,16.14,14190200.0
2025-08-29,16.18,16.29,15.81,15.98,12259299.0
2025-09-01,16.04,16.13,15.71,15.87,8873022.0
2025-09-02,15.77,15.86,15.05,15.35,11146819.0
2025-09-03,15.4,15.52,14.85,14.88,7847079.0
2025-09-04,15.08,16.32,14.82,15.17,17573204.0
2025-09-05,15.08,15.97,15.05,15.9,19046406.0
2025-09-08,15.92,16.15,15.71,15.92,11276240.0
2025-09-09,15.9,15.9,15.2,15.29,9031545.0
2025-09-10,15.37,15.6,15.18,15.18,6737410.0
2025-09-11,15.15,15.63,14.94,15.63,9451865.0
2025-09-12,15.59,15.68,15.28,15.37,7650661.0
2025-09-15,15.41,15.46,15.14,15.19,6015410.0
2025-09-16,15.28,15.68,15.1,15.68,10971712.0
2025-09-17,15.63,15.99,15.58,15.77,9240000.0
2025-09-18,15.65,16.03,15.27,15.46,10834633.0
2025-09-19,15.47,15.58,15.06,15.07,9130271.0
2025-09-22,15.2,16.22,15.1,16.01,24380619.0
2025-09-23,16.08,16.25,15.55,16.12,22519124.0
2025-09-24,16.0,16.13,15.7,16.13,18796178.0
2025-09-25,16.11,16.53,15.96,16.46,27120005.0
2025-09-26,16.32,16.6,15.61,15.61,19550394.0
2025-09-29,15.61,16.11,15.55,15.62,12582838.0
2025-09-30,15.62,16.09,15.47,15.62,12559694.0
2025-10-09,15.65,16.21,15.65,15.88,15838464.0
2025-10-10,15.8,15.86,15.28,15.47,11819679.0
2025-10-13,14.5,14.91,14.1,14.73,12338478.0
2025-10-14,14.9,15.1,14.16,14.2,11410893.0
2025-10-15,14.2,14.3,13.88,14.24,8954200.0
2025-10-16,14.23,14.23,13.63,13.67,10273810.0
2025-10-17,13.83,13.85,13.23,13.24,6455024.0
2025-10-20,13.39,13.58,13.39,13.57,4917704.0
2025-10-21,13.61,14.03,13.49,13.94,6355343.0
2025-10-22,13.88,13.93,13.69,13.73,4146490.0
2025-10-23,13.66,13.83,13.43,13.78,4905873.0
2025-10-24,13.96,14.07,13.8,13.95,5961300.0
2025-10-27,14.05,14.13,13.86,13.94,4991200.0
2025-10-28,13.89,13.99,13.76,13.81,5146000.0
2025-10-29,13.81,13.9,13.56,13.63,5418761.0
2025-10-30,13.64,13.72,13.46,13.47,5488900.0
2025-10-31,13.48,13.86,13.45,13.73,5540659.0
2025-11-03,13.7,13.96,13.6,13.93,5293300.0
2025-11-04,13.92,13.98,13.65,13.77,4905200.0
2025-11-05,13.69,14.04,13.5,13.93,7112095.0
2025-11-06,13.91,14.03,13.75,13.86,4983422.0
2025-11-07,13.74,13.89,13.69,13.86,4242812.0
2025-11-10,13.86,13.93,13.62,13.74,4819405.0
2025-11-11,13.74,14.15,13.72,13.91,8107791.0
2025-11-12,13.86,14.05,13.63,13.73,5849026.0
2025-11-13,13.77,13.9,13.6,13.77,5168262.0
2025-11-14,13.68,13.99,13.65,13.74,5610259.0
2025-11-17,13.85,13.95,13.71,13.94,4934895.0
2025-11-18,13.94,14.58,13.81,14.2,13975696.0
2025-11-19,14.18,14.18,13.65,13.66,10773000.0
2025-11-20,13.7,14.87,13.61,14.53,25943094.0
2025-11-21,14.25,14.89,14.18,14.24,19830326.0
2025-11-24,14.35,14.51,14.06,14.4,13745989.0
2025-11-25,14.39,14.71,14.33,14.66,15192690.0
2025-11-26,14.57,14.93,14.43,14.45,14351779.0
2025-11-27,14.55,15.15,14.55,14.66,19592327.0
