date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,15.11,15.5,15.06,15.28,8044900.0,2.4896,49.37515467
2025-06-04,15.31,15.59,15.15,15.42,8015400.0,2.4805,49.82754483
2025-06-05,15.3,15.42,15.16,15.4,9488644.0,2.9364,49.76291767
2025-06-06,15.3,15.39,15.12,15.19,7071900.0,2.1885,49.084332429999996
2025-06-09,15.1,15.23,14.9,15.16,10251543.0,3.1725,48.98739168
2025-06-10,15.19,15.19,14.5,14.77,12629874.0,3.9085,47.72716194
2025-06-11,14.7,15.13,14.66,14.91,7649230.0,2.3672,48.1795521
2025-06-12,14.91,15.32,14.77,14.98,10627850.0,3.289,48.40574718
2025-06-13,14.85,15.12,14.48,14.49,9362200.0,2.8973,46.82238162
2025-06-16,14.4,14.69,14.36,14.58,6885100.0,2.1307,47.11320387
2025-06-17,14.6,14.77,14.31,14.43,8263200.0,2.5572,46.62850012
2025-06-18,14.36,14.54,14.15,14.35,7208000.0,2.2306,46.36999146
2025-06-19,14.26,14.39,13.98,14.0,7673775.999999999,2.3748,45.23901606
2025-06-20,14.0,14.17,13.78,13.79,6222990.0,1.9258,44.56043082
2025-06-23,13.57,14.06,13.5,13.99,6961989.999999999,2.1545,45.206702480000004
2025-06-24,14.0,14.32,14.0,14.27,8235589.999999999,2.5486,46.1114828
2025-06-25,14.28,14.63,14.22,14.59,10972300.0,3.3956,47.14551745
2025-06-26,14.55,14.64,14.35,14.41,7283600.0,2.254,46.563872960000005
2025-06-27,14.48,14.6,14.34,14.47,6393000.0,1.9784,46.75775446
2025-06-30,15.31,15.88,14.87,15.0,26863900.0,8.3135,48.47037435
2025-07-01,15.35,16.09,15.35,15.41,33361295.0,10.3242,49.79523125
2025-07-02,14.92,15.0,14.55,14.67,21203486.0,6.5618,47.404026110000004
2025-07-03,14.64,14.82,14.64,14.7,8907200.0,2.7565,47.50096686
2025-07-04,14.7,14.7,14.36,14.38,9790500.0,3.0298,46.466932209999996
2025-07-07,14.32,14.54,14.32,14.52,6200935.0,1.919,46.919322369999996
2025-07-08,14.44,14.59,14.44,14.57,6647900.0,2.0573,47.08089029
2025-07-09,14.57,14.69,14.5,14.52,8485976.0,2.6261,46.919322369999996
2025-07-10,14.51,14.97,14.4,14.63,13280400.0,4.1099,47.27477178
2025-07-11,14.6,14.75,14.37,14.73,11097800.0,3.4344,47.59790761
2025-07-14,14.63,14.68,14.48,14.53,7602873.0,2.3528,46.951635950000004
2025-07-15,14.49,14.61,14.26,14.48,8063709.0,2.4955,46.79006804
2025-07-16,14.64,14.89,14.58,14.82,14835100.0,4.591,47.88872986
2025-07-17,14.76,14.85,14.66,14.8,9216600.0,2.8522,47.82410269
2025-07-18,14.8,15.58,14.73,15.3,26078421.0,8.0704,49.43978184
2025-07-21,15.09,15.19,15.0,15.16,14682766.0,4.5438,48.98739168
2025-07-22,15.18,15.22,14.82,14.86,13661900.0,4.2279,48.01798419
2025-07-23,14.96,14.99,14.71,14.73,9299650.0,2.8779,47.59790761
2025-07-24,14.8,15.75,14.75,15.47,29296146.000000004,9.0662,49.98911275
2025-07-25,15.37,15.97,15.36,15.92,26056898.0,8.0638,51.44322398
2025-07-28,15.8,15.9,15.6,15.73,17261000.0,5.3417,50.829265899999996
2025-07-29,15.66,15.79,15.53,15.63,11389500.0,3.5247,50.506130070000005
2025-07-30,15.59,15.83,15.41,15.56,14107300.0,4.3657,50.279934989999994
2025-07-31,15.5,16.2,15.45,15.85,26488398.0,8.1973,51.2170289
2025-08-01,16.07,16.25,15.7,16.0,22817000.0,7.0611,51.70173264
2025-08-04,15.82,15.96,15.62,15.93,11321600.0,3.5037,51.47553756
2025-08-05,15.88,15.97,15.61,15.71,11449500.0,3.5432,50.76463874
2025-08-06,15.7,16.1,15.6,15.7,12543100.0,3.8817,50.73232515
2025-08-07,15.65,16.15,15.59,15.92,16775200.0,5.1914,51.44322398
2025-08-08,15.86,15.88,15.4,15.45,14175800.0,4.3869,49.92448558
2025-08-11,15.42,16.1,15.36,15.86,14666229.999999998,4.5387,51.249342479999996
2025-08-12,15.9,17.19,15.66,16.83,38317900.0,11.8581,54.38376002
2025-08-13,16.65,16.92,16.37,16.8,26523300.0,8.2081,54.28681927
2025-08-14,16.88,17.48,16.66,16.76,30042540.000000004,9.2972,54.15756494
2025-08-15,16.76,17.77,16.75,17.66,40293750.0,12.4696,57.0657874
2025-08-18,18.0,18.57,17.65,17.85,40452280.0,12.5187,57.679745479999994
2025-08-19,17.7,17.97,17.3,17.5,27709838.0,8.5753,56.54877008
2025-08-20,17.41,17.89,17.02,17.71,25862700.0,8.0037,57.227355319999994
2025-08-21,17.61,18.5,17.5,17.99,35120100.0,10.8685,58.13213564
2025-08-22,21.59,21.59,21.59,21.59,17858083.0,5.5265,69.76502548
2025-08-25,25.91,25.91,25.91,25.91,3742900.0,1.1583,83.72449329
2025-08-26,26.01,27.78,25.34,26.32,138566972.0,42.882,85.04935019
2025-08-27,25.15,25.59,23.57,23.6,101764427.0,31.3471,76.61449814000001
2025-08-28,23.0,24.57,22.1,24.13,81992694.0,25.2567,78.33507798000001
2025-08-29,24.2,24.33,21.61,21.81,63333032.99999999,19.5088,70.80348323999999
2025-09-01,21.91,22.1,20.82,21.16,47440632.0,14.6134,68.69333817
2025-09-02,21.23,21.54,20.31,20.53,42200382.0,12.9992,66.64812063
2025-09-03,20.54,20.69,19.75,19.84,30820280.0,9.4937,64.40812047
2025-09-04,20.4,20.98,19.78,19.85,44438789.0,13.6887,64.44058423999999
2025-09-05,19.8,19.92,18.84,19.73,34911981.0,10.7541,64.051019
2025-09-08,19.57,19.79,19.32,19.53,24556331.0,7.5642,63.40174359
2025-09-09,19.54,19.68,18.71,18.74,30604400.0,9.4272,60.83710573
2025-09-10,18.81,19.4,18.75,19.15,23843493.0,7.3446,62.16812032
2025-09-11,19.27,19.86,18.9,19.67,30304050.0,9.3347,63.856236380000006
2025-09-12,19.52,19.82,19.33,19.39,22019990.0,6.7829,62.94725081
2025-09-15,19.33,19.56,19.05,19.1,16073950.0,4.9514,62.00580146
2025-09-16,19.28,19.83,19.16,19.67,24678800.0,7.602,63.856236380000006
2025-09-17,19.7,19.78,19.15,19.23,22361300.0,6.8881,62.427830480000004
2025-09-18,19.19,20.24,19.18,19.49,38532060.0,11.8692,63.27188851
2025-09-19,19.33,19.69,18.88,19.39,27496200.0,8.4698,62.94725081
2025-09-22,19.27,19.88,18.9,19.59,25699150.0,7.9163,63.59652621000001
2025-09-23,19.55,20.1,18.89,19.29,27567930.0,8.4919,62.6226131
2025-09-24,19.15,20.1,19.15,19.79,31972720.0,9.8487,64.24580162
2025-09-25,19.63,20.98,19.52,20.61,48823063.0,15.0392,66.90783079
2025-09-26,20.65,20.65,19.51,19.51,30744834.000000004,9.4705,63.33681605
2025-09-29,19.21,19.28,18.23,18.33,30526327.0,9.4032,59.506091139999995
2025-09-30,18.91,19.47,18.75,18.75,25943884.0,7.9916,60.8695695
