date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,3.75,3.84,3.65,3.74,82355725.0,6.8258,45.12437912
2025-06-04,3.75,3.85,3.65,3.85,103528665.0,8.5807,46.45156674
2025-06-05,3.81,3.84,3.74,3.77,73086020.0,6.0575,45.486339380000004
2025-06-06,3.76,3.82,3.72,3.73,72499736.0,6.0089,45.0037257
2025-06-09,3.73,3.78,3.71,3.78,69237187.0,5.7385,45.6069928
2025-06-10,3.79,4.16,3.73,4.16,202005188.0,16.7426,50.19182276
2025-06-11,4.27,4.58,4.18,4.36,327811633.0,27.1697,52.60489116
2025-06-12,4.15,4.2,4.01,4.11,181396657.0,15.0345,49.588555660000004
2025-06-13,4.05,4.38,4.05,4.16,205955746.0,17.07,50.19182276
2025-06-16,4.11,4.36,3.95,4.25,158762326.0,13.1585,51.27770354
2025-06-17,4.16,4.66,4.0,4.52,264885642.0,21.9543,54.535345889999995
2025-06-18,4.42,4.56,4.2,4.22,176619404.0,14.6386,50.91574328
2025-06-19,4.1,4.18,3.92,3.96,141471154.0,11.7254,47.77875436
2025-06-20,3.93,4.36,3.81,4.36,170900491.0,14.1646,52.60489116
2025-06-23,4.8,4.8,4.8,4.8,15382795.000000002,1.275,57.91364165
2025-06-24,4.76,5.16,4.57,4.91,365399736.0,30.2851,59.24082927
2025-06-25,4.55,4.69,4.42,4.43,261486639.0,21.6725,53.4494651
2025-06-26,4.33,4.78,4.28,4.64,242446597.00000003,20.0945,55.98318693
2025-06-27,4.46,4.52,4.34,4.48,155701995.0,12.9049,54.0527322
2025-06-30,4.42,4.57,4.37,4.56,141425709.0,11.7216,55.017959569999995
2025-07-01,4.5,4.88,4.4,4.72,210554362.0,17.4512,56.948414289999995
2025-07-02,4.77,5.1,4.64,4.9,262278585.0,21.7382,59.12017585
2025-07-03,4.75,4.78,4.61,4.71,148882368.0,12.3397,56.82776087
2025-07-04,4.65,4.79,4.56,4.57,119772700.0,9.927,55.138612990000006
2025-07-07,4.45,4.61,4.41,4.55,84557260.0,7.0083,54.89730615
2025-07-08,4.65,4.78,4.58,4.65,118687161.00000001,9.837,56.10384035
2025-07-09,4.53,4.62,4.49,4.51,102136679.0,8.4653,54.41469247
2025-07-10,4.47,4.49,4.36,4.4,77311900.0,6.4078,53.087504839999994
2025-07-11,4.36,4.42,4.3,4.37,64754406.00000001,5.367,52.72554458
2025-07-14,4.36,4.43,4.35,4.38,55956348.0,4.6378,52.846198
2025-07-15,4.33,4.58,4.26,4.52,126103423.0,10.4517,54.535345889999995
2025-07-16,4.41,4.47,4.34,4.36,85339620.0,7.0731,52.60489116
2025-07-17,4.35,4.35,4.28,4.31,56925062.0,4.7181,52.001624060000005
2025-07-18,4.31,4.35,4.28,4.3,34377758.0,2.8493,51.88097064
2025-07-21,4.29,4.3,4.25,4.27,50272757.0,4.1667,51.51901038
2025-07-22,4.25,4.26,4.16,4.22,60816106.99999999,5.0406,50.91574328
2025-07-23,4.2,4.28,4.16,4.18,50265205.0,4.1661,50.433129599999994
2025-07-24,4.2,4.27,4.17,4.26,58250110.0,4.8279,51.39835696
2025-07-25,4.28,4.28,4.16,4.18,50143213.0,4.156,50.433129599999994
2025-07-28,4.16,4.22,4.11,4.13,35516504.0,2.9437,49.8298625
2025-07-29,4.13,4.13,4.02,4.09,41143100.0,3.41,49.347248820000004
2025-07-30,4.1,4.15,4.05,4.08,40151003.0,3.3278,49.2265954
2025-07-31,4.04,4.04,3.94,3.94,42903698.0,3.5559,47.53744752
2025-08-01,3.96,4.07,3.96,4.0,37320500.0,3.0932,48.26136804
2025-08-04,3.96,3.99,3.91,3.98,25920263.0,2.1483,48.0200612
2025-08-05,3.98,4.04,3.98,4.04,29487687.0,2.444,48.74398172
2025-08-06,4.04,4.05,3.99,4.04,24654778.0,2.0434,48.74398172
2025-08-07,4.05,4.06,4.01,4.02,22573504.0,1.8709,48.50267488
2025-08-08,4.01,4.04,4.0,4.01,23544846.0,1.9514,48.38202146
2025-08-11,4.01,4.05,3.99,4.05,25981500.0,2.1534,48.86463514
2025-08-12,4.12,4.4,4.1,4.31,152457996.0,12.636,52.001624060000005
2025-08-13,4.19,4.2,4.11,4.17,93900950.0,7.7827,50.31247618
2025-08-14,4.12,4.15,4.03,4.04,52690100.0,4.3671,48.74398172
2025-08-15,4.04,4.06,4.01,4.05,30805117.0,2.5532,48.86463514
2025-08-18,4.04,4.05,4.01,4.04,36454360.0,3.0214,48.74398172
2025-08-19,4.04,4.04,4.01,4.02,27429896.000000004,2.2734,48.50267488
