date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,20.81,21.27,20.81,21.12,1785793.0,0.6868,54.912
2025-06-04,20.97,21.54,20.97,21.41,1850939.0,0.7119,55.666
2025-06-05,21.32,22.13,21.32,21.6,3319860.0,1.2769,56.16
2025-06-06,21.53,21.56,20.7,20.94,4741587.0,1.8237,54.444
2025-06-09,20.86,21.11,20.71,20.96,2129100.0,0.8189,54.496
2025-06-10,20.96,21.2,20.55,20.83,2304341.0,0.8863,54.158
2025-06-11,20.73,21.15,20.73,20.83,2276600.0,0.8756,54.158
2025-06-12,20.81,20.84,20.38,20.54,2380320.0,0.9155,53.404
2025-06-13,20.43,20.44,19.11,19.6,7117577.0,2.7375,50.96
2025-06-16,19.3,19.4,19.1,19.38,2819515.0,1.0844,50.388
2025-06-17,19.39,19.45,19.23,19.3,2039281.0000000002,0.7843,50.18
2025-06-18,19.4,19.95,19.31,19.57,2657219.0,1.022,50.882
2025-06-19,19.45,19.68,19.12,19.2,2640980.0,1.0158,49.92
2025-06-20,19.28,19.28,18.8,18.89,2385238.0,0.9174,49.114
2025-06-23,18.73,18.93,18.6,18.83,1723825.0,0.663,48.958
2025-06-24,18.9,19.06,18.9,19.03,2202829.0,0.8472,49.478
2025-06-25,19.2,19.27,18.96,19.24,2540536.0,0.9771,50.024
2025-06-26,19.24,19.51,19.11,19.41,3734819.9999999995,1.4365,50.466
2025-06-27,19.26,19.43,19.18,19.35,2180151.0,0.8385,50.31
2025-06-30,19.35,19.36,19.23,19.3,1897159.9999999998,0.7297,50.18
2025-07-01,19.36,19.53,19.3,19.35,2164429.0,0.8325,50.31
2025-07-02,19.31,19.34,19.05,19.13,2444610.0,0.9402,49.738
2025-07-03,19.15,19.33,19.12,19.17,1904249.0000000002,0.7324,49.842
2025-07-04,19.17,19.19,19.01,19.01,1822765.0000000002,0.7011,49.426
2025-07-07,19.11,19.25,18.96,19.07,1363200.0,0.5243,49.582
2025-07-08,19.01,19.05,18.88,19.02,1575322.0,0.6059,49.452
2025-07-09,19.02,19.15,18.97,19.05,2030991.9999999998,0.7812,49.53
2025-07-10,18.99,19.07,18.95,19.07,1768064.0,0.68,49.582
2025-07-11,19.08,19.22,19.03,19.21,2826110.0,1.087,49.946
2025-07-14,19.3,19.35,19.14,19.16,1709100.0,0.6573,49.816
2025-07-15,19.12,19.17,18.78,18.9,2191398.0,0.8428,49.14
2025-07-16,18.88,19.14,18.82,19.1,2049228.0,0.7882,49.66
2025-07-17,19.1,19.25,19.05,19.11,2073030.0,0.7973,49.686
2025-07-18,19.13,19.2,19.08,19.19,1792687.0,0.6895,49.894
2025-07-21,19.18,19.37,19.11,19.32,2527299.0,0.972,50.232
2025-07-22,19.37,19.39,19.2,19.39,2129665.0,0.8191,50.414
2025-07-23,19.4,19.48,19.18,19.25,3216877.0,1.2373,50.05
2025-07-24,19.28,19.59,19.25,19.58,3253860.0,1.2515,50.908
2025-07-25,19.65,19.72,19.45,19.5,2682152.0,1.0316,50.7
2025-07-28,19.53,19.55,19.36,19.53,2571874.0,0.9892,50.778
2025-07-29,19.53,19.62,19.31,19.43,2113791.0,0.813,50.518
2025-07-30,19.41,19.55,19.32,19.5,2523495.0,0.9706,50.7
2025-07-31,19.39,19.5,19.06,19.13,2681789.0,1.0315,49.738
2025-08-01,19.15,19.26,18.99,19.06,2196962.0,0.845,49.556
2025-08-04,18.95,19.03,18.87,19.01,1933614.0,0.7437,49.426
2025-08-05,19.01,19.2,18.92,19.2,1348800.0,0.5188,49.92
2025-08-06,19.28,19.85,19.1,19.49,5687187.0,2.1874,50.674
2025-08-07,19.56,19.56,19.2,19.32,3049364.0,1.1728,50.232
2025-08-08,19.32,19.49,19.23,19.37,2781510.0,1.0698,50.362
2025-08-11,19.4,19.65,19.26,19.53,2833368.0,1.0898,50.778
2025-08-12,19.49,19.62,19.35,19.38,2728344.0,1.0494,50.388
2025-08-13,19.74,19.95,19.37,19.65,6300352.0,2.4232,51.09
2025-08-14,19.55,19.95,19.44,19.48,4987414.0,1.9182,50.648
2025-08-15,19.42,19.75,19.34,19.69,4475254.0,1.7213,51.194
