date,open,high,low,close,volume
2026-01-05,17.25,17.44,16.02,16.14,9284182.0
2026-01-06,16.16,16.76,16.14,16.55,5495575.0
2026-01-07,17.55,21.5,17.5,20.8,24924762.0
2026-01-08,19.3,20.22,19.23,19.47,18049170.0
2026-01-09,19.02,20.19,19.0,19.68,12306669.0
2026-01-12,19.43,20.08,19.18,19.93,10232877.0
2026-01-13,19.98,20.91,19.19,19.19,10184813.0
2026-01-14,18.9,20.15,18.9,19.58,8975311.0
2026-01-15,19.35,21.38,19.35,20.69,14223153.0
2026-01-16,20.69,20.99,19.85,20.22,10019409.0
2026-01-19,20.08,20.5,19.7,19.79,5289914.0
2026-01-20,19.88,20.2,19.6,20.2,5861628.0
2026-01-21,19.97,20.65,19.78,20.33,7274663.0
2026-01-22,20.23,20.43,19.71,19.81,5446388.0
2026-01-23,19.86,20.09,19.61,19.79,5415759.0
2026-01-26,19.71,19.75,18.4,18.54,6835610.0
2026-01-27,18.54,18.74,17.85,18.35,3518757.0
2026-01-28,18.29,18.66,18.12,18.37,3269627.0
2026-01-29,18.3,18.36,17.84,17.84,3808089.0
2026-01-30,17.87,18.07,17.5,17.9,2063461.0
2026-02-02,17.66,17.97,17.18,17.18,2661059.0
2026-02-03,17.39,17.6,17.19,17.5,1789003.0
2026-02-04,17.52,17.65,17.39,17.45,1473174.0
2026-02-05,17.54,17.6,17.06,17.09,1837114.0
2026-02-06,17.02,17.38,16.94,17.21,1397175.0
2026-02-09,17.53,17.78,17.5,17.6,2136680.0
2026-02-10,17.7,17.86,17.31,17.5,1857936.0
2026-02-11,17.46,17.5,17.19,17.21,1606304.0
2026-02-12,17.14,17.24,16.87,16.88,2356175.0
2026-02-13,16.9,17.36,16.88,17.09,1766612.0
2026-02-24,17.18,17.59,16.96,17.47,2589884.0
2026-02-25,17.61,17.79,17.44,17.65,2853431.0
2026-02-26,17.62,17.68,17.27,17.34,2242922.0
2026-02-27,17.32,17.39,17.05,17.22,1608165.0
2026-03-02,16.88,17.04,16.56,16.68,2290313.0
2026-03-03,17.05,17.3,16.52,16.52,2724805.0
2026-03-04,16.51,16.96,16.43,16.65,1710883.0
2026-03-05,16.96,16.98,16.59,16.64,2091219.0
2026-03-06,16.57,16.83,16.45,16.77,2007678.0
2026-03-09,16.67,16.74,16.08,16.3,2377779.0
2026-03-10,16.4,16.62,16.4,16.59,1752460.0
2026-03-11,16.63,16.76,16.5,16.75,1817389.0
2026-03-12,16.81,17.19,16.52,16.52,3228323.0
2026-03-13,16.41,16.91,16.31,16.37,2171114.0
2026-03-16,16.11,16.79,16.1,16.72,1777904.0
2026-03-17,16.73,16.75,16.12,16.13,1600862.0
2026-03-18,16.13,16.19,15.6,15.78,2448122.0
2026-03-19,15.67,15.74,15.01,15.16,2377903.0
2026-03-20,15.16,15.38,14.88,14.9,1648945.0
2026-03-23,14.49,14.58,13.41,13.62,3160506.0
2026-03-24,13.82,14.02,13.59,13.99,1807185.0
2026-03-25,14.14,14.49,14.07,14.24,2021262.0
2026-03-26,14.18,14.48,13.76,13.77,1713474.0
2026-03-27,13.61,14.08,13.56,13.97,1282677.0
2026-03-30,13.9,13.94,13.6,13.71,1138972.0
2026-03-31,13.71,13.97,13.5,13.53,991392.0
2026-04-01,13.75,13.97,13.73,13.89,1741784.0
2026-04-02,13.81,14.24,13.81,13.96,1933078.0
2026-04-03,13.95,14.21,13.76,13.77,1947254.0
2026-04-07,13.72,14.59,13.72,14.26,2951452.0
2026-04-08,14.52,14.69,14.08,14.69,3703754.0
2026-04-09,14.6,14.6,14.16,14.19,3111456.0
2026-04-10,14.2,14.47,14.1,14.2,2150040.0
2026-04-13,14.24,14.24,13.92,13.92,1773289.0
2026-04-14,13.95,14.08,13.82,13.97,1970798.0
2026-04-15,14.0,14.16,13.88,13.89,1226005.0
2026-04-16,13.9,14.12,13.88,14.03,1318828.0
2026-04-17,14.07,15.8,13.98,15.39,6364902.0
2026-04-20,15.35,16.05,15.25,15.34,5084569.0
2026-04-21,15.48,15.48,14.91,15.06,2836917.0
2026-04-22,15.2,15.89,15.04,15.45,3763180.0
2026-04-23,15.8,16.74,15.48,15.57,5465442.0
2026-04-24,15.24,15.83,15.0,15.01,3610877.0
2026-04-27,15.03,15.44,14.8,14.85,2045673.0
2026-04-28,14.81,14.87,14.41,14.41,1976703.0
2026-04-29,14.3,14.63,14.2,14.43,1954824.0
2026-04-30,14.48,15.07,14.45,14.61,2021266.0
2026-05-06,14.73,15.1,14.61,14.92,2086665.0
2026-05-07,15.05,15.47,14.9,15.13,2356959.0
2026-05-08,15.05,15.36,14.86,15.19,2271771.0
2026-05-11,15.43,15.5,14.9,15.22,3255107.0
2026-05-12,15.28,15.55,14.92,15.0,2435105.0
2026-05-13,15.0,15.97,14.85,15.96,4161213.0
2026-05-14,15.76,16.07,15.4,15.4,4208510.0
2026-05-15,15.4,16.85,15.37,16.03,5933041.0
2026-05-18,16.4,16.97,15.5,16.45,5680469.0
2026-05-19,16.15,16.34,15.76,16.02,3699426.0
2026-05-20,15.98,16.95,15.78,16.66,5356387.0
2026-05-21,16.46,16.89,15.6,15.6,4820972.0
2026-05-22,15.54,16.45,15.52,16.18,3721009.0
2026-05-25,16.27,17.38,16.04,16.62,4724440.0
2026-05-26,16.29,16.5,15.55,15.55,3493288.0
2026-05-27,15.77,15.88,14.42,14.47,4029121.0
2026-05-28,14.44,15.6,14.2,15.53,3867538.0
2026-05-29,15.45,15.58,14.58,14.69,3279088.0
2026-06-01,14.71,15.33,14.69,15.1,2301713.0
2026-06-02,15.11,16.09,15.03,15.8,3686165.0
2026-06-03,15.75,16.38,15.68,15.84,3183228.0
2026-06-04,15.65,16.14,15.51,15.54,2561559.0
2026-06-05,15.5,16.29,14.75,15.75,5274406.0
2026-06-08,15.16,16.38,15.0,15.28,5262869.0
2026-06-09,15.4,16.63,15.4,16.61,7309694.0
2026-06-10,16.42,17.14,16.16,16.35,6696467.0
2026-06-11,16.11,17.1,15.97,16.81,8467388.0
2026-06-12,17.3,17.5,16.0,16.0,7595090.0
2026-06-15,15.86,16.25,15.63,16.16,4912742.0
2026-06-16,16.18,16.78,15.78,16.45,5800902.0
2026-06-17,16.22,16.45,15.82,15.83,3964349.0
2026-06-18,15.7,15.82,15.05,15.08,4704139.0
2026-06-22,15.3,15.55,14.8,15.46,3809347.0
2026-06-23,16.4,19.1,16.31,17.14,14706064.0
2026-06-24,17.1,18.6,16.99,18.3,13687706.0
2026-06-25,17.95,17.99,16.98,17.06,8782100.0
2026-06-26,17.5,19.95,17.13,18.69,13233230.0
2026-06-29,19.9,23.22,19.38,20.21,18094458.0
2026-06-30,19.51,21.65,19.3,20.88,13514730.0
2026-07-01,20.95,22.33,19.75,20.38,13237702.0
2026-07-02,19.49,20.73,18.4,19.37,9435962.0
2026-07-03,19.06,19.8,18.62,18.63,6967378.0
2026-07-06,19.0,19.45,17.68,17.68,5873991.0
2026-07-07,17.56,18.19,17.21,17.94,5041374.0
2026-07-08,17.9,18.38,16.51,16.51,5885548.0
2026-07-09,16.1,17.45,16.06,17.1,4921869.0
