date,open,high,low,close,volume
2025-06-03,25.62,26.64,25.38,26.62,8278584.0
2025-06-04,26.36,26.77,26.26,26.55,4744828.0
2025-06-05,26.58,26.68,26.16,26.37,4306520.0
2025-06-06,26.37,26.37,25.77,25.78,3527405.0
2025-06-09,25.74,26.16,25.61,26.11,3042732.0
2025-06-10,26.33,26.6,25.54,25.79,6888422.0
2025-06-11,25.48,25.87,25.48,25.49,4128600.0
2025-06-12,25.42,26.43,25.39,26.36,7104662.0
2025-06-13,26.1,26.95,26.1,26.18,7389620.0
2025-06-16,25.9,26.34,25.85,26.12,3311300.0
2025-06-17,26.36,26.38,25.29,25.46,4675032.0
2025-06-18,25.2,25.37,24.89,25.11,2757781.0
2025-06-19,24.98,25.09,24.24,24.31,2602976.0
2025-06-20,24.25,24.5,24.0,24.09,1934600.0
2025-06-23,24.35,24.64,24.16,24.58,2233073.0
2025-06-24,24.5,24.98,24.44,24.95,2398171.0
2025-06-25,24.9,25.04,24.65,24.98,2512520.0
2025-06-26,24.9,25.07,24.69,24.74,2202400.0
2025-06-27,24.7,25.24,24.64,25.03,2657100.0
2025-06-30,24.85,25.19,24.85,25.19,2137474.0
2025-07-01,25.16,25.42,25.03,25.24,2237500.0
2025-07-02,25.08,25.21,24.61,24.78,2623800.0
2025-07-03,24.75,24.98,24.65,24.83,1517900.0
2025-07-04,24.84,26.87,24.83,25.89,12417948.0
2025-07-07,26.35,27.28,26.06,26.63,11946258.0
2025-07-08,26.2,27.73,26.2,27.3,11491860.0
2025-07-09,27.1,27.23,26.6,26.78,6612242.0
2025-07-10,26.68,27.0,26.33,26.78,5156667.0
2025-07-11,26.75,26.75,26.14,26.35,4425950.0
2025-07-14,26.4,26.47,26.13,26.38,2864668.0
2025-07-15,26.23,26.43,25.77,26.19,3886400.0
2025-07-16,26.18,26.3,26.0,26.26,2507644.0
2025-07-17,26.1,26.21,25.94,26.2,2939000.0
2025-07-18,26.22,26.27,25.88,26.02,2628800.0
2025-07-21,26.04,26.19,25.91,26.13,2492744.0
2025-07-22,25.95,26.44,25.75,25.95,5672500.0
2025-07-23,25.84,27.19,25.49,26.6,10799754.0
2025-07-24,26.45,27.13,26.3,26.65,6658682.0
2025-07-25,26.68,27.47,26.51,27.17,10475938.0
2025-07-28,27.03,27.43,26.8,26.88,6000579.0
2025-07-29,26.83,27.0,26.67,26.93,4592425.0
2025-07-30,26.9,27.58,26.73,27.22,9231106.0
2025-07-31,27.2,27.23,26.68,26.75,6162064.0
2025-08-01,26.67,27.9,26.66,27.52,10468700.0
2025-08-04,27.35,28.15,27.1,28.06,9241260.0
2025-08-05,28.19,28.6,27.58,27.91,7139954.0
2025-08-06,27.87,28.39,27.47,27.65,7102934.0
2025-08-07,27.6,28.96,27.59,28.0,11104929.0
2025-08-08,28.13,28.98,27.28,27.28,12460059.0
2025-08-11,27.9,29.0,27.9,28.68,11453926.0
2025-08-12,28.44,29.48,28.2,28.41,9722771.0
2025-08-13,28.25,28.53,27.88,28.21,7944862.0
2025-08-14,28.23,28.23,27.29,27.35,7550289.0
2025-08-15,27.35,27.88,27.31,27.83,6454077.0
2025-08-18,27.69,28.63,27.65,28.43,8496789.0
2025-08-19,28.35,28.6,27.88,28.19,5869895.0
2025-08-20,28.47,28.57,27.82,28.22,7542535.0
2025-08-21,28.1,28.4,27.68,27.87,5760494.0
2025-08-22,27.75,27.97,27.57,27.86,4752020.0
2025-08-25,27.76,28.35,27.76,28.18,6626132.0
2025-08-26,28.05,28.09,27.6,27.62,4786285.0
2025-08-27,27.59,28.2,26.88,26.88,7498437.0
2025-08-28,26.93,27.07,25.69,26.42,6889750.0
2025-08-29,26.23,26.45,26.01,26.14,3955573.0
2025-09-01,26.18,26.43,26.0,26.32,3651800.0
2025-09-02,26.39,26.39,25.21,25.49,4956681.0
2025-09-03,25.48,25.78,25.16,25.37,2998636.0
2025-09-04,25.36,25.64,24.73,25.07,3334492.0
2025-09-05,25.09,25.49,24.9,25.48,2530640.0
2025-09-08,25.7,26.18,25.42,25.88,3931123.0
2025-09-09,25.86,25.86,25.21,25.38,2802636.0
2025-09-10,25.28,25.53,25.2,25.31,1887999.0
2025-09-11,25.31,25.54,24.86,25.51,2750202.0
2025-09-12,25.55,25.69,25.32,25.46,2660269.0
2025-09-15,25.45,25.45,25.15,25.22,1973008.0
2025-09-16,25.16,25.45,25.06,25.43,1982200.0
2025-09-17,25.4,25.69,25.25,25.47,2447935.0
2025-09-18,25.61,25.77,24.99,25.09,3491237.0
2025-09-19,25.16,25.28,24.99,25.17,1753751.0
2025-09-22,25.16,25.3,24.77,24.96,2021386.0
2025-09-23,24.91,24.95,24.03,24.38,2927033.0
2025-09-24,24.38,24.79,24.24,24.75,1980702.0
2025-09-25,24.78,25.09,24.59,24.74,1852236.0
2025-09-26,24.86,25.14,24.5,24.7,1964564.0
2025-09-29,24.75,24.75,24.23,24.6,1783787.0
2025-09-30,24.56,24.88,24.5,24.59,1919265.0
2025-10-09,24.62,24.88,24.38,24.88,2152069.0
2025-10-10,24.79,25.27,24.7,24.99,2749136.0
2025-10-13,24.2,24.65,24.01,24.59,2123386.0
2025-10-14,24.59,25.3,24.59,25.14,3683914.0
2025-10-15,25.0,25.33,24.84,24.93,3427594.0
2025-10-16,24.9,25.17,24.5,24.6,2230735.0
2025-10-17,24.64,24.64,24.03,24.09,1844722.0
2025-10-20,24.12,24.39,24.09,24.19,1063248.0
