date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,7.94,8.02,7.88,7.93,15286529.999999998,0.5991,202.32842469
2025-06-04,7.93,8.04,7.93,7.98,10211814.0,0.4002,203.60413986
2025-06-05,7.97,8.01,7.92,7.99,9493832.0,0.3721,203.85928289
2025-06-06,8.01,8.13,7.97,8.09,17500505.0,0.6859,206.41071321
2025-06-09,8.07,8.32,8.05,8.24,26517291.0,1.0393,210.2378587
2025-06-10,8.23,8.28,8.03,8.08,16899982.0,0.6624,206.15557018
2025-06-11,8.08,8.38,8.06,8.24,31926665.000000004,1.2513,210.2378587
2025-06-12,8.22,8.25,8.15,8.18,16010990.0,0.6275,208.7070005
2025-06-13,8.16,8.25,8.07,8.12,28096233.0,1.1012,207.17614231
2025-06-16,8.05,8.1,7.99,8.09,12541482.0,0.4915,206.41071321
2025-06-17,8.11,8.13,8.02,8.1,11475312.0,0.4498,206.66585624
2025-06-18,8.09,8.09,7.98,8.01,14812285.0,0.5805,204.36956895
2025-06-19,7.99,8.07,7.9,7.92,13908870.000000002,0.5451,202.07328166
2025-06-20,7.89,8.04,7.89,7.92,11822147.0,0.4634,202.07328166
2025-06-23,7.88,8.61,7.88,8.44,80644442.0,3.1608,215.34071935
2025-06-24,8.54,8.88,8.48,8.81,83052996.0,3.2552,224.78101154
2025-06-25,8.77,8.96,8.66,8.88,60492771.0,2.3709,226.56701277
2025-06-26,8.83,9.08,8.82,8.92,48813226.0,1.9132,227.5875849
2025-06-27,8.94,9.04,8.78,8.8,34425995.0,1.3493,224.52586851
2025-06-30,8.8,8.9,8.69,8.88,28285122.0,1.1086,226.56701277
2025-07-01,8.88,9.24,8.81,9.13,44428588.0,1.7413,232.94558858
2025-07-02,9.1,9.19,9.05,9.13,27617184.000000004,1.0824,232.94558858
2025-07-03,9.11,9.13,8.97,9.02,21963270.0,0.8608,230.13901522
2025-07-04,9.0,9.02,8.89,8.94,21890870.0,0.858,228.09787097
2025-07-07,8.89,8.95,8.85,8.89,17823926.0,0.6979,227.03067662
2025-07-08,8.9,9.0,8.89,8.9,24023307.0,0.9407,227.28605421000003
2025-07-09,8.91,8.92,8.77,8.77,21444280.0,0.8325,225.91699478
2025-07-10,8.76,8.85,8.74,8.82,14927085.999999998,0.5795,227.20500501
2025-07-11,8.84,9.0,8.78,8.87,34351091.0,1.3335,228.49301525
2025-07-14,8.91,8.92,8.84,8.88,16908569.0,0.6564,228.75061729
2025-07-15,8.85,8.87,8.68,8.72,15666407.0,0.6082,224.62898455
2025-07-16,8.72,8.77,8.67,8.71,13678024.0,0.531,224.3713825
2025-07-17,8.75,8.8,8.7,8.79,12462251.0,0.4838,226.43219887
2025-07-18,8.82,8.86,8.74,8.8,14277932.0,0.5543,226.68980092
2025-07-21,8.84,8.85,8.77,8.79,21714994.0,0.843,226.43219887
2025-07-22,8.79,8.99,8.73,8.97,38952472.0,1.5121,231.06903571
2025-07-23,8.98,9.06,8.89,8.91,26550292.0,1.0307,229.52342343
2025-07-24,8.9,9.05,8.88,9.03,27954457.0,1.0852,232.61464799
2025-07-25,9.02,9.2,8.98,9.06,30996822.0,1.2033,233.38745413
2025-07-28,9.07,9.42,9.0,9.33,58055791.0,2.2537,240.34270938
2025-07-29,9.35,9.43,9.17,9.21,31744518.0,1.2323,237.25148483
2025-07-30,9.2,9.29,9.09,9.15,26546703.000000004,1.0305,235.70587255
2025-07-31,9.13,9.25,9.07,9.1,26903405.0,1.0444,234.41786232
2025-08-01,9.08,9.18,9.06,9.13,24298638.0,0.9433,235.19066845
2025-08-04,9.11,9.3,9.07,9.26,25892381.0,1.0051,238.53949506
2025-08-05,9.26,9.28,9.13,9.14,19347860.0,0.7511,235.4482705
