date,open,high,low,close,volume
2025-06-03,5.36,5.41,5.34,5.39,6065500.0
2025-06-04,5.4,5.44,5.38,5.44,6859200.0
2025-06-05,5.42,5.46,5.36,5.39,8557300.0
2025-06-06,5.4,5.41,5.37,5.4,6087600.0
2025-06-09,5.41,5.43,5.37,5.39,6687302.0
2025-06-10,5.4,5.41,5.32,5.38,6221300.0
2025-06-11,5.39,5.43,5.37,5.4,5295300.0
2025-06-12,5.4,5.41,5.33,5.36,6663200.0
2025-06-13,5.36,5.41,5.29,5.31,8972300.0
2025-06-16,5.28,5.35,5.28,5.31,4385100.0
2025-06-17,5.31,5.36,5.28,5.35,5440900.0
2025-06-18,5.34,5.36,5.27,5.3,5226300.0
2025-06-19,5.29,5.3,5.21,5.25,5925700.0
2025-06-20,5.25,5.35,5.23,5.29,7354300.0
2025-06-23,5.14,5.22,5.08,5.22,6334500.0
2025-06-24,5.22,5.25,5.17,5.24,6524704.0
2025-06-25,5.24,5.27,5.2,5.26,5448500.0
2025-06-26,5.26,5.28,5.24,5.26,5421165.0
2025-06-27,5.28,5.33,5.25,5.28,6027406.0
2025-06-30,5.29,5.3,5.24,5.28,4962100.0
2025-07-01,5.29,5.34,5.27,5.3,6616200.0
2025-07-02,5.32,5.32,5.27,5.3,6323799.0
2025-07-03,5.5,5.57,5.38,5.41,28764152.0
2025-07-04,5.38,5.9,5.38,5.63,45838503.0
2025-07-07,5.65,5.65,5.52,5.62,23073939.0
2025-07-08,5.62,5.65,5.54,5.59,15635928.0
2025-07-09,5.59,5.64,5.58,5.6,13241261.0
2025-07-10,5.59,5.6,5.53,5.58,12140004.0
2025-07-11,5.58,5.59,5.53,5.55,10199804.0
2025-07-14,5.54,5.62,5.54,5.61,8937700.0
2025-07-15,5.61,5.61,5.51,5.55,8761900.0
2025-07-16,5.55,5.56,5.52,5.54,5341400.0
2025-07-17,5.55,5.56,5.5,5.51,7265527.0
2025-07-18,5.52,5.53,5.49,5.53,4836500.0
2025-07-21,5.54,5.63,5.54,5.61,11392100.0
2025-07-22,5.61,5.67,5.56,5.67,12513729.0
2025-07-23,5.66,5.67,5.61,5.62,8297829.0
2025-07-24,5.61,5.65,5.61,5.65,7449900.0
2025-07-25,5.65,5.68,5.61,5.62,6991860.0
2025-07-28,5.61,5.63,5.57,5.59,5814172.0
2025-07-29,5.58,5.61,5.53,5.58,6131949.0
2025-07-30,5.57,5.64,5.56,5.59,8519740.0
2025-07-31,5.56,5.58,5.47,5.48,9305500.0
2025-08-01,5.48,5.57,5.48,5.54,6330624.0
2025-08-04,5.51,5.9,5.51,5.71,30584410.0
2025-08-05,5.7,5.79,5.66,5.71,15694700.0
2025-08-06,5.72,5.73,5.64,5.67,9295238.0
2025-08-07,5.67,5.74,5.65,5.71,8833591.0
