date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,35.8,40.02,35.21,38.98,67000848.0,7.3139,357.08708122
2025-06-04,38.31,38.9,37.4,38.2,42288922.0,4.6163,349.94167529000003
2025-06-05,38.6,39.5,37.16,37.71,42482468.0,4.6374,345.45289463999995
2025-06-06,38.04,44.44,37.84,43.41,69071931.0,7.54,397.66932262
2025-06-09,44.46,52.09,44.03,52.09,70960251.0,7.7461,477.1848656
2025-06-10,50.99,53.57,50.2,50.45,79083621.0,8.6329,462.16119158
2025-06-11,51.6,52.0,46.73,50.55,62707681.99999999,6.8452,463.07726926
2025-06-12,51.84,54.0,50.7,52.42,63516401.0,6.9335,480.20792195
2025-06-13,51.06,53.5,50.38,50.75,52935706.00000001,5.7785,464.90942463
2025-06-16,51.79,53.25,50.45,52.13,43761007.0,4.777,477.55129667
2025-06-17,53.24,54.47,50.8,52.79,50409906.0,5.5028,483.59740938
2025-06-18,52.59,60.79,52.33,60.5,58390273.0,6.3739,554.22699882
2025-06-19,59.43,59.88,48.4,48.4,65733841.0,7.1756,443.38159906
2025-06-20,45.0,50.72,45.0,49.25,55807710.0,6.092,451.16825937
2025-06-23,50.39,50.41,47.62,49.43,39432294.0,4.3045,452.8171992
2025-06-24,49.52,53.0,49.5,50.69,40622284.0,4.4344,464.35977802
2025-06-25,50.98,51.0,43.0,47.32,60433401.0,6.597,433.48796007
2025-06-26,46.5,47.31,45.8,46.02,39013186.0,4.2587,421.57895018
2025-06-27,46.18,47.36,45.84,46.33,25809762.0,2.8174,424.418791
2025-06-30,46.4,47.84,46.11,46.61,27859975.0,3.0412,426.98380851
2025-07-01,47.18,47.7,45.4,46.85,38537512.0,4.2012,429.75444001
2025-07-02,46.87,47.5,45.5,45.8,28877780.0,3.1481,420.12280368
2025-07-03,45.02,46.23,45.02,45.99,26461450.0,2.8847,421.86567121
2025-07-04,46.55,47.65,45.65,46.71,37029771.0,4.0368,428.47022184
2025-07-07,46.37,48.18,45.88,46.47,33654530.0,3.6689,426.26870496
2025-07-08,46.6,47.04,40.36,40.52,81696149.0,8.9062,371.68943243
2025-07-09,41.16,41.16,40.15,40.45,42562774.0,4.64,371.04732334
2025-07-10,40.48,43.0,40.25,41.62,44147495.0,4.8128,381.77971811
2025-07-11,45.3,49.94,45.1,48.48,76868896.0,8.3799,444.70640879
2025-07-14,49.42,50.42,48.54,49.81,53473064.0,5.8294,456.90648147
2025-07-15,50.2,52.18,43.28,43.6,89711056.0,9.7799,399.94223233
2025-07-16,40.5,43.89,38.19,42.81,70155991.0,7.6481,392.69557261
2025-07-17,42.81,44.05,42.4,43.79,43766479.0,4.7712,401.68509985
2025-07-18,43.54,44.83,43.3,44.03,32490396.000000004,3.542,403.88661673
2025-07-21,43.77,44.4,43.03,43.88,28308430.0,3.0861,402.51066868
2025-07-22,43.81,45.63,43.43,44.12,35085929.0,3.8249,404.71218556
2025-07-23,43.19,43.45,42.03,42.52,31488156.0,3.4327,390.03540639
2025-07-24,42.48,44.2,42.48,42.97,28692398.0,3.1279,394.16325053
2025-07-25,42.99,43.48,42.38,42.44,23412396.0,2.5523,389.30156743
2025-07-28,41.7,42.57,41.5,42.32,21267389.0,2.3185,388.20080899
2025-07-29,41.65,42.17,40.83,42.01,31113161.0,3.3918,385.35718303
2025-07-30,42.0,42.09,40.5,41.0,26426749.0,2.8809,376.09246618
2025-07-31,41.24,44.28,41.03,42.3,61695019.99999999,6.7257,388.01734925
2025-08-01,42.38,43.4,41.81,42.05,30688857.0,3.3456,385.72410251
2025-08-04,41.51,43.8,40.66,43.43,40558205.0,4.4215,398.38282454
2025-08-05,43.58,44.6,42.8,42.95,28905995.0,3.1512,393.97979079
2025-08-06,42.69,43.0,41.91,42.05,24445730.0,2.665,385.72410251
2025-08-07,41.65,42.19,40.91,40.96,23586512.0,2.5713,375.7255467
2025-08-08,40.98,42.49,40.5,40.97,24673601.0,2.6898,375.81727657
2025-08-11,40.9,46.5,40.7,44.46,55729103.0,6.0753,407.83100113
2025-08-12,45.5,45.66,43.68,44.79,35683148.0,3.89,410.8580868300001
2025-08-13,45.25,50.77,44.68,48.31,56249942.00000001,6.1321,443.147001
2025-08-14,48.01,50.33,47.81,48.18,49527633.0,5.3993,441.9545127
2025-08-15,48.27,49.8,47.79,49.2,36640637.0,3.9944,451.31095942
2025-08-18,49.21,51.26,49.01,50.81,45257100.0,4.9337,466.07946845
2025-08-19,50.81,51.5,49.2,49.25,39975270.0,4.3579,451.76960877
2025-08-20,48.39,49.7,47.75,48.08,32631624.0,3.5574,441.037214
2025-08-21,47.75,48.6,47.4,47.81,21153589.0,2.3061,438.56050751
2025-08-22,48.0,48.72,46.77,47.19,26193858.0,2.8555,432.87325559
2025-08-25,47.3,54.27,47.05,53.25,68389645.0,7.4523,488.67305504
2025-08-26,52.95,53.9,52.6,53.42,34044455.0,3.7098,490.23313803
2025-08-27,54.0,54.8,50.8,50.88,41695638.0,4.5435,466.92366273
2025-08-28,50.08,51.27,48.65,50.71,32228849.0,3.5119,465.36357973
2025-08-29,50.89,52.16,50.1,50.42,28552886.0,3.1114,462.70226169
2025-09-01,50.62,51.5,50.05,50.85,24969772.0,2.7209,466.64835396
2025-09-02,50.99,51.63,48.15,48.68,31487424.0,3.4311,446.73435341
2025-09-03,48.98,53.35,48.75,49.11,37294501.0,4.0639,450.68044569
2025-09-04,49.4,50.54,46.1,47.58,31448149.0,3.4269,436.63969875
2025-09-05,47.58,47.9,45.51,47.59,22454743.0,2.4469,436.7314683400001
2025-09-08,47.99,49.6,47.99,48.95,23352925.0,2.5447,449.21213228
2025-09-09,49.0,49.35,47.2,47.22,19335989.0,2.107,433.33599359
2025-09-10,46.97,47.46,46.64,47.36,13471269.0,1.4679,434.62076782
2025-09-11,46.85,50.08,45.18,48.98,30051230.0,3.2746,449.48744104
2025-09-12,49.25,50.89,48.76,50.15,29135940.000000004,3.1749,460.2244828200001
2025-09-15,50.51,50.97,49.56,49.68,19789794.0,2.1565,455.91131219
2025-09-16,48.57,48.64,46.04,47.26,32968894.0,3.5926,433.70307194
2025-09-17,46.55,47.1,46.3,46.46,16898551.0,1.8414,426.36150492
2025-09-18,46.58,47.32,45.88,46.61,20683627.0,2.2539,427.73804874
2025-09-19,46.11,46.69,44.8,44.88,19756026.0,2.1528,411.86191005
2025-09-22,45.2,46.12,44.81,46.06,16624565.0,1.8116,422.69072141
2025-09-23,46.06,46.17,43.75,44.48,16430007.0,1.7904,408.19112653
2025-09-24,44.36,47.09,43.88,46.32,22822911.0,2.487,425.07673069
2025-09-25,46.32,46.6,45.2,45.29,15502976.999999998,1.6893,415.62446315
2025-09-26,45.1,45.35,43.02,43.86,17401883.0,1.8963,402.50141209
2025-09-29,43.86,44.95,43.01,44.34,14955949.0,1.6297,406.90635231
2025-09-30,45.0,46.36,44.9,45.55,15318414.000000002,1.6692,418.01047243
2025-10-09,45.6,50.77,45.6,49.29,39442275.0,4.298,452.33229827
2025-10-10,49.32,49.99,48.78,49.51,22262721.0,2.4259,454.3512292
2025-10-13,47.42,49.4,47.18,48.46,17839608.0,1.944,444.71542248
2025-10-14,49.3,50.28,48.17,48.53,16928119.0,1.8446,445.35780959
2025-10-15,48.8,51.11,46.69,50.2,29261590.000000004,3.1886,460.68333076
2025-10-16,49.75,50.66,48.1,48.49,20970743.0,2.2852,444.99073124
2025-10-17,48.55,50.09,48.12,48.74,17564339.0,1.914,447.28497094
2025-10-20,48.74,51.99,48.18,50.98,28080270.0,3.0599,467.8413586
2025-10-21,50.97,52.5,50.3,51.54,25126984.0,2.7381,472.98045552
2025-10-22,51.3,53.0,50.7,52.42,26290186.0,2.8648,481.05617925000007
2025-10-23,52.13,52.49,50.75,51.2,15642129.999999998,1.7045,469.86028954
2025-10-24,51.01,51.98,50.4,51.13,15774110.0,1.7189,469.21790242
2025-10-27,51.5,58.98,51.0,58.09,48327124.0,5.2661,533.08953553
2025-10-28,58.1,59.49,57.39,57.72,31099295.0,3.3888,529.6940607800001
2025-10-29,57.5,59.39,57.05,58.52,23092233.0,2.5163,537.0356278099999
2025-10-30,57.81,65.0,57.1,63.5,49322322.0,5.3746,582.73688253
2025-10-31,63.53,66.32,62.69,66.29,41086470.0,4.4771,608.34059753
2025-11-03,66.0,71.71,63.01,69.8,45919821.0,5.0038,640.55172284
2025-11-04,66.0,66.66,55.84,55.84,74136796.0,8.0786,512.44137828
2025-11-05,54.12,55.75,52.2,54.6,51108295.0,5.5692,501.06194939
2025-11-06,54.0,55.08,52.76,53.46,31586567.0,3.4419,490.60021638
2025-11-07,54.0,56.09,53.0,53.03,32103124.0,3.4982,486.6541241000001
2025-11-10,52.68,54.2,52.56,53.28,18369973.0,2.0017,488.9483638
2025-11-11,53.01,53.2,51.51,51.68,24229485.0,2.6403,474.26522975000006
2025-11-12,51.75,52.63,50.8,51.9,19863731.0,2.1645,476.28416068
2025-11-13,51.95,54.46,51.84,53.62,24447906.0,2.6641,492.06852978
2025-11-14,53.4,61.0,53.16,58.9,43129430.0,4.6998,540.52287214
2025-11-17,59.27,59.63,57.79,58.5,23496048.0,2.5603,536.85208863
2025-11-18,58.49,58.63,55.5,56.95,23081926.0,2.5152,522.62780252
2025-11-19,57.08,59.2,56.6,57.81,20025986.0,2.1822,530.51998707
2025-11-20,57.87,58.49,56.4,57.3,14771573.000000002,1.6096,525.83973809
2025-11-21,56.51,57.7,55.55,56.13,18657212.0,2.033,515.1026963200001
2025-11-24,57.7,59.86,57.5,58.42,21936280.0,2.3904,536.1179319299999
2025-11-25,58.5,60.68,58.03,59.96,22791959.0,2.4836,550.25044845
2025-11-26,60.06,63.0,60.0,62.72,29226420.0,3.1848,575.57885468
2025-11-27,62.1,63.45,60.12,61.3,24800628.0,2.7025,562.54757321
2025-11-28,61.21,62.61,60.65,62.15,17042725.0,1.8571,570.34798818
2025-12-01,64.03,68.5,64.0,67.7,35368827.0,3.8541,621.28010941
2025-12-02,67.84,67.84,62.0,64.35,30374619.0,3.3099,590.53729749
2025-12-03,64.39,66.9,64.39,65.48,18528602.0,2.019,600.90726091
2025-12-04,65.5,68.5,65.1,67.61,21998576.0,2.3972,620.45418312
