date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,15.81,16.85,15.74,16.82,21013152.0,11.0856,31.88289096
2025-06-04,16.5,16.71,16.25,16.51,16508279.999999998,8.709,31.29527526
2025-06-05,16.35,16.95,16.16,16.33,14878329.0,7.8491,30.95407904
2025-06-06,16.24,16.31,15.54,15.7,12621151.0,6.6584,29.75989228
2025-06-09,15.75,16.76,15.62,16.58,13224579.999999998,6.9767,31.427962670000003
2025-06-10,16.58,16.71,16.22,16.36,11147893.0,5.8811,31.01094507
2025-06-11,16.45,16.5,16.23,16.35,6124950.0,3.2313,30.99198973
2025-06-12,16.28,16.58,16.21,16.43,6843000.0,3.6101,31.14363249
2025-06-13,16.36,16.37,15.77,15.9,7315878.999999999,3.8595,30.138999190000003
2025-06-16,15.78,16.09,15.78,16.09,3991880.0000000005,2.1059,30.499150750000002
2025-06-17,16.09,16.19,15.79,15.92,4283810.0,2.2599,30.176909879999997
2025-06-18,15.81,15.85,15.38,15.6,5019400.0,2.648,29.57033882
2025-06-19,15.48,15.7,15.22,15.32,3914750.0,2.0652,29.03958915
2025-06-20,15.3,15.44,15.2,15.22,2284460.0,1.2052,28.850035700000003
2025-06-23,15.21,15.39,15.03,15.39,2621850.0,1.3832,29.172276569999998
2025-06-24,15.45,15.64,15.23,15.62,3628750.0,1.9144,29.60824951
2025-06-25,15.63,15.77,15.35,15.57,3602272.0,1.9004,29.51347279
2025-06-26,15.55,15.69,15.33,15.33,5508750.0,2.9062,29.0585445
2025-06-27,15.33,15.7,15.3,15.39,4957548.0,2.6154,29.172276569999998
2025-06-30,15.37,15.67,15.26,15.59,5836447.0,3.0791,29.551383480000002
2025-07-01,15.54,16.44,15.54,16.38,12721064.0,6.7111,31.04885577
2025-07-02,16.23,16.78,16.22,16.33,8935160.0,4.7138,30.95407904
2025-07-03,16.33,16.8,16.2,16.65,8934142.0,4.7133,31.56065009
2025-07-04,16.65,19.5,16.65,18.76,29778196.000000004,15.7097,35.56022797
2025-07-07,18.81,19.1,18.2,18.48,16786835.0,8.856,35.0294783
2025-07-08,18.79,18.98,18.3,18.48,9521507.0,5.0231,35.0294783
2025-07-09,18.36,18.74,17.88,17.97,10567639.0,5.575,34.06275568
2025-07-10,18.03,18.1,17.23,17.37,10678490.0,5.6335,32.925434960000004
2025-07-11,17.36,17.41,17.13,17.38,6630750.0,3.4981,32.94439031
2025-07-14,17.38,17.45,17.06,17.19,5139749.0,2.7115,32.58423874
2025-07-15,17.19,17.33,16.93,17.19,4987649.0,2.6313,32.58423874
