date,open,high,low,close,volume,turnover,circ_mv亿
2025-06-03,34.51,37.37,34.51,36.3,26903382.0,9.5074,102.71972571
2025-06-04,36.1,36.8,35.75,36.5,18526624.0,6.5471,103.28567462000001
2025-06-05,36.5,37.49,35.75,37.17,28195690.999999996,9.964,105.18160344
2025-06-06,37.17,37.17,36.23,36.34,16619300.0,5.8731,102.83291548999999
2025-06-09,36.39,37.5,36.03,36.17,20158200.0,7.1237,102.35185893
2025-06-10,36.27,36.45,34.75,35.79,23145650.0,8.1794,101.27655601000001
2025-06-11,35.9,36.47,35.62,35.88,12711002.0,4.4919,101.53123302
2025-06-12,35.66,36.03,35.36,35.45,11705849.0,4.1367,100.31444288
2025-06-13,35.1,35.36,34.12,34.17,16359500.0,5.7813,96.69236991
2025-06-16,33.9,34.67,33.9,34.38,10536100.0,3.7233,97.28661625
2025-06-17,34.12,36.89,34.12,35.89,42216450.0,14.9188,101.55953046
2025-06-18,35.51,36.09,34.79,35.59,23181952.0,8.1922,100.71060711
2025-06-19,35.2,38.2,35.08,37.49,56060739.0,19.8112,106.08712168000001
2025-06-20,37.01,37.01,34.71,35.02,36638441.0,12.9476,99.09765274
2025-06-23,34.0,35.14,33.66,34.98,18040391.0,6.3753,98.98446296
2025-06-24,35.38,41.6,35.35,39.7,70265676.0,24.8311,112.34085705
2025-06-25,39.79,40.38,39.01,40.3,45794350.0,16.1832,114.03870375000001
2025-06-26,40.23,40.8,39.44,39.48,33540340.000000004,11.8528,111.71831325000001
2025-06-27,39.6,40.19,39.11,39.58,23321509.0,8.2416,112.00128770999999
2025-06-30,40.17,40.99,39.67,40.6,34709760.0,12.266,114.88762711
2025-07-01,40.6,42.22,39.61,40.0,37589671.0,13.2838,113.1897804
2025-07-02,39.51,39.81,38.13,38.42,26054920.0,9.2075,108.71878407000001
2025-07-03,38.21,39.12,38.0,38.36,16173600.0,5.7156,108.5489994
2025-07-04,38.89,39.0,37.8,37.88,18220162.0,6.4388,107.19072204
2025-07-07,37.74,38.36,36.92,37.57,16183400.0,5.719,106.31350124
2025-07-08,37.8,39.05,37.6,38.61,24468800.0,8.647,109.25643552999999
2025-07-09,39.15,40.75,38.42,38.9,32274101.0,11.4053,110.07706144000001
2025-07-10,38.36,38.64,37.6,37.9,17750500.0,6.2728,107.24731693
2025-07-11,37.83,39.4,37.32,38.93,24460199.0,8.644,110.16195377
2025-07-14,39.2,41.77,38.81,40.35,44830603.0,15.8426,114.18019098
2025-07-15,40.3,41.99,39.76,41.7,48995065.0,17.3143,118.00034606999999
2025-07-16,41.7,45.69,41.01,44.38,59426849.0,21.0008,125.58406135
2025-07-17,43.63,44.53,43.37,43.72,39669105.0,14.0186,123.71642997999999
2025-07-18,43.8,43.99,42.84,42.91,26862280.0,9.4928,121.42433692
2025-07-21,43.62,45.64,43.17,43.87,41818769.0,14.7783,124.14089165
2025-07-22,43.31,43.45,42.0,42.04,33248649.0,11.7497,118.9624592
2025-07-23,42.06,42.49,41.64,41.77,18215028.0,6.437,118.19842818
2025-07-24,42.4,42.77,41.45,41.88,16789328.0,5.9332,118.50970008
2025-07-25,41.69,42.33,41.45,42.14,16212260.999999998,5.7292,119.24543365
2025-07-28,42.57,42.97,41.65,41.75,18209439.0,6.435,118.14183329000001
2025-07-29,41.45,42.34,41.17,42.33,18863120.0,6.666,119.78308511
2025-07-30,42.39,44.68,41.15,43.64,45441732.0,16.0586,123.49005042
2025-07-31,42.99,44.44,42.64,43.27,33562674.0,11.8607,122.44304495000002
2025-08-01,43.22,44.68,41.8,43.35,30681240.000000004,10.8424,122.66942451
2025-08-04,43.3,47.28,43.0,46.89,48571369.0,17.1646,132.68672007
2025-08-05,46.72,48.0,46.02,47.99,44943639.0,15.8826,135.79943903
2025-08-06,47.0,49.5,46.46,47.59,47591960.0,16.8185,134.66754122999998
2025-08-07,47.25,50.86,45.9,50.25,51110039.0,18.0617,142.19466163
2025-08-08,50.6,51.88,46.88,47.56,49212960.0,17.3913,134.5826489
2025-08-11,48.43,48.6,46.78,47.15,30917015.000000004,10.9257,133.42245365
2025-08-12,47.14,47.89,46.51,47.25,26905399.0,9.5081,133.7054281
2025-08-13,46.92,47.73,45.71,47.45,35392235.0,12.5072,134.271377
2025-08-14,47.2,47.2,45.17,45.68,33359915.999999996,11.789,129.26272922
2025-08-15,45.68,47.15,45.68,46.88,27422862.0,9.6909,132.65842263
2025-08-18,47.22,47.51,46.39,46.93,34119183.0,12.0573,132.79990985
2025-08-19,46.73,49.29,45.88,48.6,46676786.0,16.4951,137.52558319000002
2025-08-20,48.03,48.96,47.36,48.0,27380271.000000004,9.6759,135.82773648
2025-08-21,47.81,48.75,46.58,46.61,22976909.0,8.1198,131.89439161
2025-08-22,46.5,47.6,46.36,47.3,19229810.0,6.7956,133.84691532
2025-08-25,47.18,49.46,47.17,48.65,34897036.0,12.3322,137.66707041
2025-08-26,48.17,48.17,46.99,47.17,26503569.0,9.3661,133.47904853999998
2025-08-27,47.23,47.63,44.2,44.26,35570032.0,12.5701,125.24449201
2025-08-28,44.27,44.65,42.24,43.8,30995627.0,10.9535,123.94280954
2025-08-29,45.59,46.5,44.67,45.1,30995828.999999996,10.9412,127.76606259
2025-09-01,45.85,47.5,45.8,46.59,30105943.0,10.6271,131.98715867
2025-09-02,47.42,55.58,46.15,51.95,86441465.0,30.5129,147.17177276
2025-09-03,52.0,53.16,49.94,50.6,58057668.99999999,20.4937,143.34728973
2025-09-04,51.01,52.97,47.74,49.55,63371494.99999999,22.3694,140.37269182
2025-09-05,49.06,54.23,47.74,53.5,64569751.0,22.7924,151.56284587000002
2025-09-08,53.56,56.5,53.29,53.97,60541688.0,21.3705,152.89433255
2025-09-09,53.28,54.93,52.0,53.4,44463511.0,15.6951,151.27955083
2025-09-10,52.88,55.81,51.8,51.83,42102528.0,14.8617,146.83181871
2025-09-11,52.69,53.58,51.06,53.52,37600013.0,13.2724,151.61950487
2025-09-12,53.82,55.14,52.58,52.7,35574153.0,12.5573,149.29648555
2025-09-15,52.69,55.48,52.37,54.1,41989843.0,14.8219,153.2626161
2025-09-16,55.19,64.92,55.19,64.92,72381526.0,25.5499,183.91513932
2025-09-17,70.12,73.0,67.51,68.75,86608079.0,30.5717,194.76533931
2025-09-18,71.0,72.86,67.9,69.79,79689346.0,28.1295,197.71160772
2025-09-19,67.87,68.14,62.83,62.9,61537307.99999999,21.722,178.19257953000002
2025-09-22,64.13,64.49,62.41,63.29,35067223.0,12.3783,179.29743018
2025-09-23,64.0,66.98,61.91,64.7,49799478.0,17.5787,183.29189023
2025-09-24,63.97,67.5,62.41,67.21,48014173.0,16.9485,190.40259571
2025-09-25,67.21,67.33,64.4,65.24,37013594.0,13.0654,184.82168344000002
2025-09-26,64.38,65.0,61.18,61.32,29166974.0,10.2956,173.71651791
2025-09-29,62.29,65.3,62.28,64.87,28932006.0,10.2127,183.77349180000002
2025-09-30,64.37,64.85,63.46,63.57,21360030.0,7.5399,180.09065629
2025-10-09,63.4,63.4,61.1,62.16,24101246.0,8.5075,176.09619624
2025-10-10,63.0,63.96,59.0,59.31,30463451.0,10.7533,168.02228763
2025-10-13,54.99,57.69,54.33,57.03,25258593.0,8.916,161.56316074
2025-10-14,58.0,58.15,52.92,53.32,25345402.0,8.9466,151.05291479
2025-10-15,53.51,56.28,52.62,55.9,27714540.000000004,9.7829,158.3619268
2025-10-16,55.26,55.58,54.39,54.62,14560826.999999998,5.1398,154.7357503
2025-10-17,54.56,55.24,52.35,52.51,13955329.999999998,4.9261,148.75822498000002
2025-10-20,54.87,55.72,53.85,54.3,22575958.0,7.9691,153.82920618
2025-10-21,54.97,55.48,54.02,55.31,20758857.0,7.3276,156.69048607000002
2025-10-22,54.8,55.74,54.31,54.51,16167147.0,5.7068,154.42412575999998
2025-10-23,54.01,54.29,52.78,53.75,11423369.0,4.0323,152.27108346
2025-10-24,54.49,56.1,53.93,55.78,20542246.0,7.2512,158.02197275
2025-10-27,56.29,57.3,55.06,56.37,23513494.0,8.3,159.69341348
2025-10-28,55.88,57.29,55.41,56.04,22555378.0,7.9618,158.75853985999998
2025-10-29,55.58,58.2,55.58,57.54,24453962.0,8.632,163.00796544000002
2025-10-30,56.03,56.87,54.08,55.02,25779325.0,9.0998,155.86893046
2025-10-31,54.97,57.78,54.75,56.28,22126722.0,7.8105,159.43844794999998
2025-11-03,56.28,57.95,55.6,56.68,19986217.0,7.0549,160.57162811
